"Gemeente";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage (gemeente)";1187;217,5;9;1,6;1;0,2
"'s-Hertogenbosch";67;43,2;0;0;0;0
"Aa en Hunze";1;3,9;0;0;0;0
"Aalsmeer";27;84,7;0;0;0;0
"Aalten";6;22,1;0;0;0;0
"Achtkarspelen";3;10,8;0;0;0;0
"Alblasserdam";18;89,3;0;0;0;0
"Albrandswaard";31;121,1;0;0;0;0
"Alkmaar";36;32,9;0;0;0;0
"Almelo";17;23,3;0;0;0;0
"Almere";201;94,9;1;0,5;1;0,5
"Alphen aan den Rijn";98;87,6;1;0,9;1;0,9
"Alphen-Chaam";7;68,6;0;0;0;0
"Altena";4;7,1;0;0;0;0
"Ameland";0;0;0;0;0;0
"Amersfoort";126;80,1;2;1,3;0;0
"Amstelveen";105;114,5;0;0;1;1,1
"Amsterdam";2066;236,7;22;2,5;3;0,3
"Apeldoorn";45;27,5;0;0;0;0
"Appingedam";4;34,4;0;0;0;0
"Arnhem";97;60,1;1;0,6;1;0,6
"Assen";12;17,5;0;0;0;0
"Asten";8;47,8;0;0;0;0
"Baarle-Nassau";0;0;0;0;0;0
"Baarn";12;48,3;0;0;0;0
"Barendrecht";73;149,9;0;0;0;0
"Barneveld";9;15,2;0;0;1;1,7
"Beek (L.)";2;12,6;0;0;0;0
"Beekdaelen";11;30,6;0;0;0;0
"Beemster";6;59,9;0;0;0;0
"Beesel";0;0;0;0;0;0
"Berg en Dal";14;40;0;0;0;0
"Bergeijk";46;246,8;0;0;0;0
"Bergen (L.)";5;38,2;0;0;0;0
"Bergen (NH.)";6;20,1;0;0;0;0
"Bergen op Zoom";28;41,5;1;1,5;0;0
"Berkelland";12;27,4;1;2,3;0;0
"Bernheze";12;38,4;0;0;0;0
"Best";14;46,7;0;0;0;0
"Beuningen";13;50,2;0;0;0;0
"Beverwijk";38;91,3;0;0;0;0
"Bladel";14;68,7;0;0;0;0
"Blaricum";8;69,3;0;0;0;0
"Bloemendaal";26;110,3;0;0;0;0
"Bodegraven-Reeuwijk";18;51,6;0;0;0;0
"Boekel";4;37,1;0;0;0;0
"Borger-Odoorn";1;3,9;0;0;0;0
"Borne";2;8,6;0;0;0;0
"Borsele";6;26,4;0;0;0;0
"Boxmeer";1;3,4;0;0;0;0
"Boxtel";6;19,5;0;0;0;0
"Breda";72;39,1;0;0;0;0
"Brielle";2;11,6;0;0;0;0
"Bronckhorst";13;36,1;0;0;0;0
"Brummen";9;43,4;0;0;0;0
"Brunssum";17;61,1;0;0;0;0
"Bunnik";16;105,3;0;0;0;0
"Bunschoten";18;82,3;0;0;0;0
"Buren";3;11,2;0;0;0;0
"Capelle aan den IJssel";57;84,9;0;0;0;0
"Castricum";9;25;0;0;0;0
"Coevorden";1;2,8;0;0;0;0
"Cranendonck";1;4,7;0;0;0;0
"Cuijk";8;31,8;0;0;0;0
"Culemborg";15;51,8;0;0;0;0
"Dalfsen";7;24,5;0;0;0;0
"Dantumadiel";6;31,7;0;0;0;0
"De Bilt";21;48,7;0;0;0;0
"De Fryske Marren";3;5,8;0;0;0;0
"De Ronde Venen";37;83,2;0;0;0;0
"De Wolden";7;28,8;0;0;0;0
"Delft";264;254,8;0;0;0;0
"Delfzijl";3;12,2;0;0;0;0
"Den Helder";5;8,9;1;1,8;0;0
"Deurne";18;55,4;0;0;0;0
"Deventer";24;23,8;0;0;0;0
"Diemen";49;159,2;0;0;0;0
"Dinkelland";1;3,8;0;0;0;0
"Doesburg";9;81,2;0;0;0;0
"Doetinchem";35;60,3;1;1,7;0;0
"Dongen";11;41,9;0;0;0;0
"Dordrecht";106;88,9;1;0,8;1;0,8
"Drechterland";9;45,6;0;0;0;0
"Drimmelen";12;44;0;0;0;0
"Dronten";7;16,8;0;0;0;0
"Druten";1;5,3;0;0;0;0
"Duiven";12;47,8;0;0;0;0
"Echt-Susteren";6;19;0;0;0;0
"Edam-Volendam";16;44,2;0;0;0;0
"Ede";78;66,6;1;0,9;0;0
"Eemnes";3;32,4;0;0;0;0
"Eersel";26;134,6;0;0;0;0
"Eijsden-Margraten";4;15,5;0;0;0;0
"Eindhoven";150;64;0;0;0;0
"Elburg";11;47,5;0;0;0;0
"Emmen";15;14;0;0;0;0
"Enkhuizen";4;21,5;0;0;0;0
"Enschede";55;34,5;0;0;0;0
"Epe";10;30,1;0;0;0;0
"Ermelo";10;37;0;0;0;0
"Etten-Leur";15;34,2;0;0;0;0
"Geertruidenberg";4;18,6;0;0;0;0
"Geldrop-Mierlo";7;17,6;0;0;0;0
"Gemert-Bakel";10;32,5;0;0;0;0
"Gennep";7;41,4;0;0;0;0
"Gilze en Rijen";6;22,7;0;0;0;0
"Goeree-Overflakkee";21;42;0;0;0;0
"Goes";11;28,9;0;0;0;0
"Goirle";30;125,5;0;0;0;0
"Gooise Meren";44;75,8;0;0;0;0
"Gorinchem";22;59,4;0;0;0;0
"Gouda";51;69,5;0;0;1;1,4
"Grave";6;48,2;0;0;0;0
"Groningen (gemeente)";169;72,6;0;0;0;0
