Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
Aa en Hunze;96;377,3;0;0;1;3,9
Aalsmeer;196;615,2;0;0;1;3,1
Aalten;147;542;2;7,4;0;0
Achtkarspelen;75;269,4;0;0;0;0
Alblasserdam;161;798,4;0;0;0;0
Albrandswaard;189;738,6;1;3,9;0;0
Alkmaar;403;368,3;3;2,7;0;0
Almelo;336;459,6;1;1,4;3;4,1
Almere;898;423,8;13;6,1;0;0
Alphen aan den Rijn;683;610,4;6;5,4;5;4,5
Alphen-Chaam;43;421,4;0;0;0;0
Altena;325;580,7;0;0;1;1,8
Ameland;16;430,6;0;0;0;0
Amersfoort;867;551,3;1;0,6;3;1,9
Amstelveen;569;620,7;3;3,3;2;2,2
Amsterdam;7837;898;81;9,3;6;0,7
Apeldoorn;426;260;2;1,2;1;0,6
Appingedam;17;146;2;17,2;0;0
Arnhem;644;399,1;3;1,9;0;0
Assen;247;360,1;1;1,5;0;0
Asten;58;346,9;0;0;0;0
Baarle-Nassau;25;364,5;0;0;0;0
Baarn;135;542,9;0;0;0;0
Barendrecht;384;788,3;0;0;2;4,1
Barneveld;262;443,5;2;3,4;1;1,7
Beek (L.);46;289,9;1;6,3;0;0
Beekdaelen;68;189,2;0;0;2;5,6
Beemster;32;319,3;0;0;0;0
Beesel;63;467,3;0;0;0;0
Berg en Dal;214;611,6;2;5,7;1;2,9
Bergeijk;95;509,8;0;0;0;0
Bergen (L.);47;359,2;1;7,6;0;0
Bergen (NH.);159;532,9;1;3,4;0;0
Bergen op Zoom;478;708,2;7;10,4;2;3
Berkelland;213;486,9;3;6,9;2;4,6
Bernheze;163;521,8;1;3,2;0;0
Best;133;443,5;0;0;1;3,3
Beuningen;86;332,2;0;0;0;0
Beverwijk;202;485,3;3;7,2;1;2,4
Bladel;227;1113,3;0;0;0;0
Blaricum;49;424,6;0;0;0;0
Bloemendaal;96;407,3;1;4,2;1;4,2
Bodegraven-Reeuwijk;201;576,4;2;5,7;1;2,9
Boekel;40;370,9;2;18,5;0;0
Borger-Odoorn;140;547,8;1;3,9;0;0
Borne;140;600,5;1;4,3;0;0
Borsele;33;145,1;0;0;0;0
Boxmeer;147;500,6;0;0;0;0
Boxtel;116;376,6;0;0;0;0
Breda;1103;599,2;8;4,3;2;1,1
Brielle;113;654,3;1;5,8;0;0
Bronckhorst;205;568,6;1;2,8;0;0
Brummen;46;221,9;0;0;0;0
Brunssum;63;226,4;3;10,8;0;0
Bunnik;65;427,9;2;13,2;0;0
Bunschoten;198;905,5;1;4,6;0;0
Buren;137;512,2;2;7,5;0;0
Capelle aan den IJssel;443;660;3;4,5;0;0
Castricum;136;377,9;2;5,6;0;0
Coevorden;117;331,5;0;0;0;0
Cranendonck;110;520,4;0;0;0;0
Cuijk;118;469,6;1;4;0;0
Culemborg;186;642,4;0;0;1;3,5
Dalfsen;140;489,7;0;0;0;0
Dantumadiel;29;153,3;0;0;0;0
De Bilt;306;709,4;1;2,3;0;0
De Fryske Marren;159;308,4;3;5,8;0;0
De Ronde Venen;242;544,4;2;4,5;1;2,2
De Wolden;83;341,1;3;12,3;0;0
Delft;677;653,5;0;0;2;1,9
Delfzijl;18;72,9;0;0;0;0
Den Helder;124;220,3;2;3,6;0;0
Deurne;172;529,7;0;0;1;3,1
Deventer;387;384,2;0;0;2;2
