"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Bergen (L.)";893;"Bergen (L.)";13085;"04-11-2020";"17-11-2020";41;313,3;1;7,6;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29839;"04-11-2020";"17-11-2020";57;191;0;0;2;6,7
"Bergen op Zoom";748;"Bergen op Zoom";67496;"04-11-2020";"17-11-2020";465;688,9;2;3;5;7,4
"Berkelland";1859;"Berkelland";43747;"04-11-2020";"17-11-2020";211;482,3;2;4,6;7;16
"Bernheze";1721;"Bernheze";31240;"04-11-2020";"17-11-2020";149;477;1;3,2;0;0
"Best";753;"Best";29988;"04-11-2020";"17-11-2020";121;403,5;0;0;0;0
"Beuningen";209;"Beuningen";25890;"04-11-2020";"17-11-2020";109;421;2;7,7;1;3,9
"Beverwijk";375;"Beverwijk";41626;"04-11-2020";"17-11-2020";199;478,1;1;2,4;0;0
"Bladel";1728;"Bladel";20390;"04-11-2020";"17-11-2020";137;671,9;0;0;1;4,9
"Blaricum";376;"Blaricum";11540;"04-11-2020";"17-11-2020";55;476,6;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23571;"04-11-2020";"17-11-2020";65;275,8;0;0;0;0
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";34872;"04-11-2020";"17-11-2020";171;490,4;6;17,2;0;0
"Boekel";755;"Boekel";10785;"04-11-2020";"17-11-2020";23;213,3;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25559;"04-11-2020";"17-11-2020";48;187,8;0;0;1;3,9
"Borne";147;"Borne";23312;"04-11-2020";"17-11-2020";88;377,5;0;0;0;0
"Borsele";654;"Borsele";22739;"04-11-2020";"17-11-2020";44;193,5;0;0;0;0
"Boxmeer";756;"Boxmeer";29365;"04-11-2020";"17-11-2020";110;374,6;0;0;2;6,8
"Boxtel";757;"Boxtel";30801;"04-11-2020";"17-11-2020";117;379,9;0;0;1;3,2
"Breda";758;"Breda";184069;"04-11-2020";"17-11-2020";713;387,4;6;3,3;14;7,6
"Brielle";501;"Brielle";17271;"04-11-2020";"17-11-2020";68;393,7;0;0;1;5,8
"Bronckhorst";1876;"Bronckhorst";36055;"04-11-2020";"17-11-2020";123;341,1;0;0;0;0
"Brummen";213;"Brummen";20726;"04-11-2020";"17-11-2020";76;366,7;2;9,6;0;0
"Brunssum";899;"Brunssum";27821;"04-11-2020";"17-11-2020";74;266;1;3,6;0;0
"Bunnik";312;"Bunnik";15191;"04-11-2020";"17-11-2020";55;362,1;0;0;2;13,2
"Bunschoten";313;"Bunschoten";21866;"04-11-2020";"17-11-2020";186;850,6;2;9,1;3;13,7
"Buren";214;"Buren";26749;"04-11-2020";"17-11-2020";99;370,1;0;0;2;7,5
"Capelle aan den IJssel";502;"Capelle aan den IJssel";67122;"04-11-2020";"17-11-2020";320;476,7;3;4,5;1;1,5
"Castricum";383;"Castricum";35986;"04-11-2020";"17-11-2020";111;308,5;0;0;0;0
"Coevorden";109;"Coevorden";35297;"04-11-2020";"17-11-2020";96;272;0;0;3;8,5
"Cranendonck";1706;"Cranendonck";21138;"04-11-2020";"17-11-2020";111;525,1;0;0;0;0
"Cuijk";1684;"Cuijk";25130;"04-11-2020";"17-11-2020";102;405,9;1;4;1;4
"Culemborg";216;"Culemborg";28955;"04-11-2020";"17-11-2020";103;355,7;1;3,5;1;3,5
"Dalfsen";148;"Dalfsen";28587;"04-11-2020";"17-11-2020";103;360,3;0;0;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"04-11-2020";"17-11-2020";35;185;0;0;0;0
"De Bilt";310;"De Bilt";43137;"04-11-2020";"17-11-2020";198;459;1;2,3;2;4,6
"De Fryske Marren";1940;"De Fryske Marren";51564;"04-11-2020";"17-11-2020";61;118,3;0;0;0;0
"De Ronde Venen";736;"De Ronde Venen";44456;"04-11-2020";"17-11-2020";190;427,4;0;0;1;2,2
"De Wolden";1690;"De Wolden";24330;"04-11-2020";"17-11-2020";58;238,4;0;0;0;0
"Delft";503;"Delft";103595;"04-11-2020";"17-11-2020";497;479,8;2;1,9;3;2,9
"Delfzijl";10;"Delfzijl";24678;"04-11-2020";"17-11-2020";17;68,9;1;4,1;0;0
"Den Helder";400;"Den Helder";56296;"04-11-2020";"17-11-2020";124;220,3;1;1,8;2;3,6
"Deurne";762;"Deurne";32471;"04-11-2020";"17-11-2020";141;434,2;1;3,1;0;0
"Deventer";150;"Deventer";100719;"04-11-2020";"17-11-2020";277;275;1;1;3;3
"Diemen";384;"Diemen";30780;"04-11-2020";"17-11-2020";147;477,6;1;3,2;0;0
"Dinkelland";1774;"Dinkelland";26461;"04-11-2020";"17-11-2020";143;540,4;0;0;4;15,1
"Doesburg";221;"Doesburg";11077;"04-11-2020";"17-11-2020";27;243,7;0;0;0;0
"Doetinchem";222;"Doetinchem";58001;"04-11-2020";"17-11-2020";187;322,4;3;5,2;0;0
"Dongen";766;"Dongen";26222;"04-11-2020";"17-11-2020";172;655,9;3;11,4;2;7,6
"Dordrecht";505;"Dordrecht";119284;"04-11-2020";"17-11-2020";744;623,7;1;0,8;8;6,7
"Drechterland";498;"Drechterland";19719;"04-11-2020";"17-11-2020";71;360,1;0;0;0;0
"Drimmelen";1719;"Drimmelen";27272;"04-11-2020";"17-11-2020";125;458,3;1;3,7;1;3,7
"Dronten";303;"Dronten";41555;"04-11-2020";"17-11-2020";80;192,5;0;0;1;2,4
"Druten";225;"Druten";18926;"04-11-2020";"17-11-2020";69;364,6;0;0;0;0
"Duiven";226;"Duiven";25126;"04-11-2020";"17-11-2020";103;409,9;0;0;2;8
"Echt-Susteren";1711;"Echt-Susteren";31610;"04-11-2020";"17-11-2020";69;218,3;1;3,2;1;3,2
"Edam-Volendam";385;"Edam-Volendam";36197;"04-11-2020";"17-11-2020";202;558,1;3;8,3;1;2,8
"Ede";228;"Ede";117165;"04-11-2020";"17-11-2020";479;408,8;3;2,6;5;4,3
"Eemnes";317;"Eemnes";9247;"04-11-2020";"17-11-2020";67;724,6;0;0;0;0
"Eersel";770;"Eersel";19313;"04-11-2020";"17-11-2020";115;595,5;2;10,4;2;10,4
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"04-11-2020";"17-11-2020";63;244,5;0;0;1;3,9
"Eindhoven";772;"Eindhoven";234394;"04-11-2020";"17-11-2020";1080;460,8;6;2,6;14;6
"Elburg";230;"Elburg";23161;"04-11-2020";"17-11-2020";51;220,2;1;4,3;0;0
"Emmen";114;"Emmen";107048;"04-11-2020";"17-11-2020";332;310,1;1;0,9;2;1,9
"Enkhuizen";388;"Enkhuizen";18591;"04-11-2020";"17-11-2020";85;457,2;0;0;1;5,4
"Enschede";153;"Enschede";159640;"04-11-2020";"17-11-2020";825;516,8;15;9,4;15;9,4
"Epe";232;"Epe";33178;"04-11-2020";"17-11-2020";69;208;1;3;1;3
"Ermelo";233;"Ermelo";27008;"04-11-2020";"17-11-2020";72;266,6;0;0;1;3,7
"Etten-Leur";777;"Etten-Leur";43878;"04-11-2020";"17-11-2020";152;346,4;2;4,6;1;2,3
"Geertruidenberg";779;"Geertruidenberg";21544;"04-11-2020";"17-11-2020";68;315,6;0;0;0;0
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";39726;"04-11-2020";"17-11-2020";225;566,4;2;5;1;2,5
"Gemert-Bakel";1652;"Gemert-Bakel";30723;"04-11-2020";"17-11-2020";129;419,9;0;0;0;0
"Gennep";907;"Gennep";16921;"04-11-2020";"17-11-2020";51;301,4;0;0;0;0
"Gilze en Rijen";784;"Gilze en Rijen";26431;"04-11-2020";"17-11-2020";115;435,1;2;7,6;1;3,8
"Goeree-Overflakkee";1924;"Goeree-Overflakkee";50049;"04-11-2020";"17-11-2020";227;453,6;2;4;1;2
"Goes";664;"Goes";38082;"04-11-2020";"17-11-2020";91;239;0;0;0;0
"Goirle";785;"Goirle";23904;"04-11-2020";"17-11-2020";121;506,2;0;0;0;0
"Gooise Meren";1942;"Gooise Meren";58055;"04-11-2020";"17-11-2020";210;361,7;1;1,7;1;1,7
"Gorinchem";512;"Gorinchem";37022;"04-11-2020";"17-11-2020";184;497;0;0;0;0
"Gouda";513;"Gouda";73427;"04-11-2020";"17-11-2020";386;525,7;8;10,9;13;17,7
"Grave";786;"Grave";12436;"04-11-2020";"17-11-2020";81;651,3;0;0;4;32,2
"Groningen (gemeente)";14;"Groningen (gemeente)";232874;"04-11-2020";"17-11-2020";371;159,3;1;0,4;1;0,4
"Gulpen-Wittem";1729;"Gulpen-Wittem";14171;"04-11-2020";"17-11-2020";35;247;0;0;0;0
"Haaksbergen";158;"Haaksbergen";24311;"04-11-2020";"17-11-2020";111;456,6;2;8,2;5;20,6
"Haaren";788;"Haaren";14370;"04-11-2020";"17-11-2020";77;535,8;0;0;1;7
"Haarlem";392;"Haarlem";162902;"04-11-2020";"17-11-2020";512;314,3;1;0,6;6;3,7
"Haarlemmermeer";394;"Haarlemmermeer";156002;"04-11-2020";"17-11-2020";622;398,7;7;4,5;1;0,6
"Halderberge";1655;"Halderberge";30284;"04-11-2020";"17-11-2020";145;478,8;0;0;2;6,6
"Hardenberg";160;"Hardenberg";60948;"04-11-2020";"17-11-2020";196;321,6;0;0;0;0
"Harderwijk";243;"Harderwijk";48414;"04-11-2020";"17-11-2020";146;301,6;3;6,2;0;0
"Hardinxveld-Giessendam";523;"Hardinxveld-Giessendam";18295;"04-11-2020";"17-11-2020";150;819,9;0;0;2;10,9
"Harlingen";72;"Harlingen";15722;"04-11-2020";"17-11-2020";11;70;0;0;0;0
"Hattem";244;"Hattem";12209;"04-11-2020";"17-11-2020";36;294,9;0;0;0;0
"Heemskerk";396;"Heemskerk";39182;"04-11-2020";"17-11-2020";167;426,2;1;2,6;3;7,7
"Heemstede";397;"Heemstede";27234;"04-11-2020";"17-11-2020";76;279,1;0;0;0;0
"Heerde";246;"Heerde";18589;"04-11-2020";"17-11-2020";33;177,5;0;0;0;0
"Heerenveen";74;"Heerenveen";50493;"04-11-2020";"17-11-2020";76;150,5;1;2;0;0
"Heerhugowaard";398;"Heerhugowaard";57587;"04-11-2020";"17-11-2020";214;371,6;1;1,7;0;0
"Heerlen";917;"Heerlen";87086;"04-11-2020";"17-11-2020";263;302;3;3,4;1;1,1
"Heeze-Leende";1658;"Heeze-Leende";16152;"04-11-2020";"17-11-2020";45;278,6;0;0;3;18,6
"Heiloo";399;"Heiloo";23968;"04-11-2020";"17-11-2020";72;300,4;0;0;0;0
"Hellendoorn";163;"Hellendoorn";35916;"04-11-2020";"17-11-2020";182;506,7;1;2,8;1;2,8
"Hellevoetsluis";530;"Hellevoetsluis";40142;"04-11-2020";"17-11-2020";160;398,6;2;5;1;2,5
"Helmond";794;"Helmond";92423;"04-11-2020";"17-11-2020";429;464,2;3;3,2;3;3,2
"Hendrik-Ido-Ambacht";531;"Hendrik-Ido-Ambacht";31202;"04-11-2020";"17-11-2020";186;596,1;0;0;2;6,4
"Hengelo (O.)";164;"Hengelo (O.)";81140;"04-11-2020";"17-11-2020";363;447,4;1;1,2;2;2,5
"Het Hogeland";1966;"Het Hogeland";47801;"04-11-2020";"17-11-2020";55;115,1;0;0;0;0
"Heumen";252;"Heumen";16454;"04-11-2020";"17-11-2020";48;291,7;0;0;0;0
"Heusden";797;"Heusden";44692;"04-11-2020";"17-11-2020";284;635,5;2;4,5;3;6,7
"Hillegom";534;"Hillegom";22209;"04-11-2020";"17-11-2020";57;256,7;0;0;0;0
"Hilvarenbeek";798;"Hilvarenbeek";15518;"04-11-2020";"17-11-2020";88;567,1;1;6,4;3;19,3
"Hilversum";402;"Hilversum";90831;"04-11-2020";"17-11-2020";319;351,2;4;4,4;1;1,1
"Hoeksche Waard";1963;"Hoeksche Waard";87401;"04-11-2020";"17-11-2020";269;307,8;0;0;0;0
"Hof van Twente";1735;"Hof van Twente";35017;"04-11-2020";"17-11-2020";229;654;0;0;1;2,9
"Hollands Kroon";1911;"Hollands Kroon";48432;"04-11-2020";"17-11-2020";121;249,8;3;6,2;0;0
"Hoogeveen";118;"Hoogeveen";55699;"04-11-2020";"17-11-2020";120;215,4;0;0;1;1,8
"Hoorn";405;"Hoorn";73261;"04-11-2020";"17-11-2020";270;368,5;3;4,1;2;2,7
"Horst aan de Maas";1507;"Horst aan de Maas";42429;"04-11-2020";"17-11-2020";159;374,7;0;0;1;2,4
"Houten";321;"Houten";50146;"04-11-2020";"17-11-2020";185;368,9;3;6;10;19,9
"Huizen";406;"Huizen";41273;"04-11-2020";"17-11-2020";207;501,5;2;4,8;0;0
"Hulst";677;"Hulst";27556;"04-11-2020";"17-11-2020";145;526,2;2;7,3;2;7,3
"IJsselstein";353;"IJsselstein";34109;"04-11-2020";"17-11-2020";130;381,1;1;2,9;3;8,8
"Kaag en Braassem";1884;"Kaag en Braassem";27297;"04-11-2020";"17-11-2020";80;293,1;1;3,7;0;0
"Kampen";166;"Kampen";54319;"04-11-2020";"17-11-2020";117;215,4;1;1,8;0;0
"Kapelle";678;"Kapelle";12695;"04-11-2020";"17-11-2020";13;102,4;0;0;0;0
"Katwijk";537;"Katwijk";65753;"04-11-2020";"17-11-2020";339;515,6;3;4,6;3;4,6
"Kerkrade";928;"Kerkrade";45749;"04-11-2020";"17-11-2020";91;198,9;1;2,2;3;6,6
"Koggenland";1598;"Koggenland";22749;"04-11-2020";"17-11-2020";108;474,7;2;8,8;1;4,4
"Krimpen aan den IJssel";542;"Krimpen aan den IJssel";29526;"04-11-2020";"17-11-2020";127;430,1;2;6,8;8;27,1
"Krimpenerwaard";1931;"Krimpenerwaard";56319;"04-11-2020";"17-11-2020";301;534,5;2;3,6;3;5,3
"Laarbeek";1659;"Laarbeek";22523;"04-11-2020";"17-11-2020";97;430,7;0;0;0;0
"Landerd";1685;"Landerd";15730;"04-11-2020";"17-11-2020";69;438,7;0;0;0;0
"Landgraaf";882;"Landgraaf";37445;"04-11-2020";"17-11-2020";76;203;0;0;0;0
"Landsmeer";415;"Landsmeer";11491;"04-11-2020";"17-11-2020";56;487,3;1;8,7;0;0
"Langedijk";416;"Langedijk";28163;"04-11-2020";"17-11-2020";106;376,4;0;0;0;0
"Lansingerland";1621;"Lansingerland";62384;"04-11-2020";"17-11-2020";247;395,9;1;1,6;1;1,6
"Laren (NH.)";417;"Laren (NH.)";11280;"04-11-2020";"17-11-2020";59;523;0;0;2;17,7
"Leeuwarden";80;"Leeuwarden";124084;"04-11-2020";"17-11-2020";178;143,5;0;0;1;0,8
"Leiden";546;"Leiden";125099;"04-11-2020";"17-11-2020";516;412,5;1;0,8;4;3,2
"Leiderdorp";547;"Leiderdorp";27056;"04-11-2020";"17-11-2020";83;306,8;1;3,7;2;7,4
"Leidschendam-Voorburg";1916;"Leidschendam-Voorburg";76534;"04-11-2020";"17-11-2020";295;385,4;6;7,8;3;3,9
"Lelystad";995;"Lelystad";78598;"04-11-2020";"17-11-2020";271;344,8;5;6,4;3;3,8
"Leudal";1640;"Leudal";35879;"04-11-2020";"17-11-2020";147;409,7;2;5,6;0;0
"Leusden";327;"Leusden";30401;"04-11-2020";"17-11-2020";96;315,8;2;6,6;1;3,3
"Lingewaard";1705;"Lingewaard";46601;"04-11-2020";"17-11-2020";170;364,8;2;4,3;2;4,3
"Lisse";553;"Lisse";22955;"04-11-2020";"17-11-2020";73;318;1;4,4;1;4,4
"Lochem";262;"Lochem";33729;"04-11-2020";"17-11-2020";72;213,5;0;0;0;0
"Loon op Zand";809;"Loon op Zand";23408;"04-11-2020";"17-11-2020";153;653,6;0;0;0;0
"Lopik";331;"Lopik";14467;"04-11-2020";"17-11-2020";77;532,2;0;0;0;0
"Loppersum";24;"Loppersum";9537;"04-11-2020";"17-11-2020";14;146,8;1;10,5;0;0
"Losser";168;"Losser";22683;"04-11-2020";"17-11-2020";112;493,8;0;0;1;4,4
"Maasdriel";263;"Maasdriel";25030;"04-11-2020";"17-11-2020";171;683,2;1;4;3;12
"Maasgouw";1641;"Maasgouw";23965;"04-11-2020";"17-11-2020";77;321,3;0;0;1;4,2
"Maassluis";556;"Maassluis";33213;"04-11-2020";"17-11-2020";148;445,6;4;12;1;3
"Maastricht";935;"Maastricht";121575;"04-11-2020";"17-11-2020";355;292;4;3,3;2;1,6
"Medemblik";420;"Medemblik";45101;"04-11-2020";"17-11-2020";141;312,6;1;2,2;0;0
"Meerssen";938;"Meerssen";18828;"04-11-2020";"17-11-2020";46;244,3;0;0;0;0
"Meierijstad";1948;"Meierijstad";81194;"04-11-2020";"17-11-2020";285;351;4;4,9;1;1,2
"Meppel";119;"Meppel";33920;"04-11-2020";"17-11-2020";74;218,2;2;5,9;0;0
"Middelburg (Z.)";687;"Middelburg (Z.)";48822;"04-11-2020";"17-11-2020";84;172,1;0;0;3;6,1
"Midden-Delfland";1842;"Midden-Delfland";19341;"04-11-2020";"17-11-2020";88;455;2;10,3;3;15,5
"Midden-Drenthe";1731;"Midden-Drenthe";33185;"04-11-2020";"17-11-2020";86;259,2;1;3;0;0
"Midden-Groningen";1952;"Midden-Groningen";60797;"04-11-2020";"17-11-2020";65;106,9;4;6,6;1;1,6
"Mill en Sint Hubert";815;"Mill en Sint Hubert";10939;"04-11-2020";"17-11-2020";47;429,7;0;0;0;0
"Moerdijk";1709;"Moerdijk";37129;"04-11-2020";"17-11-2020";153;412,1;2;5,4;5;13,5
"Molenlanden";1978;"Molenlanden";43909;"04-11-2020";"17-11-2020";260;592,1;0;0;2;4,6
"Montferland";1955;"Montferland";36011;"04-11-2020";"17-11-2020";123;341,6;0;0;2;5,6
"Montfoort";335;"Montfoort";13917;"04-11-2020";"17-11-2020";71;510,2;0;0;0;0
"Mook en Middelaar";944;"Mook en Middelaar";7847;"04-11-2020";"17-11-2020";25;318,6;0;0;1;12,7
"Neder-Betuwe";1740;"Neder-Betuwe";24339;"04-11-2020";"17-11-2020";100;410,9;0;0;0;0
"Nederweert";946;"Nederweert";17019;"04-11-2020";"17-11-2020";66;387,8;3;17,6;1;5,9
"Nieuwegein";356;"Nieuwegein";63462;"04-11-2020";"17-11-2020";215;338,8;0;0;0;0
"Nieuwkoop";569;"Nieuwkoop";28811;"04-11-2020";"17-11-2020";118;409,6;2;6,9;1;3,5
"Nijkerk";267;"Nijkerk";43171;"04-11-2020";"17-11-2020";147;340,5;0;0;2;4,6
"Nijmegen";268;"Nijmegen";177659;"04-11-2020";"17-11-2020";592;333,2;5;2,8;12;6,8
"Nissewaard";1930;"Nissewaard";85219;"04-11-2020";"17-11-2020";488;572,6;3;3,5;2;2,3
"Noardeast-Fryslân";1970;"Noardeast-Fryslân";45228;"04-11-2020";"17-11-2020";84;185,7;1;2,2;0;0
"Noord-Beveland";1695;"Noord-Beveland";7392;"04-11-2020";"17-11-2020";12;162,3;0;0;0;0
"Noordenveld";1699;"Noordenveld";31253;"04-11-2020";"17-11-2020";16;51,2;1;3,2;0;0
"Noordoostpolder";171;"Noordoostpolder";47291;"04-11-2020";"17-11-2020";132;279,1;1;2,1;1;2,1
"Noordwijk";575;"Noordwijk";43508;"04-11-2020";"17-11-2020";139;319,5;6;13,8;1;2,3
"Nuenen, Gerwen en Nederwetten";820;"Nuenen, Gerwen en Nederwetten";23383;"04-11-2020";"17-11-2020";96;410,6;0;0;2;8,6
"Nunspeet";302;"Nunspeet";27851;"04-11-2020";"17-11-2020";75;269,3;0;0;0;0
"Oegstgeest";579;"Oegstgeest";24840;"04-11-2020";"17-11-2020";70;281,8;0;0;0;0
"Oirschot";823;"Oirschot";18714;"04-11-2020";"17-11-2020";113;603,8;0;0;5;26,7
"Oisterwijk";824;"Oisterwijk";26245;"04-11-2020";"17-11-2020";128;487,7;0;0;0;0
"Oldambt";1895;"Oldambt";38209;"04-11-2020";"17-11-2020";34;89;0;0;1;2,6
"Oldebroek";269;"Oldebroek";23646;"04-11-2020";"17-11-2020";63;266,4;0;0;0;0
"Oldenzaal";173;"Oldenzaal";31836;"04-11-2020";"17-11-2020";163;512;5;15,7;4;12,6
"Olst-Wijhe";1773;"Olst-Wijhe";18252;"04-11-2020";"17-11-2020";35;191,8;0;0;0;0
"Ommen";175;"Ommen";18009;"04-11-2020";"17-11-2020";44;244,3;0;0;0;0
"Oost Gelre";1586;"Oost Gelre";29627;"04-11-2020";"17-11-2020";118;398,3;1;3,4;4;13,5
"Oosterhout";826;"Oosterhout";55982;"04-11-2020";"17-11-2020";301;537,7;0;0;4;7,1
"Ooststellingwerf";85;"Ooststellingwerf";25469;"04-11-2020";"17-11-2020";62;243,4;1;3,9;0;0
"Oostzaan";431;"Oostzaan";9735;"04-11-2020";"17-11-2020";31;318,4;1;10,3;0;0
"Opmeer";432;"Opmeer";11836;"04-11-2020";"17-11-2020";51;430,9;2;16,9;0;0
"Opsterland";86;"Opsterland";29733;"04-11-2020";"17-11-2020";34;114,4;0;0;0;0
"Oss";828;"Oss";91915;"04-11-2020";"17-11-2020";446;485,2;6;6,5;3;3,3
"Oude IJsselstreek";1509;"Oude IJsselstreek";39388;"04-11-2020";"17-11-2020";159;403,7;0;0;3;7,6
"Ouder-Amstel";437;"Ouder-Amstel";14026;"04-11-2020";"17-11-2020";58;413,5;0;0;0;0
"Oudewater";589;"Oudewater";10230;"04-11-2020";"17-11-2020";39;381,2;0;0;0;0
"Overbetuwe";1734;"Overbetuwe";47906;"04-11-2020";"17-11-2020";146;304,8;1;2,1;1;2,1
"Papendrecht";590;"Papendrecht";32136;"04-11-2020";"17-11-2020";157;488,5;0;0;4;12,4
"Peel en Maas";1894;"Peel en Maas";43425;"04-11-2020";"17-11-2020";145;333,9;1;2,3;0;0
"Pekela";765;"Pekela";12196;"04-11-2020";"17-11-2020";12;98,4;0;0;1;8,2
"Pijnacker-Nootdorp";1926;"Pijnacker-Nootdorp";55308;"04-11-2020";"17-11-2020";267;482,8;1;1,8;2;3,6
"Purmerend";439;"Purmerend";81249;"04-11-2020";"17-11-2020";245;301,5;1;1,2;4;4,9
"Putten";273;"Putten";24112;"04-11-2020";"17-11-2020";106;439,6;0;0;1;4,1
"Raalte";177;"Raalte";37712;"04-11-2020";"17-11-2020";163;432,2;0;0;0;0
"Reimerswaal";703;"Reimerswaal";22730;"04-11-2020";"17-11-2020";35;154;0;0;0;0
"Renkum";274;"Renkum";31419;"04-11-2020";"17-11-2020";88;280,1;1;3,2;0;0
"Renswoude";339;"Renswoude";5444;"04-11-2020";"17-11-2020";14;257,2;0;0;0;0
"Reusel-De Mierden";1667;"Reusel-De Mierden";13112;"04-11-2020";"17-11-2020";72;549,1;0;0;0;0
"Rheden";275;"Rheden";43761;"04-11-2020";"17-11-2020";178;406,8;2;4,6;3;6,9
"Rhenen";340;"Rhenen";20119;"04-11-2020";"17-11-2020";73;362,8;1;5;0;0
"Ridderkerk";597;"Ridderkerk";46189;"04-11-2020";"17-11-2020";253;547,7;1;2,2;3;6,5
"Rijssen-Holten";1742;"Rijssen-Holten";38177;"04-11-2020";"17-11-2020";215;563,2;1;2,6;4;10,5
"Rijswijk (ZH.)";603;"Rijswijk (ZH.)";54450;"04-11-2020";"17-11-2020";216;396,7;5;9,2;6;11
"Roerdalen";1669;"Roerdalen";20574;"04-11-2020";"17-11-2020";59;286,8;1;4,9;1;4,9
"Roermond";957;"Roermond";58260;"04-11-2020";"17-11-2020";213;365,6;1;1,7;1;1,7
"Roosendaal";1674;"Roosendaal";77251;"04-11-2020";"17-11-2020";467;604,5;4;5,2;5;6,5
"Rotterdam";599;"Rotterdam";651157;"04-11-2020";"17-11-2020";3737;573,9;60;9,2;21;3,2
"Rozendaal";277;"Rozendaal";1704;"04-11-2020";"17-11-2020";4;234,7;0;0;0;0
"Rucphen";840;"Rucphen";22878;"04-11-2020";"17-11-2020";149;651,3;1;4,4;1;4,4
"Schagen";441;"Schagen";46483;"04-11-2020";"17-11-2020";165;355;2;4,3;1;2,2
