Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;;Municipality_name
Beesel;9;66,8;0;0;0;0;;;WAAR;Beesel
Berg en Dal;96;274,3;1;2,9;3;8,6;;;WAAR;Berg en Dal
Bergeijk;52;279;0;0;0;0;;;WAAR;Bergeijk
Bergen (L.);26;198,7;0;0;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);91;305;2;6,7;1;3,4;;;WAAR;Bergen (NH.)
Bergen op Zoom;204;302,2;4;5,9;0;0;;;WAAR;Bergen op Zoom
Berkelland;74;169,2;0;0;0;0;;;WAAR;Berkelland
Bernheze;50;160,1;0;0;0;0;;;WAAR;Bernheze
Best;41;136,7;0;0;0;0;;;WAAR;Best
Beuningen;70;270,4;0;0;0;0;;;WAAR;Beuningen
Beverwijk;107;257,1;0;0;1;2,4;;;WAAR;Beverwijk
Bladel;162;794,5;0;0;1;4,9;;;WAAR;Bladel
Blaricum;20;173,3;0;0;0;0;;;WAAR;Blaricum
Bloemendaal;55;233,3;0;0;0;0;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;75;215,1;1;2,9;3;8,6;;;WAAR;Bodegraven-Reeuwijk
Boekel;9;83,4;0;0;0;0;;;WAAR;Boekel
Borger-Odoorn;34;133;0;0;1;3,9;;;WAAR;Borger-Odoorn
Borne;26;111,5;0;0;0;0;;;WAAR;Borne
Borsele;21;92,4;0;0;0;0;;;WAAR;Borsele
Boxmeer;44;149,8;0;0;1;3,4;;;WAAR;Boxmeer
Boxtel;34;110,4;0;0;0;0;;;WAAR;Boxtel
Breda;348;189,1;4;2,2;2;1,1;;;WAAR;Breda
Brielle;43;249;0;0;0;0;;;WAAR;Brielle
Bronckhorst;55;152,5;0;0;0;0;;;WAAR;Bronckhorst
Brummen;36;173,7;0;0;0;0;;;WAAR;Brummen
Brunssum;31;111,4;0;0;0;0;;;WAAR;Brunssum
Bunnik;32;210,7;0;0;0;0;;;WAAR;Bunnik
Bunschoten;38;173,8;2;9,1;0;0;;;WAAR;Bunschoten
Buren;36;134,6;2;7,5;0;0;;;WAAR;Buren
Capelle aan den IJssel;219;326,3;1;1,5;1;1,5;;;WAAR;Capelle aan den IJssel
Castricum;52;144,5;1;2,8;1;2,8;;;WAAR;Castricum
Coevorden;29;82,2;0;0;0;0;;;WAAR;Coevorden
Cranendonck;59;279,1;0;0;0;0;;;WAAR;Cranendonck
Cuijk;33;131,3;0;0;0;0;;;WAAR;Cuijk
Culemborg;70;241,8;0;0;0;0;;;WAAR;Culemborg
Dalfsen;59;206,4;0;0;0;0;;;WAAR;Dalfsen
Dantumadiel;30;158,5;0;0;0;0;;;WAAR;Dantumadiel
De Bilt;118;273,5;1;2,3;0;0;;;WAAR;De Bilt
De Fryske Marren;62;120,2;1;1,9;0;0;;;WAAR;De Fryske Marren
De Ronde Venen;143;321,7;1;2,2;0;0;;;WAAR;De Ronde Venen
De Wolden;14;57,5;0;0;0;0;;;WAAR;De Wolden
Delft;379;365,8;1;1;0;0;;;WAAR;Delft
Delfzijl;8;32,4;0;0;0;0;;;WAAR;Delfzijl
Den Helder;43;76,4;0;0;0;0;;;WAAR;Den Helder
Deurne;60;184,8;0;0;0;0;;;WAAR;Deurne
Deventer;179;177,7;1;1;1;1;;;WAAR;Deventer
Diemen;185;601;3;9,7;0;0;;;WAAR;Diemen
Dinkelland;55;207,9;0;0;0;0;;;WAAR;Dinkelland
Doesburg;22;198,6;0;0;0;0;;;WAAR;Doesburg
Doetinchem;101;174,1;0;0;0;0;;;WAAR;Doetinchem
Dongen;43;164;1;3,8;0;0;;;WAAR;Dongen
Dordrecht;292;244,8;0;0;2;1,7;;;WAAR;Dordrecht
Drechterland;14;71;0;0;0;0;;;WAAR;Drechterland
Drimmelen;37;135,7;0;0;1;3,7;;;WAAR;Drimmelen
Dronten;30;72,2;2;4,8;1;2,4;;;WAAR;Dronten
Druten;14;74;0;0;0;0;;;WAAR;Druten
Duiven;53;210,9;1;4;0;0;;;WAAR;Duiven
Echt-Susteren;9;28,5;1;3,2;0;0;;;WAAR;Echt-Susteren
Edam-Volendam;151;417,2;3;8,3;0;0;;;WAAR;Edam-Volendam
Ede;265;226,2;2;1,7;1;0,9;;;WAAR;Ede
Eemnes;18;194,7;0;0;0;0;;;WAAR;Eemnes
Eersel;63;326,2;0;0;0;0;;;WAAR;Eersel
Eijsden-Margraten;28;108,7;0;0;0;0;;;WAAR;Eijsden-Margraten
Eindhoven;520;221,8;0;0;1;0,4;;;WAAR;Eindhoven
Elburg;12;51,8;0;0;0;0;;;WAAR;Elburg
Emmen;275;256,9;3;2,8;3;2,8;;;WAAR;Emmen
Enkhuizen;10;53,8;0;0;0;0;;;WAAR;Enkhuizen
Enschede;235;147,2;0;0;0;0;;;WAAR;Enschede
Epe;41;123,6;1;3;0;0;;;WAAR;Epe
Ermelo;20;74,1;0;0;0;0;;;WAAR;Ermelo
Etten-Leur;66;150,4;0;0;0;0;;;WAAR;Etten-Leur
Geertruidenberg;28;130;0;0;0;0;;;WAAR;Geertruidenberg
Geldrop-Mierlo;80;201,4;0;0;0;0;;;WAAR;Geldrop-Mierlo
Gemert-Bakel;30;97,6;0;0;0;0;;;WAAR;Gemert-Bakel
Gennep;25;147,7;0;0;0;0;;;WAAR;Gennep
Gilze en Rijen;43;162,7;0;0;0;0;;;WAAR;Gilze en Rijen
Goeree-Overflakkee;83;165,8;1;2;0;0;;;WAAR;Goeree-Overflakkee
Goes;32;84;0;0;0;0;;;WAAR;Goes
Goirle;54;225,9;0;0;1;4,2;;;WAAR;Goirle
Gooise Meren;139;239,4;0;0;1;1,7;;;WAAR;Gooise Meren
Gorinchem;69;186,4;0;0;0;0;;;WAAR;Gorinchem
Gouda;262;356,8;3;4,1;0;0;;;WAAR;Gouda
Grave;26;209,1;0;0;0;0;;;WAAR;Grave
Groningen (gemeente);776;333,2;1;0,4;0;0;;;WAAR;Groningen (gemeente)
Gulpen-Wittem;25;176,4;1;7,1;1;7,1;;;WAAR;Gulpen-Wittem
Haaksbergen;99;407,2;0;0;0;0;;;WAAR;Haaksbergen
Haaren;27;187,9;1;7;0;0;;;WAAR;Haaren
Haarlem;410;251,7;6;3,7;1;0,6;;;WAAR;Haarlem
Haarlemmermeer;446;285,9;2;1,3;5;3,2;;;WAAR;Haarlemmermeer
Halderberge;74;244,4;0;0;0;0;;;WAAR;Halderberge
Hardenberg;35;57,4;0;0;0;0;;;WAAR;Hardenberg
Harderwijk;81;167,3;0;0;0;0;;;WAAR;Harderwijk
Hardinxveld-Giessendam;31;169,4;0;0;0;0;;;WAAR;Hardinxveld-Giessendam
Harlingen;8;50,9;0;0;0;0;;;WAAR;Harlingen
Hattem;17;139,2;0;0;0;0;;;WAAR;Hattem
Heemskerk;77;196,5;0;0;0;0;;;WAAR;Heemskerk
Heemstede;82;301,1;2;7,3;0;0;;;WAAR;Heemstede
Heerde;21;113;0;0;0;0;;;WAAR;Heerde
Heerenveen;50;99;1;2;0;0;;;WAAR;Heerenveen
Heerhugowaard;69;119,8;0;0;0;0;;;WAAR;Heerhugowaard
Heerlen;50;57,4;0;0;0;0;;;WAAR;Heerlen
Heeze-Leende;33;204,3;0;0;0;0;;;WAAR;Heeze-Leende
Heiloo;18;75,1;0;0;0;0;;;WAAR;Heiloo
Hellendoorn;11;30,6;0;0;0;0;;;WAAR;Hellendoorn
Hellevoetsluis;79;196,8;0;0;0;0;;;WAAR;Hellevoetsluis
Helmond;245;265,1;0;0;0;0;;;WAAR;Helmond
Hendrik-Ido-Ambacht;116;371,8;0;0;0;0;;;WAAR;Hendrik-Ido-Ambacht
Hengelo (O.);207;255,1;5;6,2;2;2,5;;;WAAR;Hengelo (O.)
Het Hogeland;60;125,5;0;0;0;0;;;WAAR;Het Hogeland
Heumen;71;431,5;2;12,2;2;12,2;;;WAAR;Heumen
Heusden;97;217;0;0;0;0;;;WAAR;Heusden
Hillegom;45;202,6;0;0;0;0;;;WAAR;Hillegom
Hilvarenbeek;34;219,1;0;0;1;6,4;;;WAAR;Hilvarenbeek
Hilversum;156;171,7;1;1,1;1;1,1;;;WAAR;Hilversum
Hoeksche Waard;251;287,2;0;0;0;0;;;WAAR;Hoeksche Waard
Hof van Twente;86;245,6;0;0;0;0;;;WAAR;Hof van Twente
Hollands Kroon;40;82,6;0;0;0;0;;;WAAR;Hollands Kroon
Hoogeveen;45;80,8;1;1,8;0;0;;;WAAR;Hoogeveen
Hoorn;99;135,1;0;0;0;0;;;WAAR;Hoorn
Horst aan de Maas;72;169,7;0;0;1;2,4;;;WAAR;Horst aan de Maas
Houten;96;191,4;1;2;0;0;;;WAAR;Houten
Huizen;61;147,8;1;2,4;0;0;;;WAAR;Huizen
Hulst;33;119,8;0;0;0;0;;;WAAR;Hulst
IJsselstein;82;240,4;1;2,9;0;0;;;WAAR;IJsselstein
Kaag en Braassem;54;197,8;1;3,7;1;3,7;;;WAAR;Kaag en Braassem
Kampen;51;93,9;1;1,8;0;0;;;WAAR;Kampen
Kapelle;6;47,3;0;0;0;0;;;WAAR;Kapelle
Katwijk;161;244,9;5;7,6;0;0;;;WAAR;Katwijk
Kerkrade;29;63,4;0;0;0;0;;;WAAR;Kerkrade
Koggenland;36;158,2;1;4,4;0;0;;;WAAR;Koggenland
Krimpen aan den IJssel;128;433,5;1;3,4;0;0;;;WAAR;Krimpen aan den IJssel
Krimpenerwaard;216;383,5;0;0;1;1,8;;;WAAR;Krimpenerwaard
Laarbeek;23;102,1;0;0;0;0;;;WAAR;Laarbeek
Landerd;41;260,6;2;12,7;0;0;;;WAAR;Landerd
Landgraaf;20;53,4;0;0;1;2,7;;;WAAR;Landgraaf
Landsmeer;42;365,5;0;0;0;0;;;WAAR;Landsmeer
Langedijk;71;252,1;0;0;0;0;;;WAAR;Langedijk
Lansingerland;233;373,5;1;1,6;1;1,6;;;WAAR;Lansingerland
Laren (NH.);43;381,2;0;0;0;0;;;WAAR;Laren (NH.)
Leeuwarden;353;284,5;3;2,4;0;0;;;WAAR;Leeuwarden
Leiden;460;367,7;1;0,8;1;0,8;;;WAAR;Leiden
Leiderdorp;74;273,5;2;7,4;1;3,7;;;WAAR;Leiderdorp
Leidschendam-Voorburg;258;337,1;3;3,9;3;3,9;;;WAAR;Leidschendam-Voorburg
Lelystad;126;160,3;4;5,1;0;0;;;WAAR;Lelystad
Leudal;18;50,2;0;0;0;0;;;WAAR;Leudal
Leusden;77;253,3;0;0;0;0;;;WAAR;Leusden
Lingewaard;100;214,6;1;2,1;0;0;;;WAAR;Lingewaard
Lisse;20;87,1;1;4,4;0;0;;;WAAR;Lisse
Lochem;62;183,8;1;3;0;0;;;WAAR;Lochem
Loon op Zand;63;269,1;1;4,3;0;0;;;WAAR;Loon op Zand
Lopik;35;241,9;0;0;0;0;;;WAAR;Lopik
Loppersum;11;115,3;0;0;0;0;;;WAAR;Loppersum
Losser;73;321,8;3;13,2;0;0;;;WAAR;Losser
Maasdriel;39;155,8;0;0;0;0;;;WAAR;Maasdriel
Maasgouw;21;87,6;0;0;0;0;;;WAAR;Maasgouw
Maassluis;101;304,1;0;0;0;0;;;WAAR;Maassluis
Maastricht;127;104,5;2;1,6;0;0;;;WAAR;Maastricht
Medemblik;52;115,3;0;0;0;0;;;WAAR;Medemblik
Meerssen;14;74,4;0;0;0;0;;;WAAR;Meerssen
Meierijstad;122;150,3;0;0;0;0;;;WAAR;Meierijstad
Meppel;46;135,6;0;0;0;0;;;WAAR;Meppel
Middelburg (Z.);40;81,9;0;0;0;0;;;WAAR;Middelburg (Z.)
Midden-Delfland;40;206,8;0;0;0;0;;;WAAR;Midden-Delfland
Midden-Drenthe;21;63,3;0;0;0;0;;;WAAR;Midden-Drenthe
Midden-Groningen;46;75,7;0;0;0;0;;;WAAR;Midden-Groningen
Mill en Sint Hubert;30;274,2;0;0;0;0;;;WAAR;Mill en Sint Hubert
Moerdijk;75;202;0;0;0;0;;;WAAR;Moerdijk
Molenlanden;86;195,9;0;0;0;0;;;WAAR;Molenlanden
Montferland;28;77,8;0;0;0;0;;;WAAR;Montferland
Montfoort;27;194;0;0;0;0;;;WAAR;Montfoort
Mook en Middelaar;20;254,9;1;12,7;0;0;;;WAAR;Mook en Middelaar
Neder-Betuwe;27;110,9;2;8,2;0;0;;;WAAR;Neder-Betuwe
Nederweert;34;199,8;0;0;0;0;;;WAAR;Nederweert
Nieuwegein;126;198,5;2;3,2;0;0;;;WAAR;Nieuwegein
Nieuwkoop;68;236;0;0;1;3,5;;;WAAR;Nieuwkoop
Nijkerk;144;333,6;0;0;0;0;;;WAAR;Nijkerk
Nijmegen;613;345;9;5,1;2;1,1;;;WAAR;Nijmegen
Nissewaard;244;286,3;1;1,2;0;0;;;WAAR;Nissewaard
Noardeast-Fryslân;41;90,7;1;2,2;0;0;;;ONWAAR;Noardeast-Fryslan
Noord-Beveland;6;81,2;0;0;0;0;;;WAAR;Noord-Beveland
Noordenveld;54;172,8;0;0;10;32;;;WAAR;Noordenveld
Noordoostpolder;36;76,1;1;2,1;0;0;;;WAAR;Noordoostpolder
Noordwijk;119;273,5;0;0;0;0;;;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;56;239,5;0;0;0;0;;;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;38;136,4;2;7,2;0;0;;;WAAR;Nunspeet
Oegstgeest;54;217,4;2;8,1;0;0;;;WAAR;Oegstgeest
Oirschot;60;320,6;0;0;0;0;;;WAAR;Oirschot
Oisterwijk;42;160;0;0;0;0;;;WAAR;Oisterwijk
Oldambt;52;136,1;1;2,6;1;2,6;;;WAAR;Oldambt
Oldebroek;19;80,4;0;0;0;0;;;WAAR;Oldebroek
Oldenzaal;72;226,2;2;6,3;0;0;;;WAAR;Oldenzaal
Olst-Wijhe;20;109,6;0;0;0;0;;;WAAR;Olst-Wijhe
Ommen;29;161;0;0;0;0;;;WAAR;Ommen
Oost Gelre;58;195,8;0;0;0;0;;;WAAR;Oost Gelre
Oosterhout;71;126,8;1;1,8;0;0;;;WAAR;Oosterhout
Ooststellingwerf;16;62,8;0;0;1;3,9;;;WAAR;Ooststellingwerf
Oostzaan;35;359,5;2;20,5;0;0;;;WAAR;Oostzaan
Opmeer;15;126,7;0;0;0;0;;;WAAR;Opmeer
Opsterland;29;97,5;0;0;0;0;;;WAAR;Opsterland
Oss;267;290,5;1;1,1;0;0;;;WAAR;Oss
Oude IJsselstreek;53;134,6;0;0;0;0;;;WAAR;Oude IJsselstreek
Ouder-Amstel;65;463,4;1;7,1;0;0;;;WAAR;Ouder-Amstel
Oudewater;20;195,5;0;0;0;0;;;WAAR;Oudewater
Overbetuwe;108;225,4;1;2,1;0;0;;;WAAR;Overbetuwe
Papendrecht;66;205,4;0;0;0;0;;;WAAR;Papendrecht
Peel en Maas;28;64,5;0;0;0;0;;;WAAR;Peel en Maas
Pekela;8;65,6;0;0;0;0;;;WAAR;Pekela
Pijnacker-Nootdorp;177;320;0;0;1;1,8;;;WAAR;Pijnacker-Nootdorp
Purmerend;178;219,1;3;3,7;0;0;;;WAAR;Purmerend
Putten;32;132,7;0;0;1;4,1;;;WAAR;Putten
Raalte;58;153,8;0;0;0;0;;;WAAR;Raalte
Reimerswaal;11;48,4;0;0;0;0;;;WAAR;Reimerswaal
Renkum;77;245,1;0;0;0;0;;;WAAR;Renkum
Renswoude;6;110,2;0;0;0;0;;;WAAR;Renswoude
Reusel-De Mierden;104;793,2;0;0;0;0;;;WAAR;Reusel-De Mierden
Rheden;62;141,7;0;0;0;0;;;WAAR;Rheden
Rhenen;25;124,3;0;0;0;0;;;WAAR;Rhenen
Ridderkerk;132;285,8;0;0;0;0;;;WAAR;Ridderkerk
Rijssen-Holten;55;144,1;0;0;0;0;;;WAAR;Rijssen-Holten
Rijswijk (ZH.);174;319,6;2;3,7;1;1,8;;;WAAR;Rijswijk (ZH.)
Roerdalen;12;58,3;0;0;0;0;;;WAAR;Roerdalen
Roermond;50;85,8;1;1,7;0;0;;;WAAR;Roermond
Roosendaal;183;236,9;2;2,6;1;1,3;;;WAAR;Roosendaal
Rotterdam;3125;479,9;24;3,7;5;0,8;;;WAAR;Rotterdam
Rozendaal;1;58,7;0;0;0;0;;;WAAR;Rozendaal
Rucphen;79;345,3;0;0;0;0;;;WAAR;Rucphen
Schagen;55;118,3;1;2,2;0;0;;;WAAR;Schagen
Scherpenzeel;17;172,1;0;0;0;0;;;WAAR;Scherpenzeel
Schiedam;300;381;1;1,3;1;1,3;;;WAAR;Schiedam
Schiermonnikoog;0;0;0;0;0;0;;;WAAR;Schiermonnikoog
Schouwen-Duiveland;24;70,9;0;0;0;0;;;WAAR;Schouwen-Duiveland
's-Gravenhage (gemeente);2617;479,4;43;7,9;16;2,9;;;WAAR;'s-Gravenhage (gemeente)
's-Hertogenbosch;299;192,8;3;1,9;0;0;;;WAAR;'s-Hertogenbosch
Simpelveld;4;37,9;0;0;0;0;;;WAAR;Simpelveld
Sint Anthonis;15;128,6;0;0;0;0;;;WAAR;Sint Anthonis
Sint-Michielsgestel;64;219,1;0;0;0;0;;;WAAR;Sint-Michielsgestel
Sittard-Geleen;59;63,8;1;1,1;0;0;;;WAAR;Sittard-Geleen
Sliedrecht;58;230;0;0;0;0;;;WAAR;Sliedrecht
Sluis;5;21,5;0;0;0;0;;;WAAR;Sluis
Smallingerland;34;60,6;0;0;0;0;;;WAAR;Smallingerland
Soest;160;343,3;2;4,3;0;0;;;WAAR;Soest
Someren;13;67,1;0;0;0;0;;;WAAR;Someren
Son en Breugel;25;144,3;0;0;0;0;;;WAAR;Son en Breugel
Stadskanaal;32;101;0;0;0;0;;;WAAR;Stadskanaal
Staphorst;31;180,8;0;0;0;0;;;WAAR;Staphorst
Stede Broec;18;82,9;0;0;0;0;;;WAAR;Stede Broec
Steenbergen;46;188,4;0;0;0;0;;;WAAR;Steenbergen
Steenwijkerland;77;174,5;0;0;1;2,3;;;WAAR;Steenwijkerland
Stein (L.);11;44;1;4;0;0;;;WAAR;Stein (L.)
Stichtse Vecht;177;272,6;5;7,7;0;0;;;WAAR;Stichtse Vecht
Súdwest-Fryslân;108;120;0;0;0;0;;;ONWAAR;Sudwest-Fryslan
Terneuzen;48;88,2;0;0;0;0;;;WAAR;Terneuzen
Terschelling;5;102,3;0;0;0;0;;;WAAR;Terschelling
Texel;10;73,7;0;0;0;0;;;WAAR;Texel
Teylingen;91;243,1;1;2,7;0;0;;;WAAR;Teylingen
Tholen;26;100,9;0;0;0;0;;;WAAR;Tholen
Tiel;104;246,7;0;0;1;2,4;;;WAAR;Tiel
Tilburg;495;225,2;1;0,5;2;0,9;;;WAAR;Tilburg
Tubbergen;66;310,2;0;0;0;0;;;WAAR;Tubbergen
Twenterand;23;68,2;0;0;0;0;;;WAAR;Twenterand
Tynaarlo;38;112,1;0;0;0;0;;;WAAR;Tynaarlo
Tytsjerksteradiel;55;171,6;1;3,1;0;0;;;WAAR;Tytsjerksteradiel
Uden;53;125,8;0;0;0;0;;;WAAR;Uden
Uitgeest;28;204,9;0;0;0;0;;;WAAR;Uitgeest
Uithoorn;97;329,1;1;3,4;0;0;;;WAAR;Uithoorn
Urk;8;38;0;0;0;0;;;WAAR;Urk
Utrecht (gemeente);1414;395,4;17;4,8;2;0,6;;;WAAR;Utrecht (gemeente)
Utrechtse Heuvelrug;129;260,2;0;0;0;0;;;WAAR;Utrechtse Heuvelrug
Vaals;2;19,8;0;0;0;0;;;WAAR;Vaals
Valkenburg aan de Geul;16;97,8;0;0;0;0;;;WAAR;Valkenburg aan de Geul
Valkenswaard;50;160,3;0;0;0;0;;;WAAR;Valkenswaard
Veendam;21;76,7;0;0;0;0;;;WAAR;Veendam
Veenendaal;153;230,1;0;0;0;0;;;WAAR;Veenendaal
Veere;12;54,8;0;0;0;0;;;WAAR;Veere
Veldhoven;106;233,1;0;0;0;0;;;WAAR;Veldhoven
Velsen;126;183,5;4;5,8;1;1,5;;;WAAR;Velsen
Venlo;212;208,2;2;2;1;1;;;WAAR;Venlo
Venray;69;158,2;0;0;0;0;;;WAAR;Venray
Vijfheerenlanden;186;327,4;3;5,3;5;8,8;;;WAAR;Vijfheerenlanden
Vlaardingen;262;357;2;2,7;0;0;;;WAAR;Vlaardingen
Vlieland;6;519,5;0;0;0;0;;;WAAR;Vlieland
Vlissingen;25;56,4;0;0;0;0;;;WAAR;Vlissingen
Voerendaal;10;80,2;0;0;0;0;;;WAAR;Voerendaal
Voorschoten;52;203,2;0;0;0;0;;;WAAR;Voorschoten
Voorst;35;142,6;0;0;0;0;;;WAAR;Voorst
Vught;35;131,8;0;0;0;0;;;WAAR;Vught
Waadhoeke;51;110,7;0;0;0;0;;;WAAR;Waadhoeke
Waalre;38;217,7;0;0;0;0;;;WAAR;Waalre
Waalwijk;103;211,8;2;4,1;0;0;;;WAAR;Waalwijk
Waddinxveen;62;211,7;1;3,4;0;0;;;WAAR;Waddinxveen
Wageningen;89;224,4;1;2,5;0;0;;;WAAR;Wageningen
Wassenaar;77;292,7;0;0;1;3,8;;;WAAR;Wassenaar
Waterland;36;206,6;0;0;0;0;;;WAAR;Waterland
Weert;70;139,7;1;2;1;2;;;WAAR;Weert
Weesp;102;516,8;0;0;0;0;;;WAAR;Weesp
West Betuwe;71;138,9;0;0;0;0;;;WAAR;West Betuwe
West Maas en Waal;31;160,4;0;0;0;0;;;WAAR;West Maas en Waal
Westerkwartier;68;107,4;0;0;0;0;;;WAAR;Westerkwartier
Westerveld;11;56,5;0;0;0;0;;;WAAR;Westerveld
Westervoort;20;133,6;0;0;0;0;;;WAAR;Westervoort
Westerwolde;22;85,5;0;0;1;3,9;;;WAAR;Westerwolde
Westland;281;254,6;2;1,8;0;0;;;WAAR;Westland
Weststellingwerf;28;108;0;0;0;0;;;WAAR;Weststellingwerf
Westvoorne;44;298,7;0;0;0;0;;;WAAR;Westvoorne
Wierden;44;180;0;0;0;0;;;WAAR;Wierden
Wijchen;87;211,6;2;4,9;0;0;;;WAAR;Wijchen
Wijdemeren;60;246,3;1;4,1;0;0;;;WAAR;Wijdemeren
Wijk bij Duurstede;42;175,6;0;0;0;0;;;WAAR;Wijk bij Duurstede
Winterswijk;18;62,4;0;0;0;0;;;WAAR;Winterswijk
Woensdrecht;34;155,4;1;4,6;0;0;;;WAAR;Woensdrecht
Woerden;116;221,8;2;3,8;0;0;;;WAAR;Woerden
Wormerland;29;178,2;0;0;0;0;;;WAAR;Wormerland
Woudenberg;25;187,1;0;0;0;0;;;WAAR;Woudenberg
Zaanstad;405;258,3;5;3,2;1;0,6;;;WAAR;Zaanstad
Zaltbommel;40;138,5;0;0;0;0;;;WAAR;Zaltbommel
Zandvoort;33;192,8;0;0;0;0;;;WAAR;Zandvoort
Zeewolde;33;145,7;0;0;0;0;;;WAAR;Zeewolde
Zeist;172;265;1;1,5;2;3,1;;;WAAR;Zeist
Zevenaar;73;166,9;2;4,6;1;2,3;;;WAAR;Zevenaar
Zoetermeer;387;308,9;4;3,2;0;0;;;WAAR;Zoetermeer
Zoeterwoude;20;232,4;0;0;0;0;;;WAAR;Zoeterwoude
Zuidplas;191;435,2;1;2,3;0;0;;;WAAR;Zuidplas
Zundert;32;146,6;0;0;0;0;;;WAAR;Zundert
Zutphen;51;106,4;0;0;0;0;;;WAAR;Zutphen
Zwartewaterland;25;110,2;0;0;0;0;;;WAAR;Zwartewaterland
Zwijndrecht;155;346,5;1;2,2;0;0;;;WAAR;Zwijndrecht
Zwolle;161;125;0;0;0;0;;;WAAR;Zwolle
