Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;;Municipality_name
Aa en Hunze;41;161,1;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;109;342,1;1;3,1;1;3,1;;;WAAR;Aalsmeer
Aalten;31;114,3;0;0;0;0;;;WAAR;Aalten
Achtkarspelen;28;100,6;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;95;471,1;0;0;0;0;;;WAAR;Alblasserdam
Albrandswaard;109;425,9;2;7,8;0;0;;;WAAR;Albrandswaard
Alkmaar;171;156,3;1;0,9;0;0;;;WAAR;Alkmaar
Almelo;155;212;3;4,1;0;0;;;WAAR;Almelo
Almere;458;216,1;4;1,9;1;0,5;;;WAAR;Almere
Alphen aan den Rijn;302;269,9;3;2,7;0;0;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;9;88,2;0;0;0;0;;;WAAR;Alphen-Chaam
Altena;111;198,3;1;1,8;0;0;;;WAAR;Altena
Ameland;10;269,1;0;0;0;0;;;WAAR;Ameland
Amersfoort;392;249,2;7;4,5;0;0;;;WAAR;Amersfoort
Amstelveen;344;375,2;4;4,4;3;3,3;;;WAAR;Amstelveen
Amsterdam;4773;546,9;59;6,8;3;0,3;;;WAAR;Amsterdam
Apeldoorn;275;167,9;3;1,8;0;0;;;WAAR;Apeldoorn
Appingedam;10;85,9;1;8,6;0;0;;;WAAR;Appingedam
Arnhem;235;145,6;3;1,9;1;0,6;;;WAAR;Arnhem
Assen;70;102;0;0;0;0;;;WAAR;Assen
Asten;26;155,5;0;0;0;0;;;WAAR;Asten
Baarle-Nassau;7;102,1;0;0;0;0;;;WAAR;Baarle-Nassau
Baarn;48;193;0;0;0;0;;;WAAR;Baarn
Barendrecht;196;402,3;0;0;0;0;;;WAAR;Barendrecht
Barneveld;73;123,6;1;1,7;0;0;;;WAAR;Barneveld
Beek (L.);11;69,3;0;0;0;0;;;WAAR;Beek (L.)
Beekdaelen;32;89;0;0;0;0;;;WAAR;Beekdaelen
Beemster;20;199,6;0;0;0;0;;;WAAR;Beemster
