Updated;Municipality_name;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
3-3-2020;Aa en Hunze;0;0;0;0;0;0
10-3-2020;Aa en Hunze;0;0;0;0;0;0
17-3-2020;Aa en Hunze;0;0;0;0;0;0
25-3-2020;Aa en Hunze;1;3,9;1;3,9;0;0
31-3-2020;Aa en Hunze;5;19,7;1;3,9;0;0
7-4-2020;Aa en Hunze;6;23,6;0;0;0;0
14-4-2020;Aa en Hunze;6;23,6;0;0;0;0
21-4-2020;Aa en Hunze;6;23,6;0;0;0;0
28-4-2020;Aa en Hunze;3;11,8;0;0;0;0
5-5-2020;Aa en Hunze;1;3,9;0;0;0;0
12-5-2020;Aa en Hunze;0;0;0;0;0;0
19-5-2020;Aa en Hunze;0;0;0;0;0;0
26-5-2020;Aa en Hunze;0;0;0;0;0;0
2-6-2020;Aa en Hunze;0;0;0;0;0;0
9-6-2020;Aa en Hunze;0;0;0;0;0;0
16-6-2020;Aa en Hunze;0;0;0;0;0;0
23-6-2020;Aa en Hunze;0;0;0;0;0;0
30-6-2020;Aa en Hunze;0;0;0;0;0;0
7-7-2020;Aa en Hunze;0;0;0;0;0;0
14-7-2020;Aa en Hunze;0;0;0;0;0;0
21-7-2020;Aa en Hunze;0;0;0;0;0;0
28-7-2020;Aa en Hunze;0;0;0;0;0;0
4-8-2020;Aa en Hunze;0;0;0;0;0;0
11-8-2020;Aa en Hunze;0;0;0;0;0;0
18-8-2020;Aa en Hunze;0;0;0;0;0;0
3-3-2020;Aalsmeer;0;0;0;0;0;0
10-3-2020;Aalsmeer;3;9,4;0;0;0;0
17-3-2020;Aalsmeer;4;12,6;0;0;0;0
25-3-2020;Aalsmeer;9;28,2;2;6,3;0;0
31-3-2020;Aalsmeer;16;50,2;5;15,7;2;6,3
7-4-2020;Aalsmeer;12;37,7;5;15,7;2;6,3
14-4-2020;Aalsmeer;10;31,4;4;12,6;0;0
21-4-2020;Aalsmeer;11;34,5;2;6,3;0;0
28-4-2020;Aalsmeer;6;18,8;0;0;0;0
5-5-2020;Aalsmeer;2;6,3;0;0;0;0
12-5-2020;Aalsmeer;1;3,1;0;0;1;3,1
19-5-2020;Aalsmeer;1;3,1;0;0;1;3,1
26-5-2020;Aalsmeer;2;6,3;0;0;0;0
2-6-2020;Aalsmeer;1;3,1;0;0;1;3,1
9-6-2020;Aalsmeer;0;0;0;0;1;3,1
16-6-2020;Aalsmeer;1;3,1;0;0;0;0
23-6-2020;Aalsmeer;3;9,4;0;0;0;0
30-6-2020;Aalsmeer;2;6,3;0;0;0;0
7-7-2020;Aalsmeer;0;0;0;0;0;0
14-7-2020;Aalsmeer;0;0;0;0;0;0
21-7-2020;Aalsmeer;1;3,1;0;0;0;0
28-7-2020;Aalsmeer;1;3,1;0;0;0;0
4-8-2020;Aalsmeer;6;18,8;0;0;0;0
11-8-2020;Aalsmeer;7;22;0;0;0;0
18-8-2020;Aalsmeer;4;12,6;0;0;0;0
3-3-2020;Aalten;0;0;0;0;0;0
10-3-2020;Aalten;0;0;0;0;0;0
17-3-2020;Aalten;0;0;0;0;0;0
25-3-2020;Aalten;2;7,4;0;0;0;0
31-3-2020;Aalten;9;33,2;4;14,7;1;3,7
7-4-2020;Aalten;15;55,3;5;18,4;3;11,1
14-4-2020;Aalten;20;73,7;2;7,4;2;7,4
21-4-2020;Aalten;31;114,3;3;11,1;0;0
28-4-2020;Aalten;24;88,5;2;7,4;2;7,4
5-5-2020;Aalten;6;22,1;0;0;3;11,1
12-5-2020;Aalten;2;7,4;1;3,7;1;3,7
19-5-2020;Aalten;1;3,7;1;3,7;1;3,7
26-5-2020;Aalten;2;7,4;0;0;1;3,7
2-6-2020;Aalten;3;11,1;0;0;0;0
9-6-2020;Aalten;1;3,7;0;0;0;0
16-6-2020;Aalten;2;7,4;0;0;0;0
23-6-2020;Aalten;2;7,4;0;0;0;0
30-6-2020;Aalten;0;0;0;0;0;0
7-7-2020;Aalten;0;0;0;0;0;0
14-7-2020;Aalten;0;0;0;0;0;0
21-7-2020;Aalten;0;0;0;0;0;0
28-7-2020;Aalten;0;0;0;0;0;0
4-8-2020;Aalten;0;0;0;0;0;0
11-8-2020;Aalten;1;3,7;0;0;0;0
18-8-2020;Aalten;2;7,4;0;0;0;0
3-3-2020;Achtkarspelen;0;0;0;0;0;0
10-3-2020;Achtkarspelen;0;0;0;0;0;0
17-3-2020;Achtkarspelen;0;0;0;0;0;0
25-3-2020;Achtkarspelen;1;3,6;0;0;0;0
31-3-2020;Achtkarspelen;2;7,2;0;0;0;0
7-4-2020;Achtkarspelen;4;14,4;0;0;0;0
14-4-2020;Achtkarspelen;3;10,8;0;0;0;0
21-4-2020;Achtkarspelen;3;10,8;0;0;0;0
28-4-2020;Achtkarspelen;5;18;0;0;0;0
5-5-2020;Achtkarspelen;2;7,2;0;0;0;0
12-5-2020;Achtkarspelen;1;3,6;0;0;0;0
19-5-2020;Achtkarspelen;1;3,6;0;0;0;0
26-5-2020;Achtkarspelen;0;0;0;0;0;0
2-6-2020;Achtkarspelen;0;0;0;0;0;0
9-6-2020;Achtkarspelen;0;0;0;0;0;0
16-6-2020;Achtkarspelen;0;0;0;0;0;0
23-6-2020;Achtkarspelen;0;0;0;0;0;0
30-6-2020;Achtkarspelen;1;3,6;0;0;0;0
7-7-2020;Achtkarspelen;1;3,6;0;0;0;0
14-7-2020;Achtkarspelen;0;0;0;0;0;0
21-7-2020;Achtkarspelen;1;3,6;0;0;0;0
28-7-2020;Achtkarspelen;1;3,6;0;0;0;0
4-8-2020;Achtkarspelen;2;7,2;0;0;0;0
11-8-2020;Achtkarspelen;3;10,8;0;0;0;0
18-8-2020;Achtkarspelen;2;7,2;0;0;0;0
3-3-2020;Alblasserdam;0;0;0;0;0;0
10-3-2020;Alblasserdam;0;0;1;5;0;0
17-3-2020;Alblasserdam;2;9,9;1;5;0;0
25-3-2020;Alblasserdam;6;29,8;1;5;0;0
31-3-2020;Alblasserdam;8;39,7;4;19,8;0;0
7-4-2020;Alblasserdam;8;39,7;4;19,8;0;0
14-4-2020;Alblasserdam;15;74,4;2;9,9;1;5
21-4-2020;Alblasserdam;20;99,2;3;14,9;1;5
28-4-2020;Alblasserdam;11;54,5;2;9,9;1;5
5-5-2020;Alblasserdam;4;19,8;0;0;2;9,9
12-5-2020;Alblasserdam;4;19,8;1;5;1;5
19-5-2020;Alblasserdam;3;14,9;1;5;0;0
26-5-2020;Alblasserdam;2;9,9;0;0;1;5
2-6-2020;Alblasserdam;1;5;0;0;1;5
9-6-2020;Alblasserdam;0;0;0;0;0;0
16-6-2020;Alblasserdam;0;0;0;0;0;0
23-6-2020;Alblasserdam;0;0;0;0;0;0
30-6-2020;Alblasserdam;0;0;0;0;0;0
7-7-2020;Alblasserdam;0;0;0;0;0;0
14-7-2020;Alblasserdam;0;0;0;0;0;0
21-7-2020;Alblasserdam;2;9,9;0;0;0;0
