Updated;Municipality_name;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
28-7-2020;Alblasserdam;3;14,9;0;0;0;0
4-8-2020;Alblasserdam;3;14,9;0;0;0;0
11-8-2020;Alblasserdam;6;29,8;1;5;0;0
18-8-2020;Alblasserdam;5;24,8;0;0;0;0
3-3-2020;Albrandswaard;0;0;0;0;0;0
10-3-2020;Albrandswaard;1;3,9;0;0;0;0
17-3-2020;Albrandswaard;4;15,6;0;0;0;0
25-3-2020;Albrandswaard;17;66,4;3;11,7;0;0
31-3-2020;Albrandswaard;25;97,7;5;19,5;2;7,8
7-4-2020;Albrandswaard;25;97,7;6;23,4;3;11,7
14-4-2020;Albrandswaard;28;109,4;4;15,6;2;7,8
21-4-2020;Albrandswaard;33;129;1;3,9;4;15,6
28-4-2020;Albrandswaard;25;97,7;1;3,9;3;11,7
5-5-2020;Albrandswaard;11;43;2;7,8;0;0
12-5-2020;Albrandswaard;9;35,2;3;11,7;1;3,9
19-5-2020;Albrandswaard;8;31,3;1;3,9;1;3,9
26-5-2020;Albrandswaard;6;23,4;0;0;0;0
2-6-2020;Albrandswaard;4;15,6;0;0;0;0
9-6-2020;Albrandswaard;6;23,4;0;0;0;0
16-6-2020;Albrandswaard;4;15,6;0;0;0;0
23-6-2020;Albrandswaard;0;0;0;0;0;0
30-6-2020;Albrandswaard;0;0;0;0;0;0
7-7-2020;Albrandswaard;5;19,5;0;0;0;0
14-7-2020;Albrandswaard;6;23,4;0;0;0;0
21-7-2020;Albrandswaard;3;11,7;0;0;0;0
28-7-2020;Albrandswaard;10;39,1;0;0;0;0
4-8-2020;Albrandswaard;10;39,1;0;0;0;0
11-8-2020;Albrandswaard;10;39,1;0;0;0;0
18-8-2020;Albrandswaard;11;43;0;0;0;0
3-3-2020;Alkmaar;0;0;1;0,9;0;0
10-3-2020;Alkmaar;1;0,9;2;1,8;0;0
17-3-2020;Alkmaar;8;7,3;5;4,6;0;0
25-3-2020;Alkmaar;24;21,9;12;11;1;0,9
31-3-2020;Alkmaar;47;42,9;26;23,8;5;4,6
7-4-2020;Alkmaar;90;82,2;26;23,8;12;11
14-4-2020;Alkmaar;114;104,2;15;13,7;14;12,8
21-4-2020;Alkmaar;86;78,6;9;8,2;8;7,3
28-4-2020;Alkmaar;45;41,1;3;2,7;5;4,6
5-5-2020;Alkmaar;25;22,8;2;1,8;4;3,7
12-5-2020;Alkmaar;17;15,5;1;0,9;3;2,7
19-5-2020;Alkmaar;15;13,7;1;0,9;4;3,7
26-5-2020;Alkmaar;12;11;1;0,9;3;2,7
2-6-2020;Alkmaar;2;1,8;0;0;1;0,9
9-6-2020;Alkmaar;0;0;0;0;1;0,9
16-6-2020;Alkmaar;1;0,9;0;0;1;0,9
23-6-2020;Alkmaar;2;1,8;0;0;0;0
30-6-2020;Alkmaar;2;1,8;0;0;0;0
7-7-2020;Alkmaar;2;1,8;0;0;0;0
14-7-2020;Alkmaar;1;0,9;0;0;0;0
21-7-2020;Alkmaar;1;0,9;0;0;0;0
28-7-2020;Alkmaar;5;4,6;0;0;0;0
4-8-2020;Alkmaar;14;12,8;0;0;0;0
11-8-2020;Alkmaar;19;17,4;0;0;0;0
18-8-2020;Alkmaar;19;17,4;0;0;0;0
3-3-2020;Almelo;0;0;0;0;0;0
10-3-2020;Almelo;1;1,4;0;0;0;0
17-3-2020;Almelo;2;2,7;1;1,4;0;0
25-3-2020;Almelo;10;13,7;5;6,8;0;0
31-3-2020;Almelo;24;32,8;12;16,4;3;4,1
7-4-2020;Almelo;36;49,2;13;17,8;4;5,5
14-4-2020;Almelo;42;57,5;7;9,6;2;2,7
21-4-2020;Almelo;35;47,9;4;5,5;4;5,5
28-4-2020;Almelo;19;26;2;2,7;4;5,5
5-5-2020;Almelo;6;8,2;0;0;1;1,4
12-5-2020;Almelo;1;1,4;1;1,4;0;0
19-5-2020;Almelo;1;1,4;1;1,4;0;0
26-5-2020;Almelo;3;4,1;0;0;0;0
2-6-2020;Almelo;2;2,7;0;0;0;0
9-6-2020;Almelo;0;0;0;0;0;0
16-6-2020;Almelo;0;0;0;0;0;0
23-6-2020;Almelo;0;0;0;0;0;0
30-6-2020;Almelo;2;2,7;0;0;0;0
7-7-2020;Almelo;2;2,7;0;0;0;0
14-7-2020;Almelo;0;0;0;0;0;0
21-7-2020;Almelo;0;0;0;0;0;0
28-7-2020;Almelo;0;0;0;0;0;0
4-8-2020;Almelo;3;4,1;0;0;0;0
11-8-2020;Almelo;1;1,4;0;0;0;0
18-8-2020;Almelo;2;2,7;0;0;0;0
3-3-2020;Almere;1;0,5;2;0,9;0;0
10-3-2020;Almere;1;0,5;2;0,9;0;0
17-3-2020;Almere;3;1,4;3;1,4;0;0
25-3-2020;Almere;27;12,7;21;9,9;0;0
31-3-2020;Almere;81;38,2;59;27,8;1;0,5
7-4-2020;Almere;103;48,6;64;30,2;4;1,9
14-4-2020;Almere;95;44,8;35;16,5;5;2,4
21-4-2020;Almere;132;62,3;19;9;7;3,3
28-4-2020;Almere;126;59,5;15;7,1;10;4,7
5-5-2020;Almere;93;43,9;10;4,7;8;3,8
12-5-2020;Almere;84;39,6;5;2,4;9;4,2
19-5-2020;Almere;52;24,5;4;1,9;8;3,8
26-5-2020;Almere;23;10,9;1;0,5;5;2,4
2-6-2020;Almere;17;8;1;0,5;3;1,4
9-6-2020;Almere;21;9,9;1;0,5;0;0
16-6-2020;Almere;15;7,1;0;0;1;0,5
23-6-2020;Almere;9;4,2;0;0;1;0,5
30-6-2020;Almere;10;4,7;0;0;0;0
7-7-2020;Almere;8;3,8;0;0;0;0
14-7-2020;Almere;3;1,4;0;0;0;0
21-7-2020;Almere;3;1,4;1;0,5;0;0
28-7-2020;Almere;12;5,7;1;0,5;0;0
4-8-2020;Almere;46;21,7;3;1,4;1;0,5
11-8-2020;Almere;89;42;3;1,4;0;0
18-8-2020;Almere;104;49,1;3;1,4;0;0
3-3-2020;Alphen aan den Rijn;1;0,9;0;0;0;0
10-3-2020;Alphen aan den Rijn;2;1,8;0;0;0;0
17-3-2020;Alphen aan den Rijn;7;6,3;3;2,7;0;0
25-3-2020;Alphen aan den Rijn;20;17,9;13;11,6;2;1,8
31-3-2020;Alphen aan den Rijn;49;43,8;31;27,7;2;1,8
7-4-2020;Alphen aan den Rijn;54;48,3;31;27,7;7;6,3
14-4-2020;Alphen aan den Rijn;52;46,5;16;14,3;10;8,9
21-4-2020;Alphen aan den Rijn;68;60,8;11;9,8;9;8
28-4-2020;Alphen aan den Rijn;47;42;5;4,5;10;8,9
5-5-2020;Alphen aan den Rijn;22;19,7;2;1,8;5;4,5
12-5-2020;Alphen aan den Rijn;26;23,2;3;2,7;2;1,8
19-5-2020;Alphen aan den Rijn;28;25;1;0,9;1;0,9
26-5-2020;Alphen aan den Rijn;15;13,4;0;0;0;0
2-6-2020;Alphen aan den Rijn;4;3,6;1;0,9;0;0
9-6-2020;Alphen aan den Rijn;13;11,6;1;0,9;0;0
16-6-2020;Alphen aan den Rijn;15;13,4;0;0;1;0,9
23-6-2020;Alphen aan den Rijn;6;5,4;1;0,9;1;0,9
30-6-2020;Alphen aan den Rijn;5;4,5;1;0,9;0;0
7-7-2020;Alphen aan den Rijn;4;3,6;0;0;0;0
14-7-2020;Alphen aan den Rijn;2;1,8;0;0;0;0
21-7-2020;Alphen aan den Rijn;7;6,3;0;0;0;0
28-7-2020;Alphen aan den Rijn;14;12,5;0;0;0;0
4-8-2020;Alphen aan den Rijn;10;8,9;0;0;0;0
11-8-2020;Alphen aan den Rijn;13;11,6;0;0;0;0
18-8-2020;Alphen aan den Rijn;24;21,4;1;0,9;0;0
3-3-2020;Alphen-Chaam;0;0;0;0;0;0
10-3-2020;Alphen-Chaam;0;0;0;0;0;0
17-3-2020;Alphen-Chaam;6;58,8;4;39,2;0;0
25-3-2020;Alphen-Chaam;17;166,6;10;98;0;0
31-3-2020;Alphen-Chaam;23;225,4;10;98;4;39,2
7-4-2020;Alphen-Chaam;22;215,6;7;68,6;4;39,2
14-4-2020;Alphen-Chaam;11;107,8;3;29,4;0;0
21-4-2020;Alphen-Chaam;5;49;0;0;1;9,8
28-4-2020;Alphen-Chaam;6;58,8;0;0;1;9,8
5-5-2020;Alphen-Chaam;2;19,6;0;0;0;0
12-5-2020;Alphen-Chaam;0;0;0;0;0;0
19-5-2020;Alphen-Chaam;1;9,8;0;0;0;0
26-5-2020;Alphen-Chaam;1;9,8;0;0;0;0
2-6-2020;Alphen-Chaam;0;0;0;0;0;0
9-6-2020;Alphen-Chaam;0;0;0;0;0;0
16-6-2020;Alphen-Chaam;0;0;0;0;0;0
23-6-2020;Alphen-Chaam;0;0;0;0;0;0
30-6-2020;Alphen-Chaam;0;0;0;0;0;0
7-7-2020;Alphen-Chaam;0;0;0;0;0;0
14-7-2020;Alphen-Chaam;1;9,8;0;0;0;0
21-7-2020;Alphen-Chaam;5;49;0;0;0;0
28-7-2020;Alphen-Chaam;7;68,6;0;0;0;0
4-8-2020;Alphen-Chaam;8;78,4;0;0;0;0
11-8-2020;Alphen-Chaam;5;49;0;0;0;0
18-8-2020;Alphen-Chaam;3;29,4;0;0;0;0
3-3-2020;Altena;4;7,1;2;3,6;0;0
10-3-2020;Altena;5;8,9;3;5,4;0;0
17-3-2020;Altena;11;19,7;4;7,1;0;0
25-3-2020;Altena;30;53,6;9;16,1;0;0
31-3-2020;Altena;38;67,9;15;26,8;2;3,6
7-4-2020;Altena;32;57,2;14;25;4;7,1
14-4-2020;Altena;36;64,3;7;12,5;8;14,3
21-4-2020;Altena;41;73,3;2;3,6;7;12,5
28-4-2020;Altena;27;48,2;0;0;1;1,8
5-5-2020;Altena;12;21,4;1;1,8;0;0
12-5-2020;Altena;6;10,7;1;1,8;0;0
19-5-2020;Altena;3;5,4;0;0;0;0
26-5-2020;Altena;2;3,6;1;1,8;0;0
2-6-2020;Altena;5;8,9;1;1,8;0;0
9-6-2020;Altena;6;10,7;0;0;0;0
16-6-2020;Altena;2;3,6;0;0;0;0
23-6-2020;Altena;0;0;0;0;0;0
30-6-2020;Altena;1;1,8;0;0;0;0
7-7-2020;Altena;3;5,4;0;0;0;0
14-7-2020;Altena;5;8,9;0;0;0;0
21-7-2020;Altena;3;5,4;0;0;0;0
28-7-2020;Altena;4;7,1;0;0;0;0
4-8-2020;Altena;12;21,4;0;0;0;0
11-8-2020;Altena;12;21,4;0;0;0;0
18-8-2020;Altena;10;17,9;0;0;0;0
3-3-2020;Ameland;0;0;0;0;0;0
10-3-2020;Ameland;0;0;0;0;0;0
17-3-2020;Ameland;0;0;0;0;0;0
25-3-2020;Ameland;0;0;0;0;0;0
31-3-2020;Ameland;0;0;0;0;0;0
7-4-2020;Ameland;0;0;0;0;0;0
14-4-2020;Ameland;0;0;0;0;0;0
21-4-2020;Ameland;0;0;0;0;0;0
28-4-2020;Ameland;0;0;0;0;0;0
5-5-2020;Ameland;0;0;0;0;0;0
12-5-2020;Ameland;0;0;0;0;0;0
19-5-2020;Ameland;0;0;0;0;0;0
26-5-2020;Ameland;0;0;0;0;0;0
2-6-2020;Ameland;0;0;0;0;0;0
9-6-2020;Ameland;0;0;0;0;0;0
16-6-2020;Ameland;0;0;0;0;0;0
23-6-2020;Ameland;0;0;0;0;0;0
30-6-2020;Ameland;0;0;0;0;0;0
7-7-2020;Ameland;0;0;0;0;0;0
14-7-2020;Ameland;0;0;0;0;0;0
21-7-2020;Ameland;0;0;0;0;0;0
28-7-2020;Ameland;0;0;0;0;0;0
4-8-2020;Ameland;0;0;0;0;0;0
11-8-2020;Ameland;0;0;0;0;0;0
18-8-2020;Ameland;0;0;0;0;0;0
3-3-2020;Amersfoort;0;0;0;0;0;0
10-3-2020;Amersfoort;3;1,9;2;1,3;0;0
17-3-2020;Amersfoort;26;16,5;10;6,4;1;0,6
25-3-2020;Amersfoort;45;28,6;18;11,4;4;2,5
31-3-2020;Amersfoort;49;31,2;24;15,3;9;5,7
7-4-2020;Amersfoort;54;34,3;29;18,4;9;5,7
14-4-2020;Amersfoort;58;36,9;18;11,4;7;4,5
21-4-2020;Amersfoort;63;40,1;5;3,2;6;3,8
28-4-2020;Amersfoort;43;27,3;3;1,9;5;3,2
5-5-2020;Amersfoort;25;15,9;1;0,6;4;2,5
12-5-2020;Amersfoort;22;14;2;1,3;1;0,6
19-5-2020;Amersfoort;15;9,5;2;1,3;0;0
26-5-2020;Amersfoort;11;7;1;0,6;0;0
2-6-2020;Amersfoort;7;4,5;0;0;0;0
9-6-2020;Amersfoort;9;5,7;0;0;0;0
16-6-2020;Amersfoort;11;7;0;0;0;0
23-6-2020;Amersfoort;8;5,1;0;0;0;0
30-6-2020;Amersfoort;6;3,8;1;0,6;0;0
7-7-2020;Amersfoort;6;3,8;1;0,6;0;0
14-7-2020;Amersfoort;14;8,9;0;0;0;0
21-7-2020;Amersfoort;22;14;0;0;0;0
28-7-2020;Amersfoort;22;14;0;0;0;0
4-8-2020;Amersfoort;18;11,4;1;0,6;0;0
11-8-2020;Amersfoort;24;15,3;0;0;0;0
18-8-2020;Amersfoort;48;30,5;0;0;0;0
3-3-2020;Amstelveen;0;0;0;0;0;0
10-3-2020;Amstelveen;2;2,2;0;0;0;0
17-3-2020;Amstelveen;13;14,2;3;3,3;0;0
25-3-2020;Amstelveen;48;52,4;13;14,2;0;0
31-3-2020;Amstelveen;87;94,9;29;31,6;5;5,5
7-4-2020;Amstelveen;112;122,2;31;33,8;19;20,7
14-4-2020;Amstelveen;108;117,8;17;18,5;23;25,1
21-4-2020;Amstelveen;106;115,6;11;12;12;13,1
28-4-2020;Amstelveen;75;81,8;6;6,5;6;6,5
5-5-2020;Amstelveen;28;30,5;0;0;4;4,4
12-5-2020;Amstelveen;14;15,3;0;0;1;1,1
19-5-2020;Amstelveen;7;7,6;0;0;0;0
26-5-2020;Amstelveen;8;8,7;1;1,1;0;0
2-6-2020;Amstelveen;4;4,4;1;1,1;0;0
9-6-2020;Amstelveen;8;8,7;1;1,1;0;0
16-6-2020;Amstelveen;14;15,3;1;1,1;0;0
23-6-2020;Amstelveen;10;10,9;0;0;0;0
30-6-2020;Amstelveen;7;7,6;0;0;0;0
7-7-2020;Amstelveen;5;5,5;0;0;0;0
14-7-2020;Amstelveen;4;4,4;0;0;0;0
21-7-2020;Amstelveen;4;4,4;0;0;0;0
28-7-2020;Amstelveen;6;6,5;0;0;0;0
4-8-2020;Amstelveen;34;37,1;0;0;0;0
11-8-2020;Amstelveen;53;57,8;0;0;0;0
18-8-2020;Amstelveen;54;58,9;1;1,1;0;0
3-3-2020;Amsterdam;3;0,3;0;0;0;0
10-3-2020;Amsterdam;16;1,8;3;0,3;0;0
17-3-2020;Amsterdam;92;10,5;35;4;1;0,1
25-3-2020;Amsterdam;360;41,2;135;15,5;8;0,9
31-3-2020;Amsterdam;590;67,6;252;28,9;32;3,7
7-4-2020;Amsterdam;606;69,4;256;29,3;66;7,6
14-4-2020;Amsterdam;596;68,3;182;20,9;83;9,5
21-4-2020;Amsterdam;661;75,7;126;14,4;88;10,1
28-4-2020;Amsterdam;595;68,2;74;8,5;84;9,6
5-5-2020;Amsterdam;427;48,9;46;5,3;62;7,1
12-5-2020;Amsterdam;310;35,5;40;4,6;43;4,9
19-5-2020;Amsterdam;199;22,8;25;2,9;35;4
26-5-2020;Amsterdam;118;13,5;9;1;29;3,3
2-6-2020;Amsterdam;94;10,8;6;0,7;19;2,2
9-6-2020;Amsterdam;158;18,1;5;0,6;7;0,8
16-6-2020;Amsterdam;208;23,8;2;0,2;5;0,6
23-6-2020;Amsterdam;161;18,4;1;0,1;3;0,3
30-6-2020;Amsterdam;102;11,7;1;0,1;1;0,1
7-7-2020;Amsterdam;72;8,2;0;0;0;0
14-7-2020;Amsterdam;76;8,7;1;0,1;0;0
21-7-2020;Amsterdam;178;20,4;4;0,5;0;0
28-7-2020;Amsterdam;306;35,1;9;1;0;0
4-8-2020;Amsterdam;563;64,5;10;1,1;0;0
11-8-2020;Amsterdam;1123;128,7;12;1,4;0;0
18-8-2020;Amsterdam;1418;162,5;10;1,1;6;0,7
3-3-2020;Apeldoorn;0;0;0;0;0;0
10-3-2020;Apeldoorn;1;0,6;0;0;0;0
17-3-2020;Apeldoorn;9;5,5;3;1,8;0;0
25-3-2020;Apeldoorn;35;21,4;24;14,7;2;1,2
31-3-2020;Apeldoorn;70;42,7;43;26,2;6;3,7
7-4-2020;Apeldoorn;104;63,5;38;23,2;13;7,9
14-4-2020;Apeldoorn;123;75,1;26;15,9;22;13,4
21-4-2020;Apeldoorn;167;101,9;18;11;19;11,6
28-4-2020;Apeldoorn;149;91;15;9,2;16;9,8
5-5-2020;Apeldoorn;68;41,5;7;4,3;13;7,9
12-5-2020;Apeldoorn;32;19,5;0;0;5;3,1
19-5-2020;Apeldoorn;12;7,3;0;0;3;1,8
26-5-2020;Apeldoorn;5;3,1;0;0;1;0,6
2-6-2020;Apeldoorn;26;15,9;1;0,6;0;0
9-6-2020;Apeldoorn;37;22,6;2;1,2;0;0
16-6-2020;Apeldoorn;27;16,5;0;0;0;0
23-6-2020;Apeldoorn;24;14,7;0;0;0;0
30-6-2020;Apeldoorn;12;7,3;0;0;0;0
7-7-2020;Apeldoorn;4;2,4;0;0;0;0
14-7-2020;Apeldoorn;5;3,1;0;0;0;0
21-7-2020;Apeldoorn;3;1,8;0;0;0;0
28-7-2020;Apeldoorn;8;4,9;1;0,6;0;0
4-8-2020;Apeldoorn;13;7,9;1;0,6;0;0
11-8-2020;Apeldoorn;23;14;0;0;0;0
18-8-2020;Apeldoorn;22;13,4;0;0;0;0
3-3-2020;Appingedam;0;0;0;0;0;0
10-3-2020;Appingedam;0;0;0;0;0;0
17-3-2020;Appingedam;0;0;0;0;0;0
25-3-2020;Appingedam;0;0;0;0;0;0
31-3-2020;Appingedam;1;8,6;1;8,6;0;0
7-4-2020;Appingedam;2;17,2;2;17,2;0;0
14-4-2020;Appingedam;1;8,6;1;8,6;0;0
21-4-2020;Appingedam;2;17,2;1;8,6;0;0
28-4-2020;Appingedam;3;25,8;1;8,6;0;0
5-5-2020;Appingedam;1;8,6;0;0;0;0
12-5-2020;Appingedam;0;0;0;0;0;0
19-5-2020;Appingedam;0;0;0;0;0;0
26-5-2020;Appingedam;0;0;0;0;0;0
2-6-2020;Appingedam;0;0;0;0;0;0
9-6-2020;Appingedam;0;0;0;0;0;0
16-6-2020;Appingedam;0;0;0;0;0;0
23-6-2020;Appingedam;0;0;0;0;0;0
30-6-2020;Appingedam;0;0;0;0;0;0
7-7-2020;Appingedam;0;0;0;0;0;0
14-7-2020;Appingedam;0;0;0;0;0;0
21-7-2020;Appingedam;0;0;0;0;0;0
28-7-2020;Appingedam;0;0;0;0;0;0
4-8-2020;Appingedam;0;0;0;0;0;0
11-8-2020;Appingedam;0;0;0;0;0;0
18-8-2020;Appingedam;1;8,6;0;0;0;0
3-3-2020;Arnhem;0;0;0;0;0;0
10-3-2020;Arnhem;3;1,9;1;0,6;0;0
17-3-2020;Arnhem;10;6,2;4;2,5;0;0
25-3-2020;Arnhem;24;14,9;15;9,3;1;0,6
31-3-2020;Arnhem;61;37,8;35;21,7;3;1,9
7-4-2020;Arnhem;83;51,4;34;21,1;7;4,3
14-4-2020;Arnhem;107;66,3;18;11,2;12;7,4
21-4-2020;Arnhem;110;68,2;9;5,6;12;7,4
28-4-2020;Arnhem;69;42,8;6;3,7;8;5
5-5-2020;Arnhem;46;28,5;6;3,7;3;1,9
12-5-2020;Arnhem;25;15,5;2;1,2;1;0,6
19-5-2020;Arnhem;15;9,3;0;0;3;1,9
26-5-2020;Arnhem;46;28,5;1;0,6;4;2,5
2-6-2020;Arnhem;60;37,2;1;0,6;2;1,2
9-6-2020;Arnhem;59;36,6;1;0,6;1;0,6
16-6-2020;Arnhem;52;32,2;1;0,6;4;2,5
23-6-2020;Arnhem;25;15,5;0;0;3;1,9
30-6-2020;Arnhem;11;6,8;0;0;0;0
7-7-2020;Arnhem;5;3,1;0;0;0;0
14-7-2020;Arnhem;5;3,1;0;0;0;0
21-7-2020;Arnhem;12;7,4;0;0;0;0
28-7-2020;Arnhem;15;9,3;0;0;0;0
4-8-2020;Arnhem;16;9,9;0;0;0;0
11-8-2020;Arnhem;29;18;0;0;0;0
18-8-2020;Arnhem;40;24,8;0;0;0;0
3-3-2020;Assen;0;0;0;0;0;0
10-3-2020;Assen;0;0;0;0;0;0
17-3-2020;Assen;1;1,5;1;1,5;0;0
25-3-2020;Assen;5;7,3;3;4,4;0;0
31-3-2020;Assen;15;21,9;8;11,7;2;2,9
7-4-2020;Assen;20;29,2;8;11,7;2;2,9
14-4-2020;Assen;15;21,9;3;4,4;0;0
