Municipality_name;Municipality_name;;Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
Aa en Hunze;Aa en Hunze;#WAARDE!;GM1680;0;0;0;0;0;0
Aalsmeer;Aalsmeer;WAAR;GM0358;0;0;0;0;0;0
Aalten;Aalten;WAAR;GM0197;0;0;0;0;0;0
Achtkarspelen;Achtkarspelen;WAAR;GM0059;0;0;0;0;0;0
Alblasserdam;Alblasserdam;WAAR;GM0482;0;0;0;0;0;0
Albrandswaard;Albrandswaard;WAAR;GM0613;0;0;0;0;0;0
Alkmaar;Alkmaar;WAAR;GM0361;0;0;1;0,9;0;0
Almelo;Almelo;WAAR;GM0141;0;0;0;0;0;0
Almere;Almere;WAAR;GM0034;1;0,5;2;0,9;0;0
Alphen aan den Rijn;Alphen aan den Rijn;WAAR;GM0484;1;0,9;0;0;0;0
Alphen-Chaam;Alphen-Chaam;WAAR;GM1723;0;0;0;0;0;0
Altena;Altena;WAAR;GM1959;4;7,1;2;3,6;0;0
Ameland;Ameland;WAAR;GM0060;0;0;0;0;0;0
Amersfoort;Amersfoort;WAAR;GM0307;0;0;0;0;0;0
Amstelveen;Amstelveen;WAAR;GM0362;0;0;0;0;0;0
Amsterdam;Amsterdam;WAAR;GM0363;3;0,3;0;0;0;0
Apeldoorn;Apeldoorn;WAAR;GM0200;0;0;0;0;0;0
Appingedam;Appingedam;WAAR;GM0003;0;0;0;0;0;0
Arnhem;Arnhem;WAAR;GM0202;0;0;0;0;0;0
Assen;Assen;WAAR;GM0106;0;0;0;0;0;0
Asten;Asten;WAAR;GM0743;0;0;0;0;0;0
Baarle-Nassau;Baarle-Nassau;WAAR;GM0744;0;0;0;0;0;0
Baarn;Baarn;WAAR;GM0308;0;0;0;0;0;0
Barendrecht;Barendrecht;WAAR;GM0489;0;0;0;0;0;0
Barneveld;Barneveld;WAAR;GM0203;0;0;0;0;0;0
Beek (L.);Beek;ONWAAR;GM0888;0;0;0;0;0;0
Beekdaelen;Beekdaelen;WAAR;GM1954;0;0;1;2,8;0;0
Beemster;Beemster;WAAR;GM0370;0;0;0;0;0;0
Beesel;Beesel;WAAR;GM0889;0;0;0;0;0;0
Berg en Dal;Berg en Dal;WAAR;GM1945;0;0;0;0;0;0
Bergeijk;Bergeijk;WAAR;GM1724;0;0;0;0;0;0
Bergen (L.);Bergen (L.);WAAR;GM0893;0;0;0;0;0;0
Bergen (NH.);Bergen (NH.);WAAR;GM0373;0;0;0;0;0;0
Bergen op Zoom;Bergen op Zoom;WAAR;GM0748;0;0;0;0;0;0
Berkelland;Berkelland;WAAR;GM1859;0;0;0;0;0;0
Bernheze;Bernheze;WAAR;GM1721;0;0;0;0;0;0
Best;Best;WAAR;GM0753;1;3,3;0;0;0;0
Beuningen;Beuningen;WAAR;GM0209;0;0;0;0;0;0
Beverwijk;Beverwijk;WAAR;GM0375;3;7,2;1;2,4;0;0
Bladel;Bladel;WAAR;GM1728;0;0;0;0;0;0
Blaricum;Blaricum;WAAR;GM0376;1;8,7;0;0;0;0
Bloemendaal;Bloemendaal;WAAR;GM0377;1;4,2;0;0;0;0
Bodegraven-Reeuwijk;Bodegraven-Reeuwijk;WAAR;GM1901;0;0;0;0;0;0
Boekel;Boekel;WAAR;GM0755;0;0;1;9,3;0;0
Borger-Odoorn;Borger-Odoorn;WAAR;GM1681;0;0;0;0;0;0
Borne;Borne;WAAR;GM0147;1;4,3;0;0;0;0
Borsele;Borsele;WAAR;GM0654;0;0;0;0;0;0
Boxmeer;Boxmeer;WAAR;GM0756;0;0;0;0;0;0
Boxtel;Boxtel;WAAR;GM0757;0;0;0;0;0;0
Breda;Breda;WAAR;GM0758;7;3,8;1;0,5;0;0
Brielle;Brielle;WAAR;GM0501;0;0;1;5,8;0;0
Bronckhorst;Bronckhorst;WAAR;GM1876;1;2,8;0;0;0;0
Brummen;Brummen;WAAR;GM0213;0;0;0;0;0;0
Brunssum;Brunssum;WAAR;GM0899;0;0;0;0;0;0
Bunnik;Bunnik;WAAR;GM0312;0;0;0;0;0;0
Bunschoten;Bunschoten;WAAR;GM0313;0;0;0;0;0;0
Buren;Buren;WAAR;GM0214;0;0;0;0;0;0
Capelle aan den IJssel;Capelle aan den IJssel;WAAR;GM0502;0;0;0;0;0;0
Castricum;Castricum;WAAR;GM0383;0;0;0;0;0;0
Coevorden;Coevorden;WAAR;GM0109;3;8,5;0;0;0;0
Cranendonck;Cranendonck;WAAR;GM1706;0;0;0;0;0;0
Cuijk;Cuijk;WAAR;GM1684;0;0;0;0;0;0
Culemborg;Culemborg;WAAR;GM0216;1;3,5;0;0;0;0
Dalfsen;Dalfsen;WAAR;GM0148;0;0;1;3,5;0;0
Dantumadiel;Dantumadiel;WAAR;GM1891;0;0;0;0;0;0
