Municipality_name;Municipality_name;;Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
De Bilt;De Bilt;WAAR;GM0310;4;9,3;0;0;0;0
De Fryske Marren;De Fryske Marren;WAAR;GM1940;0;0;0;0;0;0
De Ronde Venen;De Ronde Venen;WAAR;GM0736;0;0;0;0;0;0
De Wolden;De Wolden;WAAR;GM1690;0;0;0;0;0;0
Delft;Delft;WAAR;GM0503;1;1;0;0;0;0
Delfzijl;Delfzijl;WAAR;GM0010;0;0;0;0;0;0
Den Helder;Den Helder;WAAR;GM0400;0;0;0;0;0;0
Deurne;Deurne;WAAR;GM0762;0;0;0;0;0;0
Deventer;Deventer;WAAR;GM0150;0;0;0;0;0;0
Diemen;Diemen;WAAR;GM0384;0;0;0;0;0;0
Dinkelland;Dinkelland;WAAR;GM1774;0;0;0;0;0;0
Doesburg;Doesburg;WAAR;GM0221;0;0;0;0;0;0
Doetinchem;Doetinchem;WAAR;GM0222;0;0;0;0;0;0
Dongen;Dongen;WAAR;GM0766;1;3,8;0;0;0;0
Dordrecht;Dordrecht;WAAR;GM0505;0;0;0;0;0;0
Drechterland;Drechterland;WAAR;GM0498;0;0;0;0;0;0
Drimmelen;Drimmelen;WAAR;GM1719;0;0;0;0;0;0
Dronten;Dronten;WAAR;GM0303;0;0;0;0;0;0
Druten;Druten;WAAR;GM0225;0;0;0;0;0;0
Duiven;Duiven;WAAR;GM0226;0;0;0;0;0;0
Echt-Susteren;Echt-Susteren;WAAR;GM1711;0;0;0;0;0;0
Edam-Volendam;Edam-Volendam;WAAR;GM0385;0;0;0;0;0;0
Ede;Ede;WAAR;GM0228;0;0;0;0;0;0
Eemnes;Eemnes;WAAR;GM0317;0;0;0;0;0;0
Eersel;Eersel;WAAR;GM0770;0;0;0;0;0;0
Eijsden-Margraten;Eijsden-Margraten;WAAR;GM1903;0;0;1;3,9;0;0
Eindhoven;Eindhoven;WAAR;GM0772;2;0,9;0;0;0;0
Elburg;Elburg;WAAR;GM0230;0;0;0;0;0;0
Emmen;Emmen;WAAR;GM0114;0;0;0;0;0;0
Enkhuizen;Enkhuizen;WAAR;GM0388;0;0;0;0;0;0
Enschede;Enschede;WAAR;GM0153;0;0;0;0;0;0
Epe;Epe;WAAR;GM0232;0;0;0;0;0;0
Ermelo;Ermelo;WAAR;GM0233;0;0;3;11,1;0;0
Etten-Leur;Etten-Leur;WAAR;GM0777;0;0;0;0;0;0
Geertruidenberg;Geertruidenberg;WAAR;GM0779;0;0;0;0;0;0
Geldrop-Mierlo;Geldrop-Mierlo;WAAR;GM1771;0;0;0;0;0;0
Gemert-Bakel;Gemert-Bakel;WAAR;GM1652;0;0;0;0;0;0
Gennep;Gennep;WAAR;GM0907;0;0;0;0;0;0
Gilze en Rijen;Gilze en Rijen;WAAR;GM0784;0;0;0;0;0;0
Goeree-Overflakkee;Goeree-Overflakkee;WAAR;GM1924;0;0;0;0;0;0
Goes;Goes;WAAR;GM0664;0;0;0;0;0;0
Goirle;Goirle;WAAR;GM0785;0;0;0;0;0;0
Gooise Meren;Gooise Meren;WAAR;GM1942;2;3,4;0;0;0;0
Gorinchem;Gorinchem;WAAR;GM0512;0;0;0;0;0;0
Gouda;Gouda;WAAR;GM0513;0;0;0;0;0;0
Grave;Grave;WAAR;GM0786;0;0;0;0;0;0
Groningen (gemeente);Groningen;ONWAAR;GM0014;0;0;0;0;0;0
Gulpen-Wittem;Gulpen-Wittem;WAAR;GM1729;0;0;0;0;0;0
Haaksbergen;Haaksbergen;WAAR;GM0158;0;0;0;0;0;0
Haaren;Haaren;WAAR;GM0788;0;0;0;0;0;0
Haarlem;Haarlem;WAAR;GM0392;2;1,2;0;0;0;0
Haarlemmermeer;Haarlemmermeer;WAAR;GM0394;0;0;0;0;0;0
Halderberge;Halderberge;WAAR;GM1655;0;0;0;0;0;0
Hardenberg;Hardenberg;WAAR;GM0160;0;0;0;0;0;0
Harderwijk;Harderwijk;WAAR;GM0243;0;0;0;0;0;0
Hardinxveld-Giessendam;Hardinxveld-Giessendam;WAAR;GM0523;4;21,9;0;0;0;0
Harlingen;Harlingen;WAAR;GM0072;0;0;0;0;0;0
Hattem;Hattem;WAAR;GM0244;0;0;0;0;0;0
Heemskerk;Heemskerk;WAAR;GM0396;0;0;0;0;0;0
Heemstede;Heemstede;WAAR;GM0397;0;0;0;0;0;0
Heerde;Heerde;WAAR;GM0246;0;0;0;0;0;0
Heerenveen;Heerenveen;WAAR;GM0074;0;0;0;0;0;0
Heerhugowaard;Heerhugowaard;WAAR;GM0398;0;0;0;0;0;0
Heerlen;Heerlen;WAAR;GM0917;0;0;1;1,1;0;0
Heeze-Leende;Heeze-Leende;WAAR;GM1658;0;0;0;0;0;0
Heiloo;Heiloo;WAAR;GM0399;0;0;0;0;0;0
Hellendoorn;Hellendoorn;WAAR;GM0163;0;0;0;0;0;0
Hellevoetsluis;Hellevoetsluis;WAAR;GM0530;0;0;0;0;0;0
Helmond;Helmond;WAAR;GM0794;6;6,5;0;0;0;0
Hendrik-Ido-Ambacht;Hendrik-Ido-Ambacht;WAAR;GM0531;0;0;0;0;0;0
Hengelo (O.);Hengelo;ONWAAR;GM0164;0;0;0;0;0;0
Het Hogeland;Het Hogeland;WAAR;GM1966;0;0;0;0;0;0
Heumen;Heumen;WAAR;GM0252;0;0;0;0;0;0
Heusden;Heusden;WAAR;GM0797;0;0;0;0;0;0
Hillegom;Hillegom;WAAR;GM0534;0;0;0;0;0;0
Hilvarenbeek;Hilvarenbeek;WAAR;GM0798;0;0;0;0;0;0
Hilversum;Hilversum;WAAR;GM0402;0;0;0;0;0;0
Hoeksche Waard;Hoeksche Waard;WAAR;GM1963;1;1,1;1;1,1;0;0
Hof van Twente;Hof van Twente;WAAR;GM1735;0;0;0;0;0;0
Hollands Kroon;Hollands Kroon;WAAR;GM1911;0;0;0;0;0;0
Hoogeveen;Hoogeveen;WAAR;GM0118;0;0;0;0;0;0
Hoorn;Hoorn;WAAR;GM0405;0;0;1;1,4;0;0
Horst aan de Maas;Horst aan de Maas;WAAR;GM1507;0;0;0;0;0;0
Houten;Houten;WAAR;GM0321;9;17,9;0;0;0;0
Huizen;Huizen;WAAR;GM0406;0;0;0;0;0;0
Hulst;Hulst;WAAR;GM0677;0;0;0;0;0;0
IJsselstein;IJsselstein;WAAR;GM0353;0;0;0;0;0;0
Kaag en Braassem;Kaag en Braassem;WAAR;GM1884;0;0;0;0;0;0
Kampen;Kampen;WAAR;GM0166;0;0;1;1,8;0;0
Kapelle;Kapelle;WAAR;GM0678;0;0;0;0;0;0
Katwijk;Katwijk;WAAR;GM0537;0;0;0;0;0;0
Kerkrade;Kerkrade;WAAR;GM0928;0;0;1;2,2;0;0
Koggenland;Koggenland;WAAR;GM1598;0;0;0;0;0;0
Krimpen aan den IJssel;Krimpen aan den IJssel;WAAR;GM0542;0;0;0;0;0;0
Krimpenerwaard;Krimpenerwaard;WAAR;GM1931;0;0;0;0;0;0
Laarbeek;Laarbeek;WAAR;GM1659;0;0;0;0;0;0
Landerd;Landerd;WAAR;GM1685;0;0;0;0;0;0
Landgraaf;Landgraaf;WAAR;GM0882;0;0;0;0;0;0
Landsmeer;Landsmeer;WAAR;GM0415;0;0;0;0;0;0
Langedijk;Langedijk;WAAR;GM0416;0;0;0;0;0;0
Lansingerland;Lansingerland;WAAR;GM1621;1;1,6;0;0;0;0
Laren (NH.);Laren;ONWAAR;GM0417;0;0;0;0;0;0
Leeuwarden;Leeuwarden;WAAR;GM0080;0;0;0;0;0;0
Leiden;Leiden;WAAR;GM0546;0;0;0;0;0;0
Leiderdorp;Leiderdorp;WAAR;GM0547;0;0;0;0;0;0
Leidschendam-Voorburg;Leidschendam-Voorburg;WAAR;GM1916;0;0;0;0;0;0
Lelystad;Lelystad;WAAR;GM0995;0;0;0;0;0;0
Leudal;Leudal;WAAR;GM1640;0;0;0;0;0;0
Leusden;Leusden;WAAR;GM0327;0;0;0;0;0;0
Lingewaard;Lingewaard;WAAR;GM1705;0;0;1;2,1;0;0
Lisse;Lisse;WAAR;GM0553;0;0;0;0;0;0
Lochem;Lochem;WAAR;GM0262;0;0;0;0;0;0
Loon op Zand;Loon op Zand;WAAR;GM0809;4;17,1;0;0;0;0
Lopik;Lopik;WAAR;GM0331;0;0;0;0;0;0
Loppersum;Loppersum;WAAR;GM0024;0;0;0;0;0;0
Losser;Losser;WAAR;GM0168;0;0;0;0;0;0
Maasdriel;Maasdriel;WAAR;GM0263;0;0;0;0;0;0
Maasgouw;Maasgouw;WAAR;GM1641;0;0;0;0;0;0
Maassluis;Maassluis;WAAR;GM0556;0;0;1;3;0;0
Maastricht;Maastricht;WAAR;GM0935;1;0,8;1;0,8;0;0
Medemblik;Medemblik;WAAR;GM0420;0;0;0;0;0;0
Meerssen;Meerssen;WAAR;GM0938;0;0;0;0;0;0
Meierijstad;Meierijstad;WAAR;GM1948;1;1,2;0;0;0;0
Meppel;Meppel;WAAR;GM0119;0;0;0;0;0;0
Middelburg (Z.);Middelburg;ONWAAR;GM0687;0;0;1;2;0;0
Midden-Delfland;Midden-Delfland;WAAR;GM1842;0;0;0;0;0;0
Midden-Drenthe;Midden-Drenthe;WAAR;GM1731;0;0;0;0;0;0
Midden-Groningen;Midden-Groningen;WAAR;GM1952;0;0;0;0;0;0
Mill en Sint Hubert;Mill en Sint Hubert;WAAR;GM0815;0;0;0;0;0;0
Moerdijk;Moerdijk;WAAR;GM1709;0;0;0;0;0;0
Molenlanden;Molenlanden;WAAR;GM1978;0;0;0;0;0;0
Montferland;Montferland;WAAR;GM1955;0;0;0;0;0;0
Montfoort;Montfoort;WAAR;GM0335;0;0;0;0;0;0
Mook en Middelaar;Mook en Middelaar;WAAR;GM0944;0;0;0;0;0;0
Neder-Betuwe;Neder-Betuwe;WAAR;GM1740;0;0;0;0;0;0
Nederweert;Nederweert;WAAR;GM0946;0;0;0;0;0;0
Nieuwegein;Nieuwegein;WAAR;GM0356;0;0;0;0;0;0
Nieuwkoop;Nieuwkoop;WAAR;GM0569;0;0;0;0;0;0
Nijkerk;Nijkerk;WAAR;GM0267;0;0;0;0;0;0
Nijmegen;Nijmegen;WAAR;GM0268;0;0;0;0;0;0
Nissewaard;Nissewaard;WAAR;GM1930;0;0;0;0;0;0
Noardeast-Fryslân;Noardeast-FryslÃ¢n;ONWAAR;GM1970;0;0;0;0;0;0
Noord-Beveland;Noord-Beveland;WAAR;GM1695;0;0;0;0;0;0
Noordenveld;Noordenveld;WAAR;GM1699;0;0;0;0;0;0
Noordoostpolder;Noordoostpolder;WAAR;GM0171;0;0;0;0;0;0
Noordwijk;Noordwijk;WAAR;GM0575;0;0;0;0;0;0
Nuenen, Gerwen en Nederwetten;Nuenen, Gerwen en Nederwetten;WAAR;GM0820;0;0;0;0;0;0
Nunspeet;Nunspeet;WAAR;GM0302;0;0;0;0;0;0
Oegstgeest;Oegstgeest;WAAR;GM0579;1;4;0;0;0;0
Oirschot;Oirschot;WAAR;GM0823;0;0;0;0;0;0
Oisterwijk;Oisterwijk;WAAR;GM0824;1;3,8;0;0;0;0
Oldambt;Oldambt;WAAR;GM1895;0;0;0;0;0;0
Oldebroek;Oldebroek;WAAR;GM0269;0;0;0;0;0;0
Oldenzaal;Oldenzaal;WAAR;GM0173;0;0;0;0;0;0
Olst-Wijhe;Olst-Wijhe;WAAR;GM1773;0;0;0;0;0;0
Ommen;Ommen;WAAR;GM0175;0;0;0;0;0;0
Oost Gelre;Oost Gelre;WAAR;GM1586;0;0;0;0;0;0
Oosterhout;Oosterhout;WAAR;GM0826;0;0;0;0;0;0
Ooststellingwerf;Ooststellingwerf;WAAR;GM0085;0;0;0;0;0;0
Oostzaan;Oostzaan;WAAR;GM0431;0;0;0;0;0;0
Opmeer;Opmeer;WAAR;GM0432;0;0;0;0;0;0
Opsterland;Opsterland;WAAR;GM0086;0;0;0;0;0;0
Oss;Oss;WAAR;GM0828;1;1,1;0;0;0;0
Oude IJsselstreek;Oude IJsselstreek;WAAR;GM1509;0;0;0;0;0;0
Ouder-Amstel;Ouder-Amstel;WAAR;GM0437;0;0;0;0;0;0
Oudewater;Oudewater;WAAR;GM0589;0;0;0;0;0;0
Overbetuwe;Overbetuwe;WAAR;GM1734;0;0;0;0;0;0
Papendrecht;Papendrecht;WAAR;GM0590;0;0;0;0;0;0
Peel en Maas;Peel en Maas;WAAR;GM1894;0;0;0;0;0;0
Pekela;Pekela;WAAR;GM0765;0;0;0;0;0;0
Pijnacker-Nootdorp;Pijnacker-Nootdorp;WAAR;GM1926;1;1,8;0;0;0;0
Purmerend;Purmerend;WAAR;GM0439;0;0;0;0;0;0
Putten;Putten;WAAR;GM0273;0;0;0;0;0;0
Raalte;Raalte;WAAR;GM0177;0;0;0;0;0;0
Reimerswaal;Reimerswaal;WAAR;GM0703;0;0;0;0;0;0
Renkum;Renkum;WAAR;GM0274;0;0;0;0;0;0
Renswoude;Renswoude;WAAR;GM0339;0;0;0;0;0;0
Reusel-De Mierden;Reusel-De Mierden;WAAR;GM1667;0;0;0;0;0;0
Rheden;Rheden;WAAR;GM0275;0;0;0;0;0;0
Rhenen;Rhenen;WAAR;GM0340;0;0;0;0;0;0
Ridderkerk;Ridderkerk;WAAR;GM0597;1;2,2;0;0;0;0
Rijssen-Holten;Rijssen-Holten;WAAR;GM1742;0;0;0;0;0;0
Rijswijk (ZH.);Rijswijk;ONWAAR;GM0603;0;0;0;0;0;0
Roerdalen;Roerdalen;WAAR;GM1669;0;0;0;0;0;0
Roermond;Roermond;WAAR;GM0957;0;0;1;1,7;0;0
Roosendaal;Roosendaal;WAAR;GM1674;0;0;0;0;0;0
Rotterdam;Rotterdam;WAAR;GM0599;6;0,9;0;0;0;0
Rozendaal;Rozendaal;WAAR;GM0277;0;0;0;0;0;0
Rucphen;Rucphen;WAAR;GM0840;0;0;0;0;0;0
Schagen;SÃºdwest-FryslÃ¢n;ONWAAR;GM1900;0;0;0;0;0;0
Scherpenzeel;Schagen;ONWAAR;GM0441;0;0;0;0;0;0
Schiedam;Scherpenzeel;ONWAAR;GM0279;0;0;1;1,3;0;0
Schiermonnikoog;Schiedam;ONWAAR;GM0606;0;0;0;0;0;0
Schouwen-Duiveland;Schiermonnikoog;ONWAAR;GM0088;0;0;1;3;0;0
's-Gravenhage (gemeente);Schouwen-Duiveland;ONWAAR;GM1676;0;0;1;0,2;0;0
's-Hertogenbosch;'s-Gravenhage;ONWAAR;GM0518;0;0;0;0;0;0
Simpelveld;'s-Hertogenbosch;ONWAAR;GM0796;2;18,9;0;0;0;0
Sint Anthonis;Simpelveld;ONWAAR;GM0965;0;0;0;0;0;0
Sint-Michielsgestel;Sint Anthonis;ONWAAR;GM1702;4;13,7;0;0;0;0
Sittard-Geleen;Sint-Michielsgestel;ONWAAR;GM0845;2;2,2;1;1,1;0;0
Sliedrecht;Sittard-Geleen;ONWAAR;GM1883;0;0;0;0;0;0
Sluis;Sliedrecht;ONWAAR;GM0610;0;0;0;0;0;0
Smallingerland;Sluis;ONWAAR;GM1714;0;0;0;0;0;0
Soest;Smallingerland;ONWAAR;GM0090;7;15;0;0;0;0
Someren;Soest;ONWAAR;GM0342;0;0;0;0;0;0
Son en Breugel;Someren;ONWAAR;GM0847;0;0;0;0;0;0
Stadskanaal;Son en Breugel;ONWAAR;GM0848;0;0;0;0;0;0
Staphorst;Stadskanaal;ONWAAR;GM0037;0;0;0;0;0;0
Stede Broec;Staphorst;ONWAAR;GM0180;0;0;0;0;0;0
Steenbergen;Stede Broec;ONWAAR;GM0532;0;0;0;0;0;0
Steenwijkerland;Steenbergen;ONWAAR;GM0851;0;0;0;0;0;0
Stein (L.);Steenwijkerland;ONWAAR;GM1708;0;0;0;0;0;0
Stichtse Vecht;Stein;ONWAAR;GM0971;3;4,6;0;0;0;0
Súdwest-Fryslân;Stichtse Vecht;ONWAAR;GM1904;0;0;0;0;0;0
Terneuzen;Terneuzen;WAAR;GM0715;0;0;0;0;0;0
Terschelling;Terschelling;WAAR;GM0093;0;0;0;0;0;0
Texel;Texel;WAAR;GM0448;0;0;0;0;0;0
Teylingen;Teylingen;WAAR;GM1525;0;0;0;0;0;0
Tholen;Tholen;WAAR;GM0716;0;0;0;0;0;0
Tiel;Tiel;WAAR;GM0281;0;0;0;0;0;0
Tilburg;Tilburg;WAAR;GM0855;5;2,3;2;0,9;0;0
Tubbergen;Tubbergen;WAAR;GM0183;0;0;0;0;0;0
Twenterand;Twenterand;WAAR;GM1700;0;0;0;0;0;0
Tynaarlo;Tynaarlo;WAAR;GM1730;0;0;0;0;0;0
Tytsjerksteradiel;Tytsjerksteradiel;WAAR;GM0737;0;0;0;0;0;0
Uden;Uden;WAAR;GM0856;2;4,7;1;2,4;0;0
Uitgeest;Uitgeest;WAAR;GM0450;0;0;0;0;0;0
Uithoorn;Uithoorn;WAAR;GM0451;0;0;0;0;0;0
Urk;Urk;WAAR;GM0184;0;0;0;0;0;0
Utrecht (gemeente);Utrecht;ONWAAR;GM0344;7;2;2;0,6;0;0
Utrechtse Heuvelrug;Utrechtse Heuvelrug;WAAR;GM1581;0;0;0;0;0;0
Vaals;Vaals;WAAR;GM0981;0;0;0;0;0;0
Valkenburg aan de Geul;Valkenburg aan de Geul;WAAR;GM0994;0;0;0;0;0;0
Valkenswaard;Valkenswaard;WAAR;GM0858;0;0;0;0;0;0
Veendam;Veendam;WAAR;GM0047;0;0;0;0;0;0
Veenendaal;Veenendaal;WAAR;GM0345;0;0;0;0;0;0
Veere;Veere;WAAR;GM0717;0;0;0;0;0;0
Veldhoven;Veldhoven;WAAR;GM0861;0;0;1;2,2;0;0
Velsen;Velsen;WAAR;GM0453;0;0;0;0;0;0
Venlo;Venlo;WAAR;GM0983;0;0;0;0;0;0
Venray;Venray;WAAR;GM0984;0;0;0;0;0;0
Vijfheerenlanden;Vijfheerenlanden;WAAR;GM1961;0;0;1;1,8;0;0
Vlaardingen;Vlaardingen;WAAR;GM0622;0;0;0;0;0;0
Vlieland;Vlieland;WAAR;GM0096;0;0;0;0;0;0
Vlissingen;Vlissingen;WAAR;GM0718;0;0;0;0;0;0
Voerendaal;Voerendaal;WAAR;GM0986;0;0;0;0;0;0
Voorschoten;Voorschoten;WAAR;GM0626;0;0;0;0;0;0
Voorst;Voorst;WAAR;GM0285;0;0;0;0;0;0
Vught;Vught;WAAR;GM0865;0;0;0;0;0;0
Waadhoeke;Waadhoeke;WAAR;GM1949;0;0;0;0;0;0
Waalre;Waalre;WAAR;GM0866;1;5,7;0;0;0;0
Waalwijk;Waalwijk;WAAR;GM0867;3;6,2;0;0;0;0
Waddinxveen;Waddinxveen;WAAR;GM0627;0;0;0;0;0;0
Wageningen;Wageningen;WAAR;GM0289;0;0;0;0;0;0
Wassenaar;Wassenaar;WAAR;GM0629;0;0;0;0;0;0
Waterland;Waterland;WAAR;GM0852;0;0;0;0;0;0
Weert;Weert;WAAR;GM0988;0;0;0;0;0;0
Weesp;Weesp;WAAR;GM0457;0;0;0;0;0;0
West Betuwe;West Betuwe;WAAR;GM1960;0;0;0;0;0;0
West Maas en Waal;West Maas en Waal;WAAR;GM0668;1;5,2;0;0;0;0
Westerkwartier;Westerkwartier;WAAR;GM1969;0;0;0;0;0;0
Westerveld;Westerveld;WAAR;GM1701;0;0;0;0;0;0
Westervoort;Westervoort;WAAR;GM0293;0;0;0;0;0;0
Westerwolde;Westerwolde;WAAR;GM1950;0;0;0;0;0;0
Westland;Westland;WAAR;GM1783;0;0;0;0;0;0
Weststellingwerf;Weststellingwerf;WAAR;GM0098;0;0;0;0;0;0
Westvoorne;Westvoorne;WAAR;GM0614;1;6,8;0;0;0;0
Wierden;Wierden;WAAR;GM0189;0;0;0;0;0;0
Wijchen;Wijchen;WAAR;GM0296;0;0;0;0;0;0
Wijdemeren;Wijdemeren;WAAR;GM1696;0;0;0;0;0;0
Wijk bij Duurstede;Wijk bij Duurstede;WAAR;GM0352;0;0;0;0;0;0
Winterswijk;Winterswijk;WAAR;GM0294;0;0;0;0;0;0
Woensdrecht;Woensdrecht;WAAR;GM0873;0;0;0;0;0;0
Woerden;Woerden;WAAR;GM0632;0;0;0;0;0;0
Wormerland;Wormerland;WAAR;GM0880;0;0;0;0;0;0
Woudenberg;Woudenberg;WAAR;GM0351;0;0;0;0;0;0
Zaanstad;Zaanstad;WAAR;GM0479;0;0;0;0;0;0
Zaltbommel;Zaltbommel;WAAR;GM0297;1;3,5;2;6,9;0;0
Zandvoort;Zandvoort;WAAR;GM0473;0;0;1;5,8;0;0
Zeewolde;Zeewolde;WAAR;GM0050;1;4,4;0;0;0;0
Zeist;Zeist;WAAR;GM0355;1;1,5;1;1,5;0;0
Zevenaar;Zevenaar;WAAR;GM0299;0;0;0;0;0;0
Zoetermeer;Zoetermeer;WAAR;GM0637;0;0;0;0;0;0
Zoeterwoude;Zoeterwoude;WAAR;GM0638;0;0;0;0;0;0
Zuidplas;Zuidplas;WAAR;GM1892;0;0;0;0;0;0
Zundert;Zundert;WAAR;GM0879;0;0;0;0;0;0
Zutphen;Zutphen;WAAR;GM0301;0;0;0;0;0;0
Zwartewaterland;Zwartewaterland;WAAR;GM1896;0;0;0;0;0;0
Zwijndrecht;Zwijndrecht;WAAR;GM0642;0;0;0;0;0;0
Zwolle;Zwolle;WAAR;GM0193;0;0;0;0;0;0
