"Gemeente";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage (gemeente)";460;84,3;66;12,1;77;14,1
"'s-Hertogenbosch";137;88,3;10;6,4;25;16,1
"Aa en Hunze";6;23,6;0;0;0;0
"Aalsmeer";11;34,5;2;6,3;0;0
"Aalten";31;114,3;3;11,1;0;0
"Achtkarspelen";3;10,8;0;0;0;0
"Alblasserdam";20;99,2;3;14,9;1;5
"Albrandswaard";33;129;1;3,9;4;15,6
"Alkmaar";86;78,6;9;8,2;8;7,3
"Almelo";35;47,9;4;5,5;4;5,5
"Almere";132;62,3;19;9;7;3,3
"Alphen aan den Rijn";68;60,8;11;9,8;9;8
"Alphen-Chaam";5;49;0;0;1;9,8
"Altena";41;73,3;2;3,6;7;12,5
"Ameland";0;0;0;0;0;0
"Amersfoort";63;40,1;5;3,2;6;3,8
"Amstelveen";106;115,6;11;12;12;13,1
"Amsterdam";661;75,7;126;14,4;88;10,1
"Apeldoorn";167;101,9;18;11;19;11,6
"Appingedam";2;17,2;1;8,6;0;0
"Arnhem";110;68,2;9;5,6;12;7,4
"Assen";11;16;1;1,5;0;0
"Asten";33;197,4;4;23,9;5;29,9
"Baarle-Nassau";3;43,7;1;14,6;0;0
"Baarn";18;72,4;2;8;5;20,1
"Barendrecht";36;73,9;4;8,2;6;12,3
"Barneveld";43;72,8;6;10,2;4;6,8
"Beek (L.)";15;94,5;3;18,9;1;6,3
"Beekdaelen";53;147,5;8;22,3;8;22,3
"Beemster";1;10;0;0;0;0
"Beesel";17;126,1;4;29,7;2;14,8
"Berg en Dal";49;140;4;11,4;2;5,7
"Bergeijk";19;102;3;16,1;1;5,4
"Bergen (L.)";10;76,4;0;0;1;7,6
"Bergen (NH.)";12;40,2;0;0;2;6,7
"Bergen op Zoom";44;65,2;3;4,4;3;4,4
"Berkelland";44;100,6;3;6,9;4;9,1
"Bernheze";63;201,7;9;28,8;18;57,6
"Best";6;20;0;0;4;13,3
"Beuningen";16;61,8;1;3,9;0;0
"Beverwijk";21;50,4;3;7,2;4;9,6
"Bladel";15;73,6;3;14,7;0;0
"Blaricum";12;104;2;17,3;0;0
"Bloemendaal";6;25,5;1;4,2;1;4,2
"Bodegraven-Reeuwijk";15;43;1;2,9;0;0
"Boekel";11;102;1;9,3;5;46,4
"Borger-Odoorn";3;11,7;2;7,8;1;3,9
"Borne";8;34,3;0;0;1;4,3
"Borsele";8;35,2;1;4,4;0;0
"Boxmeer";42;143;0;0;12;40,9
"Boxtel";20;64,9;4;13;4;13
"Breda";80;43,5;4;2,2;14;7,6
"Brielle";6;34,7;1;5,8;0;0
"Bronckhorst";36;99,8;6;16,6;2;5,5
"Brummen";14;67,5;4;19,3;3;14,5
"Brunssum";23;82,7;8;28,8;3;10,8
"Bunnik";6;39,5;2;13,2;0;0
"Bunschoten";30;137,2;2;9,1;5;22,9
"Buren";15;56,1;6;22,4;4;15
"Capelle aan den IJssel";102;152;13;19,4;18;26,8
"Castricum";27;75;1;2,8;3;8,3
"Coevorden";14;39,7;0;0;1;2,8
"Cranendonck";59;279,1;5;23,7;14;66,2
"Cuijk";16;63,7;3;11,9;2;8
"Culemborg";17;58,7;1;3,5;1;3,5
"Dalfsen";32;111,9;1;3,5;2;7
"Dantumadiel";0;0;0;0;0;0
"De Bilt";28;64,9;4;9,3;4;9,3
"De Fryske Marren";18;34,9;2;3,9;1;1,9
"De Ronde Venen";28;63;11;24,7;6;13,5
"De Wolden";17;69,9;3;12,3;0;0
"Delft";43;41,5;2;1,9;5;4,8
"Delfzijl";3;12,2;0;0;0;0
"Den Helder";14;24,9;0;0;0;0
"Deurne";34;104,7;1;3,1;6;18,5
"Deventer";89;88,4;8;7,9;7;7
"Diemen";34;110,5;5;16,2;6;19,5
"Dinkelland";16;60,5;0;0;3;11,3
"Doesburg";12;108,3;3;27,1;3;27,1
"Doetinchem";30;51,7;5;8,6;9;15,5
"Dongen";16;61;4;15,3;2;7,6
"Dordrecht";120;100,6;16;13,4;11;9,2
"Drechterland";16;81,1;2;10,1;4;20,3
"Drimmelen";19;69,7;2;7,3;1;3,7
"Dronten";54;129,9;6;14,4;7;16,8
"Druten";65;343,4;2;10,6;3;15,9
"Duiven";16;63,7;4;15,9;3;11,9
"Echt-Susteren";22;69,6;3;9,5;4;12,7
"Edam-Volendam";42;116;3;8,3;2;5,5
"Ede";68;58;7;6;7;6
"Eemnes";7;75,7;1;10,8;0;0
"Eersel";19;98,4;5;25,9;5;25,9
"Eijsden-Margraten";40;155,2;7;27,2;9;34,9
"Eindhoven";131;55,9;30;12,8;30;12,8
"Elburg";55;237,5;7;30,2;3;13
"Emmen";35;32,7;4;3,7;5;4,7
"Enkhuizen";4;21,5;2;10,8;0;0
"Enschede";44;27,6;6;3,8;4;2,5
"Epe";54;162,8;11;33,2;11;33,2
"Ermelo";35;129,6;2;7,4;4;14,8
"Etten-Leur";50;114;4;9,1;4;9,1
"Geertruidenberg";16;74,3;1;4,6;2;9,3
"Geldrop-Mierlo";30;75,5;4;10,1;9;22,7
"Gemert-Bakel";33;107,4;4;13;7;22,8
"Gennep";16;94,6;1;5,9;4;23,6
"Gilze en Rijen";21;79,5;1;3,8;4;15,1
"Goeree-Overflakkee";49;97,9;6;12;13;26
"Goes";32;84;1;2,6;5;13,1
"Goirle";16;66,9;4;16,7;4;16,7
"Gooise Meren";36;62;2;3,4;3;5,2
"Gorinchem";48;129,7;2;5,4;7;18,9
"Gouda";112;152,5;5;6,8;14;19,1
"Grave";17;136,7;2;16,1;2;16,1
"Groningen (gemeente)";32;13,7;3;1,3;0;0
"Gulpen-Wittem";27;190,5;5;35,3;6;42,3
"Haaksbergen";25;102,8;1;4,1;4;16,5
"Haaren";8;55,7;2;13,9;2;13,9
"Haarlem";51;31,3;7;4,3;20;12,3
"Haarlemmermeer";51;32,7;11;7,1;4;2,6
"Halderberge";18;59,4;3;9,9;2;6,6
"Hardenberg";78;128;4;6,6;2;3,3
"Harderwijk";46;95;9;18,6;3;6,2
"Hardinxveld-Giessendam";11;60,1;0;0;0;0
"Harlingen";10;63,6;2;12,7;1;6,4
"Hattem";13;106,5;0;0;2;16,4
"Heemskerk";13;33,2;0;0;2;5,1
"Heemstede";7;25,7;1;3,7;5;18,4
"Heerde";88;473,4;5;26,9;8;43
"Heerenveen";45;89,1;2;4;11;21,8
"Heerhugowaard";68;118,1;3;5,2;4;6,9
"Heerlen";107;122,9;20;23;11;12,6
"Heeze-Leende";19;117,6;2;12,4;6;37,1
"Heiloo";18;75,1;0;0;3;12,5
"Hellendoorn";22;61,3;1;2,8;2;5,6
"Hellevoetsluis";22;54,8;4;10;1;2,5
"Helmond";97;105;22;23,8;9;9,7
"Hendrik-Ido-Ambacht";12;38,5;1;3,2;3;9,6
"Hengelo (O.)";40;49,3;5;6,2;10;12,3
"Het Hogeland";8;16,7;0;0;0;0
"Heumen";21;127,6;2;12,2;1;6,1
"Heusden";44;98,5;3;6,7;7;15,7
"Hillegom";13;58,5;2;9;1;4,5
"Hilvarenbeek";12;77,3;2;12,9;0;0
"Hilversum";74;81,5;6;6,6;6;6,6
"Hoeksche Waard";87;99,5;7;8;6;6,9
"Hof van Twente";25;71,4;1;2,9;3;8,6
"Hollands Kroon";17;35,1;0;0;1;2,1
"Hoogeveen";38;68,2;6;10,8;6;10,8
"Hoorn";29;39,6;7;9,6;4;5,5
"Horst aan de Maas";43;101,3;3;7,1;6;14,1
"Houten";35;69,8;4;8;4;8
"Huizen";48;116,3;2;4,8;2;4,8
"Hulst";7;25,4;0;0;0;0
"IJsselstein";45;131,9;4;11,7;11;32,2
"Kaag en Braassem";9;33;1;3,7;1;3,7
"Kampen";152;279,8;10;18,4;11;20,3
"Kapelle";8;63;2;15,8;1;7,9
"Katwijk";92;139,9;6;9,1;6;9,1
"Kerkrade";56;122,4;11;24;7;15,3
"Koggenland";13;57,1;1;4,4;2;8,8
"Krimpen aan den IJssel";25;84,7;2;6,8;1;3,4
"Krimpenerwaard";50;88,8;7;12,4;3;5,3
"Laarbeek";27;119,9;3;13,3;5;22,2
"Landerd";37;235,2;3;19,1;7;44,5
"Landgraaf";35;93,5;14;37,4;3;8
"Landsmeer";5;43,5;0;0;1;8,7
"Langedijk";13;46,2;1;3,6;1;3,6
"Lansingerland";55;88,2;9;14,4;8;12,8
"Laren (NH.)";6;53,2;0;0;1;8,9
"Leeuwarden";7;5,6;3;2,4;2;1,6
"Leiden";39;31,2;7;5,6;8;6,4
"Leiderdorp";9;33,3;3;11,1;1;3,7
"Leidschendam-Voorburg";35;45,7;4;5,2;2;2,6
"Lelystad";66;84;12;15,3;9;11,5
