Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
's-Gravenhage (gemeente);64;11,7;1;0,2;3;0,5
's-Hertogenbosch;13;8,4;0;0;0;0
Aa en Hunze;0;0;0;0;0;0
Aalsmeer;0;0;0;0;0;0
Aalten;0;0;0;0;0;0
Achtkarspelen;0;0;0;0;0;0
Alblasserdam;0;0;0;0;0;0
Albrandswaard;6;23,4;0;0;0;0
Alkmaar;1;0,9;0;0;0;0
Almelo;0;0;0;0;0;0
Almere;3;1,4;0;0;0;0
Alphen aan den Rijn;2;1,8;0;0;0;0
Alphen-Chaam;1;9,8;0;0;0;0
Altena;5;8,9;0;0;0;0
Ameland;0;0;0;0;0;0
Amersfoort;14;8,9;0;0;0;0
Amstelveen;4;4,4;0;0;0;0
Amsterdam;76;8,7;1;0,1;0;0
Apeldoorn;5;3,1;0;0;0;0
Appingedam;0;0;0;0;0;0
Arnhem;5;3,1;0;0;0;0
Assen;1;1,5;0;0;0;0
Asten;0;0;0;0;0;0
Baarle-Nassau;0;0;0;0;0;0
Baarn;2;8;0;0;0;0
Barendrecht;0;0;0;0;0;0
Barneveld;2;3,4;0;0;0;0
Beek (L.);0;0;0;0;0;0
Beekdaelen;0;0;0;0;0;0
Beemster;0;0;0;0;0;0
Beesel;0;0;0;0;0;0
Berg en Dal;1;2,9;0;0;0;0
Bergeijk;0;0;0;0;0;0
Bergen (L.);0;0;0;0;0;0
Bergen (NH.);0;0;0;0;0;0
Bergen op Zoom;4;5,9;0;0;0;0
Berkelland;0;0;0;0;0;0
Bernheze;1;3,2;0;0;0;0
Best;1;3,3;0;0;0;0
Beuningen;1;3,9;0;0;0;0
Beverwijk;1;2,4;0;0;0;0
Bladel;0;0;0;0;0;0
Blaricum;1;8,7;0;0;0;0
Bloemendaal;0;0;0;0;0;0
Bodegraven-Reeuwijk;2;5,7;0;0;0;0
Boekel;1;9,3;0;0;0;0
Borger-Odoorn;1;3,9;0;0;0;0
Borne;0;0;0;0;0;0
Borsele;0;0;0;0;0;0
Boxmeer;1;3,4;0;0;0;0
Boxtel;1;3,2;0;0;0;0
Breda;17;9,2;0;0;0;0
Brielle;0;0;0;0;0;0
Bronckhorst;0;0;0;0;0;0
Brummen;0;0;0;0;0;0
Brunssum;0;0;0;0;0;0
Bunnik;1;6,6;0;0;0;0
Bunschoten;1;4,6;0;0;0;0
Buren;0;0;0;0;0;0
Capelle aan den IJssel;12;17,9;0;0;0;0
Castricum;0;0;0;0;0;0
Coevorden;0;0;0;0;0;0
Cranendonck;0;0;0;0;0;0
Cuijk;1;4;0;0;0;0
Culemborg;6;20,7;0;0;0;0
Dalfsen;0;0;0;0;0;0
Dantumadiel;0;0;0;0;0;0
De Bilt;4;9,3;0;0;0;0
De Fryske Marren;1;1,9;0;0;0;0
De Ronde Venen;0;0;0;0;0;0
De Wolden;0;0;0;0;0;0
Delft;7;6,8;0;0;0;0
Delfzijl;0;0;0;0;0;0
Den Helder;2;3,6;0;0;0;0
Deurne;1;3,1;0;0;0;0
Deventer;14;13,9;0;0;0;0
Diemen;2;6,5;0;0;0;0
Dinkelland;0;0;0;0;0;0
Doesburg;0;0;0;0;0;0
Doetinchem;0;0;0;0;0;0
Dongen;0;0;0;0;0;0
Dordrecht;7;5,9;0;0;0;0
Drechterland;0;0;0;0;0;0
Drimmelen;2;7,3;0;0;0;0
Dronten;0;0;0;0;0;0
Druten;0;0;0;0;0;0
Duiven;0;0;0;0;0;0
Echt-Susteren;0;0;0;0;0;0
Edam-Volendam;0;0;0;0;0;0
Ede;0;0;0;0;0;0
Eemnes;1;10,8;0;0;0;0
Eersel;0;0;0;0;0;0
Eijsden-Margraten;0;0;0;0;0;0
Eindhoven;11;4,7;0;0;0;0
Elburg;0;0;0;0;0;0
Emmen;0;0;0;0;0;0
Enkhuizen;0;0;0;0;0;0
Enschede;8;5;0;0;0;0
Epe;0;0;0;0;0;0
Ermelo;0;0;0;0;0;0
Etten-Leur;3;6,8;0;0;0;0
Geertruidenberg;0;0;0;0;0;0
Geldrop-Mierlo;0;0;0;0;0;0
Gemert-Bakel;8;26;0;0;0;0
Gennep;0;0;0;0;0;0
Gilze en Rijen;5;18,9;0;0;0;0
Goeree-Overflakkee;0;0;0;0;0;0
Goes;15;39,4;0;0;0;0
Goirle;4;16,7;0;0;0;0
Gooise Meren;3;5,2;0;0;0;0
Gorinchem;0;0;0;0;0;0
Gouda;12;16,3;1;1,4;0;0
Grave;0;0;0;0;0;0
Groningen (gemeente);4;1,7;0;0;0;0
Gulpen-Wittem;1;7,1;0;0;0;0
Haaksbergen;0;0;0;0;0;0
Haaren;1;7;0;0;0;0
Haarlem;6;3,7;0;0;0;0
Haarlemmermeer;12;7,7;0;0;0;0
Halderberge;2;6,6;0;0;0;0
Hardenberg;0;0;0;0;0;0
Harderwijk;0;0;0;0;0;0
Hardinxveld-Giessendam;1;5,5;0;0;0;0
Harlingen;0;0;0;0;0;0
Hattem;0;0;0;0;0;0
Heemskerk;2;5,1;0;0;0;0
Heemstede;5;18,4;0;0;0;0
Heerde;0;0;0;0;0;0
Heerenveen;2;4;0;0;0;0
Heerhugowaard;0;0;0;0;0;0
Heerlen;1;1,1;0;0;0;0
Heeze-Leende;0;0;0;0;0;0
Heiloo;0;0;0;0;0;0
Hellendoorn;0;0;0;0;0;0
Hellevoetsluis;4;10;0;0;0;0
Helmond;4;4,3;0;0;1;1,1
Hendrik-Ido-Ambacht;1;3,2;0;0;0;0
Hengelo (O.);0;0;0;0;0;0
Het Hogeland;1;2,1;0;0;0;0
Heumen;0;0;0;0;0;0
Heusden;0;0;0;0;0;0
Hillegom;1;4,5;0;0;0;0
Hilvarenbeek;2;12,9;0;0;0;0
Hilversum;7;7,7;0;0;0;0
Hoeksche Waard;0;0;0;0;0;0
Hof van Twente;0;0;0;0;0;0
Hollands Kroon;1;2,1;0;0;0;0
Hoogeveen;0;0;0;0;0;0
Hoorn;1;1,4;0;0;0;0
Horst aan de Maas;0;0;0;0;0;0
Houten;3;6;0;0;0;0
Huizen;11;26,7;0;0;0;0
Hulst;0;0;0;0;0;0
IJsselstein;1;2,9;0;0;0;0
Kaag en Braassem;1;3,7;0;0;0;0
Kampen;0;0;0;0;1;1,8
Kapelle;1;7,9;0;0;0;0
Katwijk;5;7,6;0;0;0;0
Kerkrade;0;0;0;0;0;0
Koggenland;0;0;0;0;0;0
Krimpen aan den IJssel;0;0;0;0;0;0
Krimpenerwaard;4;7,1;0;0;0;0
Laarbeek;0;0;0;0;0;0
Landerd;0;0;0;0;0;0
Landgraaf;0;0;0;0;0;0
Landsmeer;0;0;0;0;0;0
Langedijk;1;3,6;0;0;0;0
Lansingerland;2;3,2;0;0;0;0
Laren (NH.);0;0;0;0;0;0
Leeuwarden;2;1,6;0;0;0;0
Leiden;2;1,6;0;0;0;0
Leiderdorp;0;0;0;0;0;0
Leidschendam-Voorburg;7;9,1;0;0;0;0
Lelystad;0;0;0;0;0;0
Leudal;2;5,6;0;0;0;0
Leusden;0;0;0;0;0;0
Lingewaard;0;0;0;0;0;0
Lisse;2;8,7;0;0;0;0
