Updated;Confirmed;ConfirmedChange;Deaths;DeathsChange;Recovered;RecoveredChange;Latitude;Longitude;ISO2;ISO3;Country_Region;AdminRegion1;AdminRegion2
2020-02-27;1;;0;;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-02-28;2;1;0;0;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-02-29;6;4;0;0;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-01;9;3;0;0;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-02;19;10;0;0;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-03;24;5;0;0;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-04;38;14;0;0;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-05;82;44;0;0;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-06;128;46;1;1;0;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-07;188;60;1;0;0;0;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-08;264;76;3;2;0;0;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-09;321;57;4;1;0;0;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-10;382;61;4;0;0;0;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-11;503;121;5;1;0;0;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-12;614;111;5;0;0;0;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-13;804;190;10;5;0;0;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-14;959;155;12;2;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-15;1135;176;20;8;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-16;1413;278;24;4;0;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-17;1705;292;43;19;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-18;2051;346;58;15;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-19;2460;409;76;18;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-20;2994;534;106;30;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-21;3631;637;136;30;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-22;4204;573;179;43;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-23;4749;545;213;34;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-24;5560;811;276;63;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-25;6412;852;356;80;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-26;7431;1019;434;78;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-27;8603;1172;546;112;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-28;9762;1159;639;93;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-29;10866;1104;771;132;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-30;11750;884;864;93;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-03-31;12595;845;1039;175;250;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-01;13614;1019;1173;134;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-02;14697;1083;1339;166;0;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-03;15723;1026;1487;148;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-04;16627;904;1651;164;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-05;17851;1224;1766;115;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-06;18803;952;1867;101;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-07;19580;777;2101;234;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-08;20549;969;2248;147;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-09;21762;1213;2396;148;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-10;23097;1335;2511;115;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-11;24413;1316;2643;132;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-12;25587;1174;2737;94;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-13;26551;964;2823;86;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-14;27419;868;2945;122;3459;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-15;28153;734;3134;189;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-16;29214;1061;3315;181;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-17;30449;1235;3459;144;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-18;31589;1140;3601;142;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-19;32655;1066;3684;83;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-20;33405;750;3751;67;3459;0;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-21;34134;729;3916;165;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-22;34842;708;4054;138;3459;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-23;35729;887;4177;123;;;52.34226;5.52816;NL;NLD;Netherlands;;
2020-04-24;36535;806;4289;112;3459;;52.34226;5.52816;NL;NLD;Netherlands;;
