Updated;Confirmed;ConfirmedChange;Deaths;DeathsChange;Recovered;RecoveredChange;Latitude;Longitude;ISO2;ISO3;Country_Region;AdminRegion1;AdminRegion2
21-1-2020;262;;0;;;;;;;;Worldwide;;
22-1-2020;313;51;0;0;;;;;;;Worldwide;;
23-1-2020;578;265;0;0;;;;;;;Worldwide;;
24-1-2020;841;263;0;0;;;;;;;Worldwide;;
25-1-2020;1320;479;0;0;;;;;;;Worldwide;;
26-1-2020;2014;694;0;0;;;;;;;Worldwide;;
27-1-2020;2798;784;0;0;;;;;;;Worldwide;;
28-1-2020;4593;1795;0;0;;;;;;;Worldwide;;
29-1-2020;6065;1472;0;0;;;;;;;Worldwide;;
30-1-2020;7818;1753;0;0;;;;;;;Worldwide;;
31-1-2020;9826;2008;0;0;;;;;;;Worldwide;;
1-2-2020;11953;2127;0;0;;;;;;;Worldwide;;
2-2-2020;14557;2604;0;0;;;;;;;Worldwide;;
3-2-2020;17386;2829;362;362;;;;;;;Worldwide;;
4-2-2020;20625;3239;426;64;;;;;;;Worldwide;;
5-2-2020;24549;3924;492;66;;;;;;;Worldwide;;
6-2-2020;28256;3707;565;73;;;;;;;Worldwide;;
7-2-2020;31420;3164;638;73;;;;;;;Worldwide;;
8-2-2020;34822;3402;724;86;;;;;;;Worldwide;;
9-2-2020;37494;2672;813;89;;;;;;;Worldwide;;
10-2-2020;40484;2990;910;97;;;;;;;Worldwide;;
11-2-2020;42968;2484;1018;108;;;;;;;Worldwide;;
12-2-2020;44996;2028;1115;97;;;;;;;Worldwide;;
13-2-2020;46823;1827;1369;254;;;;;;;Worldwide;;
14-2-2020;64219;17396;1383;14;;;;;;;Worldwide;;
15-2-2020;66884;2665;1526;143;;;;;;;Worldwide;;
16-2-2020;68912;2028;1669;143;;;;;;;Worldwide;;
17-2-2020;70975;2063;1775;106;;;;;;;Worldwide;;
18-2-2020;72778;1803;1873;98;;;;;;;Worldwide;;
19-2-2020;75204;2426;2009;136;;;;;;;Worldwide;;
20-2-2020;75748;544;2129;120;;;;;;;Worldwide;;
21-2-2020;76769;1021;2247;118;;;;;;;Worldwide;;
22-2-2020;77794;1025;2359;112;;;;;;;Worldwide;;
23-2-2020;78811;1017;2462;103;;;;;;;Worldwide;;
24-2-2020;79331;520;2618;156;;;;;;;Worldwide;;
25-2-2020;80239;908;2700;82;;;;;;;Worldwide;;
26-2-2020;81109;870;2762;62;;;;;;;Worldwide;;
27-2-2020;82294;1185;2804;42;;;;;;;Worldwide;;
28-2-2020;83652;1358;2858;54;;;;;;;Worldwide;;
29-2-2020;85403;1751;2924;66;;;;;;;Worldwide;;
1-3-2020;87137;1734;2977;53;;;;;;;Worldwide;;
2-3-2020;88948;1811;3043;66;;;;;;;Worldwide;;
3-3-2020;90869;1921;3112;69;;;;;;;Worldwide;;
4-3-2020;93091;2222;3198;86;;;;;;;Worldwide;;
5-3-2020;95324;2233;3281;83;;;;;;;Worldwide;;
6-3-2020;98192;2868;3380;99;;;;;;;Worldwide;;
7-3-2020;101927;3735;3486;106;;;;;;;Worldwide;;
8-3-2020;105586;3659;3584;98;;;;;;;Worldwide;;
9-3-2020;109577;3991;3809;225;;;;;;;Worldwide;;
10-3-2020;113702;4125;4012;203;;;;;;;Worldwide;;
11-3-2020;118319;4617;4292;280;;;;;;;Worldwide;;
12-3-2020;125260;6941;4613;321;;;;;;;Worldwide;;
13-3-2020;132755;7495;4955;342;;;;;;;Worldwide;;
14-3-2020;142534;9779;5392;437;;;;;;;Worldwide;;
15-3-2020;153517;10983;5735;343;;;;;;;Worldwide;;
16-3-2020;167515;13998;6606;871;;;;;;;Worldwide;;
17-3-2020;179111;11596;7426;820;81727;;;;;;Worldwide;;
18-3-2020;191127;12016;7807;381;84446;2719;;;;;Worldwide;;
19-3-2020;244799;53672;10030;2223;87407;2961;;;;;Worldwide;;
20-3-2020;275130;30331;11376;1346;90943;3536;;;;;Worldwide;;
21-3-2020;304999;29869;13003;1627;94793;3850;;;;;Worldwide;;
22-3-2020;335403;30404;14611;1608;97636;2843;;;;;Worldwide;;
23-3-2020;378394;42991;16491;1880;101584;3948;;;;;Worldwide;;
24-3-2020;417663;39269;18605;2114;108312;6728;;;;;Worldwide;;
25-3-2020;463387;45724;20912;2307;113802;5490;;;;;Worldwide;;
26-3-2020;529614;66227;23714;2802;121454;7652;;;;;Worldwide;;
27-3-2020;587958;58344;26909;3195;132440;10986;;;;;Worldwide;;
28-3-2020;662541;74583;30839;3930;141468;9028;;;;;Worldwide;;
29-3-2020;720415;57874;33908;3069;150918;9450;;;;;Worldwide;;
30-3-2020;777286;56871;37140;3232;164446;13528;;;;;Worldwide;;
31-3-2020;856955;79669;42089;4949;177917;13471;;;;;Worldwide;;
1-4-2020;932605;75650;46809;4720;193259;15342;;;;;Worldwide;;
2-4-2020;1011490;78885;52863;6054;210186;16927;;;;;Worldwide;;
3-4-2020;1095917;84427;58787;5924;225796;15610;;;;;Worldwide;;
4-4-2020;1196553;100636;64549;5762;246108;20312;;;;;Worldwide;;
5-4-2020;1272115;75562;69309;4760;260012;13904;;;;;Worldwide;;
6-4-2020;1341907;69792;74565;5256;276259;16247;;;;;Worldwide;;
7-4-2020;1426096;84189;81259;6694;300054;23795;;;;;Worldwide;;
8-4-2020;1504971;78875;87984;6725;328661;28607;;;;;Worldwide;;
9-4-2020;1587209;82238;94850;6866;353291;24630;;;;;Worldwide;;
10-4-2020;1684833;97624;102136;7286;375499;22208;;;;;Worldwide;;
11-4-2020;1764622;79789;107904;5768;385999;10500;;;;;Worldwide;;
12-4-2020;1838772;74150;107904;0;421497;35498;;;;;Worldwide;;
13-4-2020;1912923;74151;118966;11062;448053;26556;;;;;Worldwide;;
14-4-2020;1970879;57956;125678;6712;472948;24895;;;;;Worldwide;;
15-4-2020;2056055;85176;133572;7894;511019;38071;;;;;Worldwide;;
16-4-2020;2151199;95144;143725;10153;541501;30482;;;;;Worldwide;;
17-4-2020;2234109;82910;153379;9654;567695;26194;;;;;Worldwide;;
18-4-2020;2310572;76463;158691;5312;590682;22987;;;;;Worldwide;;
19-4-2020;2394291;83719;164938;6247;611880;21198;;;;;Worldwide;;
20-4-2020;2470410;76119;169794;4856;645335;33455;;;;;Worldwide;;
21-4-2020;2560504;90094;176926;7132;679793;34458;;;;;Worldwide;;
22-4-2020;2628894;68390;182992;6066;709050;29257;;;;;Worldwide;;
23-4-2020;2699338;70444;188437;5445;737735;28685;;;;;Worldwide;;
24-4-2020;2790986;91648;195920;7483;781382;43647;;;;;Worldwide;;
25-4-2020;2868539;77553;201502;5582;811660;30278;;;;;Worldwide;;
26-4-2020;2965363;96824;206265;4763;863464;51804;;;;;Worldwide;;
27-4-2020;3002303;36940;208131;1866;878813;15349;;;;;Worldwide;;
28-4-2020;3083467;81164;213824;5693;915988;37175;;;;;Worldwide;;
29-4-2020;3170335;86868;224708;10884;958353;42365;;;;;Worldwide;;
30-4-2020;3249022;78687;230804;6096;1006112;47759;;;;;Worldwide;;
1-5-2020;3303296;54274;235290;4486;1039588;33476;;;;;Worldwide;;
2-5-2020;3419184;115888;243355;8065;1092644;53056;;;;;Worldwide;;
3-5-2020;3502126;82942;247107;3752;1124127;31483;;;;;Worldwide;;
4-5-2020;3578301;76175;251059;3952;1162279;38152;;;;;Worldwide;;
5-5-2020;3659271;80970;256736;5677;1197340;35061;;;;;Worldwide;;
6-5-2020;3744585;85314;263068;6332;1238250;40910;;;;;Worldwide;;
7-5-2020;3836215;91630;268999;5931;1278499;40249;;;;;Worldwide;;
8-5-2020;3932896;96681;274422;5423;1313004;34505;;;;;Worldwide;;
9-5-2020;4018342;85446;278756;4334;1363698;50694;;;;;Worldwide;;
10-5-2020;4097158;78816;282495;3739;1402882;39184;;;;;Worldwide;;
11-5-2020;4168427;71269;285445;2950;1452626;49744;;;;;Worldwide;;
12-5-2020;4233504;65077;289932;4487;1481314;28688;;;;;Worldwide;;
13-5-2020;4336973;103469;296252;6320;1540464;59150;;;;;Worldwide;;
14-5-2020;4434590;97617;301937;5685;1583929;43465;;;;;Worldwide;;
15-5-2020;4531811;97221;307001;5064;1632286;48357;;;;;Worldwide;;
16-5-2020;4626632;94821;311363;4362;1679428;47142;;;;;Worldwide;;
17-5-2020;4710614;83982;315023;3660;1732344;52916;;;;;Worldwide;;
18-5-2020;4786672;76058;317695;2672;1776641;44297;;;;;Worldwide;;
19-5-2020;4889287;102615;322683;4988;1679155;-97486;;;;;Worldwide;;
20-5-2020;4968689;79402;326515;3832;1885535;206380;;;;;Worldwide;;
21-5-2020;5076846;108157;332425;5910;1936947;51412;;;;;Worldwide;;
22-5-2020;5180982;104136;336432;4007;1992496;55549;;;;;Worldwide;;
23-5-2020;5280743;99761;340477;4045;2090465;97969;;;;;Worldwide;;
24-5-2020;5383582;102839;344077;3600;2158031;67566;;;;;Worldwide;;
25-5-2020;5471768;88186;344911;834;2223523;65492;;;;;Worldwide;;
26-5-2020;5559130;87362;348610;3699;2271268;47745;;;;;Worldwide;;
27-5-2020;5682389;123259;354944;6334;2337385;66117;;;;;Worldwide;;
28-5-2020;5803416;121027;359791;4847;2399247;61862;;;;;Worldwide;;
29-5-2020;5916464;113048;364357;4566;2486634;87387;;;;;Worldwide;;
30-5-2020;6048384;131920;368604;4247;2538227;51593;;;;;Worldwide;;
31-5-2020;6132154;83770;371154;2550;2631567;93340;;;;;Worldwide;;
1-6-2020;6246042;113888;374452;3298;2687848;56281;;;;;Worldwide;;
2-6-2020;6325303;79261;377460;3008;2727679;39831;;;;;Worldwide;;
3-6-2020;6444298;118995;382435;4975;2764304;36625;;;;;Worldwide;;
4-6-2020;6573286;128988;387898;5463;2837955;73651;;;;;Worldwide;;
5-6-2020;6722408;149122;393934;6036;2996534;158579;;;;;Worldwide;;
6-6-2020;6852810;130402;398211;4277;3071142;74608;;;;;Worldwide;;
7-6-2020;6979789;126979;401848;3637;3130301;59159;;;;;Worldwide;;
8-6-2020;7085894;106105;405168;3320;3180479;50178;;;;;Worldwide;;
9-6-2020;7185573;99679;408954;3786;3352665;172186;;;;;Worldwide;;
10-6-2020;7313661;128088;413854;4900;3442630;89965;;;;;Worldwide;;
11-6-2020;7414050;100389;417514;3660;3488251;45621;;;;;Worldwide;;
12-6-2020;7617591;203541;424587;7073;3601584;113333;;;;;Worldwide;;
13-6-2020;7715890;98299;427670;3083;3662834;61250;;;;;Worldwide;;
14-6-2020;7835340;119450;431141;3471;3733612;70778;;;;;Worldwide;;
15-6-2020;7963453;128113;434432;3291;3809566;75954;;;;;Worldwide;;
16-6-2020;8085932;122479;438453;4021;3918176;108610;;;;;Worldwide;;
17-6-2020;8261260;175328;445468;7015;4013202;95026;;;;;Worldwide;;
18-6-2020;8400320;139060;450435;4967;4109183;95981;;;;;Worldwide;;
19-6-2020;8519543;119223;454582;4147;4184445;75262;;;;;Worldwide;;
20-6-2020;8716985;197442;461206;6624;4286643;102198;;;;;Worldwide;;
21-6-2020;8802328;85343;464620;3414;4372440;85797;;;;;Worldwide;;
22-6-2020;9030328;228000;469939;5319;4475013;102573;;;;;Worldwide;;
23-6-2020;9154232;123904;473650;3711;4585022;110009;;;;;Worldwide;;
24-6-2020;9237691;83459;476911;3261;4613425;28403;;;;;Worldwide;;
25-6-2020;9494571;256880;484155;7244;4782910;169485;;;;;Worldwide;;
26-6-2020;9641472;146901;489990;5835;4865562;82652;;;;;Worldwide;;
27-6-2020;9891727;250255;496075;6085;5004567;139005;;;;;Worldwide;;
28-6-2020;10044731;153004;499892;3817;5085018;80451;;;;;Worldwide;;
29-6-2020;10199798;155067;502947;3055;5169421;84403;;;;;Worldwide;;
30-6-2020;10368165;168367;507188;4241;5284524;115103;;;;;Worldwide;;
1-7-2020;10512383;144218;512331;5143;5387249;102725;;;;;Worldwide;;
2-7-2020;10694288;181905;516210;3879;5480394;93145;;;;;Worldwide;;
3-7-2020;10874146;179858;521355;5145;5767410;287016;;;;;Worldwide;;
4-7-2020;11169802;295656;528232;6877;6010342;242932;;;;;Worldwide;;
5-7-2020;11304534;134732;531659;3427;6111195;100853;;;;;Worldwide;;
6-7-2020;11483400;178866;535027;3368;6214206;103011;;;;;Worldwide;;
7-7-2020;11694766;211366;540157;5130;6349542;135336;;;;;Worldwide;;
8-7-2020;11910220;215454;546318;6161;6506408;156866;;;;;Worldwide;;
9-7-2020;12169400;259180;552104;5786;6696322;189914;;;;;Worldwide;;
10-7-2020;12373722;204322;556863;4759;6786196;89874;;;;;Worldwide;;
11-7-2020;12507849;134127;560460;3597;6890914;104718;;;;;Worldwide;;
12-7-2020;12726677;218828;560460;0;6890914;0;;;;;Worldwide;;
13-7-2020;12945505;218828;571444;10984;7001675;110761;;;;;Worldwide;;
14-7-2020;13203571;258066;575201;3757;7331068;329393;;;;;Worldwide;;
15-7-2020;13382020;178449;580038;4837;7445299;114231;;;;;Worldwide;;
16-7-2020;13654445;272425;586174;6136;7622505;177206;;;;;Worldwide;;
17-7-2020;13926476;272031;593209;7035;7796508;174003;;;;;Worldwide;;
18-7-2020;14126035;199559;598098;4889;7931486;134978;;;;;Worldwide;;
19-7-2020;14394056;268021;603697;5599;8084942;153456;;;;;Worldwide;;
20-7-2020;14608517;214461;608420;4723;8201516;116574;;;;;Worldwide;;
21-7-2020;14774887;166370;611599;3179;8340042;138526;;;;;Worldwide;;
22-7-2020;15008046;233159;617902;6303;8511330;171288;;;;;Worldwide;;
23-7-2020;15429889;421843;631680;13778;8758636;247306;;;;;Worldwide;;
24-7-2020;15628936;199047;636262;4582;8917141;158505;;;;;Worldwide;;
25-7-2020;15909757;280821;641889;5627;9164700;247559;;;;;Worldwide;;
26-7-2020;16117308;207551;645482;3593;9289876;125176;;;;;Worldwide;;
27-7-2020;16360298;242990;650918;5436;9454796;164920;;;;;Worldwide;;
28-7-2020;16605067;244769;657337;6419;9644387;189591;;;;;Worldwide;;
29-7-2020;16845602;240535;662577;5240;9836182;191795;;;;;Worldwide;;
30-7-2020;17109335;263733;668801;6224;10000738;164556;;;;;Worldwide;;
31-7-2020;17321394;212059;673822;5021;10155026;154288;;;;;Worldwide;;
1-8-2020;17594541;273147;679439;5617;10333166;178140;;;;;Worldwide;;
2-8-2020;17852451;257910;679794;355;10598327;265161;;;;;Worldwide;;
3-8-2020;18166298;313847;690953;11159;10768016;169689;;;;;Worldwide;;
4-8-2020;18445787;279489;691740;787;11036083;268067;;;;;Worldwide;;
5-8-2020;18635877;190090;702903;11163;11206409;170326;;;;;Worldwide;;
