Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
;564;1161,2;213;455,3;5;9,9
Aa en Hunze;0;0;0;0;0;0
Aalsmeer;3;9,4;0;0;0;0
Aalten;0;0;0;0;0;0
Achtkarspelen;0;0;0;0;0;0
Alblasserdam;0;0;1;5;0;0
Albrandswaard;1;3,9;0;0;0;0
Alkmaar;1;0,9;2;1,8;0;0
Almelo;1;1,4;0;0;0;0
Almere;1;0,5;2;0,9;0;0
Alphen aan den Rijn;2;1,8;0;0;0;0
Alphen-Chaam;0;0;0;0;0;0
Altena;5;8,9;3;5,4;0;0
Ameland;0;0;0;0;0;0
Amersfoort;3;1,9;2;1,3;0;0
Amstelveen;2;2,2;0;0;0;0
Amsterdam;16;1,8;3;0,3;0;0
Apeldoorn;1;0,6;0;0;0;0
Appingedam;0;0;0;0;0;0
Arnhem;3;1,9;1;0,6;0;0
Assen;0;0;0;0;0;0
Asten;0;0;1;6;0;0
Baarle-Nassau;0;0;0;0;0;0
Baarn;0;0;0;0;0;0
Barendrecht;1;2,1;1;2,1;0;0
Barneveld;0;0;0;0;0;0
Beek (L.);0;0;0;0;0;0
Beekdaelen;8;22,3;2;5,6;0;0
Beemster;0;0;0;0;0;0
Beesel;0;0;0;0;0;0
Berg en Dal;3;8,6;0;0;0;0
Bergeijk;1;5,4;0;0;0;0
Bergen (L.);0;0;0;0;0;0
Bergen (NH.);0;0;0;0;0;0
Bergen op Zoom;1;1,5;2;3;0;0
Berkelland;0;0;0;0;0;0
Bernheze;2;6,4;2;6,4;0;0
Best;3;10;2;6,7;0;0
Beuningen;3;11,6;0;0;0;0
Beverwijk;4;9,6;2;4,8;0;0
Bladel;0;0;0;0;0;0
Blaricum;1;8,7;0;0;0;0
Bloemendaal;1;4,2;0;0;0;0
Bodegraven-Reeuwijk;0;0;0;0;0;0
Boekel;8;74,2;3;27,8;0;0
Borger-Odoorn;0;0;0;0;0;0
Borne;3;12,9;1;4,3;0;0
Borsele;1;4,4;1;4,4;0;0
Boxmeer;0;0;0;0;0;0
Boxtel;0;0;0;0;0;0
Breda;45;24,4;13;7,1;0;0
Brielle;0;0;1;5,8;0;0
Bronckhorst;2;5,5;0;0;0;0
Brummen;0;0;0;0;0;0
Brunssum;0;0;1;3,6;0;0
Bunnik;0;0;0;0;0;0
Bunschoten;0;0;0;0;0;0
Buren;1;3,7;0;0;0;0
Capelle aan den IJssel;0;0;0;0;0;0
Castricum;0;0;1;2,8;0;0
Coevorden;11;31,2;0;0;0;0
Cranendonck;1;4,7;0;0;0;0
Cuijk;1;4;0;0;0;0
Culemborg;1;3,5;0;0;0;0
Dalfsen;0;0;1;3,5;0;0
Dantumadiel;0;0;0;0;0;0
De Bilt;10;23,2;1;2,3;0;0
De Fryske Marren;0;0;0;0;0;0
De Ronde Venen;0;0;0;0;0;0
De Wolden;0;0;0;0;0;0
Delft;1;1;0;0;0;0
Delfzijl;0;0;0;0;0;0
Den Helder;1;1,8;0;0;0;0
Deurne;3;9,2;1;3,1;0;0
Deventer;0;0;0;0;0;0
Diemen;0;0;0;0;0;0
Dinkelland;3;11,3;1;3,8;0;0
Doesburg;0;0;0;0;0;0
Doetinchem;0;0;0;0;0;0
Dongen;3;11,4;0;0;0;0
Dordrecht;0;0;1;0,8;0;0
Drechterland;0;0;0;0;0;0
Drimmelen;4;14,7;1;3,7;0;0
Dronten;0;0;0;0;0;0
Druten;1;5,3;0;0;0;0
Duiven;0;0;0;0;0;0
Echt-Susteren;0;0;0;0;0;0
Edam-Volendam;0;0;1;2,8;0;0
Ede;0;0;0;0;0;0
Eemnes;0;0;0;0;0;0
Eersel;0;0;0;0;0;0
Eijsden-Margraten;0;0;1;3,9;0;0
Eindhoven;6;2,6;1;0,4;0;0
Elburg;0;0;0;0;0;0
Emmen;1;0,9;0;0;0;0
Enkhuizen;0;0;0;0;0;0
Enschede;2;1,3;0;0;0;0
Epe;0;0;0;0;0;0
Ermelo;1;3,7;3;11,1;0;0
Etten-Leur;5;11,4;1;2,3;1;2,3
Geertruidenberg;1;4,6;0;0;0;0
Geldrop-Mierlo;1;2,5;0;0;0;0
Gemert-Bakel;7;22,8;5;16,3;0;0
Gennep;0;0;0;0;0;0
Gilze en Rijen;0;0;0;0;0;0
Goeree-Overflakkee;0;0;0;0;0;0
