"Gemeente";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage (gemeente)";285;52,2;26;4,8;67;12,3
"'s-Hertogenbosch";71;45,8;3;1,9;10;6,4
"Aa en Hunze";1;3,9;0;0;0;0
"Aalsmeer";2;6,3;0;0;0;0
"Aalten";6;22,1;0;0;3;11,1
"Achtkarspelen";2;7,2;0;0;0;0
"Alblasserdam";4;19,8;0;0;2;9,9
"Albrandswaard";11;43;2;7,8;0;0
"Alkmaar";25;22,8;2;1,8;4;3,7
"Almelo";6;8,2;0;0;1;1,4
"Almere";93;43,9;10;4,7;8;3,8
"Alphen aan den Rijn";22;19,7;2;1,8;5;4,5
"Alphen-Chaam";2;19,6;0;0;0;0
"Altena";12;21,4;1;1,8;0;0
"Ameland";0;0;0;0;0;0
"Amersfoort";25;15,9;1;0,6;4;2,5
"Amstelveen";28;30,5;0;0;4;4,4
"Amsterdam";427;48,9;46;5,3;62;7,1
"Apeldoorn";68;41,5;7;4,3;13;7,9
"Appingedam";1;8,6;0;0;0;0
"Arnhem";46;28,5;6;3,7;3;1,9
"Assen";6;8,7;0;0;0;0
"Asten";11;65,8;1;6;2;12
"Baarle-Nassau";5;72,9;0;0;1;14,6
"Baarn";15;60,3;1;4;4;16,1
"Barendrecht";22;45,2;5;10,3;2;4,1
"Barneveld";13;22;1;1,7;0;0
"Beek (L.)";5;31,5;0;0;2;12,6
"Beekdaelen";39;108,5;5;13,9;2;5,6
"Beemster";1;10;0;0;0;0
"Beesel";1;7,4;0;0;0;0
"Berg en Dal";10;28,6;0;0;2;5,7
"Bergeijk";5;26,8;2;10,7;0;0
"Bergen (L.)";4;30,6;0;0;0;0
"Bergen (NH.)";3;10,1;0;0;0;0
"Bergen op Zoom";29;43;1;1,5;2;3
"Berkelland";12;27,4;1;2,3;3;6,9
"Bernheze";28;89,6;3;9,6;8;25,6
"Best";15;50;0;0;0;0
"Beuningen";10;38,6;1;3,9;1;3,9
"Beverwijk";2;4,8;0;0;3;7,2
"Bladel";9;44,1;2;9,8;1;4,9
"Blaricum";3;26;1;8,7;0;0
"Bloemendaal";5;21,2;1;4,2;2;8,5
"Bodegraven-Reeuwijk";14;40,1;0;0;0;0
"Boekel";3;27,8;0;0;0;0
"Borger-Odoorn";2;7,8;0;0;0;0
"Borne";6;25,7;0;0;0;0
"Borsele";1;4,4;0;0;0;0
"Boxmeer";18;61,3;0;0;5;17
"Boxtel";8;26;1;3,2;0;0
"Breda";47;25,5;4;2,2;6;3,3
"Brielle";5;29;0;0;0;0
"Bronckhorst";15;41,6;3;8,3;1;2,8
"Brummen";4;19,3;2;9,6;1;4,8
"Brunssum";17;61,1;4;14,4;3;10,8
"Bunnik";14;92,2;0;0;0;0
"Bunschoten";10;45,7;1;4,6;2;9,1
"Buren";11;41,1;3;11,2;1;3,7
"Capelle aan den IJssel";35;52,1;2;3;11;16,4
"Castricum";2;5,6;0;0;0;0
"Coevorden";8;22,7;1;2,8;0;0
"Cranendonck";9;42,6;1;4,7;8;37,8
"Cuijk";21;83,6;0;0;0;0
"Culemborg";5;17,3;0;0;0;0
"Dalfsen";8;28;0;0;0;0
"Dantumadiel";0;0;0;0;0;0
"De Bilt";39;90,4;0;0;9;20,9
"De Fryske Marren";5;9,7;0;0;0;0
"De Ronde Venen";13;29,2;1;2,2;3;6,7
"De Wolden";8;32,9;1;4,1;3;12,3
"Delft";20;19,3;0;0;2;1,9
"Delfzijl";2;8,1;1;4,1;0;0
"Den Helder";1;1,8;0;0;1;1,8
"Deurne";21;64,7;1;3,1;4;12,3
"Deventer";47;46,7;3;3;2;2
"Diemen";28;91;1;3,2;4;13
"Dinkelland";4;15,1;1;3,8;1;3,8
"Doesburg";10;90,3;2;18,1;0;0
"Doetinchem";18;31;2;3,4;1;1,7
"Dongen";12;45,8;0;0;1;3,8
"Dordrecht";46;38,6;4;3,4;6;5
"Drechterland";2;10,1;0;0;0;0
"Drimmelen";8;29,3;0;0;3;11
"Dronten";16;38,5;3;7,2;0;0
"Druten";8;42,3;3;15,9;1;5,3
"Duiven";8;31,8;1;4;2;8
"Echt-Susteren";9;28,5;2;6,3;0;0
"Edam-Volendam";10;27,6;0;0;1;2,8
"Ede";26;22,2;0;0;2;1,7
"Eemnes";0;0;0;0;0;0
"Eersel";6;31,1;1;5,2;1;5,2
"Eijsden-Margraten";20;77,6;1;3,9;6;23,3
"Eindhoven";68;29;8;3,4;10;4,3
"Elburg";21;90,7;3;13;3;13
"Emmen";24;22,4;0;0;1;0,9
"Enkhuizen";2;10,8;0;0;0;0
"Enschede";22;13,8;2;1,3;3;1,9
"Epe";18;54,3;1;3;5;15,1
"Ermelo";30;111,1;2;7,4;3;11,1
"Etten-Leur";25;57;0;0;2;4,6
"Geertruidenberg";9;41,8;0;0;1;4,6
"Geldrop-Mierlo";15;37,8;5;12,6;2;5
"Gemert-Bakel";17;55,3;2;6,5;1;3,3
"Gennep";5;29,5;1;5,9;0;0
"Gilze en Rijen";7;26,5;0;0;2;7,6
"Goeree-Overflakkee";6;12;0;0;3;6
"Goes";3;7,9;0;0;1;2,6
"Goirle";4;16,7;0;0;1;4,2
"Gooise Meren";9;15,5;0;0;0;0
"Gorinchem";14;37,8;0;0;2;5,4
"Gouda";19;25,9;4;5,4;13;17,7
"Grave";12;96,5;1;8;2;16,1
"Groningen (gemeente)";13;5,6;1;0,4;1;0,4
"Gulpen-Wittem";12;84,7;3;21,2;5;35,3
"Haaksbergen";3;12,3;0;0;2;8,2
"Haaren";5;34,8;1;7;0;0
"Haarlem";23;14,1;4;2,5;3;1,8
"Haarlemmermeer";36;23,1;3;1,9;6;3,8
"Halderberge";2;6,6;0;0;0;0
"Hardenberg";15;24,6;0;0;1;1,6
"Harderwijk";37;76,4;3;6,2;6;12,4
"Hardinxveld-Giessendam";3;16,4;0;0;0;0
"Harlingen";0;0;0;0;0;0
"Hattem";2;16,4;0;0;0;0
"Heemskerk";3;7,7;0;0;0;0
"Heemstede";1;3,7;0;0;3;11
"Heerde";28;150,6;4;21,5;5;26,9
"Heerenveen";8;15,8;0;0;2;4
"Heerhugowaard";16;27,8;1;1,7;0;0
"Heerlen";60;68,9;6;6,9;9;10,3
"Heeze-Leende";4;24,8;0;0;0;0
"Heiloo";3;12,5;0;0;1;4,2
"Hellendoorn";31;86,3;0;0;8;22,3
"Hellevoetsluis";4;10;0;0;1;2,5
"Helmond";59;63,8;7;7,6;5;5,4
"Hendrik-Ido-Ambacht";8;25,6;0;0;0;0
"Hengelo (O.)";5;6,2;1;1,2;1;1,2
"Het Hogeland";2;4,2;0;0;1;2,1
"Heumen";10;60,8;0;0;3;18,2
"Heusden";23;51,5;1;2,2;4;9
"Hillegom";2;9;0;0;1;4,5
"Hilvarenbeek";6;38,7;0;0;1;6,4
"Hilversum";54;59,5;2;2,2;10;11
"Hoeksche Waard";72;82,4;4;4,6;6;6,9
"Hof van Twente";4;11,4;1;2,9;0;0
"Hollands Kroon";2;4,1;0;0;0;0
"Hoogeveen";17;30,5;1;1,8;2;3,6
"Hoorn";5;6,8;0;0;0;0
"Horst aan de Maas";14;33;0;0;0;0
"Houten";14;27,9;0;0;1;2
"Huizen";33;80;1;2,4;3;7,3
"Hulst";3;10,9;1;3,6;0;0
"IJsselstein";30;88;1;2,9;3;8,8
"Kaag en Braassem";3;11;0;0;0;0
"Kampen";32;58,9;0;0;0;0
"Kapelle";3;23,6;0;0;0;0
