Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
Aa en Hunze;1;3,9;0;0;0;0
Aalsmeer;7;22;0;0;0;0
Aalten;15;55,3;0;0;0;0
Achtkarspelen;0;0;0;0;0;0
Alblasserdam;4;19,8;0;0;0;0
Albrandswaard;11;43;0;0;0;0
Alkmaar;22;20,1;0;0;0;0
Almelo;12;16,4;0;0;0;0
Almere;108;51;1;0,5;0;0
Alphen aan den Rijn;26;23,2;0;0;0;0
Alphen-Chaam;3;29,4;0;0;0;0
Altena;14;25;0;0;0;0
Ameland;0;0;0;0;0;0
Amersfoort;37;23,5;0;0;1;0,6
Amstelveen;53;57,8;1;1,1;0;0
Amsterdam;1116;127,9;12;1,4;2;0,2
Apeldoorn;11;6,7;0;0;0;0
Appingedam;0;0;0;0;0;0
Arnhem;60;37,2;0;0;0;0
Assen;7;10,2;0;0;0;0
Asten;2;12;0;0;0;0
Baarle-Nassau;6;87,5;0;0;0;0
Baarn;6;24,1;0;0;0;0
Barendrecht;19;39;0;0;0;0
Barneveld;13;22;0;0;0;0
Beek (L.);4;25,2;0;0;0;0
Beekdaelen;5;13,9;0;0;0;0
Beemster;0;0;0;0;0;0
Beesel;2;14,8;0;0;0;0
Berg en Dal;2;5,7;0;0;0;0
Bergeijk;7;37,6;0;0;0;0
Bergen (L.);0;0;0;0;0;0
Bergen (NH.);5;16,8;0;0;0;0
Bergen op Zoom;22;32,6;0;0;0;0
Berkelland;3;6,9;0;0;0;0
Bernheze;13;41,6;0;0;0;0
Best;11;36,7;0;0;0;0
Beuningen;9;34,8;0;0;0;0
Beverwijk;13;31,2;0;0;0;0
Bladel;5;24,5;0;0;0;0
Blaricum;2;17,3;0;0;0;0
Bloemendaal;10;42,4;0;0;0;0
Bodegraven-Reeuwijk;14;40,1;0;0;0;0
Boekel;1;9,3;0;0;0;0
Borger-Odoorn;0;0;0;0;0;0
Borne;3;12,9;0;0;0;0
Borsele;3;13,2;0;0;1;4,4
Boxmeer;10;34,1;0;0;0;0
Boxtel;14;45,5;0;0;0;0
Breda;87;47,3;1;0,5;0;0
Brielle;8;46,3;0;0;0;0
Bronckhorst;2;5,5;0;0;0;0
Brummen;0;0;0;0;0;0
Brunssum;9;32,3;0;0;0;0
Bunnik;2;13,2;0;0;0;0
Bunschoten;9;41,2;0;0;0;0
Buren;2;7,5;0;0;0;0
Capelle aan den IJssel;29;43,2;0;0;3;4,5
Castricum;3;8,3;0;0;0;0
Coevorden;2;5,7;0;0;0;0
Cranendonck;4;18,9;0;0;0;0
