"Gemeente";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage (gemeente)";178;32,6;14;2,6;13;2,4
"'s-Hertogenbosch";22;14,2;0;0;0;0
"Aa en Hunze";0;0;0;0;0;0
"Aalsmeer";0;0;0;0;1;3,1
"Aalten";1;3,7;0;0;0;0
"Achtkarspelen";0;0;0;0;0;0
"Alblasserdam";0;0;0;0;0;0
"Albrandswaard";6;23,4;0;0;0;0
"Alkmaar";0;0;0;0;1;0,9
"Almelo";0;0;0;0;0;0
"Almere";21;9,9;1;0,5;0;0
"Alphen aan den Rijn";13;11,6;1;0,9;0;0
"Alphen-Chaam";0;0;0;0;0;0
"Altena";6;10,7;0;0;0;0
"Ameland";0;0;0;0;0;0
"Amersfoort";9;5,7;0;0;0;0
"Amstelveen";8;8,7;1;1,1;0;0
"Amsterdam";158;18,1;5;0,6;7;0,8
"Apeldoorn";37;22,6;2;1,2;0;0
"Appingedam";0;0;0;0;0;0
"Arnhem";59;36,6;1;0,6;1;0,6
"Assen";1;1,5;0;0;0;0
"Asten";2;12;0;0;0;0
"Baarle-Nassau";0;0;0;0;0;0
"Baarn";3;12,1;0;0;0;0
"Barendrecht";3;6,2;0;0;0;0
"Barneveld";4;6,8;0;0;0;0
"Beek (L.)";0;0;0;0;0;0
"Beekdaelen";5;13,9;1;2,8;1;2,8
"Beemster";2;20;0;0;0;0
"Beesel";3;22,3;0;0;0;0
"Berg en Dal";8;22,9;0;0;0;0
"Bergeijk";3;16,1;0;0;0;0
"Bergen (L.)";1;7,6;0;0;0;0
"Bergen (NH.)";0;0;0;0;0;0
"Bergen op Zoom";12;17,8;0;0;1;1,5
"Berkelland";4;9,1;0;0;0;0
"Bernheze";5;16;0;0;0;0
"Best";4;13,3;0;0;0;0
"Beuningen";1;3,9;0;0;0;0
"Beverwijk";3;7,2;0;0;0;0
"Bladel";3;14,7;0;0;0;0
"Blaricum";1;8,7;0;0;0;0
"Bloemendaal";4;17;0;0;0;0
"Bodegraven-Reeuwijk";1;2,9;0;0;0;0
"Boekel";0;0;0;0;0;0
"Borger-Odoorn";0;0;0;0;0;0
"Borne";0;0;0;0;0;0
"Borsele";0;0;0;0;0;0
"Boxmeer";3;10,2;0;0;0;0
"Boxtel";23;74,7;0;0;3;9,7
"Breda";10;5,4;0;0;1;0,5
"Brielle";1;5,8;0;0;0;0
"Bronckhorst";1;2,8;0;0;0;0
"Brummen";0;0;0;0;0;0
"Brunssum";5;18;0;0;2;7,2
"Bunnik";2;13,2;0;0;0;0
"Bunschoten";2;9,1;0;0;0;0
"Buren";12;44,9;0;0;0;0
"Capelle aan den IJssel";9;13,4;0;0;1;1,5
"Castricum";1;2,8;0;0;0;0
"Coevorden";0;0;0;0;0;0
"Cranendonck";2;9,5;0;0;0;0
"Cuijk";0;0;0;0;0;0
"Culemborg";8;27,6;0;0;0;0
"Dalfsen";1;3,5;0;0;0;0
"Dantumadiel";0;0;0;0;0;0
"De Bilt";5;11,6;1;2,3;2;4,6
"De Fryske Marren";4;7,8;0;0;0;0
"De Ronde Venen";5;11,2;0;0;2;4,5
"De Wolden";3;12,3;0;0;0;0
"Delft";8;7,7;0;0;0;0
"Delfzijl";1;4,1;0;0;0;0
"Den Helder";0;0;0;0;0;0
"Deurne";13;40;0;0;1;3,1
"Deventer";13;12,9;1;1;1;1
"Diemen";2;6,5;0;0;0;0
"Dinkelland";2;7,6;1;3,8;0;0
"Doesburg";0;0;0;0;0;0
"Doetinchem";2;3,4;0;0;0;0
"Dongen";4;15,3;0;0;0;0
"Dordrecht";59;49,5;1;0,8;9;7,5
"Drechterland";1;5,1;0;0;0;0
"Drimmelen";1;3,7;0;0;0;0
"Dronten";2;4,8;0;0;0;0
"Druten";0;0;0;0;0;0
"Duiven";1;4;0;0;0;0
"Echt-Susteren";1;3,2;0;0;0;0
"Edam-Volendam";12;33,2;0;0;0;0
"Ede";4;3,4;0;0;0;0
"Eemnes";0;0;0;0;0;0
"Eersel";0;0;0;0;0;0
"Eijsden-Margraten";4;15,5;0;0;0;0
"Eindhoven";26;11,1;3;1,3;1;0,4
"Elburg";15;64,8;0;0;0;0
"Emmen";2;1,9;0;0;0;0
"Enkhuizen";0;0;0;0;0;0
"Enschede";4;2,5;0;0;0;0
"Epe";4;12,1;0;0;0;0
"Ermelo";11;40,7;1;3,7;1;3,7
"Etten-Leur";20;45,6;0;0;0;0
"Geertruidenberg";0;0;0;0;0;0
"Geldrop-Mierlo";1;2,5;0;0;0;0
"Gemert-Bakel";14;45,6;0;0;0;0
"Gennep";3;17,7;0;0;0;0
"Gilze en Rijen";3;11,4;0;0;0;0
"Goeree-Overflakkee";1;2;0;0;0;0
"Goes";0;0;0;0;0;0
"Goirle";3;12,6;0;0;0;0
"Gooise Meren";1;1,7;0;0;0;0
"Gorinchem";2;5,4;0;0;0;0
"Gouda";12;16,3;1;1,4;1;1,4
"Grave";2;16,1;0;0;0;0
"Groningen (gemeente)";5;2,1;0;0;0;0
"Gulpen-Wittem";2;14,1;0;0;0;0
"Haaksbergen";0;0;0;0;0;0
"Haaren";3;20,9;0;0;1;7
"Haarlem";4;2,5;0;0;2;1,2
"Haarlemmermeer";5;3,2;0;0;0;0
"Halderberge";2;6,6;1;3,3;1;3,3
"Hardenberg";0;0;0;0;0;0
"Harderwijk";12;24,8;2;4,1;1;2,1
"Hardinxveld-Giessendam";0;0;0;0;0;0
"Harlingen";0;0;0;0;0;0
"Hattem";0;0;0;0;0;0
"Heemskerk";2;5,1;0;0;0;0
"Heemstede";0;0;0;0;0;0
"Heerde";1;5,4;0;0;0;0
"Heerenveen";2;4;0;0;0;0
"Heerhugowaard";4;6,9;0;0;0;0
"Heerlen";10;11,5;0;0;1;1,1
"Heeze-Leende";1;6,2;1;6,2;0;0
