Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
's-Gravenhage (gemeente);155;28,4;35;6,4;28;5,2
's-Hertogenbosch;-2;-1,3;-16;-10,3;7;4,5
Aa en Hunze;1;3,9;-1;-3,9;0;0
Aalsmeer;-4;-12,5;0;0;0;0
Aalten;6;22,1;1;3,7;2;7,4
Achtkarspelen;2;7,2;0;0;0;0
Alblasserdam;0;0;0;0;0;0
Albrandswaard;0;0;1;3,9;1;3,9
Alkmaar;43;39,3;0;0;7;6,4
Almelo;12;16,4;1;1,4;1;1,4
Almere;22;10,4;5;2,4;3;1,4
Alphen aan den Rijn;5;4,5;0;0;5;4,5
Alphen-Chaam;-1;-9,8;-3;-29,4;0;0
Altena;-6;-10,7;-1;-1,8;2;3,5
Ameland;0;0;0;0;0;0
Amersfoort;5;3,1;5;3,1;0;0
Amstelveen;25;27,3;2;2,2;14;15,2
Amsterdam;16;1,8;4;0,4;34;3,9
Apeldoorn;34;20,8;-5;-3;7;4,2
Appingedam;1;8,6;1;8,6;0;0
Arnhem;22;13,6;-1;-0,6;4;2,4
Assen;5;7,3;0;0;0;0
Asten;5;30;4;23,9;0;0
Baarle-Nassau;-1;-14,6;-2;-29,2;-1;-14,6
Baarn;4;16;0;0;0;0
Barendrecht;8;16,5;1;2,1;0;0
Barneveld;16;27,1;2;3,4;-2;-3,4
Beek (L.);-7;-44,2;-3;-18,9;1;6,3
Beekdaelen;6;16,7;-5;-14;1;2,8
Beemster;-1;-10;0;0;-1;-10
Beesel;-1;-7,4;-1;-7,4;3;22,2
Berg en Dal;4;11,4;2;5,7;3;8,6
Bergeijk;-1;-5,4;-1;-5,4;1;5,4
Bergen (L.);3;22,9;1;7,6;1;7,6
Bergen (NH.);2;6,7;-2;-6,7;0;0
Bergen op Zoom;9;13,3;0;0;0;0
Berkelland;5;11,4;1;2,3;0;0
Bernheze;-16;-51,2;-24;-76,9;1;3,2
Best;-2;-6,7;-3;-10;-1;-3,3
Beuningen;-1;-3,9;1;3,9;-1;-3,8
Beverwijk;16;38,5;0;0;0;0
Bladel;-4;-19,6;1;4,9;0;0
Blaricum;-2;-17,4;-1;-8,7;2;17,3
Bloemendaal;-3;-12,7;-1;-4,3;2;8,5
Bodegraven-Reeuwijk;-2;-5,8;-1;-2,8;0;0
Boekel;-18;-166,9;-6;-55,6;-1;-9,3
Borger-Odoorn;2;7,9;0;0;0;0
Borne;2;8,6;-3;-12,9;0;0
Borsele;4;17,6;0;0;0;0
Boxmeer;10;34;-3;-10,3;2;6,8
Boxtel;-3;-9,8;-3;-9,7;-2;-6,5
Breda;-16;-8,7;-39;-21,1;2;1,1
Brielle;5;28,9;2;11,6;0;0
Bronckhorst;0;0;-2;-5,5;2;5,5
Brummen;0;0;1;4,9;0;0
Brunssum;1;3,6;-5;-18;1;3,6
Bunnik;-1;-6,6;-1;-6,6;1;6,6
Bunschoten;10;45,7;4;18,3;0;0
Buren;4;15;-1;-3,7;0;0
Capelle aan den IJssel;39;58,1;-8;-12;15;22,4
Castricum;16;44,5;-1;-2,8;1;2,8
Coevorden;7;19,8;-1;-2,8;1;2,8
Cranendonck;4;18,9;-13;-61,5;7;33,1
Cuijk;5;19,9;-2;-8;1;4
Culemborg;5;17,2;-3;-10,4;2;6,9
Dalfsen;10;35;0;0;1;3,5
Dantumadiel;2;10,5;1;5,3;0;0
De Bilt;-1;-2,3;-3;-7;2;4,7
De Fryske Marren;5;9,7;-2;-3,9;2;3,9
De Ronde Venen;11;24,7;-1;-2,3;1;2,3
De Wolden;9;37;4;16,5;0;0
Delft;3;2,9;-3;-2,9;1;1
Delfzijl;1;4;1;4,1;0;0
Den Helder;5;8,9;0;0;0;0
Deurne;-1;-3,1;-14;-43,1;1;3,1
Deventer;5;5;1;1;-1;-1
Diemen;8;26;-2;-6,5;0;0
Dinkelland;-1;-3,7;-3;-11,3;2;7,6
Doesburg;-1;-9,1;-1;-9;0;0
Doetinchem;5;8,6;-3;-5,1;0;0
Dongen;7;26,7;-1;-3,8;3;11,4
Dordrecht;19;16;2;1,7;3;2,5
Drechterland;12;60,9;-2;-10,1;3;15,2
Drimmelen;-4;-14,7;-4;-14,6;1;3,7
Dronten;13;31,3;0;0;1;2,4
Druten;14;74;1;5,3;4;21,1
Duiven;12;47,7;2;8;1;4
Echt-Susteren;4;12,7;0;0;1;3,2
Edam-Volendam;5;13,8;1;2,7;0;0
Ede;9;7,6;-1;-0,8;3;2,6
