"Gemeente";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage (gemeente)";431;79;116;21,3;65;11,9
"'s-Hertogenbosch";127;81,9;27;17,4;29;18,7
"Aa en Hunze";6;23,6;0;0;0;0
"Aalsmeer";10;31,4;4;12,6;0;0
"Aalten";20;73,7;2;7,4;2;7,4
"Achtkarspelen";3;10,8;0;0;0;0
"Alblasserdam";15;74,4;2;9,9;1;5
"Albrandswaard";28;109,4;4;15,6;2;7,8
"Alkmaar";114;104,2;15;13,7;14;12,8
"Almelo";42;57,5;7;9,6;2;2,7
"Almere";95;44,8;35;16,5;5;2,4
"Alphen aan den Rijn";52;46,5;16;14,3;10;8,9
"Alphen-Chaam";11;107,8;3;29,4;0;0
"Altena";36;64,3;7;12,5;8;14,3
"Ameland";0;0;0;0;0;0
"Amersfoort";58;36,9;18;11,4;7;4,5
"Amstelveen";108;117,8;17;18,5;23;25,1
"Amsterdam";596;68,3;182;20,9;83;9,5
"Apeldoorn";123;75,1;26;15,9;22;13,4
"Appingedam";1;8,6;1;8,6;0;0
"Arnhem";107;66,3;18;11,2;12;7,4
"Assen";15;21,9;3;4,4;0;0
"Asten";30;179,4;8;47,8;4;23,9
"Baarle-Nassau";3;43,7;0;0;0;0
"Baarn";17;68,4;3;12,1;3;12,1
"Barendrecht";38;78;11;22,6;4;8,2
"Barneveld";46;77,9;5;8,5;3;5,1
"Beek (L.)";10;63;4;25,2;2;12,6
"Beekdaelen";41;114,1;11;30,6;10;27,8
"Beemster";2;20;1;10;0;0
"Beesel";17;126,1;9;66,8;4;29,7
"Berg en Dal";48;137,2;9;25,7;5;14,3
"Bergeijk";18;96,6;4;21,5;3;16,1
"Bergen (L.)";8;61,1;2;15,3;2;15,3
"Bergen (NH.)";18;60,3;3;10,1;2;6,7
"Bergen op Zoom";37;54,8;6;8,9;1;1,5
"Berkelland";26;59,4;5;11,4;1;2,3
"Bernheze";71;227,3;13;41,6;20;64
"Best";15;50;6;20;3;10
"Beuningen";14;54,1;5;19,3;0;0
"Beverwijk";31;74,5;6;14,4;3;7,2
"Bladel";17;83,4;6;29,4;2;9,8
"Blaricum";7;60,7;0;0;2;17,3
"Bloemendaal";10;42,4;2;8,5;3;12,7
"Bodegraven-Reeuwijk";11;31,5;2;5,7;0;0
"Boekel";17;157,6;4;37,1;4;37,1
"Borger-Odoorn";2;7,8;1;3,9;1;3,9
"Borne";17;72,9;2;8,6;2;8,6
"Borsele";12;52,8;2;8,8;0;0
"Boxmeer";41;139,6;3;10,2;10;34,1
"Boxtel";14;45,5;4;13;3;9,7
"Breda";104;56,5;12;6,5;21;11,4
"Brielle";11;63,7;3;17,4;0;0
"Bronckhorst";18;49,9;3;8,3;3;8,3
"Brummen";13;62,7;8;38,6;3;14,5
"Brunssum";28;100,6;11;39,5;3;10,8
"Bunnik";8;52,7;3;19,7;1;6,6
"Bunschoten";26;118,9;4;18,3;2;9,1
"Buren";13;48,6;4;15;2;7,5
"Capelle aan den IJssel";114;169,8;16;23,8;20;29,8
