Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
's-Gravenhage (gemeente);52;9,5;32;5,9;0;0
's-Hertogenbosch;58;37,4;31;20;6;3,9
Aa en Hunze;1;3,9;1;3,9;0;0
Aalsmeer;5;15,6;2;6,3;0;0
Aalten;2;7,4;0;0;0;0
Achtkarspelen;1;3,6;0;0;0;0
Alblasserdam;4;19,9;0;0;0;0
Albrandswaard;13;50,8;3;11,7;0;0
Alkmaar;16;14,6;7;6,4;1;0,9
Almelo;8;11;4;5,4;0;0
Almere;24;11,3;18;8,5;0;0
Alphen aan den Rijn;13;11,6;10;8,9;2;1,8
Alphen-Chaam;11;107,8;6;58,8;0;0
Altena;19;33,9;5;9;0;0
Ameland;0;0;0;0;0;0
Amersfoort;19;12,1;8;5;3;1,9
Amstelveen;35;38,2;10;10,9;0;0
Amsterdam;268;30,7;100;11,5;7;0,8
Apeldoorn;26;15,9;21;12,9;2;1,2
Appingedam;0;0;0;0;0;0
Arnhem;14;8,7;11;6,8;1;0,6
Assen;4;5,8;2;2,9;0;0
Asten;4;23,9;1;6;2;12
Baarle-Nassau;4;58,3;2;29,2;1;14,6
Baarn;4;16,1;1;4;0;0
Barendrecht;12;24,6;7;14,3;1;2,1
Barneveld;5;8,5;1;1,7;2;3,4
Beek (L.);10;63;5;31,5;0;0
Beekdaelen;5;13,9;11;30,6;2;5,6
Beemster;2;20;1;10;1;10
Beesel;8;59,3;6;44,5;0;0
Berg en Dal;19;54,3;5;14,2;1;2,9
Bergeijk;8;42,9;4;21,4;1;5,4
Bergen (L.);0;0;1;7,6;0;0
Bergen (NH.);8;26,8;5;16,7;0;0
Bergen op Zoom;6;8,9;1;1,5;1;1,5
Berkelland;2;4,6;1;2,3;0;0
Bernheze;53;169,7;29;92,8;9;28,8
Best;13;43,4;7;23,3;3;10
Beuningen;6;23,1;3;11,6;1;3,9
Beverwijk;4;9,6;2;4,8;0;0
Bladel;12;58,9;2;9,8;2;9,8
Blaricum;3;26;1;8,7;0;0
Bloemendaal;10;42,4;2;8,5;0;0
Bodegraven-Reeuwijk;4;11,4;2;5,7;0;0
Boekel;18;166,9;7;64,9;3;27,9
Borger-Odoorn;0;0;0;0;0;0
Borne;6;25,7;4;17,1;1;4,3
Borsele;1;4,4;0;0;0;0
Boxmeer;9;30,7;6;20,4;2;6,8
Boxtel;11;35,7;6;19,5;3;9,8
Breda;38;20,7;36;19,5;8;4,3
Brielle;1;5,8;0;0;0;0
Bronckhorst;4;11,1;2;5,5;0;0
Brummen;4;19,3;3;14,5;1;4,8
Brunssum;14;50,3;11;39,5;1;3,6
Bunnik;7;46,1;3;19,7;0;0
Bunschoten;3;13,7;0;0;0;0
Buren;1;3,7;2;7,5;0;0
Capelle aan den IJssel;22;32,8;15;22,3;0;0
Castricum;5;13,9;2;5,5;0;0
Coevorden;-5;-14,2;5;14,2;0;0
Cranendonck;23;108,8;25;118,3;1;4,8
Cuijk;6;23,8;3;11,9;2;8
Culemborg;5;17,2;6;20,7;0;0
Dalfsen;11;38,5;5;17,5;1;3,5
Dantumadiel;0;0;0;0;0;0
De Bilt;14;32,5;6;13,9;1;2,3
De Fryske Marren;4;7,8;3;5,9;0;0
De Ronde Venen;8;18;9;20,2;0;0
De Wolden;2;8,2;1;4,1;0;0
Delft;17;16,4;12;11,6;0;0
Delfzijl;2;8,1;0;0;0;0
Den Helder;2;3,5;4;7,1;0;0
Deurne;22;67,8;20;61,6;3;9,2
Deventer;23;22,8;8;7,9;4;4
Diemen;8;26;5;16,3;2;6,5
Dinkelland;10;37,7;3;11,4;0;0
Doesburg;4;36,1;2;18,1;1;9
Doetinchem;10;17,2;5;8,6;1;1,7
Dongen;5;19,1;4;15,3;0;0
Dordrecht;21;17,6;13;10,9;1;0,8
Drechterland;4;20,3;2;10,1;0;0
Drimmelen;4;14,7;5;18,3;0;0
Dronten;4;9,7;4;9,6;1;2,4
Druten;2;10,6;4;21,1;0;0
Duiven;1;3,9;2;8;0;0
Echt-Susteren;11;34,8;8;25,3;2;6,3
Edam-Volendam;8;22,1;4;11,1;0;0
Ede;23;19,6;14;11,9;0;0
Eemnes;0;0;0;0;0;0
Eersel;11;56,9;5;25,9;0;0
Eijsden-Margraten;18;69,9;14;54,3;0;0
Eindhoven;72;30,7;38;16,2;4;1,7
Elburg;6;25,9;1;4,3;0;0
Emmen;5;4,7;4;3,7;0;0
Enkhuizen;10;53,8;11;59,1;1;5,4
Enschede;18;11,2;9;5,6;1;0,6
Epe;13;39,1;12;36,2;0;0
Ermelo;10;37;4;14,8;2;7,4
Etten-Leur;13;29,7;12;27,4;2;4,5
Geertruidenberg;4;18,6;2;9,3;1;4,6
Geldrop-Mierlo;12;30,2;7;17,6;0;0
Gemert-Bakel;39;126,9;17;55,3;8;26
Gennep;4;23,7;2;11,8;0;0
Gilze en Rijen;19;71,8;11;41,6;0;0
Goeree-Overflakkee;36;71,9;14;28;3;6
Goes;-1;-2,6;2;5,3;0;0
Goirle;5;20,9;12;50,2;1;4,2
Gooise Meren;9;15,5;7;12,1;0;0
Gorinchem;10;27;7;18,9;0;0
Gouda;9;12,3;6;8,2;2;2,7
Grave;10;80,4;4;32,2;1;8
Groningen (gemeente);60;25,8;5;2,2;0;0
Gulpen-Wittem;3;21,2;2;14,1;0;0
Haaksbergen;1;4,1;1;4,1;0;0
Haaren;-1;-6,9;2;13,9;2;13,9
Haarlem;37;22,7;10;6,1;2;1,2
Haarlemmermeer;21;13,4;14;9;2;1,3
Halderberge;6;19,8;6;19,8;1;3,3
Hardenberg;7;11,5;3;4,9;0;0
Harderwijk;10;20,6;2;4,1;1;2
Hardinxveld-Giessendam;-1;-5,4;0;0;0;0
Harlingen;2;12,7;1;6,4;0;0
Hattem;5;41;4;32,8;0;0
Heemskerk;7;17,8;5;12,8;0;0
Heemstede;11;40,4;5;18,4;0;0
Heerde;17;91,5;14;75,3;2;10,8
Heerenveen;3;5,9;3;5,9;0;0
Heerhugowaard;13;22,5;11;19,1;2;3,5
Heerlen;33;37,9;24;27,6;9;10,3
Heeze-Leende;6;37,1;2;12,4;0;0
Heiloo;6;25,1;2;8,3;2;8,3
Hellendoorn;3;8,3;1;2,8;0;0
Hellevoetsluis;3;7,5;3;7,5;0;0
Helmond;37;40;14;15,1;5;5,4
Hendrik-Ido-Ambacht;3;9,6;3;9,6;0;0
Hengelo (O.);13;16,1;2;2,5;1;1,2
Het Hogeland;4;8,4;3;6,3;0;0
Heumen;8;48,6;3;18,2;1;6,1
Heusden;23;51,5;14;31,3;3;6,7
Hillegom;3;13,5;0;0;0;0
Hilvarenbeek;4;25,8;4;25,8;2;12,9
Hilversum;17;18,7;4;4,4;1;1,1
Hoeksche Waard;29;33,2;22;25,2;1;1,2
Hof van Twente;3;8,5;1;2,8;0;0
Hollands Kroon;8;16,5;8;16,5;1;2,1
Hoogeveen;5;9;2;3,6;0;0
Hoorn;12;16,3;8;10,9;1;1,4
Horst aan de Maas;13;30,6;8;18,9;3;7
Houten;15;29,9;6;12;0;0
Huizen;6;14,6;5;12,1;0;0
Hulst;0;0;2;7,3;0;0
IJsselstein;8;23,4;12;35,2;2;5,9
Kaag en Braassem;5;18,3;3;11;0;0
Kampen;28;51,6;16;29,4;0;0
Kapelle;0;0;0;0;0;0
Katwijk;5;7,6;2;3,1;0;0
