Gemeente	Totaal_Absoluut	Totaal_inc100000	Zkh_Absoluut	Zkh_inc100000	Overleden_Absoluut	Overleden_inc100000
's-Gravenhage (gemeente)	123	22,5	66	12,1	15	2,7
's-Hertogenbosch	62	40	16	10,3	17	10,9
Aa en Hunze	4	15,8	0	0	0	0
Aalsmeer	7	22	3	9,4	2	6,3
Aalten	7	25,8	4	14,7	1	3,7
Achtkarspelen	1	3,6	0	0	0	0
Alblasserdam	2	9,9	3	14,8	0	0
Albrandswaard	8	31,3	2	7,8	2	7,8
Alkmaar	23	21	14	12,8	4	3,7
Almelo	14	19,1	7	9,6	3	4,1
Almere	54	25,5	38	17,9	1	0,5
Alphen aan den Rijn	29	25,9	18	16,1	0	0
Alphen-Chaam	6	58,8	0	0	4	39,2
Altena	8	14,3	6	10,7	2	3,6
Ameland	0	0	0	0	0	0
Amersfoort	4	2,6	6	3,9	5	3,2
Amstelveen	39	42,5	16	17,4	5	5,5
Amsterdam	230	26,4	117	13,4	24	2,8
Apeldoorn	35	21,3	19	11,5	4	2,5
Appingedam	1	8,6	1	8,6	0	0
Arnhem	37	22,9	20	12,4	2	1,3
Assen	10	14,6	5	7,3	2	2,9
Asten	12	71,7	3	17,9	0	0
Baarle-Nassau	8	116,7	5	72,9	0	0
Baarn	8	32,2	6	24,1	0	0
Barendrecht	18	36,9	7	14,4	1	2
Barneveld	13	22	5	8,4	0	0
Beek (L.)	3	19	1	6,3	1	6,3
Beekdaelen	5	13,9	1	2,8	0	0
Beemster	4	39,9	2	19,9	0	0
Beesel	8	59,4	5	37,1	3	22,3
Berg en Dal	14	40	9	25,8	6	17,1
Bergeijk	9	48,3	4	21,5	1	5,3
Bergen (L.)	3	23	3	23	0	0
Bergen (NH.)	11	36,9	2	6,7	1	3,4
Bergen op Zoom	5	7,4	1	1,5	0	0
Berkelland	4	9,1	4	9,1	0	0
Bernheze	24	76,8	4	12,9	13	41,6
Best	6	20	2	6,7	1	3,3
Beuningen	10	38,7	10	38,6	3	11,5
Beverwijk	12	28,8	2	4,8	3	7,2
Bladel	8	39,2	0	0	1	4,9
Blaricum	2	17,4	3	26	0	0
Bloemendaal	6	25,5	2	8,5	0	0
Bodegraven-Reeuwijk	11	31,6	3	8,6	1	2,9
Boekel	6	55,7	0	0	6	55,6
Borger-Odoorn	2	7,8	2	7,8	2	7,8
Borne	14	60,1	4	17,2	3	12,9
Borsele	0	0	-1	-4,4	0	0
Boxmeer	20	68,1	4	13,7	2	6,8
Boxtel	5	16,3	2	6,5	3	9,7
Breda	20	10,8	5	2,7	9	4,9
Brielle	13	75,3	7	40,5	0	0
Bronckhorst	6	16,6	4	11,1	1	2,8
Brummen	6	28,9	2	9,6	0	0
Brunssum	8	28,7	5	18	3	10,8
Bunnik	3	19,7	2	13,2	0	0
Bunschoten	4	18,3	2	9,1	0	0
Buren	2	7,5	2	7,5	1	3,7
Capelle aan den IJssel	35	52,1	8	12	6	8,9
Castricum	9	25	5	13,9	5	13,9
Coevorden	8	22,7	1	2,8	0	0
Cranendonck	32	151,4	20	94,6	3	14,2
Cuijk	10	39,8	3	12	2	7,9
Culemborg	14	48,4	7	24,2	4	13,8
Dalfsen	3	10,5	2	7	1	3,5
Dantumadiel	3	15,9	1	5,3	0	0
De Bilt	7	16,2	6	14	0	0
De Fryske Marren	8	15,5	4	7,7	3	5,8
De Ronde Venen	16	36	9	20,3	1	2,2
De Wolden	4	16,5	1	4,1	1	4,1
Delft	18	17,4	7	6,7	2	1,9
Delfzijl	7	28,4	4	16,2	0	0
Den Helder	8	14,2	0	0	0	0
Deurne	23	70,8	3	9,2	2	6,2
Deventer	30	29,8	12	11,9	13	12,9
Diemen	4	13	0	0	0	0
Dinkelland	15	56,7	8	30,2	2	7,5
Doesburg	1	9,1	1	9	1	9,1
Doetinchem	18	31,1	8	13,8	3	5,2
Dongen	20	76,3	7	26,6	5	19,1
Dordrecht	32	26,8	16	13,4	3	2,6
Drechterland	5	25,3	0	0	1	5,1
Drimmelen	3	11	-1	-3,7	2	7,3
Dronten	2	4,8	6	14,5	1	2,4
Druten	9	47,5	4	21,1	0	0
Duiven	3	12	3	11,9	0	0
Echt-Susteren	8	25,3	0	0	0	0
Edam-Volendam	7	19,3	3	8,3	0	0
Ede	33	28,2	17	14,5	8	6,8
Eemnes	2	21,6	0	0	1	10,8
Eersel	5	25,9	5	25,9	1	5,2
Eijsden-Margraten	34	131,9	10	38,8	4	15,5
Eindhoven	71	30,3	28	11,9	13	5,6
Elburg	12	51,8	3	13	0	0
Emmen	11	10,2	5	4,7	2	1,9
Enkhuizen	8	43	1	5,4	3	16,1
Enschede	42	26,3	13	8,2	6	3,8
Epe	23	69,4	11	33,1	5	15,1
Ermelo	2	7,5	3	11,1	3	11,1
Etten-Leur	23	52,4	8	18,2	7	16
Geertruidenberg	-3	-14	-1	-4,6	1	4,7
Geldrop-Mierlo	19	47,8	7	17,7	1	2,5
Gemert-Bakel	-3	-9,8	-3	-9,8	7	22,8
Gennep	13	76,8	5	29,6	2	11,8
Gilze en Rijen	6	22,7	4	15,2	4	15,1
Goeree-Overflakkee	74	147,9	19	37,9	5	10
Goes	22	57,7	6	15,7	1	2,6
Goirle	12	50,2	3	12,5	5	20,9
Gooise Meren	14	24,1	7	12	1	1,7
Gorinchem	29	78,3	4	10,8	1	2,7
Gouda	33	44,9	9	12,3	4	5,5
Grave	13	104,6	6	48,3	3	24,2
Groningen (gemeente)	15	6,4	5	2,1	1	0,4
Gulpen-Wittem	9	63,5	5	35,3	0	0
Haaksbergen	8	32,9	5	20,6	0	0
Haaren	6	41,7	1	7	1	6,9
Haarlem	54	33,2	13	8	12	7,4
Haarlemmermeer	41	26,3	17	10,9	2	1,3
Halderberge	6	19,8	1	3,3	2	6,6
Hardenberg	19	31,2	4	6,6	0	0
