"Gemeente";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage (gemeente)";150;27,5;7;1,3;3;0,5
"'s-Hertogenbosch";16;10,3;0;0;0;0
"Aa en Hunze";0;0;0;0;0;0
"Aalsmeer";3;9,4;0;0;0;0
"Aalten";2;7,4;0;0;0;0
"Achtkarspelen";0;0;0;0;0;0
"Alblasserdam";0;0;0;0;0;0
"Albrandswaard";0;0;0;0;0;0
"Alkmaar";2;1,8;0;0;0;0
"Almelo";0;0;0;0;0;0
"Almere";9;4,2;0;0;1;0,5
"Alphen aan den Rijn";6;5,4;1;0,9;1;0,9
"Alphen-Chaam";0;0;0;0;0;0
"Altena";0;0;0;0;0;0
"Ameland";0;0;0;0;0;0
"Amersfoort";8;5,1;0;0;0;0
"Amstelveen";10;10,9;0;0;0;0
"Amsterdam";161;18,4;1;0,1;3;0,3
"Apeldoorn";24;14,7;0;0;0;0
"Appingedam";0;0;0;0;0;0
"Arnhem";25;15,5;0;0;3;1,9
"Assen";3;4,4;0;0;0;0
"Asten";2;12;0;0;0;0
"Baarle-Nassau";0;0;0;0;0;0
"Baarn";2;8;0;0;0;0
"Barendrecht";11;22,6;0;0;0;0
"Barneveld";4;6,8;0;0;0;0
"Beek (L.)";0;0;1;6,3;1;6,3
"Beekdaelen";0;0;0;0;0;0
"Beemster";0;0;0;0;0;0
"Beesel";0;0;0;0;0;0
"Berg en Dal";12;34,3;0;0;0;0
"Bergeijk";0;0;0;0;0;0
"Bergen (L.)";1;7,6;0;0;0;0
"Bergen (NH.)";0;0;0;0;0;0
"Bergen op Zoom";5;7,4;0;0;0;0
"Berkelland";4;9,1;0;0;0;0
"Bernheze";5;16;0;0;0;0
"Best";4;13,3;0;0;0;0
"Beuningen";1;3,9;0;0;0;0
"Beverwijk";2;4,8;0;0;0;0
"Bladel";5;24,5;0;0;0;0
"Blaricum";2;17,3;0;0;0;0
"Bloemendaal";0;0;0;0;0;0
"Bodegraven-Reeuwijk";0;0;0;0;0;0
"Boekel";0;0;0;0;0;0
"Borger-Odoorn";0;0;0;0;0;0
"Borne";0;0;0;0;0;0
"Borsele";0;0;0;0;0;0
"Boxmeer";5;17;0;0;0;0
"Boxtel";16;51,9;0;0;0;0
"Breda";16;8,7;1;0,5;1;0,5
"Brielle";0;0;0;0;0;0
"Bronckhorst";0;0;0;0;0;0
"Brummen";1;4,8;0;0;0;0
"Brunssum";3;10,8;0;0;1;3,6
"Bunnik";0;0;0;0;0;0
"Bunschoten";0;0;0;0;0;0
"Buren";3;11,2;1;3,7;1;3,7
"Capelle aan den IJssel";10;14,9;0;0;0;0
"Castricum";0;0;0;0;0;0
"Coevorden";0;0;0;0;0;0
"Cranendonck";5;23,7;0;0;0;0
"Cuijk";8;31,8;0;0;0;0
"Culemborg";3;10,4;0;0;0;0
"Dalfsen";1;3,5;0;0;0;0
"Dantumadiel";0;0;0;0;0;0
"De Bilt";3;7;0;0;1;2,3
"De Fryske Marren";1;1,9;0;0;0;0
"De Ronde Venen";1;2,2;0;0;0;0
"De Wolden";0;0;0;0;0;0
"Delft";5;4,8;0;0;0;0
"Delfzijl";0;0;0;0;0;0
"Den Helder";2;3,6;0;0;0;0
"Deurne";4;12,3;0;0;0;0
"Deventer";33;32,8;0;0;0;0
"Diemen";1;3,2;0;0;0;0
"Dinkelland";0;0;0;0;0;0
"Doesburg";0;0;0;0;0;0
"Doetinchem";2;3,4;0;0;0;0
"Dongen";1;3,8;0;0;0;0
"Dordrecht";16;13,4;1;0,8;2;1,7
"Drechterland";2;10,1;0;0;0;0
"Drimmelen";0;0;0;0;0;0
"Dronten";0;0;0;0;1;2,4
"Druten";1;5,3;0;0;0;0
"Duiven";3;11,9;0;0;0;0
"Echt-Susteren";0;0;0;0;0;0
"Edam-Volendam";1;2,8;1;2,8;0;0
"Ede";6;5,1;0;0;0;0
"Eemnes";0;0;0;0;0;0
"Eersel";0;0;0;0;0;0
"Eijsden-Margraten";2;7,8;0;0;0;0
"Eindhoven";14;6;0;0;1;0,4
"Elburg";2;8,6;0;0;0;0
"Emmen";0;0;0;0;0;0
"Enkhuizen";1;5,4;0;0;0;0
"Enschede";7;4,4;0;0;0;0
"Epe";1;3;0;0;0;0
"Ermelo";7;25,9;0;0;0;0
"Etten-Leur";6;13,7;0;0;0;0
"Geertruidenberg";0;0;0;0;0;0
"Geldrop-Mierlo";2;5;0;0;0;0
"Gemert-Bakel";16;52,1;0;0;0;0
"Gennep";0;0;0;0;0;0
"Gilze en Rijen";2;7,6;0;0;0;0
"Goeree-Overflakkee";2;4;1;2;0;0
"Goes";0;0;0;0;0;0
"Goirle";2;8,4;0;0;0;0
"Gooise Meren";5;8,6;0;0;0;0
"Gorinchem";1;2,7;0;0;0;0
"Gouda";4;5,4;0;0;0;0
"Grave";0;0;0;0;0;0
"Groningen (gemeente)";2;0,9;0;0;0;0
"Gulpen-Wittem";1;7,1;0;0;0;0
"Haaksbergen";0;0;0;0;0;0
"Haaren";0;0;0;0;0;0
"Haarlem";9;5,5;0;0;0;0
"Haarlemmermeer";6;3,8;0;0;0;0
"Halderberge";1;3,3;0;0;0;0
"Hardenberg";0;0;0;0;0;0
"Harderwijk";6;12,4;0;0;1;2,1
"Hardinxveld-Giessendam";0;0;0;0;0;0
"Harlingen";0;0;0;0;0;0
"Hattem";1;8,2;0;0;0;0
"Heemskerk";6;15,3;0;0;0;0
"Heemstede";4;14,7;0;0;0;0
"Heerde";1;5,4;0;0;0;0
"Heerenveen";0;0;0;0;0;0
"Heerhugowaard";1;1,7;0;0;0;0
"Heerlen";6;6,9;0;0;0;0
"Heeze-Leende";8;49,5;0;0;0;0
"Heiloo";0;0;0;0;0;0
"Hellendoorn";0;0;0;0;0;0
"Hellevoetsluis";3;7,5;0;0;0;0
"Helmond";26;28,1;0;0;0;0
"Hendrik-Ido-Ambacht";0;0;0;0;0;0
"Hengelo (O.)";4;4,9;0;0;0;0
"Het Hogeland";5;10,5;0;0;0;0
"Heumen";1;6,1;0;0;0;0
"Heusden";3;6,7;0;0;0;0
"Hillegom";0;0;0;0;0;0
"Hilvarenbeek";2;12,9;0;0;0;0
"Hilversum";6;6,6;0;0;0;0
"Hoeksche Waard";3;3,4;0;0;0;0
"Hof van Twente";0;0;0;0;0;0
"Hollands Kroon";0;0;0;0;0;0
"Hoogeveen";0;0;0;0;0;0
"Hoorn";5;6,8;0;0;0;0
"Horst aan de Maas";13;30,6;0;0;0;0
"Houten";2;4;0;0;0;0
"Huizen";10;24,2;1;2,4;0;0
"Hulst";0;0;0;0;0;0
"IJsselstein";1;2,9;0;0;0;0
"Kaag en Braassem";2;7,3;0;0;0;0
"Kampen";1;1,8;0;0;0;0
"Kapelle";0;0;0;0;0;0
"Katwijk";38;57,8;1;1,5;0;0
"Kerkrade";3;6,6;0;0;0;0
"Koggenland";0;0;0;0;0;0
"Krimpen aan den IJssel";2;6,8;0;0;0;0
"Krimpenerwaard";8;14,2;0;0;4;7,1
"Laarbeek";2;8,9;0;0;0;0
"Landerd";2;12,7;0;0;0;0
"Landgraaf";1;2,7;0;0;0;0
"Landsmeer";0;0;0;0;0;0
"Langedijk";0;0;0;0;0;0
"Lansingerland";4;6,4;0;0;1;1,6
"Laren (NH.)";0;0;0;0;0;0
"Leeuwarden";7;5,6;0;0;0;0
"Leiden";13;10,4;1;0,8;0;0
"Leiderdorp";2;7,4;0;0;0;0
"Leidschendam-Voorburg";20;26,1;0;0;0;0
"Lelystad";11;14;0;0;0;0
"Leudal";0;0;0;0;0;0
"Leusden";1;3,3;0;0;0;0
"Lingewaard";4;8,6;0;0;0;0
"Lisse";2;8,7;0;0;0;0
"Lochem";1;3;0;0;1;3
"Loon op Zand";1;4,3;0;0;0;0
"Lopik";1;6,9;0;0;0;0
"Loppersum";0;0;0;0;0;0
"Losser";0;0;0;0;0;0
"Maasdriel";0;0;0;0;0;0
"Maasgouw";0;0;0;0;0;0
"Maassluis";5;15,1;0;0;0;0
"Maastricht";8;6,6;1;0,8;0;0
"Medemblik";2;4,4;1;2,2;0;0
"Meerssen";2;10,6;0;0;0;0
"Meierijstad";4;4,9;0;0;0;0
"Meppel";1;2,9;0;0;1;2,9
"Middelburg (Z.)";1;2;0;0;0;0
"Midden-Delfland";2;10,3;0;0;0;0
"Midden-Drenthe";0;0;0;0;0;0
"Midden-Groningen";0;0;0;0;0;0
"Mill en Sint Hubert";1;9,1;0;0;0;0
"Moerdijk";1;2,7;0;0;0;0
"Molenlanden";0;0;0;0;0;0
"Montferland";9;25;1;2,8;0;0
"Montfoort";1;7,2;0;0;0;0
"Mook en Middelaar";0;0;0;0;0;0
"Neder-Betuwe";6;24,7;1;4,1;1;4,1
"Nederweert";3;17,6;0;0;0;0
"Nieuwegein";4;6,3;0;0;0;0
"Nieuwkoop";2;6,9;0;0;0;0
"Nijkerk";3;6,9;0;0;0;0
"Nijmegen";18;10,1;0;0;1;0,6
"Nissewaard";2;2,3;0;0;0;0
"Noardeast-Fryslân";1;2,2;0;0;0;0
