Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;||;Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;
's-Gravenhage (gemeente);26;4,8;12;2,2;0;0;'s-Gravenhage (gemeente);7;1,3;3;0,5;0;0;||;'s-Gravenhage (gemeente);;19;3,5;9;1,7;0;0
's-Hertogenbosch;30;19,3;14;9;2;1,3;'s-Hertogenbosch;6;3,9;3;1,9;0;0;||;'s-Hertogenbosch;;24;15,4;11;7,1;2;1,3
Aa en Hunze;0;0;0;0;0;0;Aa en Hunze;0;0;0;0;0;0;||;Aa en Hunze;;0;0;0;0;0;0
Aalsmeer;4;12,6;0;0;0;0;Aalsmeer;3;9,4;0;0;0;0;||;Aalsmeer;;1;3,2;0;0;0;0
Aalten;0;0;0;0;0;0;Aalten;0;0;0;0;0;0;||;Aalten;;0;0;0;0;0;0
Achtkarspelen;0;0;0;0;0;0;Achtkarspelen;0;0;0;0;0;0;||;Achtkarspelen;;0;0;0;0;0;0
Alblasserdam;2;9,9;1;5;0;0;Alblasserdam;0;0;1;5;0;0;||;Alblasserdam;;2;9,9;0;0;0;0
Albrandswaard;4;15,6;0;0;0;0;Albrandswaard;1;3,9;0;0;0;0;||;Albrandswaard;;3;11,7;0;0;0;0
Alkmaar;8;7,3;5;4,6;0;0;Alkmaar;1;0,9;2;1,8;0;0;||;Alkmaar;;7;6,4;3;2,8;0;0
Almelo;2;2,7;1;1,4;0;0;Almelo;1;1,4;0;0;0;0;||;Almelo;;1;1,3;1;1,4;0;0
Almere;3;1,4;3;1,4;0;0;Almere;1;0,5;2;0,9;0;0;||;Almere;;2;0,9;1;0,5;0;0
Alphen aan den Rijn;7;6,3;3;2,7;0;0;Alphen aan den Rijn;2;1,8;0;0;0;0;||;Alphen aan den Rijn;;5;4,5;3;2,7;0;0
Alphen-Chaam;6;58,8;4;39,2;0;0;Alphen-Chaam;0;0;0;0;0;0;||;Alphen-Chaam;;6;58,8;4;39,2;0;0
Altena;11;19,7;4;7,1;0;0;Altena;5;8,9;3;5,4;0;0;||;Altena;;6;10,8;1;1,7;0;0
Ameland;0;0;0;0;0;0;Ameland;0;0;0;0;0;0;||;Ameland;;0;0;0;0;0;0
Amersfoort;26;16,5;10;6,4;1;0,6;Amersfoort;3;1,9;2;1,3;0;0;||;Amersfoort;;23;14,6;8;5,1;1;0,6
Amstelveen;13;14,2;3;3,3;0;0;Amstelveen;2;2,2;0;0;0;0;||;Amstelveen;;11;12;3;3,3;0;0
Amsterdam;92;10,5;35;4;1;0,1;Amsterdam;16;1,8;3;0,3;0;0;||;Amsterdam;;76;8,7;32;3,7;1;0,1
Apeldoorn;9;5,5;3;1,8;0;0;Apeldoorn;1;0,6;0;0;0;0;||;Apeldoorn;;8;4,9;3;1,8;0;0
Appingedam;0;0;0;0;0;0;Appingedam;0;0;0;0;0;0;||;Appingedam;;0;0;0;0;0;0
Arnhem;10;6,2;4;2,5;0;0;Arnhem;3;1,9;1;0,6;0;0;||;Arnhem;;7;4,3;3;1,9;0;0
Assen;1;1,5;1;1,5;0;0;Assen;0;0;0;0;0;0;||;Assen;;1;1,5;1;1,5;0;0
Asten;2;12;1;6;0;0;Asten;0;0;1;6;0;0;||;Asten;;2;12;0;0;0;0
