"Gemeente";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage (gemeente)";183;33,5;20;3,7;37;6,8
"'s-Hertogenbosch";35;22,6;0;0;6;3,9
"Aa en Hunze";0;0;0;0;0;0
"Aalsmeer";1;3,1;0;0;1;3,1
"Aalten";2;7,4;1;3,7;1;3,7
"Achtkarspelen";1;3,6;0;0;0;0
"Alblasserdam";4;19,8;1;5;1;5
"Albrandswaard";9;35,2;3;11,7;1;3,9
"Alkmaar";17;15,5;1;0,9;3;2,7
"Almelo";1;1,4;1;1,4;0;0
"Almere";84;39,6;5;2,4;9;4,2
"Alphen aan den Rijn";26;23,2;3;2,7;2;1,8
"Alphen-Chaam";0;0;0;0;0;0
"Altena";6;10,7;1;1,8;0;0
"Ameland";0;0;0;0;0;0
"Amersfoort";22;14;2;1,3;1;0,6
"Amstelveen";14;15,3;0;0;1;1,1
"Amsterdam";310;35,5;40;4,6;43;4,9
"Apeldoorn";32;19,5;0;0;5;3,1
"Appingedam";0;0;0;0;0;0
"Arnhem";25;15,5;2;1,2;1;0,6
"Assen";4;5,8;0;0;0;0
"Asten";4;23,9;0;0;2;12
"Baarle-Nassau";2;29,2;0;0;1;14,6
"Baarn";9;36,2;0;0;1;4
"Barendrecht";16;32,8;3;6,2;2;4,1
"Barneveld";15;25,4;0;0;0;0
"Beek (L.)";3;18,9;0;0;1;6,3
"Beekdaelen";18;50,1;2;5,6;2;5,6
"Beemster";0;0;0;0;0;0
"Beesel";0;0;0;0;0;0
"Berg en Dal";8;22,9;1;2,9;1;2,9
"Bergeijk";5;26,8;2;10,7;0;0
"Bergen (L.)";2;15,3;0;0;0;0
"Bergen (NH.)";6;20,1;0;0;0;0
"Bergen op Zoom";22;32,6;2;3;1;1,5
"Berkelland";5;11,4;1;2,3;1;2,3
"Bernheze";11;35,2;1;3,2;6;19,2
"Best";7;23,3;0;0;0;0
"Beuningen";6;23,2;1;3,9;0;0
"Beverwijk";1;2,4;0;0;1;2,4
"Bladel";9;44,1;0;0;0;0
"Blaricum";2;17,3;1;8,7;0;0
"Bloemendaal";4;17;0;0;1;4,2
"Bodegraven-Reeuwijk";8;22,9;0;0;0;0
"Boekel";0;0;0;0;0;0
"Borger-Odoorn";1;3,9;0;0;0;0
"Borne";0;0;0;0;0;0
"Borsele";0;0;0;0;0;0
"Boxmeer";7;23,8;0;0;4;13,6
"Boxtel";22;71,4;1;3,2;2;6,5
"Breda";23;12,5;0;0;6;3,3
"Brielle";2;11,6;0;0;0;0
"Bronckhorst";6;16,6;2;5,5;1;2,8
"Brummen";3;14,5;1;4,8;0;0
"Brunssum";11;39,5;1;3,6;1;3,6
"Bunnik";5;32,9;0;0;0;0
"Bunschoten";6;27,4;0;0;1;4,6
"Buren";7;26,2;1;3,7;1;3,7
"Capelle aan den IJssel";23;34,3;3;4,5;5;7,4
"Castricum";4;11,1;1;2,8;0;0
"Coevorden";2;5,7;0;0;0;0
"Cranendonck";7;33,1;1;4,7;3;14,2
"Cuijk";3;11,9;0;0;0;0
"Culemborg";5;17,3;0;0;0;0
"Dalfsen";3;10,5;0;0;0;0
"Dantumadiel";0;0;0;0;0;0
"De Bilt";29;67,2;1;2,3;8;18,5
"De Fryske Marren";5;9,7;1;1,9;0;0
"De Ronde Venen";8;18;0;0;0;0
"De Wolden";0;0;0;0;1;4,1
"Delft";15;14,5;0;0;3;2,9
"Delfzijl";1;4,1;1;4,1;0;0
"Den Helder";1;1,8;0;0;0;0
"Deurne";18;55,4;1;3,1;2;6,2
"Deventer";41;40,7;2;2;3;3
"Diemen";14;45,5;1;3,2;2;6,5
"Dinkelland";2;7,6;1;3,8;0;0
"Doesburg";6;54,2;1;9;0;0
"Doetinchem";8;13,8;1;1,7;1;1,7
"Dongen";5;19,1;0;0;2;7,6
"Dordrecht";81;67,9;2;1,7;7;5,9
"Drechterland";1;5,1;0;0;0;0
"Drimmelen";5;18,3;0;0;1;3,7
"Dronten";6;14,4;2;4,8;0;0
