Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;Gemeente;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;Gemeente;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
's-Gravenhage (gemeente);78;14,3;44;8,1;0;0;'s-Gravenhage (gemeente);26;4,8;12;2,2;0;0;'s-Gravenhage (gemeente);52;9,5;32;5,9;0;0
's-Hertogenbosch;88;56,7;45;29;8;5,2;'s-Hertogenbosch;30;19,3;14;9;2;1,3;'s-Hertogenbosch;58;37,4;31;20;6;3,9
Aa en Hunze;1;3,9;1;3,9;0;0;Aa en Hunze;0;0;0;0;0;0;Aa en Hunze;1;3,9;1;3,9;0;0
Aalsmeer;9;28,2;2;6,3;0;0;Aalsmeer;4;12,6;0;0;0;0;Aalsmeer;5;15,6;2;6,3;0;0
Aalten;2;7,4;0;0;0;0;Aalten;0;0;0;0;0;0;Aalten;2;7,4;0;0;0;0
Achtkarspelen;1;3,6;0;0;0;0;Achtkarspelen;0;0;0;0;0;0;Achtkarspelen;1;3,6;0;0;0;0
Alblasserdam;6;29,8;1;5;0;0;Alblasserdam;2;9,9;1;5;0;0;Alblasserdam;4;19,9;0;0;0;0
Albrandswaard;17;66,4;3;11,7;0;0;Albrandswaard;4;15,6;0;0;0;0;Albrandswaard;13;50,8;3;11,7;0;0
Alkmaar;24;21,9;12;11;1;0,9;Alkmaar;8;7,3;5;4,6;0;0;Alkmaar;16;14,6;7;6,4;1;0,9
Almelo;10;13,7;5;6,8;0;0;Almelo;2;2,7;1;1,4;0;0;Almelo;8;11;4;5,4;0;0
Almere;27;12,7;21;9,9;0;0;Almere;3;1,4;3;1,4;0;0;Almere;24;11,3;18;8,5;0;0
Alphen aan den Rijn;20;17,9;13;11,6;2;1,8;Alphen aan den Rijn;7;6,3;3;2,7;0;0;Alphen aan den Rijn;13;11,6;10;8,9;2;1,8
Alphen-Chaam;17;166,6;10;98;0;0;Alphen-Chaam;6;58,8;4;39,2;0;0;Alphen-Chaam;11;107,8;6;58,8;0;0
Altena;30;53,6;9;16,1;0;0;Altena;11;19,7;4;7,1;0;0;Altena;19;33,9;5;9;0;0
Ameland;0;0;0;0;0;0;Ameland;0;0;0;0;0;0;Ameland;0;0;0;0;0;0
Amersfoort;45;28,6;18;11,4;4;2,5;Amersfoort;26;16,5;10;6,4;1;0,6;Amersfoort;19;12,1;8;5;3;1,9
Amstelveen;48;52,4;13;14,2;0;0;Amstelveen;13;14,2;3;3,3;0;0;Amstelveen;35;38,2;10;10,9;0;0
Amsterdam;360;41,2;135;15,5;8;0,9;Amsterdam;92;10,5;35;4;1;0,1;Amsterdam;268;30,7;100;11,5;7;0,8
Apeldoorn;35;21,4;24;14,7;2;1,2;Apeldoorn;9;5,5;3;1,8;0;0;Apeldoorn;26;15,9;21;12,9;2;1,2
Appingedam;0;0;0;0;0;0;Appingedam;0;0;0;0;0;0;Appingedam;0;0;0;0;0;0
Arnhem;24;14,9;15;9,3;1;0,6;Arnhem;10;6,2;4;2,5;0;0;Arnhem;14;8,7;11;6,8;1;0,6
Assen;5;7,3;3;4,4;0;0;Assen;1;1,5;1;1,5;0;0;Assen;4;5,8;2;2,9;0;0
Asten;6;35,9;2;12;2;12;Asten;2;12;1;6;0;0;Asten;4;23,9;1;6;2;12
Baarle-Nassau;4;58,3;2;29,2;1;14,6;Baarle-Nassau;0;0;0;0;0;0;Baarle-Nassau;4;58,3;2;29,2;1;14,6
Baarn;4;16,1;1;4;0;0;Baarn;0;0;0;0;0;0;Baarn;4;16,1;1;4;0;0
Barendrecht;15;30,8;10;20,5;1;2,1;Barendrecht;3;6,2;3;6,2;0;0;Barendrecht;12;24,6;7;14,3;1;2,1
Barneveld;12;20,3;2;3,4;2;3,4;Barneveld;7;11,8;1;1,7;0;0;Barneveld;5;8,5;1;1,7;2;3,4
Beek (L.);13;81,9;7;44,1;0;0;Beek (L.);3;18,9;2;12,6;0;0;Beek (L.);10;63;5;31,5;0;0
Beekdaelen;22;61,2;19;52,9;5;13,9;Beekdaelen;17;47,3;8;22,3;3;8,3;Beekdaelen;5;13,9;11;30,6;2;5,6
Beemster;2;20;1;10;1;10;Beemster;0;0;0;0;0;0;Beemster;2;20;1;10;1;10
Beesel;8;59,3;6;44,5;0;0;Beesel;0;0;0;0;0;0;Beesel;8;59,3;6;44,5;0;0
Berg en Dal;34;97,2;6;17,1;1;2,9;Berg en Dal;15;42,9;1;2,9;0;0;Berg en Dal;19;54,3;5;14,2;1;2,9
Bergeijk;9;48,3;5;26,8;1;5,4;Bergeijk;1;5,4;1;5,4;0;0;Bergeijk;8;42,9;4;21,4;1;5,4
Bergen (L.);1;7,6;1;7,6;0;0;Bergen (L.);1;7,6;0;0;0;0;Bergen (L.);0;0;1;7,6;0;0
Bergen (NH.);12;40,2;8;26,8;0;0;Bergen (NH.);4;13,4;3;10,1;0;0;Bergen (NH.);8;26,8;5;16,7;0;0
Bergen op Zoom;11;16,3;6;8,9;2;3;Bergen op Zoom;5;7,4;5;7,4;1;1,5;Bergen op Zoom;6;8,9;1;1,5;1;1,5
Berkelland;3;6,9;1;2,3;0;0;Berkelland;1;2,3;0;0;0;0;Berkelland;2;4,6;1;2,3;0;0
Bernheze;81;259,3;46;147,2;11;35,2;Bernheze;28;89,6;17;54,4;2;6,4;Bernheze;53;169,7;29;92,8;9;28,8
Best;19;63,4;12;40;3;10;Best;6;20;5;16,7;0;0;Best;13;43,4;7;23,3;3;10
Beuningen;12;46,3;3;11,6;1;3,9;Beuningen;6;23,2;0;0;0;0;Beuningen;6;23,1;3;11,6;1;3,9
Beverwijk;7;16,8;3;7,2;0;0;Beverwijk;3;7,2;1;2,4;0;0;Beverwijk;4;9,6;2;4,8;0;0
Bladel;15;73,6;7;34,3;3;14,7;Bladel;3;14,7;5;24,5;1;4,9;Bladel;12;58,9;2;9,8;2;9,8
Blaricum;5;43,3;1;8,7;0;0;Blaricum;2;17,3;0;0;0;0;Blaricum;3;26;1;8,7;0;0
Bloemendaal;15;63,6;2;8,5;0;0;Bloemendaal;5;21,2;0;0;0;0;Bloemendaal;10;42,4;2;8,5;0;0
Bodegraven-Reeuwijk;5;14,3;2;5,7;0;0;Bodegraven-Reeuwijk;1;2,9;0;0;0;0;Bodegraven-Reeuwijk;4;11,4;2;5,7;0;0
Boekel;38;352,3;14;129,8;5;46,4;Boekel;20;185,4;7;64,9;2;18,5;Boekel;18;166,9;7;64,9;3;27,9
Borger-Odoorn;0;0;0;0;0;0;Borger-Odoorn;0;0;0;0;0;0;Borger-Odoorn;0;0;0;0;0;0
Borne;8;34,3;5;21,4;1;4,3;Borne;2;8,6;1;4,3;0;0;Borne;6;25,7;4;17,1;1;4,3
Borsele;4;17,6;2;8,8;0;0;Borsele;3;13,2;2;8,8;0;0;Borsele;1;4,4;0;0;0;0
Boxmeer;12;40,9;8;27,2;2;6,8;Boxmeer;3;10,2;2;6,8;0;0;Boxmeer;9;30,7;6;20,4;2;6,8
Boxtel;16;51,9;7;22,7;4;13;Boxtel;5;16,2;1;3,2;1;3,2;Boxtel;11;35,7;6;19,5;3;9,8
Breda;138;75;70;38;14;7,6;Breda;100;54,3;34;18,5;6;3,3;Breda;38;20,7;36;19,5;8;4,3
Brielle;1;5,8;0;0;0;0;Brielle;0;0;0;0;0;0;Brielle;1;5,8;0;0;0;0
Bronckhorst;5;13,9;2;5,5;0;0;Bronckhorst;1;2,8;0;0;0;0;Bronckhorst;4;11,1;2;5,5;0;0
Brummen;4;19,3;4;19,3;1;4,8;Brummen;0;0;1;4,8;0;0;Brummen;4;19,3;3;14,5;1;4,8
