Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;
Aa en Hunze;26;102,2;0;0;0;0;;;Aa en Hunze;1;3,9;0;0;0;0;;ONWAAR;Aa en Hunze
Aalsmeer;58;182,1;0;0;0;0;;;Aalsmeer;27;84,7;0;0;0;0;;ONWAAR;Aalsmeer
Aalten;18;66,4;0;0;0;0;;;Aalten;6;22,1;0;0;0;0;;ONWAAR;Aalten
Achtkarspelen;9;32,3;0;0;0;0;;;Achtkarspelen;3;10,8;0;0;0;0;;ONWAAR;Achtkarspelen
Alblasserdam;59;292,6;0;0;1;5;;;Alblasserdam;18;89,3;0;0;0;0;;ONWAAR;Alblasserdam
Albrandswaard;51;199,3;1;3,9;0;0;;;Albrandswaard;31;121,1;0;0;0;0;;ONWAAR;Albrandswaard
Alkmaar;110;100,5;2;1,8;0;0;;;Alkmaar;36;32,9;0;0;0;0;;ONWAAR;Alkmaar
Almelo;65;88,9;2;2,7;0;0;;;Almelo;17;23,3;0;0;0;0;;ONWAAR;Almelo
Almere;318;150,1;4;1,9;3;1,4;;;Almere;201;94,9;1;0,5;1;0,5;;ONWAAR;Almere
Alphen aan den Rijn;236;210,9;3;2,7;0;0;;;Alphen aan den Rijn;98;87,6;1;0,9;1;0,9;;ONWAAR;Alphen aan den Rijn
Alphen-Chaam;4;39,2;0;0;0;0;;;Alphen-Chaam;7;68,6;0;0;0;0;;ONWAAR;Alphen-Chaam
Altena;39;69,7;0;0;0;0;;;Altena;4;7,1;0;0;0;0;;ONWAAR;Altena
Ameland;1;26,9;0;0;0;0;;;Ameland;0;0;0;0;0;0;;ONWAAR;Ameland
Amersfoort;247;157;7;4,5;1;0,6;;;Amersfoort;126;80,1;2;1,3;0;0;;ONWAAR;Amersfoort
Amstelveen;280;305,4;6;6,5;4;4,4;;;Amstelveen;105;114,5;0;0;1;1,1;;ONWAAR;Amstelveen
Amsterdam;4116;471,6;45;5,2;4;0,5;;;Amsterdam;2066;236,7;22;2,5;3;0,3;;ONWAAR;Amsterdam
Apeldoorn;180;109,9;3;1,8;1;0,6;;;Apeldoorn;45;27,5;0;0;0;0;;ONWAAR;Apeldoorn
Appingedam;8;68,7;0;0;0;0;;;Appingedam;4;34,4;0;0;0;0;;ONWAAR;Appingedam
Arnhem;225;139,5;2;1,2;0;0;;;Arnhem;97;60,1;1;0,6;1;0,6;;ONWAAR;Arnhem
Assen;57;83,1;0;0;0;0;;;Assen;12;17,5;0;0;0;0;;ONWAAR;Assen
Asten;6;35,9;0;0;0;0;;;Asten;8;47,8;0;0;0;0;;ONWAAR;Asten
Baarle-Nassau;7;102,1;0;0;0;0;;;Baarle-Nassau;0;0;0;0;0;0;;ONWAAR;Baarle-Nassau
Baarn;30;120,6;0;0;0;0;;;Baarn;12;48,3;0;0;0;0;;ONWAAR;Baarn
Barendrecht;160;328,4;0;0;0;0;;;Barendrecht;73;149,9;0;0;0;0;;ONWAAR;Barendrecht
Barneveld;45;76,2;0;0;0;0;;;Barneveld;9;15,2;0;0;1;1,7;;ONWAAR;Barneveld
Beek (L.);5;31,5;0;0;0;0;;;Beek (L.);2;12,6;0;0;0;0;;ONWAAR;Beek (L.)
Beekdaelen;21;58,4;0;0;0;0;;;Beekdaelen;11;30,6;0;0;0;0;;ONWAAR;Beekdaelen
Beemster;10;99,8;0;0;0;0;;;Beemster;6;59,9;0;0;0;0;;ONWAAR;Beemster
Beesel;4;29,7;0;0;0;0;;;Beesel;0;0;0;0;0;0;;ONWAAR;Beesel
Berg en Dal;62;177,2;0;0;3;8,6;;;Berg en Dal;14;40;0;0;0;0;;ONWAAR;Berg en Dal
Bergeijk;55;295,1;0;0;0;0;;;Bergeijk;46;246,8;0;0;0;0;;ONWAAR;Bergeijk
Bergen (L.);13;99,4;0;0;0;0;;;Bergen (L.);5;38,2;0;0;0;0;;ONWAAR;Bergen (L.)
Bergen (NH.);59;197,7;2;6,7;0;0;;;Bergen (NH.);6;20,1;0;0;0;0;;ONWAAR;Bergen (NH.)
Bergen op Zoom;124;183,7;0;0;0;0;;;Bergen op Zoom;28;41,5;1;1,5;0;0;;ONWAAR;Bergen op Zoom
Berkelland;35;80;1;2,3;0;0;;;Berkelland;12;27,4;1;2,3;0;0;;ONWAAR;Berkelland
Bernheze;30;96;0;0;0;0;;;Bernheze;12;38,4;0;0;0;0;;ONWAAR;Bernheze
Best;23;76,7;0;0;0;0;;;Best;14;46,7;0;0;0;0;;ONWAAR;Best
Beuningen;50;193,1;0;0;0;0;;;Beuningen;13;50,2;0;0;0;0;;ONWAAR;Beuningen
Beverwijk;71;170,6;0;0;2;4,8;;;Beverwijk;38;91,3;0;0;0;0;;ONWAAR;Beverwijk
Bladel;68;333,5;0;0;1;4,9;;;Bladel;14;68,7;0;0;0;0;;ONWAAR;Bladel
