Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;;
Aa en Hunze;0;0;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;4;12,6;0;0;0;0;;;WAAR;Aalsmeer
Aalten;2;7,4;0;0;0;0;;;WAAR;Aalten
Achtkarspelen;2;7,2;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;5;24,8;0;0;0;0;;;WAAR;Alblasserdam
Albrandswaard;11;43;0;0;0;0;;;WAAR;Albrandswaard
Alkmaar;19;17,4;0;0;0;0;;;WAAR;Alkmaar
Almelo;2;2,7;0;0;0;0;;;WAAR;Almelo
Almere;104;49,1;3;1,4;0;0;;;WAAR;Almere
Alphen aan den Rijn;24;21,4;1;0,9;0;0;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;3;29,4;0;0;0;0;;;WAAR;Alphen-Chaam
Altena;10;17,9;0;0;0;0;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;48;30,5;0;0;0;0;;;WAAR;Amersfoort
Amstelveen;54;58,9;1;1,1;0;0;;;WAAR;Amstelveen
Amsterdam;1418;162,5;10;1,1;6;0,7;;;WAAR;Amsterdam
Apeldoorn;22;13,4;0;0;0;0;;;WAAR;Apeldoorn
Appingedam;1;8,6;0;0;0;0;;;WAAR;Appingedam
Arnhem;40;24,8;0;0;0;0;;;WAAR;Arnhem
Assen;2;2,9;0;0;0;0;;;WAAR;Assen
Asten;0;0;0;0;0;0;;;WAAR;Asten
Baarle-Nassau;0;0;0;0;0;0;;;WAAR;Baarle-Nassau
Baarn;1;4;0;0;0;0;;;WAAR;Baarn
Barendrecht;36;73,9;0;0;0;0;;;WAAR;Barendrecht
Barneveld;19;32,2;0;0;0;0;;;WAAR;Barneveld
Beek (L.);0;0;0;0;0;0;;;WAAR;Beek (L.)
Beekdaelen;2;5,6;0;0;0;0;;;WAAR;Beekdaelen
Beemster;11;109,8;0;0;0;0;;;WAAR;Beemster
Beesel;3;22,3;0;0;0;0;;;WAAR;Beesel
Berg en Dal;4;11,4;0;0;0;0;;;WAAR;Berg en Dal
Bergeijk;4;21,5;0;0;0;0;;;WAAR;Bergeijk
Bergen (L.);1;7,6;0;0;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);3;10,1;0;0;0;0;;;WAAR;Bergen (NH.)
Bergen op Zoom;139;205,9;1;1,5;0;0;;;WAAR;Bergen op Zoom
Berkelland;0;0;0;0;0;0;;;WAAR;Berkelland
Bernheze;7;22,4;0;0;0;0;;;WAAR;Bernheze
Best;7;23,3;0;0;0;0;;;WAAR;Best
Beuningen;7;27;0;0;0;0;;;WAAR;Beuningen
Beverwijk;6;14,4;0;0;0;0;;;WAAR;Beverwijk
Bladel;11;53,9;0;0;0;0;;;WAAR;Bladel
Blaricum;5;43,3;0;0;0;0;;;WAAR;Blaricum
Bloemendaal;11;46,7;0;0;0;0;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;29;83,2;0;0;0;0;;;WAAR;Bodegraven-Reeuwijk
Boekel;0;0;0;0;0;0;;;WAAR;Boekel
Borger-Odoorn;0;0;0;0;0;0;;;WAAR;Borger-Odoorn
Borne;1;4,3;0;0;0;0;;;WAAR;Borne
Borsele;0;0;0;0;0;0;;;WAAR;Borsele
Boxmeer;4;13,6;0;0;0;0;;;WAAR;Boxmeer
Boxtel;4;13;0;0;0;0;;;WAAR;Boxtel
Breda;128;69,5;0;0;3;1,6;;;WAAR;Breda
Brielle;7;40,5;1;5,8;0;0;;;WAAR;Brielle
Bronckhorst;6;16,6;0;0;0;0;;;WAAR;Bronckhorst
Brummen;4;19,3;0;0;0;0;;;WAAR;Brummen
Brunssum;1;3,6;0;0;0;0;;;WAAR;Brunssum
Bunnik;2;13,2;0;0;0;0;;;WAAR;Bunnik
Bunschoten;5;22,9;0;0;0;0;;;WAAR;Bunschoten
Buren;0;0;0;0;0;0;;;WAAR;Buren
Capelle aan den IJssel;66;98,3;1;1,5;0;0;;;WAAR;Capelle aan den IJssel
Castricum;4;11,1;0;0;0;0;;;WAAR;Castricum
Coevorden;4;11,3;0;0;0;0;;;WAAR;Coevorden
Cranendonck;2;9,5;0;0;0;0;;;WAAR;Cranendonck
Cuijk;4;15,9;0;0;0;0;;;WAAR;Cuijk
Culemborg;11;38;0;0;0;0;;;WAAR;Culemborg
Dalfsen;1;3,5;0;0;0;0;;;WAAR;Dalfsen
Dantumadiel;7;37;0;0;0;0;;;WAAR;Dantumadiel
De Bilt;10;23,2;0;0;0;0;;;WAAR;De Bilt
De Fryske Marren;4;7,8;0;0;0;0;;;WAAR;De Fryske Marren
De Ronde Venen;24;54;0;0;0;0;;;WAAR;De Ronde Venen
De Wolden;0;0;0;0;0;0;;;WAAR;De Wolden
Delft;40;38,6;0;0;0;0;;;WAAR;Delft
Delfzijl;21;85,1;0;0;0;0;;;WAAR;Delfzijl
Den Helder;5;8,9;0;0;0;0;;;WAAR;Den Helder
Deurne;12;37;0;0;0;0;;;WAAR;Deurne
Deventer;25;24,8;0;0;0;0;;;WAAR;Deventer
Diemen;45;146,2;0;0;0;0;;;WAAR;Diemen
Dinkelland;4;15,1;0;0;0;0;;;WAAR;Dinkelland
Doesburg;2;18,1;0;0;0;0;;;WAAR;Doesburg
Doetinchem;12;20,7;0;0;0;0;;;WAAR;Doetinchem
Dongen;5;19,1;0;0;0;0;;;WAAR;Dongen
Dordrecht;79;66,2;1;0,8;0;0;;;WAAR;Dordrecht
Drechterland;0;0;0;0;0;0;;;WAAR;Drechterland
Drimmelen;12;44;0;0;0;0;;;WAAR;Drimmelen
Dronten;1;2,4;0;0;0;0;;;WAAR;Dronten
Druten;0;0;0;0;0;0;;;WAAR;Druten
Duiven;0;0;0;0;0;0;;;WAAR;Duiven
Echt-Susteren;4;12,7;0;0;0;0;;;WAAR;Echt-Susteren
Edam-Volendam;7;19,3;0;0;0;0;;;WAAR;Edam-Volendam
Ede;18;15,4;0;0;0;0;;;WAAR;Ede
Eemnes;0;0;0;0;0;0;;;WAAR;Eemnes
Eersel;2;10,4;0;0;0;0;;;WAAR;Eersel
Eijsden-Margraten;0;0;0;0;0;0;;;WAAR;Eijsden-Margraten
Eindhoven;56;23,9;0;0;2;0,9;;;WAAR;Eindhoven
Elburg;0;0;0;0;0;0;;;WAAR;Elburg
Emmen;8;7,5;0;0;0;0;;;WAAR;Emmen
Enkhuizen;0;0;0;0;0;0;;;WAAR;Enkhuizen
Enschede;40;25,1;1;0,6;0;0;;;WAAR;Enschede
Epe;1;3;0;0;0;0;;;WAAR;Epe
Ermelo;1;3,7;0;0;0;0;;;WAAR;Ermelo
Etten-Leur;12;27,3;1;2,3;0;0;;;WAAR;Etten-Leur
Geertruidenberg;1;4,6;0;0;0;0;;;WAAR;Geertruidenberg
Geldrop-Mierlo;11;27,7;0;0;0;0;;;WAAR;Geldrop-Mierlo
Gemert-Bakel;6;19,5;0;0;0;0;;;WAAR;Gemert-Bakel
Gennep;3;17,7;0;0;0;0;;;WAAR;Gennep
Gilze en Rijen;8;30,3;0;0;0;0;;;WAAR;Gilze en Rijen
Goeree-Overflakkee;10;20;0;0;0;0;;;WAAR;Goeree-Overflakkee
Goes;10;26,3;0;0;0;0;;;WAAR;Goes
Goirle;4;16,7;0;0;0;0;;;WAAR;Goirle
Gooise Meren;20;34,5;0;0;0;0;;;WAAR;Gooise Meren
Gorinchem;22;59,4;1;2,7;0;0;;;WAAR;Gorinchem
Gouda;105;143;0;0;0;0;;;WAAR;Gouda
Grave;1;8;0;0;0;0;;;WAAR;Grave
Groningen (gemeente);62;26,6;0;0;0;0;;;WAAR;Groningen (gemeente)
Gulpen-Wittem;1;7,1;0;0;0;0;;;WAAR;Gulpen-Wittem
Haaksbergen;2;8,2;0;0;0;0;;;WAAR;Haaksbergen
Haaren;1;7;0;0;0;0;;;WAAR;Haaren
Haarlem;68;41,7;0;0;0;0;;;WAAR;Haarlem
Haarlemmermeer;59;37,8;0;0;1;0,6;;;WAAR;Haarlemmermeer
Halderberge;14;46,2;0;0;0;0;;;WAAR;Halderberge
Hardenberg;9;14,8;0;0;0;0;;;WAAR;Hardenberg
Harderwijk;14;28,9;0;0;0;0;;;WAAR;Harderwijk
Hardinxveld-Giessendam;8;43,7;0;0;0;0;;;WAAR;Hardinxveld-Giessendam
Harlingen;2;12,7;0;0;0;0;;;WAAR;Harlingen
Hattem;0;0;0;0;0;0;;;WAAR;Hattem
Heemskerk;5;12,8;1;2,6;0;0;;;WAAR;Heemskerk
Heemstede;7;25,7;0;0;0;0;;;WAAR;Heemstede
Heerde;2;10,8;0;0;0;0;;;WAAR;Heerde
Heerenveen;5;9,9;0;0;0;0;;;WAAR;Heerenveen
Heerhugowaard;10;17,4;0;0;0;0;;;WAAR;Heerhugowaard
Heerlen;5;5,7;0;0;0;0;;;WAAR;Heerlen
Heeze-Leende;4;24,8;0;0;0;0;;;WAAR;Heeze-Leende
Heiloo;0;0;0;0;0;0;;;WAAR;Heiloo
Hellendoorn;1;2,8;0;0;0;0;;;WAAR;Hellendoorn
Hellevoetsluis;14;34,9;0;0;0;0;;;WAAR;Hellevoetsluis
Helmond;31;33,5;1;1,1;0;0;;;WAAR;Helmond
Hendrik-Ido-Ambacht;15;48,1;0;0;0;0;;;WAAR;Hendrik-Ido-Ambacht
Hengelo (O.);8;9,9;0;0;0;0;;;WAAR;Hengelo (O.)
Het Hogeland;2;4,2;0;0;0;0;;;WAAR;Het Hogeland
Heumen;3;18,2;0;0;0;0;;;WAAR;Heumen
Heusden;15;33,6;0;0;1;2,2;;;WAAR;Heusden
Hillegom;4;18;0;0;0;0;;;WAAR;Hillegom
Hilvarenbeek;0;0;0;0;0;0;;;WAAR;Hilvarenbeek
Hilversum;34;37,4;1;1,1;0;0;;;WAAR;Hilversum
Hoeksche Waard;22;25,2;0;0;0;0;;;WAAR;Hoeksche Waard
Hof van Twente;5;14,3;0;0;0;0;;;WAAR;Hof van Twente
Hollands Kroon;6;12,4;0;0;0;0;;;WAAR;Hollands Kroon
Hoogeveen;4;7,2;0;0;0;0;;;WAAR;Hoogeveen
Hoorn;19;25,9;0;0;0;0;;;WAAR;Hoorn
Horst aan de Maas;7;16,5;0;0;0;0;;;WAAR;Horst aan de Maas
Houten;9;17,9;0;0;0;0;;;WAAR;Houten
Huizen;17;41,2;0;0;0;0;;;WAAR;Huizen
Hulst;4;14,5;0;0;0;0;;;WAAR;Hulst
IJsselstein;20;58,6;0;0;0;0;;;WAAR;IJsselstein
Kaag en Braassem;2;7,3;0;0;0;0;;;WAAR;Kaag en Braassem
Kampen;6;11;0;0;0;0;;;WAAR;Kampen
Kapelle;0;0;0;0;0;0;;;WAAR;Kapelle
Katwijk;9;13,7;0;0;0;0;;;WAAR;Katwijk
Kerkrade;4;8,7;0;0;0;0;;;WAAR;Kerkrade
Koggenland;3;13,2;0;0;0;0;;;WAAR;Koggenland
Krimpen aan den IJssel;14;47,4;0;0;0;0;;;WAAR;Krimpen aan den IJssel
Krimpenerwaard;18;32;0;0;0;0;;;WAAR;Krimpenerwaard
Laarbeek;2;8,9;0;0;0;0;;;WAAR;Laarbeek
Landerd;2;12,7;0;0;0;0;;;WAAR;Landerd
Landgraaf;2;5,3;0;0;0;0;;;WAAR;Landgraaf
Landsmeer;5;43,5;0;0;0;0;;;WAAR;Landsmeer
Langedijk;0;0;0;0;0;0;;;WAAR;Langedijk
Lansingerland;34;54,5;0;0;0;0;;;WAAR;Lansingerland
Laren (NH.);6;53,2;0;0;0;0;;;WAAR;Laren (NH.)
Leeuwarden;14;11,3;0;0;0;0;;;WAAR;Leeuwarden
Leiden;45;36;1;0,8;1;0,8;;;WAAR;Leiden
Leiderdorp;6;22,2;0;0;0;0;;;WAAR;Leiderdorp
Leidschendam-Voorburg;37;48,3;1;1,3;0;0;;;WAAR;Leidschendam-Voorburg
Lelystad;18;22,9;1;1,3;0;0;;;WAAR;Lelystad
Leudal;6;16,7;1;2,8;0;0;;;WAAR;Leudal
Leusden;5;16,4;0;0;0;0;;;WAAR;Leusden
Lingewaard;6;12,9;0;0;0;0;;;WAAR;Lingewaard
Lisse;2;8,7;0;0;0;0;;;WAAR;Lisse
Lochem;4;11,9;0;0;0;0;;;WAAR;Lochem
Loon op Zand;3;12,8;0;0;0;0;;;WAAR;Loon op Zand
Lopik;3;20,7;0;0;0;0;;;WAAR;Lopik
Loppersum;0;0;0;0;0;0;;;WAAR;Loppersum
Losser;2;8,8;0;0;0;0;;;WAAR;Losser
Maasdriel;4;16;0;0;0;0;;;WAAR;Maasdriel
Maasgouw;1;4,2;0;0;0;0;;;WAAR;Maasgouw
Maassluis;32;96,3;0;0;0;0;;;WAAR;Maassluis
Maastricht;26;21,4;2;1,6;0;0;;;WAAR;Maastricht
Medemblik;6;13,3;0;0;0;0;;;WAAR;Medemblik
Meerssen;3;15,9;0;0;0;0;;;WAAR;Meerssen
Meierijstad;15;18,5;0;0;0;0;;;WAAR;Meierijstad
Meppel;1;2,9;0;0;0;0;;;WAAR;Meppel
Middelburg (Z.);9;18,4;0;0;0;0;;;WAAR;Middelburg (Z.)
Midden-Delfland;6;31;0;0;0;0;;;WAAR;Midden-Delfland
Midden-Drenthe;3;9;0;0;0;0;;;WAAR;Midden-Drenthe
Midden-Groningen;5;8,2;0;0;0;0;;;WAAR;Midden-Groningen
Mill en Sint Hubert;3;27,4;0;0;0;0;;;WAAR;Mill en Sint Hubert
Moerdijk;6;16,2;0;0;0;0;;;WAAR;Moerdijk
Molenlanden;4;9,1;0;0;0;0;;;WAAR;Molenlanden
Montferland;2;5,6;0;0;0;0;;;WAAR;Montferland
Montfoort;3;21,6;0;0;0;0;;;WAAR;Montfoort
Mook en Middelaar;2;25,5;0;0;0;0;;;WAAR;Mook en Middelaar
Neder-Betuwe;0;0;0;0;0;0;;;WAAR;Neder-Betuwe
Nederweert;1;5,9;0;0;0;0;;;WAAR;Nederweert
Nieuwegein;24;37,8;1;1,6;0;0;;;WAAR;Nieuwegein
Nieuwkoop;4;13,9;0;0;0;0;;;WAAR;Nieuwkoop
Nijkerk;4;9,3;0;0;0;0;;;WAAR;Nijkerk
Nijmegen;36;20,3;0;0;0;0;;;WAAR;Nijmegen
Nissewaard;22;25,8;0;0;0;0;;;WAAR;Nissewaard
Noardeast-Fryslan;48;106,1;0;0;0;0;;;WAAR;Noardeast-Fryslan
Noord-Beveland;0;0;0;0;0;0;;;WAAR;Noord-Beveland
Noordenveld;0;0;0;0;0;0;;;WAAR;Noordenveld
Noordoostpolder;3;6,3;0;0;0;0;;;WAAR;Noordoostpolder
Noordwijk;11;25,3;0;0;0;0;;;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;7;29,9;0;0;0;0;;;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;2;7,2;0;0;0;0;;;WAAR;Nunspeet
Oegstgeest;6;24,2;0;0;0;0;;;WAAR;Oegstgeest
Oirschot;3;16;0;0;0;0;;;WAAR;Oirschot
Oisterwijk;5;19,1;0;0;0;0;;;WAAR;Oisterwijk
Oldambt;3;7,9;0;0;0;0;;;WAAR;Oldambt
Oldebroek;1;4,2;0;0;0;0;;;WAAR;Oldebroek
Oldenzaal;0;0;0;0;0;0;;;WAAR;Oldenzaal
Olst-Wijhe;3;16,4;0;0;0;0;;;WAAR;Olst-Wijhe
Ommen;0;0;0;0;0;0;;;WAAR;Ommen
Oost Gelre;1;3,4;0;0;0;0;;;WAAR;Oost Gelre
Oosterhout;27;48,2;0;0;0;0;;;WAAR;Oosterhout
Ooststellingwerf;0;0;0;0;0;0;;;WAAR;Ooststellingwerf
Oostzaan;6;61,6;0;0;0;0;;;WAAR;Oostzaan
Opmeer;2;16,9;0;0;0;0;;;WAAR;Opmeer
Opsterland;0;0;0;0;0;0;;;WAAR;Opsterland
Oss;28;30,5;0;0;0;0;;;WAAR;Oss
Oude IJsselstreek;4;10,2;0;0;0;0;;;WAAR;Oude IJsselstreek
Ouder-Amstel;8;57;0;0;0;0;;;WAAR;Ouder-Amstel
Oudewater;2;19,6;0;0;0;0;;;WAAR;Oudewater
Overbetuwe;4;8,3;0;0;0;0;;;WAAR;Overbetuwe
Papendrecht;7;21,8;0;0;0;0;;;WAAR;Papendrecht
Peel en Maas;2;4,6;0;0;0;0;;;WAAR;Peel en Maas
Pekela;2;16,4;0;0;0;0;;;WAAR;Pekela
Pijnacker-Nootdorp;23;41,6;0;0;0;0;;;WAAR;Pijnacker-Nootdorp
Purmerend;34;41,8;2;2,5;0;0;;;WAAR;Purmerend
Putten;8;33,2;0;0;0;0;;;WAAR;Putten
Raalte;3;8;0;0;0;0;;;WAAR;Raalte
Reimerswaal;1;4,4;0;0;0;0;;;WAAR;Reimerswaal
Renkum;5;15,9;0;0;0;0;;;WAAR;Renkum
Renswoude;1;18,4;0;0;0;0;;;WAAR;Renswoude
Reusel-De Mierden;5;38,1;0;0;0;0;;;WAAR;Reusel-De Mierden
Rheden;2;4,6;0;0;0;0;;;WAAR;Rheden
Rhenen;1;5;0;0;0;0;;;WAAR;Rhenen
Ridderkerk;26;56,3;0;0;0;0;;;WAAR;Ridderkerk
Rijssen-Holten;4;10,5;0;0;0;0;;;WAAR;Rijssen-Holten
Rijswijk (ZH.);33;60,6;1;1,8;0;0;;;WAAR;Rijswijk (ZH.)
Roerdalen;8;38,9;0;0;0;0;;;WAAR;Roerdalen
Roermond;20;34,3;0;0;0;0;;;WAAR;Roermond
Roosendaal;40;51,8;0;0;0;0;;;WAAR;Roosendaal
Rotterdam;1124;172,6;12;1,8;2;0,3;;;WAAR;Rotterdam
Rozendaal;0;0;0;0;0;0;;;WAAR;Rozendaal
Rucphen;0;0;0;0;0;0;;;WAAR;Rucphen
Schagen;3;6,5;0;0;0;0;;;WAAR;Schagen
Scherpenzeel;3;30,4;0;0;0;0;;;WAAR;Scherpenzeel
Schiedam;103;130,8;0;0;0;0;;;WAAR;Schiedam
Schiermonnikoog;0;0;0;0;0;0;;;WAAR;Schiermonnikoog
Schouwen-Duiveland;2;5,9;0;0;0;0;;;WAAR;Schouwen-Duiveland
's-Gravenhage (gemeente);520;95,3;6;1,1;3;0,5;;;WAAR;'s-Gravenhage (gemeente)
's-Hertogenbosch;61;39,3;0;0;0;0;;;WAAR;'s-Hertogenbosch
Simpelveld;1;9,5;0;0;0;0;;;WAAR;Simpelveld
Sint Anthonis;0;0;0;0;0;0;;;WAAR;Sint Anthonis
Sint-Michielsgestel;3;10,3;0;0;0;0;;;WAAR;Sint-Michielsgestel
Sittard-Geleen;23;24,9;3;3,2;0;0;;;WAAR;Sittard-Geleen
Sliedrecht;3;11,9;0;0;0;0;;;WAAR;Sliedrecht
Sluis;4;17,2;0;0;0;0;;;WAAR;Sluis
Smallingerland;2;3,6;0;0;0;0;;;WAAR;Smallingerland
Soest;8;17,2;0;0;0;0;;;WAAR;Soest
Someren;3;15,5;0;0;0;0;;;WAAR;Someren
Son en Breugel;2;11,5;0;0;0;0;;;WAAR;Son en Breugel
Stadskanaal;2;6,3;0;0;0;0;;;WAAR;Stadskanaal
Staphorst;1;5,8;0;0;0;0;;;WAAR;Staphorst
Stede Broec;2;9,2;0;0;0;0;;;WAAR;Stede Broec
Steenbergen;6;24,6;0;0;0;0;;;WAAR;Steenbergen
Steenwijkerland;1;2,3;0;0;0;0;;;WAAR;Steenwijkerland
Stein (L.);1;4;0;0;0;0;;;WAAR;Stein (L.)
Stichtse Vecht;28;43,1;0;0;0;0;;;WAAR;Stichtse Vecht
Sudwest-Fryslan;6;6,7;0;0;0;0;;;WAAR;Sudwest-Fryslan
Terneuzen;4;7,3;0;0;0;0;;;WAAR;Terneuzen
Terschelling;0;0;0;0;0;0;;;WAAR;Terschelling
Texel;0;0;0;0;0;0;;;WAAR;Texel
Teylingen;10;26,7;1;2,7;0;0;;;WAAR;Teylingen
Tholen;5;19,4;0;0;0;0;;;WAAR;Tholen
Tiel;6;14,2;0;0;1;2,4;;;WAAR;Tiel
Tilburg;81;36,9;0;0;0;0;;;WAAR;Tilburg
Tubbergen;0;0;0;0;0;0;;;WAAR;Tubbergen
Twenterand;1;3;0;0;0;0;;;WAAR;Twenterand
Tynaarlo;2;5,9;0;0;0;0;;;WAAR;Tynaarlo
Tytsjerksteradiel;3;9,4;0;0;0;0;;;WAAR;Tytsjerksteradiel
Uden;6;14,2;0;0;0;0;;;WAAR;Uden
Uitgeest;2;14,6;0;0;0;0;;;WAAR;Uitgeest
Uithoorn;9;30,5;0;0;0;0;;;WAAR;Uithoorn
Urk;0;0;0;0;0;0;;;WAAR;Urk
Utrecht (gemeente);242;67,7;1;0,3;0;0;;;WAAR;Utrecht (gemeente)
Utrechtse Heuvelrug;5;10,1;0;0;0;0;;;WAAR;Utrechtse Heuvelrug
Vaals;0;0;0;0;0;0;;;WAAR;Vaals
Valkenburg aan de Geul;1;6,1;0;0;0;0;;;WAAR;Valkenburg aan de Geul
Valkenswaard;4;12,8;0;0;0;0;;;WAAR;Valkenswaard
Veendam;9;32,9;0;0;0;0;;;WAAR;Veendam
Veenendaal;7;10,5;0;0;0;0;;;WAAR;Veenendaal
Veere;2;9,1;0;0;0;0;;;WAAR;Veere
Veldhoven;6;13,2;0;0;0;0;;;WAAR;Veldhoven
Velsen;20;29,1;0;0;0;0;;;WAAR;Velsen
Venlo;36;35,4;0;0;0;0;;;WAAR;Venlo
Venray;11;25,2;0;0;0;0;;;WAAR;Venray
Vijfheerenlanden;15;26,4;0;0;0;0;;;WAAR;Vijfheerenlanden
Vlaardingen;76;103,5;0;0;0;0;;;WAAR;Vlaardingen
Vlieland;0;0;0;0;0;0;;;WAAR;Vlieland
Vlissingen;6;13,5;0;0;0;0;;;WAAR;Vlissingen
Voerendaal;1;8;0;0;0;0;;;WAAR;Voerendaal
Voorschoten;5;19,5;0;0;0;0;;;WAAR;Voorschoten
