Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;
Aa en Hunze;6;23,6;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;10;31,4;4;12,6;0;0;;;WAAR;Aalsmeer
Aalten;20;73,7;2;7,4;2;7,4;;;WAAR;Aalten
Achtkarspelen;3;10,8;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;15;74,4;2;9,9;1;5;;;WAAR;Alblasserdam
Albrandswaard;28;109,4;4;15,6;2;7,8;;;WAAR;Albrandswaard
Alkmaar;114;104,2;15;13,7;14;12,8;;;WAAR;Alkmaar
Almelo;42;57,5;7;9,6;2;2,7;;;WAAR;Almelo
Almere;95;44,8;35;16,5;5;2,4;;;WAAR;Almere
Alphen aan den Rijn;52;46,5;16;14,3;10;8,9;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;11;107,8;3;29,4;0;0;;;WAAR;Alphen-Chaam
Altena;36;64,3;7;12,5;8;14,3;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;58;36,9;18;11,4;7;4,5;;;WAAR;Amersfoort
Amstelveen;108;117,8;17;18,5;23;25,1;;;WAAR;Amstelveen
Amsterdam;596;68,3;182;20,9;83;9,5;;;WAAR;Amsterdam
Apeldoorn;123;75,1;26;15,9;22;13,4;;;WAAR;Apeldoorn
Appingedam;1;8,6;1;8,6;0;0;;;WAAR;Appingedam
Arnhem;107;66,3;18;11,2;12;7,4;;;WAAR;Arnhem
Assen;15;21,9;3;4,4;0;0;;;WAAR;Assen
Asten;30;179,4;8;47,8;4;23,9;;;WAAR;Asten
Baarle-Nassau;3;43,7;0;0;0;0;;;WAAR;Baarle-Nassau
Baarn;17;68,4;3;12,1;3;12,1;;;WAAR;Baarn
Barendrecht;38;78;11;22,6;4;8,2;;;WAAR;Barendrecht
Barneveld;46;77,9;5;8,5;3;5,1;;;WAAR;Barneveld
Beek (L.);10;63;4;25,2;2;12,6;;;WAAR;Beek (L.)
Beekdaelen;41;114,1;11;30,6;10;27,8;;;WAAR;Beekdaelen
Beemster;2;20;1;10;0;0;;;WAAR;Beemster
Beesel;17;126,1;9;66,8;4;29,7;;;WAAR;Beesel
Berg en Dal;48;137,2;9;25,7;5;14,3;;;WAAR;Berg en Dal
Bergeijk;18;96,6;4;21,5;3;16,1;;;WAAR;Bergeijk
Bergen (L.);8;61,1;2;15,3;2;15,3;;;WAAR;Bergen (L.)
Bergen (NH.);18;60,3;3;10,1;2;6,7;;;WAAR;Bergen (NH.)
Bergen op Zoom;37;54,8;6;8,9;1;1,5;;;WAAR;Bergen op Zoom
Berkelland;26;59,4;5;11,4;1;2,3;;;WAAR;Berkelland
Bernheze;71;227,3;13;41,6;20;64;;;WAAR;Bernheze
Best;15;50;6;20;3;10;;;WAAR;Best
Beuningen;14;54,1;5;19,3;0;0;;;WAAR;Beuningen
Beverwijk;31;74,5;6;14,4;3;7,2;;;WAAR;Beverwijk
Bladel;17;83,4;6;29,4;2;9,8;;;WAAR;Bladel
Blaricum;7;60,7;0;0;2;17,3;;;WAAR;Blaricum
Bloemendaal;10;42,4;2;8,5;3;12,7;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;11;31,5;2;5,7;0;0;;;WAAR;Bodegraven-Reeuwijk
Boekel;17;157,6;4;37,1;4;37,1;;;WAAR;Boekel
Borger-Odoorn;2;7,8;1;3,9;1;3,9;;;WAAR;Borger-Odoorn
Borne;17;72,9;2;8,6;2;8,6;;;WAAR;Borne
Borsele;12;52,8;2;8,8;0;0;;;WAAR;Borsele
Boxmeer;41;139,6;3;10,2;10;34,1;;;WAAR;Boxmeer
Boxtel;14;45,5;4;13;3;9,7;;;WAAR;Boxtel
Breda;104;56,5;12;6,5;21;11,4;;;WAAR;Breda
Brielle;11;63,7;3;17,4;0;0;;;WAAR;Brielle
Bronckhorst;18;49,9;3;8,3;3;8,3;;;WAAR;Bronckhorst
Brummen;13;62,7;8;38,6;3;14,5;;;WAAR;Brummen
Brunssum;28;100,6;11;39,5;3;10,8;;;WAAR;Brunssum
Bunnik;8;52,7;3;19,7;1;6,6;;;WAAR;Bunnik
Bunschoten;26;118,9;4;18,3;2;9,1;;;WAAR;Bunschoten
Buren;13;48,6;4;15;2;7,5;;;WAAR;Buren
Capelle aan den IJssel;114;169,8;16;23,8;20;29,8;;;WAAR;Capelle aan den IJssel
Castricum;29;80,6;2;5,6;3;8,3;;;WAAR;Castricum
Coevorden;18;51;4;11,3;1;2,8;;;WAAR;Coevorden
Cranendonck;75;354,8;14;66,2;14;66,2;;;WAAR;Cranendonck
Cuijk;23;91,5;3;11,9;3;11,9;;;WAAR;Cuijk
Culemborg;16;55,3;3;10,4;2;6,9;;;WAAR;Culemborg
Dalfsen;39;136,4;6;21;4;14;;;WAAR;Dalfsen
Dantumadiel;2;10,6;1;5,3;0;0;;;WAAR;Dantumadiel
De Bilt;30;69,5;7;16,2;6;13,9;;;WAAR;De Bilt
De Fryske Marren;22;42,7;2;3,9;3;5,8;;;WAAR;De Fryske Marren
De Ronde Venen;29;65,2;13;29,2;3;6,7;;;WAAR;De Ronde Venen
De Wolden;21;86,3;7;28,8;0;0;;;WAAR;De Wolden
Delft;49;47,3;10;9,7;4;3,9;;;WAAR;Delft
Delfzijl;4;16,2;1;4,1;0;0;;;WAAR;Delfzijl
Den Helder;19;33,8;4;7,1;0;0;;;WAAR;Den Helder
Deurne;43;132,4;7;21,6;10;30,8;;;WAAR;Deurne
Deventer;63;62,6;16;15,9;4;4;;;WAAR;Deventer
Diemen;27;87,7;5;16,2;3;9,7;;;WAAR;Diemen
Dinkelland;22;83,1;1;3,8;3;11,3;;;WAAR;Dinkelland
Doesburg;10;90,3;3;27,1;3;27,1;;;WAAR;Doesburg
Doetinchem;29;50;4;6,9;3;5,2;;;WAAR;Doetinchem
Dongen;20;76,3;3;11,4;4;15,3;;;WAAR;Dongen
Dordrecht;106;88,9;23;19,3;11;9,2;;;WAAR;Dordrecht
Drechterland;25;126,8;1;5,1;7;35,5;;;WAAR;Drechterland
Drimmelen;11;40,3;4;14,7;2;7,3;;;WAAR;Drimmelen
Dronten;45;108,3;7;16,8;6;14,4;;;WAAR;Dronten
Druten;63;332,9;6;31,7;5;26,4;;;WAAR;Druten
Duiven;21;83,6;6;23,9;2;8;;;WAAR;Duiven
Echt-Susteren;26;82,3;9;28,5;7;22,1;;;WAAR;Echt-Susteren
Edam-Volendam;29;80,1;7;19,3;0;0;;;WAAR;Edam-Volendam
Ede;68;58;18;15,4;6;5,1;;;WAAR;Ede
Eemnes;7;75,7;0;0;0;0;;;WAAR;Eemnes
Eersel;24;124,3;4;20,7;6;31,1;;;WAAR;Eersel
Eijsden-Margraten;63;244,5;22;85,4;13;50,5;;;WAAR;Eijsden-Margraten
Eindhoven;131;55,9;53;22,6;37;15,8;;;WAAR;Eindhoven
Elburg;57;246,1;13;56,1;2;8,6;;;WAAR;Elburg
Emmen;42;39,2;5;4,7;6;5,6;;;WAAR;Emmen
Enkhuizen;5;26,9;4;21,5;0;0;;;WAAR;Enkhuizen
Enschede;71;44,5;20;12,5;8;5;;;WAAR;Enschede
Epe;39;117,5;14;42,2;7;21,1;;;WAAR;Epe
Ermelo;41;151,8;6;22,2;6;22,2;;;WAAR;Ermelo
Etten-Leur;56;127,6;9;20,5;14;31,9;;;WAAR;Etten-Leur
Geertruidenberg;7;32,5;0;0;2;9,3;;;WAAR;Geertruidenberg
Geldrop-Mierlo;39;98,2;9;22,7;9;22,7;;;WAAR;Geldrop-Mierlo
Gemert-Bakel;39;126,9;5;16,3;10;32,5;;;WAAR;Gemert-Bakel
Gennep;25;147,7;3;17,7;4;23,6;;;WAAR;Gennep
Gilze en Rijen;23;87;4;15,1;6;22,7;;;WAAR;Gilze en Rijen
Goeree-Overflakkee;95;189,8;14;28;19;38;;;WAAR;Goeree-Overflakkee
Goes;33;86,7;2;5,3;7;18,4;;;WAAR;Goes
Goirle;22;92;6;25,1;5;20,9;;;WAAR;Goirle
Gooise Meren;37;63,7;5;8,6;4;6,9;;;WAAR;Gooise Meren
Gorinchem;74;199,9;6;16,2;10;27;;;WAAR;Gorinchem
Gouda;101;137,6;13;17,7;12;16,3;;;WAAR;Gouda
Grave;14;112,6;4;32,2;3;24,1;;;WAAR;Grave
Groningen (gemeente);42;18;4;1,7;1;0,4;;;WAAR;Groningen (gemeente)
Gulpen-Wittem;30;211,7;4;28,2;5;35,3;;;WAAR;Gulpen-Wittem
Haaksbergen;29;119,3;7;28,8;2;8,2;;;WAAR;Haaksbergen
Haaren;10;69,6;3;20,9;0;0;;;WAAR;Haaren
Haarlem;106;65,1;20;12,3;26;16;;;WAAR;Haarlem
Haarlemmermeer;86;55,1;20;12,8;8;5,1;;;WAAR;Haarlemmermeer
Halderberge;27;89,2;1;3,3;3;9,9;;;WAAR;Halderberge
Hardenberg;104;170,6;11;18;6;9,8;;;WAAR;Hardenberg
Harderwijk;37;76,4;10;20,7;8;16,5;;;WAAR;Harderwijk
Hardinxveld-Giessendam;13;71,1;0;0;1;5,5;;;WAAR;Hardinxveld-Giessendam
Harlingen;7;44,5;2;12,7;0;0;;;WAAR;Harlingen
Hattem;20;163,8;3;24,6;3;24,6;;;WAAR;Hattem
Heemskerk;31;79,1;2;5,1;4;10,2;;;WAAR;Heemskerk
Heemstede;37;135,9;2;7,3;16;58,8;;;WAAR;Heemstede
Heerde;58;312;3;16,1;7;37,7;;;WAAR;Heerde
Heerenveen;50;99;3;5,9;10;19,8;;;WAAR;Heerenveen
Heerhugowaard;56;97,2;3;5,2;3;5,2;;;WAAR;Heerhugowaard
Heerlen;126;144,7;29;33,3;19;21,8;;;WAAR;Heerlen
Heeze-Leende;33;204,3;6;37,1;7;43,3;;;WAAR;Heeze-Leende
Heiloo;17;70,9;2;8,3;0;0;;;WAAR;Heiloo
Hellendoorn;21;58,5;3;8,4;3;8,4;;;WAAR;Hellendoorn
Hellevoetsluis;31;77,2;10;24,9;0;0;;;WAAR;Hellevoetsluis
Helmond;111;120,1;41;44,4;16;17,3;;;WAAR;Helmond
Hendrik-Ido-Ambacht;17;54,5;3;9,6;3;9,6;;;WAAR;Hendrik-Ido-Ambacht
Hengelo (O.);56;69;9;11,1;7;8,6;;;WAAR;Hengelo (O.)
Het Hogeland;13;27,2;3;6,3;1;2,1;;;WAAR;Het Hogeland
Heumen;22;133,7;6;36,5;2;12,2;;;WAAR;Heumen
Heusden;30;67,1;7;15,7;7;15,7;;;WAAR;Heusden
Hillegom;13;58,5;2;9;1;4,5;;;WAAR;Hillegom
Hilvarenbeek;10;64,4;2;12,9;2;12,9;;;WAAR;Hilvarenbeek
Hilversum;35;38,5;4;4,4;3;3,3;;;WAAR;Hilversum
Hoeksche Waard;75;85,8;17;19,5;4;4,6;;;WAAR;Hoeksche Waard
Hof van Twente;33;94,2;4;11,4;4;11,4;;;WAAR;Hof van Twente
Hollands Kroon;21;43,4;4;8,3;2;4,1;;;WAAR;Hollands Kroon
Hoogeveen;30;53,9;6;10,8;2;3,6;;;WAAR;Hoogeveen
Hoorn;34;46,4;10;13,6;5;6,8;;;WAAR;Hoorn
Horst aan de Maas;48;113,1;6;14,1;4;9,4;;;WAAR;Horst aan de Maas
Houten;36;71,8;9;17,9;7;14;;;WAAR;Houten
Huizen;23;55,7;4;9,7;2;4,8;;;WAAR;Huizen
Hulst;19;69;3;10,9;4;14,5;;;WAAR;Hulst
IJsselstein;37;108,5;8;23,5;16;46,9;;;WAAR;IJsselstein
