Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;
Ede;14;11,9;1;0,9;0;0;;;WAAR;Ede
Eemnes;2;21,6;0;0;0;0;;;WAAR;Eemnes
Eersel;4;20,7;0;0;1;5,2;;;WAAR;Eersel
Eijsden-Margraten;15;58,2;1;3,9;3;11,6;;;WAAR;Eijsden-Margraten
Eindhoven;52;22,2;8;3,4;11;4,7;;;WAAR;Eindhoven
Elburg;12;51,8;1;4,3;0;0;;;WAAR;Elburg
Emmen;6;5,6;0;0;0;0;;;WAAR;Emmen
Enkhuizen;0;0;0;0;0;0;;;WAAR;Enkhuizen
Enschede;31;19,4;1;0,6;3;1,9;;;WAAR;Enschede
Epe;9;27,1;1;3;3;9;;;WAAR;Epe
Ermelo;20;74,1;1;3,7;7;25,9;;;WAAR;Ermelo
Etten-Leur;15;34,2;0;0;4;9,1;;;WAAR;Etten-Leur
Geertruidenberg;3;13,9;0;0;0;0;;;WAAR;Geertruidenberg
Geldrop-Mierlo;8;20,1;0;0;2;5;;;WAAR;Geldrop-Mierlo
Gemert-Bakel;10;32,5;2;6,5;0;0;;;WAAR;Gemert-Bakel
Gennep;2;11,8;0;0;0;0;;;WAAR;Gennep
Gilze en Rijen;2;7,6;0;0;0;0;;;WAAR;Gilze en Rijen
Goeree-Overflakkee;7;14;0;0;2;4;;;WAAR;Goeree-Overflakkee
Goes;0;0;0;0;1;2,6;;;WAAR;Goes
Goirle;2;8,4;1;4,2;0;0;;;WAAR;Goirle
Gooise Meren;7;12,1;0;0;0;0;;;WAAR;Gooise Meren
Gorinchem;9;24,3;1;2,7;0;0;;;WAAR;Gorinchem
Gouda;13;17,7;3;4,1;4;5,4;;;WAAR;Gouda
Grave;6;48,2;1;8;0;0;;;WAAR;Grave
Groningen (gemeente);8;3,4;0;0;0;0;;;WAAR;Groningen (gemeente)
Gulpen-Wittem;4;28,2;0;0;1;7,1;;;WAAR;Gulpen-Wittem
Haaksbergen;3;12,3;0;0;2;8,2;;;WAAR;Haaksbergen
Haaren;8;55,7;1;7;0;0;;;WAAR;Haaren
Haarlem;22;13,5;1;0,6;5;3,1;;;WAAR;Haarlem
Haarlemmermeer;56;35,9;4;2,6;6;3,8;;;WAAR;Haarlemmermeer
Halderberge;2;6,6;0;0;0;0;;;WAAR;Halderberge
Hardenberg;9;14,8;0;0;0;0;;;WAAR;Hardenberg
Harderwijk;20;41,3;2;4,1;3;6,2;;;WAAR;Harderwijk
Hardinxveld-Giessendam;3;16,4;1;5,5;0;0;;;WAAR;Hardinxveld-Giessendam
Harlingen;1;6,4;0;0;0;0;;;WAAR;Harlingen
Hattem;0;0;0;0;0;0;;;WAAR;Hattem
Heemskerk;4;10,2;1;2,6;1;2,6;;;WAAR;Heemskerk
Heemstede;1;3,7;0;0;1;3,7;;;WAAR;Heemstede
Heerde;12;64,6;3;16,1;3;16,1;;;WAAR;Heerde
Heerenveen;6;11,9;0;0;0;0;;;WAAR;Heerenveen
Heerhugowaard;4;6,9;1;1,7;0;0;;;WAAR;Heerhugowaard
Heerlen;35;40,2;3;3,4;4;4,6;;;WAAR;Heerlen
Heeze-Leende;2;12,4;0;0;0;0;;;WAAR;Heeze-Leende
Heiloo;3;12,5;0;0;1;4,2;;;WAAR;Heiloo
Hellendoorn;17;47,3;0;0;2;5,6;;;WAAR;Hellendoorn
Hellevoetsluis;5;12,5;0;0;0;0;;;WAAR;Hellevoetsluis
Helmond;41;44,4;6;6,5;4;4,3;;;WAAR;Helmond
Hendrik-Ido-Ambacht;12;38,5;1;3,2;1;3,2;;;WAAR;Hendrik-Ido-Ambacht
Hengelo (O.);6;7,4;1;1,2;0;0;;;WAAR;Hengelo (O.)
Het Hogeland;2;4,2;0;0;1;2,1;;;WAAR;Het Hogeland
Heumen;4;24,3;0;0;1;6,1;;;WAAR;Heumen
Heusden;7;15,7;1;2,2;3;6,7;;;WAAR;Heusden
Hillegom;4;18;0;0;0;0;;;WAAR;Hillegom
Hilvarenbeek;4;25,8;0;0;1;6,4;;;WAAR;Hilvarenbeek
Hilversum;30;33;2;2,2;8;8,8;;;WAAR;Hilversum
Hoeksche Waard;39;44,6;2;2,3;3;3,4;;;WAAR;Hoeksche Waard
Hof van Twente;4;11,4;0;0;0;0;;;WAAR;Hof van Twente
Hollands Kroon;3;6,2;0;0;0;0;;;WAAR;Hollands Kroon
Hoogeveen;9;16,2;0;0;0;0;;;WAAR;Hoogeveen
Hoorn;1;1,4;0;0;0;0;;;WAAR;Hoorn
Horst aan de Maas;5;11,8;0;0;1;2,4;;;WAAR;Horst aan de Maas
Houten;9;17,9;0;0;1;2;;;WAAR;Houten
Huizen;22;53,3;2;4,8;3;7,3;;;WAAR;Huizen
Hulst;0;0;0;0;0;0;;;WAAR;Hulst
IJsselstein;14;41;0;0;2;5,9;;;WAAR;IJsselstein
Kaag en Braassem;1;3,7;0;0;0;0;;;WAAR;Kaag en Braassem
Kampen;21;38,7;0;0;0;0;;;WAAR;Kampen
Kapelle;0;0;0;0;0;0;;;WAAR;Kapelle
Katwijk;15;22,8;0;0;2;3;;;WAAR;Katwijk
Kerkrade;32;69,9;5;10,9;7;15,3;;;WAAR;Kerkrade
Koggenland;2;8,8;0;0;0;0;;;WAAR;Koggenland
Krimpen aan den IJssel;6;20,3;0;0;2;6,8;;;WAAR;Krimpen aan den IJssel
Krimpenerwaard;15;26,6;0;0;3;5,3;;;WAAR;Krimpenerwaard
Laarbeek;11;48,8;1;4,4;1;4,4;;;WAAR;Laarbeek
Landerd;8;50,9;0;0;0;0;;;WAAR;Landerd
Landgraaf;6;16;0;0;1;2,7;;;WAAR;Landgraaf
Landsmeer;1;8,7;0;0;0;0;;;WAAR;Landsmeer
Langedijk;1;3,6;0;0;0;0;;;WAAR;Langedijk
Lansingerland;11;17,6;0;0;0;0;;;WAAR;Lansingerland
Laren (NH.);1;8,9;0;0;0;0;;;WAAR;Laren (NH.)
Leeuwarden;3;2,4;0;0;0;0;;;WAAR;Leeuwarden
Leiden;15;12;0;0;2;1,6;;;WAAR;Leiden
Leiderdorp;4;14,8;1;3,7;1;3,7;;;WAAR;Leiderdorp
Leidschendam-Voorburg;14;18,3;1;1,3;5;6,5;;;WAAR;Leidschendam-Voorburg
Lelystad;23;29,3;5;6,4;8;10,2;;;WAAR;Lelystad
Leudal;4;11,1;0;0;3;8,4;;;WAAR;Leudal
Leusden;3;9,9;0;0;1;3,3;;;WAAR;Leusden
