Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;
Aa en Hunze;0;0;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;0;0;0;0;0;0;;;WAAR;Aalsmeer
Aalten;0;0;0;0;0;0;;;WAAR;Aalten
Achtkarspelen;1;3,6;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;0;0;0;0;0;0;;;WAAR;Alblasserdam
Albrandswaard;5;19,5;0;0;0;0;;;WAAR;Albrandswaard
Alkmaar;2;1,8;0;0;0;0;;;WAAR;Alkmaar
Almelo;2;2,7;0;0;0;0;;;WAAR;Almelo
Almere;8;3,8;0;0;0;0;;;WAAR;Almere
Alphen aan den Rijn;4;3,6;0;0;0;0;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;0;0;0;0;0;0;;;WAAR;Alphen-Chaam
Altena;3;5,4;0;0;0;0;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;6;3,8;1;0,6;0;0;;;WAAR;Amersfoort
Amstelveen;5;5,5;0;0;0;0;;;WAAR;Amstelveen
Amsterdam;72;8,2;0;0;0;0;;;WAAR;Amsterdam
Apeldoorn;4;2,4;0;0;0;0;;;WAAR;Apeldoorn
Appingedam;0;0;0;0;0;0;;;WAAR;Appingedam
Arnhem;5;3,1;0;0;0;0;;;WAAR;Arnhem
Assen;0;0;0;0;0;0;;;WAAR;Assen
Asten;0;0;0;0;0;0;;;WAAR;Asten
Baarle-Nassau;0;0;0;0;0;0;;;WAAR;Baarle-Nassau
Baarn;2;8;0;0;0;0;;;WAAR;Baarn
Barendrecht;0;0;0;0;0;0;;;WAAR;Barendrecht
Barneveld;6;10,2;0;0;0;0;;;WAAR;Barneveld
Beek (L.);0;0;0;0;0;0;;;WAAR;Beek (L.)
Beekdaelen;0;0;0;0;0;0;;;WAAR;Beekdaelen
Beemster;0;0;0;0;0;0;;;WAAR;Beemster
Beesel;0;0;0;0;0;0;;;WAAR;Beesel
Berg en Dal;2;5,7;0;0;0;0;;;WAAR;Berg en Dal
Bergeijk;0;0;0;0;0;0;;;WAAR;Bergeijk
Bergen (L.);0;0;0;0;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);0;0;0;0;0;0;;;WAAR;Bergen (NH.)
Bergen op Zoom;2;3;0;0;1;1,5;;;WAAR;Bergen op Zoom
Berkelland;0;0;0;0;0;0;;;WAAR;Berkelland
Bernheze;3;9,6;0;0;0;0;;;WAAR;Bernheze
Best;0;0;0;0;0;0;;;WAAR;Best
Beuningen;0;0;0;0;0;0;;;WAAR;Beuningen
Beverwijk;1;2,4;0;0;0;0;;;WAAR;Beverwijk
Bladel;4;19,6;0;0;0;0;;;WAAR;Bladel
Blaricum;3;26;0;0;0;0;;;WAAR;Blaricum
Bloemendaal;0;0;0;0;0;0;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;5;14,3;0;0;0;0;;;WAAR;Bodegraven-Reeuwijk
Boekel;1;9,3;0;0;0;0;;;WAAR;Boekel
Borger-Odoorn;1;3,9;0;0;0;0;;;WAAR;Borger-Odoorn
Borne;0;0;0;0;0;0;;;WAAR;Borne
Borsele;0;0;0;0;0;0;;;WAAR;Borsele
Boxmeer;0;0;0;0;0;0;;;WAAR;Boxmeer
Boxtel;5;16,2;0;0;0;0;;;WAAR;Boxtel
Breda;11;6;1;0,5;0;0;;;WAAR;Breda
Brielle;0;0;0;0;0;0;;;WAAR;Brielle
Bronckhorst;0;0;0;0;0;0;;;WAAR;Bronckhorst
Brummen;0;0;0;0;0;0;;;WAAR;Brummen
Brunssum;2;7,2;0;0;0;0;;;WAAR;Brunssum
Bunnik;1;6,6;0;0;0;0;;;WAAR;Bunnik
Bunschoten;2;9,1;0;0;0;0;;;WAAR;Bunschoten
Buren;0;0;0;0;0;0;;;WAAR;Buren
Capelle aan den IJssel;11;16,4;0;0;0;0;;;WAAR;Capelle aan den IJssel
Castricum;0;0;0;0;0;0;;;WAAR;Castricum
Coevorden;0;0;0;0;0;0;;;WAAR;Coevorden
Cranendonck;0;0;0;0;0;0;;;WAAR;Cranendonck
Cuijk;1;4;0;0;0;0;;;WAAR;Cuijk
Culemborg;2;6,9;0;0;0;0;;;WAAR;Culemborg
Dalfsen;1;3,5;0;0;0;0;;;WAAR;Dalfsen
Dantumadiel;0;0;0;0;0;0;;;WAAR;Dantumadiel
De Bilt;4;9,3;0;0;0;0;;;WAAR;De Bilt
De Fryske Marren;2;3,9;0;0;0;0;;;WAAR;De Fryske Marren
De Ronde Venen;1;2,2;0;0;0;0;;;WAAR;De Ronde Venen
De Wolden;0;0;0;0;0;0;;;WAAR;De Wolden
Delft;7;6,8;0;0;0;0;;;WAAR;Delft
Delfzijl;0;0;0;0;0;0;;;WAAR;Delfzijl
Den Helder;0;0;0;0;0;0;;;WAAR;Den Helder
Deurne;1;3,1;0;0;0;0;;;WAAR;Deurne
Deventer;25;24,8;0;0;0;0;;;WAAR;Deventer
Diemen;0;0;0;0;0;0;;;WAAR;Diemen
Dinkelland;0;0;0;0;0;0;;;WAAR;Dinkelland
Doesburg;0;0;0;0;0;0;;;WAAR;Doesburg
Doetinchem;1;1,7;0;0;0;0;;;WAAR;Doetinchem
Dongen;1;3,8;0;0;0;0;;;WAAR;Dongen
Dordrecht;6;5;0;0;0;0;;;WAAR;Dordrecht
Drechterland;0;0;0;0;0;0;;;WAAR;Drechterland
Drimmelen;0;0;0;0;0;0;;;WAAR;Drimmelen
Dronten;3;7,2;0;0;0;0;;;WAAR;Dronten
Druten;0;0;0;0;0;0;;;WAAR;Druten
Duiven;0;0;0;0;0;0;;;WAAR;Duiven
Echt-Susteren;0;0;0;0;0;0;;;WAAR;Echt-Susteren
Edam-Volendam;1;2,8;0;0;0;0;;;WAAR;Edam-Volendam
Ede;1;0,9;0;0;0;0;;;WAAR;Ede
Eemnes;0;0;0;0;0;0;;;WAAR;Eemnes
Eersel;1;5,2;1;5,2;0;0;;;WAAR;Eersel
Eijsden-Margraten;1;3,9;0;0;0;0;;;WAAR;Eijsden-Margraten
Eindhoven;9;3,8;0;0;0;0;;;WAAR;Eindhoven
Elburg;1;4,3;0;0;0;0;;;WAAR;Elburg
