Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;
Aa en Hunze;0;0;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;1;3,1;0;0;0;0;;;WAAR;Aalsmeer
Aalten;0;0;0;0;0;0;;;WAAR;Aalten
Achtkarspelen;1;3,6;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;2;9,9;0;0;0;0;;;WAAR;Alblasserdam
Albrandswaard;3;11,7;0;0;0;0;;;WAAR;Albrandswaard
Alkmaar;1;0,9;0;0;0;0;;;WAAR;Alkmaar
Almelo;0;0;0;0;0;0;;;WAAR;Almelo
Almere;3;1,4;1;0,5;0;0;;;WAAR;Almere
Alphen aan den Rijn;7;6,3;0;0;0;0;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;5;49;0;0;0;0;;;WAAR;Alphen-Chaam
Altena;3;5,4;0;0;0;0;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;22;14;0;0;0;0;;;WAAR;Amersfoort
Amstelveen;4;4,4;0;0;0;0;;;WAAR;Amstelveen
Amsterdam;178;20,4;4;0,5;0;0;;;WAAR;Amsterdam
Apeldoorn;3;1,8;0;0;0;0;;;WAAR;Apeldoorn
Appingedam;0;0;0;0;0;0;;;WAAR;Appingedam
Arnhem;12;7,4;0;0;0;0;;;WAAR;Arnhem
Assen;4;5,8;0;0;0;0;;;WAAR;Assen
Asten;1;6;0;0;0;0;;;WAAR;Asten
Baarle-Nassau;0;0;0;0;0;0;;;WAAR;Baarle-Nassau
Baarn;0;0;0;0;0;0;;;WAAR;Baarn
Barendrecht;4;8,2;0;0;0;0;;;WAAR;Barendrecht
Barneveld;0;0;0;0;0;0;;;WAAR;Barneveld
Beek (L.);0;0;0;0;0;0;;;WAAR;Beek (L.)
Beekdaelen;1;2,8;0;0;0;0;;;WAAR;Beekdaelen
Beemster;0;0;0;0;0;0;;;WAAR;Beemster
Beesel;0;0;0;0;0;0;;;WAAR;Beesel
Berg en Dal;1;2,9;0;0;0;0;;;WAAR;Berg en Dal
Bergeijk;0;0;0;0;0;0;;;WAAR;Bergeijk
Bergen (L.);0;0;0;0;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);5;16,8;0;0;0;0;;;WAAR;Bergen (NH.)
Bergen op Zoom;11;16,3;0;0;0;0;;;WAAR;Bergen op Zoom
Berkelland;0;0;0;0;0;0;;;WAAR;Berkelland
Bernheze;0;0;0;0;0;0;;;WAAR;Bernheze
Best;1;3,3;0;0;0;0;;;WAAR;Best
Beuningen;1;3,9;0;0;0;0;;;WAAR;Beuningen
Beverwijk;0;0;0;0;0;0;;;WAAR;Beverwijk
