Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;
Aa en Hunze;0;0;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;2;6,3;0;0;0;0;;;WAAR;Aalsmeer
Aalten;2;7,4;0;0;1;3,7;;;WAAR;Aalten
Achtkarspelen;0;0;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;2;9,9;0;0;1;5;;;WAAR;Alblasserdam
Albrandswaard;6;23,4;0;0;0;0;;;WAAR;Albrandswaard
Alkmaar;12;11;1;0,9;3;2,7;;;WAAR;Alkmaar
Almelo;3;4,1;0;0;0;0;;;WAAR;Almelo
Almere;23;10,9;1;0,5;5;2,4;;;WAAR;Almere
Alphen aan den Rijn;15;13,4;0;0;0;0;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;1;9,8;0;0;0;0;;;WAAR;Alphen-Chaam
Altena;2;3,6;1;1,8;0;0;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;11;7;1;0,6;0;0;;;WAAR;Amersfoort
Amstelveen;8;8,7;1;1,1;0;0;;;WAAR;Amstelveen
Amsterdam;118;13,5;9;1;29;3,3;;;WAAR;Amsterdam
Apeldoorn;5;3,1;0;0;1;0,6;;;WAAR;Apeldoorn
Appingedam;0;0;0;0;0;0;;;WAAR;Appingedam
Arnhem;46;28,5;1;0,6;4;2,5;;;WAAR;Arnhem
Assen;0;0;0;0;0;0;;;WAAR;Assen
Asten;0;0;0;0;0;0;;;WAAR;Asten
Baarle-Nassau;2;29,2;0;0;0;0;;;WAAR;Baarle-Nassau
Baarn;1;4;0;0;0;0;;;WAAR;Baarn
Barendrecht;8;16,4;1;2,1;0;0;;;WAAR;Barendrecht
Barneveld;7;11,8;0;0;0;0;;;WAAR;Barneveld
Beek (L.);1;6,3;0;0;0;0;;;WAAR;Beek (L.)
Beekdaelen;6;16,7;1;2,8;0;0;;;WAAR;Beekdaelen
Beemster;3;29,9;0;0;0;0;;;WAAR;Beemster
Beesel;0;0;0;0;0;0;;;WAAR;Beesel
Berg en Dal;7;20;0;0;0;0;;;WAAR;Berg en Dal
Bergeijk;1;5,4;1;5,4;0;0;;;WAAR;Bergeijk
Bergen (L.);0;0;0;0;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);30;100,5;0;0;1;3,4;;;WAAR;Bergen (NH.)
Bergen op Zoom;35;51,9;0;0;2;3;;;WAAR;Bergen op Zoom
Berkelland;16;36,6;0;0;0;0;;;WAAR;Berkelland
Bernheze;4;12,8;0;0;1;3,2;;;WAAR;Bernheze
Best;4;13,3;0;0;0;0;;;WAAR;Best
Beuningen;7;27;0;0;0;0;;;WAAR;Beuningen
Beverwijk;7;16,8;0;0;0;0;;;WAAR;Beverwijk
Bladel;4;19,6;1;4,9;0;0;;;WAAR;Bladel
Blaricum;1;8,7;0;0;0;0;;;WAAR;Blaricum
Bloemendaal;1;4,2;0;0;0;0;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;4;11,5;0;0;0;0;;;WAAR;Bodegraven-Reeuwijk
Boekel;1;9,3;0;0;0;0;;;WAAR;Boekel
Borger-Odoorn;0;0;0;0;0;0;;;WAAR;Borger-Odoorn
Borne;1;4,3;0;0;0;0;;;WAAR;Borne
Borsele;5;22;0;0;0;0;;;WAAR;Borsele
Boxmeer;4;13,6;1;3,4;0;0;;;WAAR;Boxmeer
Boxtel;10;32,5;0;0;8;26;;;WAAR;Boxtel
Breda;15;8,1;1;0,5;0;0;;;WAAR;Breda
Brielle;1;5,8;0;0;0;0;;;WAAR;Brielle
Bronckhorst;4;11,1;0;0;0;0;;;WAAR;Bronckhorst
Brummen;1;4,8;0;0;0;0;;;WAAR;Brummen
Brunssum;9;32,3;2;7,2;2;7,2;;;WAAR;Brunssum
Bunnik;4;26,3;0;0;0;0;;;WAAR;Bunnik
Bunschoten;2;9,1;0;0;0;0;;;WAAR;Bunschoten
Buren;1;3,7;0;0;0;0;;;WAAR;Buren
Capelle aan den IJssel;13;19,4;3;4,5;0;0;;;WAAR;Capelle aan den IJssel
Castricum;3;8,3;0;0;0;0;;;WAAR;Castricum
Coevorden;1;2,8;0;0;0;0;;;WAAR;Coevorden
Cranendonck;0;0;0;0;0;0;;;WAAR;Cranendonck
