Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;
Cuijk;0;0;0;0;1;4;;;WAAR;Cuijk
Culemborg;2;6,9;0;0;0;0;;;WAAR;Culemborg
Dalfsen;0;0;0;0;0;0;;;WAAR;Dalfsen
Dantumadiel;0;0;0;0;0;0;;;WAAR;Dantumadiel
De Bilt;25;58;0;0;2;4,6;;;WAAR;De Bilt
De Fryske Marren;4;7,8;0;0;0;0;;;WAAR;De Fryske Marren
De Ronde Venen;7;15,7;0;0;0;0;;;WAAR;De Ronde Venen
De Wolden;1;4,1;0;0;0;0;;;WAAR;De Wolden
Delft;4;3,9;0;0;0;0;;;WAAR;Delft
Delfzijl;0;0;0;0;0;0;;;WAAR;Delfzijl
Den Helder;0;0;0;0;1;1,8;;;WAAR;Den Helder
Deurne;19;58,5;0;0;1;3,1;;;WAAR;Deurne
Deventer;19;18,9;0;0;0;0;;;WAAR;Deventer
Diemen;7;22,7;0;0;0;0;;;WAAR;Diemen
Dinkelland;0;0;0;0;0;0;;;WAAR;Dinkelland
Doesburg;0;0;0;0;0;0;;;WAAR;Doesburg
Doetinchem;5;8,6;0;0;0;0;;;WAAR;Doetinchem
Dongen;2;7,6;0;0;0;0;;;WAAR;Dongen
Dordrecht;133;111,5;2;1,7;21;17,6;;;WAAR;Dordrecht
Drechterland;0;0;1;5,1;0;0;;;WAAR;Drechterland
Drimmelen;1;3,7;0;0;0;0;;;WAAR;Drimmelen
Dronten;10;24,1;0;0;0;0;;;WAAR;Dronten
Druten;3;15,9;1;5,3;0;0;;;WAAR;Druten
Duiven;2;8;0;0;0;0;;;WAAR;Duiven
Echt-Susteren;4;12,7;0;0;1;3,2;;;WAAR;Echt-Susteren
Edam-Volendam;24;66,3;1;2,8;0;0;;;WAAR;Edam-Volendam
Ede;12;10,2;0;0;0;0;;;WAAR;Ede
Eemnes;1;10,8;0;0;0;0;;;WAAR;Eemnes
Eersel;4;20,7;0;0;0;0;;;WAAR;Eersel
Eijsden-Margraten;9;34,9;1;3,9;1;3,9;;;WAAR;Eijsden-Margraten
Eindhoven;15;6,4;1;0,4;1;0,4;;;WAAR;Eindhoven
Elburg;8;34,5;0;0;0;0;;;WAAR;Elburg
Emmen;1;0,9;0;0;0;0;;;WAAR;Emmen
Enkhuizen;0;0;0;0;0;0;;;WAAR;Enkhuizen
Enschede;18;11,3;0;0;3;1,9;;;WAAR;Enschede
Epe;3;9;0;0;1;3;;;WAAR;Epe
Ermelo;10;37;2;7,4;1;3,7;;;WAAR;Ermelo
Etten-Leur;5;11,4;0;0;0;0;;;WAAR;Etten-Leur
Geertruidenberg;1;4,6;0;0;0;0;;;WAAR;Geertruidenberg
Geldrop-Mierlo;3;7,6;0;0;0;0;;;WAAR;Geldrop-Mierlo
Gemert-Bakel;2;6,5;0;0;1;3,3;;;WAAR;Gemert-Bakel
Gennep;0;0;0;0;0;0;;;WAAR;Gennep
Gilze en Rijen;2;7,6;0;0;0;0;;;WAAR;Gilze en Rijen
Goeree-Overflakkee;8;16;0;0;0;0;;;WAAR;Goeree-Overflakkee
Goes;2;5,3;0;0;0;0;;;WAAR;Goes
Goirle;3;12,6;0;0;0;0;;;WAAR;Goirle
Gooise Meren;6;10,3;0;0;1;1,7;;;WAAR;Gooise Meren
Gorinchem;2;5,4;0;0;1;2,7;;;WAAR;Gorinchem
Gouda;6;8,2;0;0;1;1,4;;;WAAR;Gouda
Grave;1;8;0;0;1;8;;;WAAR;Grave
Groningen (gemeente);0;0;0;0;0;0;;;WAAR;Groningen (gemeente)
Gulpen-Wittem;1;7,1;0;0;1;7,1;;;WAAR;Gulpen-Wittem
Haaksbergen;1;4,1;0;0;0;0;;;WAAR;Haaksbergen
Haaren;4;27,8;0;0;0;0;;;WAAR;Haaren
Haarlem;14;8,6;0;0;5;3,1;;;WAAR;Haarlem
Haarlemmermeer;17;10,9;0;0;1;0,6;;;WAAR;Haarlemmermeer
Halderberge;1;3,3;0;0;0;0;;;WAAR;Halderberge
Hardenberg;0;0;0;0;0;0;;;WAAR;Hardenberg
Harderwijk;19;39,2;0;0;2;4,1;;;WAAR;Harderwijk
Hardinxveld-Giessendam;2;10,9;0;0;0;0;;;WAAR;Hardinxveld-Giessendam
Harlingen;0;0;0;0;0;0;;;WAAR;Harlingen
Hattem;0;0;0;0;0;0;;;WAAR;Hattem
Heemskerk;4;10,2;1;2,6;0;0;;;WAAR;Heemskerk
Heemstede;0;0;0;0;0;0;;;WAAR;Heemstede
Heerde;0;0;0;0;0;0;;;WAAR;Heerde
Heerenveen;3;5,9;0;0;1;2;;;WAAR;Heerenveen
Heerhugowaard;4;6,9;0;0;1;1,7;;;WAAR;Heerhugowaard
Heerlen;22;25,3;4;4,6;2;2,3;;;WAAR;Heerlen
Heeze-Leende;2;12,4;0;0;0;0;;;WAAR;Heeze-Leende
Heiloo;1;4,2;0;0;0;0;;;WAAR;Heiloo
Hellendoorn;1;2,8;0;0;0;0;;;WAAR;Hellendoorn
Hellevoetsluis;2;5;0;0;1;2,5;;;WAAR;Hellevoetsluis
Helmond;15;16,2;1;1,1;1;1,1;;;WAAR;Helmond
Hendrik-Ido-Ambacht;15;48,1;1;3,2;1;3,2;;;WAAR;Hendrik-Ido-Ambacht
Hengelo (O.);4;4,9;0;0;0;0;;;WAAR;Hengelo (O.)
Het Hogeland;0;0;0;0;0;0;;;WAAR;Het Hogeland
Heumen;1;6,1;0;0;1;6,1;;;WAAR;Heumen
Heusden;1;2,2;0;0;0;0;;;WAAR;Heusden
Hillegom;1;4,5;1;4,5;0;0;;;WAAR;Hillegom
Hilvarenbeek;2;12,9;0;0;0;0;;;WAAR;Hilvarenbeek
Hilversum;6;6,6;2;2,2;0;0;;;WAAR;Hilversum
Hoeksche Waard;19;21,7;0;0;0;0;;;WAAR;Hoeksche Waard
Hof van Twente;1;2,9;0;0;0;0;;;WAAR;Hof van Twente
Hollands Kroon;0;0;0;0;0;0;;;WAAR;Hollands Kroon
Hoogeveen;4;7,2;0;0;0;0;;;WAAR;Hoogeveen
Hoorn;0;0;0;0;0;0;;;WAAR;Hoorn
Horst aan de Maas;0;0;0;0;0;0;;;WAAR;Horst aan de Maas
Houten;5;10;0;0;0;0;;;WAAR;Houten
Huizen;3;7,3;1;2,4;0;0;;;WAAR;Huizen
Hulst;1;3,6;0;0;0;0;;;WAAR;Hulst
IJsselstein;8;23,5;0;0;1;2,9;;;WAAR;IJsselstein
Kaag en Braassem;1;3,7;0;0;0;0;;;WAAR;Kaag en Braassem
Kampen;6;11;0;0;0;0;;;WAAR;Kampen
Kapelle;1;7,9;0;0;0;0;;;WAAR;Kapelle
Katwijk;4;6,1;0;0;1;1,5;;;WAAR;Katwijk
Kerkrade;7;15,3;0;0;1;2,2;;;WAAR;Kerkrade
Koggenland;0;0;0;0;0;0;;;WAAR;Koggenland
Krimpen aan den IJssel;4;13,5;0;0;0;0;;;WAAR;Krimpen aan den IJssel
Krimpenerwaard;25;44,4;0;0;3;5,3;;;WAAR;Krimpenerwaard
Laarbeek;5;22,2;1;4,4;0;0;;;WAAR;Laarbeek
Landerd;2;12,7;0;0;0;0;;;WAAR;Landerd
Landgraaf;8;21,4;0;0;0;0;;;WAAR;Landgraaf
Landsmeer;0;0;0;0;0;0;;;WAAR;Landsmeer
Langedijk;1;3,6;0;0;1;3,6;;;WAAR;Langedijk
Lansingerland;5;8;0;0;3;4,8;;;WAAR;Lansingerland
Laren (NH.);2;17,7;0;0;0;0;;;WAAR;Laren (NH.)
Leeuwarden;1;0,8;0;0;0;0;;;WAAR;Leeuwarden
Leiden;11;8,8;0;0;0;0;;;WAAR;Leiden
Leiderdorp;1;3,7;0;0;0;0;;;WAAR;Leiderdorp
Leidschendam-Voorburg;7;9,1;0;0;2;2,6;;;WAAR;Leidschendam-Voorburg
Lelystad;6;7,6;2;2,5;1;1,3;;;WAAR;Lelystad
Leudal;4;11,1;0;0;1;2,8;;;WAAR;Leudal
Leusden;2;6,6;0;0;0;0;;;WAAR;Leusden
Lingewaard;14;30;0;0;0;0;;;WAAR;Lingewaard
Lisse;0;0;0;0;0;0;;;WAAR;Lisse
Lochem;6;17,8;1;3;1;3;;;WAAR;Lochem
Loon op Zand;1;4,3;0;0;0;0;;;WAAR;Loon op Zand
Lopik;0;0;0;0;0;0;;;WAAR;Lopik
Loppersum;0;0;0;0;0;0;;;WAAR;Loppersum
Losser;0;0;0;0;0;0;;;WAAR;Losser
Maasdriel;2;8;0;0;0;0;;;WAAR;Maasdriel
Maasgouw;3;12,5;0;0;0;0;;;WAAR;Maasgouw
Maassluis;6;18,1;1;3;0;0;;;WAAR;Maassluis
Maastricht;81;66,6;5;4,1;11;9;;;WAAR;Maastricht
Medemblik;1;2,2;0;0;0;0;;;WAAR;Medemblik
Meerssen;11;58,4;1;5,3;0;0;;;WAAR;Meerssen
Meierijstad;6;7,4;0;0;3;3,7;;;WAAR;Meierijstad
Meppel;4;11,8;1;2,9;0;0;;;WAAR;Meppel
Middelburg (Z.);2;4,1;0;0;0;0;;;WAAR;Middelburg (Z.)
Midden-Delfland;0;0;0;0;0;0;;;WAAR;Midden-Delfland
Midden-Drenthe;0;0;0;0;0;0;;;WAAR;Midden-Drenthe
Midden-Groningen;1;1,6;0;0;0;0;;;WAAR;Midden-Groningen
Mill en Sint Hubert;2;18,3;0;0;0;0;;;WAAR;Mill en Sint Hubert
Moerdijk;4;10,8;0;0;0;0;;;WAAR;Moerdijk
Molenlanden;6;13,7;0;0;0;0;;;WAAR;Molenlanden
Montferland;2;5,6;0;0;0;0;;;WAAR;Montferland
Montfoort;2;14,4;0;0;0;0;;;WAAR;Montfoort
Mook en Middelaar;1;12,7;0;0;0;0;;;WAAR;Mook en Middelaar
Neder-Betuwe;10;41,1;1;4,1;0;0;;;WAAR;Neder-Betuwe
Nederweert;0;0;0;0;0;0;;;WAAR;Nederweert
Nieuwegein;23;36,2;2;3,2;1;1,6;;;WAAR;Nieuwegein
Nieuwkoop;2;6,9;0;0;0;0;;;WAAR;Nieuwkoop
Nijkerk;4;9,3;0;0;0;0;;;WAAR;Nijkerk
Nijmegen;32;18;2;1,1;8;4,5;;;WAAR;Nijmegen
Nissewaard;8;9,4;0;0;0;0;;;WAAR;Nissewaard
Noardeast-Fryslan;1;2,2;0;0;0;0;;;WAAR;Noardeast-Fryslan
Noord-Beveland;3;40,6;0;0;0;0;;;WAAR;Noord-Beveland
Noordenveld;0;0;0;0;0;0;;;WAAR;Noordenveld
Noordoostpolder;4;8,5;0;0;0;0;;;WAAR;Noordoostpolder
Noordwijk;1;2,3;1;2,3;1;2,3;;;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;1;4,3;0;0;0;0;;;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;7;25,1;0;0;0;0;;;WAAR;Nunspeet
Oegstgeest;1;4;0;0;0;0;;;WAAR;Oegstgeest
Oirschot;3;16;0;0;0;0;;;WAAR;Oirschot
Oisterwijk;7;26,7;0;0;0;0;;;WAAR;Oisterwijk
Oldambt;0;0;0;0;2;5,2;;;WAAR;Oldambt
Oldebroek;2;8,5;1;4,2;0;0;;;WAAR;Oldebroek
Oldenzaal;0;0;0;0;0;0;;;WAAR;Oldenzaal
Olst-Wijhe;2;11;0;0;0;0;;;WAAR;Olst-Wijhe
Ommen;0;0;0;0;0;0;;;WAAR;Ommen
Oost Gelre;9;30,4;0;0;0;0;;;WAAR;Oost Gelre
Oosterhout;12;21,4;1;1,8;0;0;;;WAAR;Oosterhout
Ooststellingwerf;0;0;0;0;0;0;;;WAAR;Ooststellingwerf
Oostzaan;0;0;0;0;0;0;;;WAAR;Oostzaan
Opmeer;0;0;0;0;0;0;;;WAAR;Opmeer
Opsterland;0;0;0;0;0;0;;;WAAR;Opsterland
Oss;9;9,8;0;0;0;0;;;WAAR;Oss
Oude IJsselstreek;3;7,6;0;0;0;0;;;WAAR;Oude IJsselstreek
Ouder-Amstel;0;0;0;0;0;0;;;WAAR;Ouder-Amstel
Oudewater;5;48,9;0;0;0;0;;;WAAR;Oudewater
Overbetuwe;5;10,4;0;0;1;2,1;;;WAAR;Overbetuwe
Papendrecht;14;43,6;1;3,1;0;0;;;WAAR;Papendrecht
Peel en Maas;5;11,5;0;0;3;6,9;;;WAAR;Peel en Maas
Pekela;0;0;0;0;0;0;;;WAAR;Pekela
Pijnacker-Nootdorp;4;7,2;0;0;1;1,8;;;WAAR;Pijnacker-Nootdorp
Purmerend;7;8,6;1;1,2;1;1,2;;;WAAR;Purmerend
Putten;2;8,3;0;0;0;0;;;WAAR;Putten
Raalte;5;13,3;0;0;0;0;;;WAAR;Raalte
Reimerswaal;1;4,4;0;0;0;0;;;WAAR;Reimerswaal
Renkum;9;28,6;0;0;1;3,2;;;WAAR;Renkum
Renswoude;0;0;0;0;0;0;;;WAAR;Renswoude
Reusel-De Mierden;0;0;0;0;0;0;;;WAAR;Reusel-De Mierden
Rheden;11;25,1;0;0;0;0;;;WAAR;Rheden
Rhenen;7;34,8;1;5;0;0;;;WAAR;Rhenen
Ridderkerk;0;0;0;0;1;2,2;;;WAAR;Ridderkerk
Rijssen-Holten;24;62,9;0;0;4;10,5;;;WAAR;Rijssen-Holten
Rijswijk (ZH.);9;16,5;1;1,8;2;3,7;;;WAAR;Rijswijk (ZH.)
Roerdalen;1;4,9;0;0;0;0;;;WAAR;Roerdalen
Roermond;3;5,1;1;1,7;0;0;;;WAAR;Roermond
Roosendaal;5;6,5;1;1,3;2;2,6;;;WAAR;Roosendaal
Rotterdam;180;27,6;18;2,8;20;3,1;;;WAAR;Rotterdam
Rozendaal;0;0;0;0;0;0;;;WAAR;Rozendaal
Rucphen;1;4,4;0;0;0;0;;;WAAR;Rucphen
Schagen;2;4,3;0;0;0;0;;;WAAR;Schagen
Scherpenzeel;7;70,9;0;0;0;0;;;WAAR;Scherpenzeel
Schiedam;25;31,8;4;5,1;1;1,3;;;WAAR;Schiedam
Schiermonnikoog;0;0;0;0;0;0;;;WAAR;Schiermonnikoog
Schouwen-Duiveland;8;23,6;0;0;3;8,9;;;WAAR;Schouwen-Duiveland
's-Gravenhage (gemeente);156;28,6;14;2,6;19;3,5;;;WAAR;'s-Gravenhage (gemeente)
's-Hertogenbosch;10;6,4;0;0;1;0,6;;;WAAR;'s-Hertogenbosch
Simpelveld;5;47,4;1;9,5;0;0;;;WAAR;Simpelveld
Sint Anthonis;0;0;0;0;0;0;;;WAAR;Sint Anthonis
Sint-Michielsgestel;8;27,4;0;0;4;13,7;;;WAAR;Sint-Michielsgestel
Sittard-Geleen;9;9,7;0;0;2;2,2;;;WAAR;Sittard-Geleen
Sliedrecht;5;19,8;0;0;0;0;;;WAAR;Sliedrecht
Sluis;0;0;0;0;0;0;;;WAAR;Sluis
Smallingerland;1;1,8;0;0;0;0;;;WAAR;Smallingerland
Soest;5;10,7;0;0;0;0;;;WAAR;Soest
Someren;0;0;0;0;0;0;;;WAAR;Someren
Son en Breugel;3;17,3;0;0;0;0;;;WAAR;Son en Breugel
Stadskanaal;0;0;0;0;0;0;;;WAAR;Stadskanaal
Staphorst;0;0;0;0;0;0;;;WAAR;Staphorst
Stede Broec;0;0;0;0;0;0;;;WAAR;Stede Broec
Steenbergen;3;12,3;0;0;0;0;;;WAAR;Steenbergen
Steenwijkerland;1;2,3;0;0;0;0;;;WAAR;Steenwijkerland
Stein (L.);2;8;0;0;0;0;;;WAAR;Stein (L.)
Stichtse Vecht;9;13,9;1;1,5;1;1,5;;;WAAR;Stichtse Vecht
Sudwest-Fryslan;1;1,1;0;0;0;0;;;WAAR;Sudwest-Fryslan
Terneuzen;9;16,5;0;0;0;0;;;WAAR;Terneuzen
Terschelling;0;0;0;0;0;0;;;WAAR;Terschelling
Texel;1;7,4;0;0;0;0;;;WAAR;Texel
Teylingen;3;8;1;2,7;0;0;;;WAAR;Teylingen
Tholen;10;38,8;0;0;0;0;;;WAAR;Tholen
Tiel;7;16,6;1;2,4;0;0;;;WAAR;Tiel
Tilburg;35;15,9;1;0,5;2;0,9;;;WAAR;Tilburg
Tubbergen;0;0;0;0;0;0;;;WAAR;Tubbergen
Twenterand;2;5,9;0;0;0;0;;;WAAR;Twenterand
Tynaarlo;0;0;0;0;0;0;;;WAAR;Tynaarlo
Tytsjerksteradiel;0;0;0;0;0;0;;;WAAR;Tytsjerksteradiel
Uden;3;7,1;0;0;0;0;;;WAAR;Uden
Uitgeest;1;7,3;0;0;0;0;;;WAAR;Uitgeest
Uithoorn;2;6,8;0;0;0;0;;;WAAR;Uithoorn
Urk;6;28,5;0;0;0;0;;;WAAR;Urk
Utrecht (gemeente);87;24,3;3;0,8;5;1,4;;;WAAR;Utrecht (gemeente)
Utrechtse Heuvelrug;5;10,1;0;0;0;0;;;WAAR;Utrechtse Heuvelrug
Vaals;0;0;0;0;0;0;;;WAAR;Vaals
Valkenburg aan de Geul;4;24,4;2;12,2;0;0;;;WAAR;Valkenburg aan de Geul
Valkenswaard;2;6,4;0;0;0;0;;;WAAR;Valkenswaard
Veendam;0;0;0;0;0;0;;;WAAR;Veendam
Veenendaal;8;12;1;1,5;0;0;;;WAAR;Veenendaal
Veere;1;4,6;0;0;0;0;;;WAAR;Veere
Veldhoven;5;11;0;0;0;0;;;WAAR;Veldhoven
Velsen;4;5,8;0;0;1;1,5;;;WAAR;Velsen
Venlo;7;6,9;1;1;1;1;;;WAAR;Venlo
Venray;1;2,3;0;0;0;0;;;WAAR;Venray
Vijfheerenlanden;18;31,7;0;0;0;0;;;WAAR;Vijfheerenlanden
Vlaardingen;22;30;1;1,4;2;2,7;;;WAAR;Vlaardingen
Vlieland;0;0;0;0;0;0;;;WAAR;Vlieland
Vlissingen;0;0;0;0;0;0;;;WAAR;Vlissingen
Voerendaal;0;0;0;0;0;0;;;WAAR;Voerendaal
Voorschoten;5;19,5;0;0;1;3,9;;;WAAR;Voorschoten
Voorst;1;4,1;0;0;0;0;;;WAAR;Voorst
Vught;2;7,5;0;0;0;0;;;WAAR;Vught
Waadhoeke;5;10,8;1;2,2;2;4,3;;;WAAR;Waadhoeke
Waalre;0;0;0;0;0;0;;;WAAR;Waalre
Waalwijk;4;8,2;0;0;1;2,1;;;WAAR;Waalwijk
Waddinxveen;8;27,3;0;0;1;3,4;;;WAAR;Waddinxveen
Wageningen;5;12,6;0;0;0;0;;;WAAR;Wageningen
Wassenaar;2;7,6;0;0;0;0;;;WAAR;Wassenaar
Waterland;0;0;0;0;0;0;;;WAAR;Waterland
Weert;3;6;1;2;1;2;;;WAAR;Weert
Weesp;5;25,3;0;0;0;0;;;WAAR;Weesp
West Betuwe;13;25,4;0;0;0;0;;;WAAR;West Betuwe
West Maas en Waal;3;15,5;0;0;0;0;;;WAAR;West Maas en Waal
Westerkwartier;0;0;0;0;0;0;;;WAAR;Westerkwartier
Westerveld;0;0;0;0;0;0;;;WAAR;Westerveld
Westervoort;1;6,7;0;0;0;0;;;WAAR;Westervoort
Westerwolde;0;0;0;0;0;0;;;WAAR;Westerwolde
Westland;13;11,8;0;0;2;1,8;;;WAAR;Westland
Weststellingwerf;0;0;0;0;0;0;;;WAAR;Weststellingwerf
Westvoorne;0;0;0;0;0;0;;;WAAR;Westvoorne
Wierden;1;4,1;0;0;0;0;;;WAAR;Wierden
Wijchen;5;12,2;1;2,4;0;0;;;WAAR;Wijchen
Wijdemeren;4;16,4;0;0;0;0;;;WAAR;Wijdemeren
Wijk bij Duurstede;2;8,4;0;0;0;0;;;WAAR;Wijk bij Duurstede
Winterswijk;4;13,9;0;0;0;0;;;WAAR;Winterswijk
Woensdrecht;2;9,1;0;0;0;0;;;WAAR;Woensdrecht
Woerden;7;13,4;0;0;1;1,9;;;WAAR;Woerden
Wormerland;1;6,1;0;0;0;0;;;WAAR;Wormerland
Woudenberg;1;7,5;0;0;0;0;;;WAAR;Woudenberg
Zaanstad;39;24,9;6;3,8;4;2,6;;;WAAR;Zaanstad
Zaltbommel;9;31,2;0;0;0;0;;;WAAR;Zaltbommel
Zandvoort;0;0;0;0;0;0;;;WAAR;Zandvoort
Zeewolde;1;4,4;0;0;1;4,4;;;WAAR;Zeewolde
Zeist;18;27,7;0;0;5;7,7;;;WAAR;Zeist
Zevenaar;9;20,6;0;0;0;0;;;WAAR;Zevenaar
Zoetermeer;6;4,8;3;2,4;0;0;;;WAAR;Zoetermeer
Zoeterwoude;1;11,6;0;0;1;11,6;;;WAAR;Zoeterwoude
Zuidplas;3;6,8;0;0;2;4,6;;;WAAR;Zuidplas
Zundert;13;59,6;1;4,6;0;0;;;WAAR;Zundert
Zutphen;3;6,3;0;0;0;0;;;WAAR;Zutphen
Zwartewaterland;2;8,8;0;0;1;4,4;;;WAAR;Zwartewaterland
Zwijndrecht;12;26,8;0;0;3;6,7;;;WAAR;Zwijndrecht
Zwolle;2;1,6;0;0;0;0;;;WAAR;Zwolle
