Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;
Drechterland;498;Drechterland;19719;4-11-2020;2020-11-17;71;360,1;0;0;0;0;;WAAR;Drechterland
Drimmelen;1719;Drimmelen;27272;4-11-2020;2020-11-17;125;458,3;1;3,7;1;3,7;;WAAR;Drimmelen
Dronten;303;Dronten;41555;4-11-2020;2020-11-17;80;192,5;0;0;1;2,4;;WAAR;Dronten
Druten;225;Druten;18926;4-11-2020;2020-11-17;69;364,6;0;0;0;0;;WAAR;Druten
Duiven;226;Duiven;25126;4-11-2020;2020-11-17;103;409,9;0;0;2;8;;WAAR;Duiven
Echt-Susteren;1711;Echt-Susteren;31610;4-11-2020;2020-11-17;69;218,3;1;3,2;1;3,2;;WAAR;Echt-Susteren
Edam-Volendam;385;Edam-Volendam;36197;4-11-2020;2020-11-17;202;558,1;3;8,3;1;2,8;;WAAR;Edam-Volendam
Ede;228;Ede;117165;4-11-2020;2020-11-17;479;408,8;3;2,6;5;4,3;;WAAR;Ede
Eemnes;317;Eemnes;9247;4-11-2020;2020-11-17;67;724,6;0;0;0;0;;WAAR;Eemnes
Eersel;770;Eersel;19313;4-11-2020;2020-11-17;115;595,5;2;10,4;2;10,4;;WAAR;Eersel
Eijsden-Margraten;1903;Eijsden-Margraten;25768;4-11-2020;2020-11-17;63;244,5;0;0;1;3,9;;WAAR;Eijsden-Margraten
Eindhoven;772;Eindhoven;234394;4-11-2020;2020-11-17;1080;460,8;6;2,6;14;6;;WAAR;Eindhoven
Elburg;230;Elburg;23161;4-11-2020;2020-11-17;51;220,2;1;4,3;0;0;;WAAR;Elburg
Emmen;114;Emmen;107048;4-11-2020;2020-11-17;332;310,1;1;0,9;2;1,9;;WAAR;Emmen
Enkhuizen;388;Enkhuizen;18591;4-11-2020;2020-11-17;85;457,2;0;0;1;5,4;;WAAR;Enkhuizen
Enschede;153;Enschede;159640;4-11-2020;2020-11-17;825;516,8;15;9,4;15;9,4;;WAAR;Enschede
Epe;232;Epe;33178;4-11-2020;2020-11-17;69;208;1;3;1;3;;WAAR;Epe
Ermelo;233;Ermelo;27008;4-11-2020;2020-11-17;72;266,6;0;0;1;3,7;;WAAR;Ermelo
Etten-Leur;777;Etten-Leur;43878;4-11-2020;2020-11-17;152;346,4;2;4,6;1;2,3;;WAAR;Etten-Leur
Geertruidenberg;779;Geertruidenberg;21544;4-11-2020;2020-11-17;68;315,6;0;0;0;0;;WAAR;Geertruidenberg
Geldrop-Mierlo;1771;Geldrop-Mierlo;39726;4-11-2020;2020-11-17;225;566,4;2;5;1;2,5;;WAAR;Geldrop-Mierlo
Gemert-Bakel;1652;Gemert-Bakel;30723;4-11-2020;2020-11-17;129;419,9;0;0;0;0;;WAAR;Gemert-Bakel
Gennep;907;Gennep;16921;4-11-2020;2020-11-17;51;301,4;0;0;0;0;;WAAR;Gennep
Gilze en Rijen;784;Gilze en Rijen;26431;4-11-2020;2020-11-17;115;435,1;2;7,6;1;3,8;;WAAR;Gilze en Rijen
Goeree-Overflakkee;1924;Goeree-Overflakkee;50049;4-11-2020;2020-11-17;227;453,6;2;4;1;2;;WAAR;Goeree-Overflakkee
Goes;664;Goes;38082;4-11-2020;2020-11-17;91;239;0;0;0;0;;WAAR;Goes
Goirle;785;Goirle;23904;4-11-2020;2020-11-17;121;506,2;0;0;0;0;;WAAR;Goirle
Gooise Meren;1942;Gooise Meren;58055;4-11-2020;2020-11-17;210;361,7;1;1,7;1;1,7;;WAAR;Gooise Meren
Gorinchem;512;Gorinchem;37022;4-11-2020;2020-11-17;184;497;0;0;0;0;;WAAR;Gorinchem
Gouda;513;Gouda;73427;4-11-2020;2020-11-17;386;525,7;8;10,9;13;17,7;;WAAR;Gouda
Grave;786;Grave;12436;4-11-2020;2020-11-17;81;651,3;0;0;4;32,2;;WAAR;Grave
Groningen (gemeente);14;Groningen (gemeente);232874;4-11-2020;2020-11-17;371;159,3;1;0,4;1;0,4;;WAAR;Groningen (gemeente)
Gulpen-Wittem;1729;Gulpen-Wittem;14171;4-11-2020;2020-11-17;35;247;0;0;0;0;;WAAR;Gulpen-Wittem
Haaksbergen;158;Haaksbergen;24311;4-11-2020;2020-11-17;111;456,6;2;8,2;5;20,6;;WAAR;Haaksbergen
Haaren;788;Haaren;14370;4-11-2020;2020-11-17;77;535,8;0;0;1;7;;WAAR;Haaren
Haarlem;392;Haarlem;162902;4-11-2020;2020-11-17;512;314,3;1;0,6;6;3,7;;WAAR;Haarlem
Haarlemmermeer;394;Haarlemmermeer;156002;4-11-2020;2020-11-17;622;398,7;7;4,5;1;0,6;;WAAR;Haarlemmermeer
Halderberge;1655;Halderberge;30284;4-11-2020;2020-11-17;145;478,8;0;0;2;6,6;;WAAR;Halderberge
Hardenberg;160;Hardenberg;60948;4-11-2020;2020-11-17;196;321,6;0;0;0;0;;WAAR;Hardenberg
Harderwijk;243;Harderwijk;48414;4-11-2020;2020-11-17;146;301,6;3;6,2;0;0;;WAAR;Harderwijk
Hardinxveld-Giessendam;523;Hardinxveld-Giessendam;18295;4-11-2020;2020-11-17;150;819,9;0;0;2;10,9;;WAAR;Hardinxveld-Giessendam
Harlingen;72;Harlingen;15722;4-11-2020;2020-11-17;11;70;0;0;0;0;;WAAR;Harlingen
Hattem;244;Hattem;12209;4-11-2020;2020-11-17;36;294,9;0;0;0;0;;WAAR;Hattem
Heemskerk;396;Heemskerk;39182;4-11-2020;2020-11-17;167;426,2;1;2,6;3;7,7;;WAAR;Heemskerk
Heemstede;397;Heemstede;27234;4-11-2020;2020-11-17;76;279,1;0;0;0;0;;WAAR;Heemstede
Heerde;246;Heerde;18589;4-11-2020;2020-11-17;33;177,5;0;0;0;0;;WAAR;Heerde
Heerenveen;74;Heerenveen;50493;4-11-2020;2020-11-17;76;150,5;1;2;0;0;;WAAR;Heerenveen
Heerhugowaard;398;Heerhugowaard;57587;4-11-2020;2020-11-17;214;371,6;1;1,7;0;0;;WAAR;Heerhugowaard
Heerlen;917;Heerlen;87086;4-11-2020;2020-11-17;263;302;3;3,4;1;1,1;;WAAR;Heerlen
Heeze-Leende;1658;Heeze-Leende;16152;4-11-2020;2020-11-17;45;278,6;0;0;3;18,6;;WAAR;Heeze-Leende
Heiloo;399;Heiloo;23968;4-11-2020;2020-11-17;72;300,4;0;0;0;0;;WAAR;Heiloo
Hellendoorn;163;Hellendoorn;35916;4-11-2020;2020-11-17;182;506,7;1;2,8;1;2,8;;WAAR;Hellendoorn
Hellevoetsluis;530;Hellevoetsluis;40142;4-11-2020;2020-11-17;160;398,6;2;5;1;2,5;;WAAR;Hellevoetsluis
Helmond;794;Helmond;92423;4-11-2020;2020-11-17;429;464,2;3;3,2;3;3,2;;WAAR;Helmond
Hendrik-Ido-Ambacht;531;Hendrik-Ido-Ambacht;31202;4-11-2020;2020-11-17;186;596,1;0;0;2;6,4;;WAAR;Hendrik-Ido-Ambacht
Hengelo (O.);164;Hengelo (O.);81140;4-11-2020;2020-11-17;363;447,4;1;1,2;2;2,5;;WAAR;Hengelo (O.)
Het Hogeland;1966;Het Hogeland;47801;4-11-2020;2020-11-17;55;115,1;0;0;0;0;;WAAR;Het Hogeland
Heumen;252;Heumen;16454;4-11-2020;2020-11-17;48;291,7;0;0;0;0;;WAAR;Heumen
Heusden;797;Heusden;44692;4-11-2020;2020-11-17;284;635,5;2;4,5;3;6,7;;WAAR;Heusden
Hillegom;534;Hillegom;22209;4-11-2020;2020-11-17;57;256,7;0;0;0;0;;WAAR;Hillegom
Hilvarenbeek;798;Hilvarenbeek;15518;4-11-2020;2020-11-17;88;567,1;1;6,4;3;19,3;;WAAR;Hilvarenbeek
Hilversum;402;Hilversum;90831;4-11-2020;2020-11-17;319;351,2;4;4,4;1;1,1;;WAAR;Hilversum
Hoeksche Waard;1963;Hoeksche Waard;87401;4-11-2020;2020-11-17;269;307,8;0;0;0;0;;WAAR;Hoeksche Waard
Hof van Twente;1735;Hof van Twente;35017;4-11-2020;2020-11-17;229;654;0;0;1;2,9;;WAAR;Hof van Twente
Hollands Kroon;1911;Hollands Kroon;48432;4-11-2020;2020-11-17;121;249,8;3;6,2;0;0;;WAAR;Hollands Kroon
Hoogeveen;118;Hoogeveen;55699;4-11-2020;2020-11-17;120;215,4;0;0;1;1,8;;WAAR;Hoogeveen
Hoorn;405;Hoorn;73261;4-11-2020;2020-11-17;270;368,5;3;4,1;2;2,7;;WAAR;Hoorn
Horst aan de Maas;1507;Horst aan de Maas;42429;4-11-2020;2020-11-17;159;374,7;0;0;1;2,4;;WAAR;Horst aan de Maas
Houten;321;Houten;50146;4-11-2020;2020-11-17;185;368,9;3;6;10;19,9;;WAAR;Houten
Huizen;406;Huizen;41273;4-11-2020;2020-11-17;207;501,5;2;4,8;0;0;;WAAR;Huizen
Hulst;677;Hulst;27556;4-11-2020;2020-11-17;145;526,2;2;7,3;2;7,3;;WAAR;Hulst
IJsselstein;353;IJsselstein;34109;4-11-2020;2020-11-17;130;381,1;1;2,9;3;8,8;;WAAR;IJsselstein
Kaag en Braassem;1884;Kaag en Braassem;27297;4-11-2020;2020-11-17;80;293,1;1;3,7;0;0;;WAAR;Kaag en Braassem
Kampen;166;Kampen;54319;4-11-2020;2020-11-17;117;215,4;1;1,8;0;0;;WAAR;Kampen
Kapelle;678;Kapelle;12695;4-11-2020;2020-11-17;13;102,4;0;0;0;0;;WAAR;Kapelle
Katwijk;537;Katwijk;65753;4-11-2020;2020-11-17;339;515,6;3;4,6;3;4,6;;WAAR;Katwijk
Kerkrade;928;Kerkrade;45749;4-11-2020;2020-11-17;91;198,9;1;2,2;3;6,6;;WAAR;Kerkrade
Koggenland;1598;Koggenland;22749;4-11-2020;2020-11-17;108;474,7;2;8,8;1;4,4;;WAAR;Koggenland
Krimpen aan den IJssel;542;Krimpen aan den IJssel;29526;4-11-2020;2020-11-17;127;430,1;2;6,8;8;27,1;;WAAR;Krimpen aan den IJssel
Krimpenerwaard;1931;Krimpenerwaard;56319;4-11-2020;2020-11-17;301;534,5;2;3,6;3;5,3;;WAAR;Krimpenerwaard
Laarbeek;1659;Laarbeek;22523;4-11-2020;2020-11-17;97;430,7;0;0;0;0;;WAAR;Laarbeek
Landerd;1685;Landerd;15730;4-11-2020;2020-11-17;69;438,7;0;0;0;0;;WAAR;Landerd
Landgraaf;882;Landgraaf;37445;4-11-2020;2020-11-17;76;203;0;0;0;0;;WAAR;Landgraaf
Landsmeer;415;Landsmeer;11491;4-11-2020;2020-11-17;56;487,3;1;8,7;0;0;;WAAR;Landsmeer
Langedijk;416;Langedijk;28163;4-11-2020;2020-11-17;106;376,4;0;0;0;0;;WAAR;Langedijk
Lansingerland;1621;Lansingerland;62384;4-11-2020;2020-11-17;247;395,9;1;1,6;1;1,6;;WAAR;Lansingerland
Laren (NH.);417;Laren (NH.);11280;4-11-2020;2020-11-17;59;523;0;0;2;17,7;;WAAR;Laren (NH.)
Leeuwarden;80;Leeuwarden;124084;4-11-2020;2020-11-17;178;143,5;0;0;1;0,8;;WAAR;Leeuwarden
Leiden;546;Leiden;125099;4-11-2020;2020-11-17;516;412,5;1;0,8;4;3,2;;WAAR;Leiden
Leiderdorp;547;Leiderdorp;27056;4-11-2020;2020-11-17;83;306,8;1;3,7;2;7,4;;WAAR;Leiderdorp
Leidschendam-Voorburg;1916;Leidschendam-Voorburg;76534;4-11-2020;2020-11-17;295;385,4;6;7,8;3;3,9;;WAAR;Leidschendam-Voorburg
Lelystad;995;Lelystad;78598;4-11-2020;2020-11-17;271;344,8;5;6,4;3;3,8;;WAAR;Lelystad
Leudal;1640;Leudal;35879;4-11-2020;2020-11-17;147;409,7;2;5,6;0;0;;WAAR;Leudal
Leusden;327;Leusden;30401;4-11-2020;2020-11-17;96;315,8;2;6,6;1;3,3;;WAAR;Leusden
Lingewaard;1705;Lingewaard;46601;4-11-2020;2020-11-17;170;364,8;2;4,3;2;4,3;;WAAR;Lingewaard
Lisse;553;Lisse;22955;4-11-2020;2020-11-17;73;318;1;4,4;1;4,4;;WAAR;Lisse
Lochem;262;Lochem;33729;4-11-2020;2020-11-17;72;213,5;0;0;0;0;;WAAR;Lochem
Loon op Zand;809;Loon op Zand;23408;4-11-2020;2020-11-17;153;653,6;0;0;0;0;;WAAR;Loon op Zand
Lopik;331;Lopik;14467;4-11-2020;2020-11-17;77;532,2;0;0;0;0;;WAAR;Lopik
Loppersum;24;Loppersum;9537;4-11-2020;2020-11-17;14;146,8;1;10,5;0;0;;WAAR;Loppersum
Losser;168;Losser;22683;4-11-2020;2020-11-17;112;493,8;0;0;1;4,4;;WAAR;Losser
Maasdriel;263;Maasdriel;25030;4-11-2020;2020-11-17;171;683,2;1;4;3;12;;WAAR;Maasdriel
Maasgouw;1641;Maasgouw;23965;4-11-2020;2020-11-17;77;321,3;0;0;1;4,2;;WAAR;Maasgouw
Maassluis;556;Maassluis;33213;4-11-2020;2020-11-17;148;445,6;4;12;1;3;;WAAR;Maassluis
Maastricht;935;Maastricht;121575;4-11-2020;2020-11-17;355;292;4;3,3;2;1,6;;WAAR;Maastricht
Medemblik;420;Medemblik;45101;4-11-2020;2020-11-17;141;312,6;1;2,2;0;0;;WAAR;Medemblik
Meerssen;938;Meerssen;18828;4-11-2020;2020-11-17;46;244,3;0;0;0;0;;WAAR;Meerssen
Meierijstad;1948;Meierijstad;81194;4-11-2020;2020-11-17;285;351;4;4,9;1;1,2;;WAAR;Meierijstad
Meppel;119;Meppel;33920;4-11-2020;2020-11-17;74;218,2;2;5,9;0;0;;WAAR;Meppel
Middelburg (Z.);687;Middelburg (Z.);48822;4-11-2020;2020-11-17;84;172,1;0;0;3;6,1;;WAAR;Middelburg (Z.)
Midden-Delfland;1842;Midden-Delfland;19341;4-11-2020;2020-11-17;88;455;2;10,3;3;15,5;;WAAR;Midden-Delfland
Midden-Drenthe;1731;Midden-Drenthe;33185;4-11-2020;2020-11-17;86;259,2;1;3;0;0;;WAAR;Midden-Drenthe
Midden-Groningen;1952;Midden-Groningen;60797;4-11-2020;2020-11-17;65;106,9;4;6,6;1;1,6;;WAAR;Midden-Groningen
Mill en Sint Hubert;815;Mill en Sint Hubert;10939;4-11-2020;2020-11-17;47;429,7;0;0;0;0;;WAAR;Mill en Sint Hubert
Moerdijk;1709;Moerdijk;37129;4-11-2020;2020-11-17;153;412,1;2;5,4;5;13,5;;WAAR;Moerdijk
Molenlanden;1978;Molenlanden;43909;4-11-2020;2020-11-17;260;592,1;0;0;2;4,6;;WAAR;Molenlanden
Montferland;1955;Montferland;36011;4-11-2020;2020-11-17;123;341,6;0;0;2;5,6;;WAAR;Montferland
Montfoort;335;Montfoort;13917;4-11-2020;2020-11-17;71;510,2;0;0;0;0;;WAAR;Montfoort
Mook en Middelaar;944;Mook en Middelaar;7847;4-11-2020;2020-11-17;25;318,6;0;0;1;12,7;;WAAR;Mook en Middelaar
Neder-Betuwe;1740;Neder-Betuwe;24339;4-11-2020;2020-11-17;100;410,9;0;0;0;0;;WAAR;Neder-Betuwe
Nederweert;946;Nederweert;17019;4-11-2020;2020-11-17;66;387,8;3;17,6;1;5,9;;WAAR;Nederweert
Nieuwegein;356;Nieuwegein;63462;4-11-2020;2020-11-17;215;338,8;0;0;0;0;;WAAR;Nieuwegein
Nieuwkoop;569;Nieuwkoop;28811;4-11-2020;2020-11-17;118;409,6;2;6,9;1;3,5;;WAAR;Nieuwkoop
Nijkerk;267;Nijkerk;43171;4-11-2020;2020-11-17;147;340,5;0;0;2;4,6;;WAAR;Nijkerk
Nijmegen;268;Nijmegen;177659;4-11-2020;2020-11-17;592;333,2;5;2,8;12;6,8;;WAAR;Nijmegen
Nissewaard;1930;Nissewaard;85219;4-11-2020;2020-11-17;488;572,6;3;3,5;2;2,3;;WAAR;Nissewaard
Noardeast-Fryslân;1970;Noardeast-Fryslan;45228;4-11-2020;2020-11-17;84;185,7;1;2,2;0;0;;WAAR;Noardeast-Fryslan
Noord-Beveland;1695;Noord-Beveland;7392;4-11-2020;2020-11-17;12;162,3;0;0;0;0;;WAAR;Noord-Beveland
Noordenveld;1699;Noordenveld;31253;4-11-2020;2020-11-17;16;51,2;1;3,2;0;0;;WAAR;Noordenveld
Noordoostpolder;171;Noordoostpolder;47291;4-11-2020;2020-11-17;132;279,1;1;2,1;1;2,1;;WAAR;Noordoostpolder
Noordwijk;575;Noordwijk;43508;4-11-2020;2020-11-17;139;319,5;6;13,8;1;2,3;;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;820;Nuenen, Gerwen en Nederwetten;23383;4-11-2020;2020-11-17;96;410,6;0;0;2;8,6;;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;302;Nunspeet;27851;4-11-2020;2020-11-17;75;269,3;0;0;0;0;;WAAR;Nunspeet
Oegstgeest;579;Oegstgeest;24840;4-11-2020;2020-11-17;70;281,8;0;0;0;0;;WAAR;Oegstgeest
Oirschot;823;Oirschot;18714;4-11-2020;2020-11-17;113;603,8;0;0;5;26,7;;WAAR;Oirschot
Oisterwijk;824;Oisterwijk;26245;4-11-2020;2020-11-17;128;487,7;0;0;0;0;;WAAR;Oisterwijk
Oldambt;1895;Oldambt;38209;4-11-2020;2020-11-17;34;89;0;0;1;2,6;;WAAR;Oldambt
Oldebroek;269;Oldebroek;23646;4-11-2020;2020-11-17;63;266,4;0;0;0;0;;WAAR;Oldebroek
Oldenzaal;173;Oldenzaal;31836;4-11-2020;2020-11-17;163;512;5;15,7;4;12,6;;WAAR;Oldenzaal
Olst-Wijhe;1773;Olst-Wijhe;18252;4-11-2020;2020-11-17;35;191,8;0;0;0;0;;WAAR;Olst-Wijhe
Ommen;175;Ommen;18009;4-11-2020;2020-11-17;44;244,3;0;0;0;0;;WAAR;Ommen
