Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;
Aa en Hunze;1680;Aa en Hunze;25445;4-11-2020;2020-11-17;30;117,9;0;0;0;0;;WAAR;Aa en Hunze
Aalsmeer;358;Aalsmeer;31859;4-11-2020;2020-11-17;164;514,8;3;9,4;7;22;;WAAR;Aalsmeer
Aalten;197;Aalten;27121;4-11-2020;2020-11-17;113;416,7;0;0;1;3,7;;WAAR;Aalten
Achtkarspelen;59;Achtkarspelen;27843;4-11-2020;2020-11-17;36;129,3;0;0;0;0;;WAAR;Achtkarspelen
Alblasserdam;482;Alblasserdam;20165;4-11-2020;2020-11-17;150;743,9;0;0;1;5;;WAAR;Alblasserdam
Albrandswaard;613;Albrandswaard;25590;4-11-2020;2020-11-17;130;508;2;7,8;0;0;;WAAR;Albrandswaard
Alkmaar;361;Alkmaar;109436;4-11-2020;2020-11-17;451;412,1;4;3,7;5;4,6;;WAAR;Alkmaar
Almelo;141;Almelo;73107;4-11-2020;2020-11-17;559;764,6;1;1,4;4;5,5;;WAAR;Almelo
Almere;34;Almere;211893;4-11-2020;2020-11-17;883;416,7;3;1,4;4;1,9;;WAAR;Almere
Alphen aan den Rijn;484;Alphen aan den Rijn;111897;4-11-2020;2020-11-17;635;567,5;5;4,5;7;6,3;;WAAR;Alphen aan den Rijn
Alphen-Chaam;1723;Alphen-Chaam;10203;4-11-2020;2020-11-17;72;705,7;0;0;0;0;;WAAR;Alphen-Chaam
Altena;1959;Altena;55967;4-11-2020;2020-11-17;329;587,8;2;3,6;9;16,1;;WAAR;Altena
Ameland;60;Ameland;3716;4-11-2020;2020-11-17;0;0;0;0;0;0;;WAAR;Ameland
Amersfoort;307;Amersfoort;157276;4-11-2020;2020-11-17;643;408,8;5;3,2;10;6,4;;WAAR;Amersfoort
Amstelveen;362;Amstelveen;91675;4-11-2020;2020-11-17;327;356,7;3;3,3;1;1,1;;WAAR;Amstelveen
Amsterdam;363;Amsterdam;872757;4-11-2020;2020-11-17;4194;480,5;50;5,7;33;3,8;;WAAR;Amsterdam
Apeldoorn;200;Apeldoorn;163818;4-11-2020;2020-11-17;477;291,2;1;0,6;2;1,2;;WAAR;Apeldoorn
Appingedam;3;Appingedam;11642;4-11-2020;2020-11-17;10;85,9;0;0;0;0;;WAAR;Appingedam
Arnhem;202;Arnhem;161348;4-11-2020;2020-11-17;650;402,9;6;3,7;12;7,4;;WAAR;Arnhem
Assen;106;Assen;68599;4-11-2020;2020-11-17;102;148,7;2;2,9;1;1,5;;WAAR;Assen
Asten;743;Asten;16721;4-11-2020;2020-11-17;60;358,8;0;0;2;12;;WAAR;Asten
Baarle-Nassau;744;Baarle-Nassau;6859;4-11-2020;2020-11-17;29;422,8;1;14,6;0;0;;WAAR;Baarle-Nassau
Baarn;308;Baarn;24868;4-11-2020;2020-11-17;80;321,7;2;8;1;4;;WAAR;Baarn
Barendrecht;489;Barendrecht;48714;4-11-2020;2020-11-17;176;361,3;3;6,2;3;6,2;;WAAR;Barendrecht
Barneveld;203;Barneveld;59082;4-11-2020;2020-11-17;347;587,3;4;6,8;4;6,8;;WAAR;Barneveld
Beek (L.);888;Beek (L.);15865;4-11-2020;2020-11-17;55;346,7;0;0;0;0;;WAAR;Beek (L.)
Beekdaelen;1954;Beekdaelen;35938;4-11-2020;2020-11-17;93;258,8;1;2,8;0;0;;WAAR;Beekdaelen
Beemster;370;Beemster;10022;4-11-2020;2020-11-17;49;488,9;0;0;0;0;;WAAR;Beemster
Beesel;889;Beesel;13482;4-11-2020;2020-11-17;35;259,6;2;14,8;0;0;;WAAR;Beesel
Berg en Dal;1945;Berg en Dal;34992;4-11-2020;2020-11-17;179;511,5;0;0;3;8,6;;WAAR;Berg en Dal
Bergeijk;1724;Bergeijk;18635;4-11-2020;2020-11-17;67;359,5;0;0;1;5,4;;WAAR;Bergeijk
Bergen (L.);893;Bergen (L.);13085;4-11-2020;2020-11-17;41;313,3;1;7,6;0;0;;WAAR;Bergen (L.)
Bergen (NH.);373;Bergen (NH.);29839;4-11-2020;2020-11-17;57;191;0;0;2;6,7;;WAAR;Bergen (NH.)
Bergen op Zoom;748;Bergen op Zoom;67496;4-11-2020;2020-11-17;465;688,9;2;3;5;7,4;;WAAR;Bergen op Zoom
Berkelland;1859;Berkelland;43747;4-11-2020;2020-11-17;211;482,3;2;4,6;7;16;;WAAR;Berkelland
Bernheze;1721;Bernheze;31240;4-11-2020;2020-11-17;149;477;1;3,2;0;0;;WAAR;Bernheze
Best;753;Best;29988;4-11-2020;2020-11-17;121;403,5;0;0;0;0;;WAAR;Best
Beuningen;209;Beuningen;25890;4-11-2020;2020-11-17;109;421;2;7,7;1;3,9;;WAAR;Beuningen
Beverwijk;375;Beverwijk;41626;4-11-2020;2020-11-17;199;478,1;1;2,4;0;0;;WAAR;Beverwijk
Bladel;1728;Bladel;20390;4-11-2020;2020-11-17;137;671,9;0;0;1;4,9;;WAAR;Bladel
Blaricum;376;Blaricum;11540;4-11-2020;2020-11-17;55;476,6;0;0;0;0;;WAAR;Blaricum
Bloemendaal;377;Bloemendaal;23571;4-11-2020;2020-11-17;65;275,8;0;0;0;0;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;1901;Bodegraven-Reeuwijk;34872;4-11-2020;2020-11-17;171;490,4;6;17,2;0;0;;WAAR;Bodegraven-Reeuwijk
Boekel;755;Boekel;10785;4-11-2020;2020-11-17;23;213,3;0;0;0;0;;WAAR;Boekel
Borger-Odoorn;1681;Borger-Odoorn;25559;4-11-2020;2020-11-17;48;187,8;0;0;1;3,9;;WAAR;Borger-Odoorn
Borne;147;Borne;23312;4-11-2020;2020-11-17;88;377,5;0;0;0;0;;WAAR;Borne
Borsele;654;Borsele;22739;4-11-2020;2020-11-17;44;193,5;0;0;0;0;;WAAR;Borsele
Boxmeer;756;Boxmeer;29365;4-11-2020;2020-11-17;110;374,6;0;0;2;6,8;;WAAR;Boxmeer
Boxtel;757;Boxtel;30801;4-11-2020;2020-11-17;117;379,9;0;0;1;3,2;;WAAR;Boxtel
Breda;758;Breda;184069;4-11-2020;2020-11-17;713;387,4;6;3,3;14;7,6;;WAAR;Breda
Brielle;501;Brielle;17271;4-11-2020;2020-11-17;68;393,7;0;0;1;5,8;;WAAR;Brielle
Bronckhorst;1876;Bronckhorst;36055;4-11-2020;2020-11-17;123;341,1;0;0;0;0;;WAAR;Bronckhorst
Brummen;213;Brummen;20726;4-11-2020;2020-11-17;76;366,7;2;9,6;0;0;;WAAR;Brummen
Brunssum;899;Brunssum;27821;4-11-2020;2020-11-17;74;266;1;3,6;0;0;;WAAR;Brunssum
Bunnik;312;Bunnik;15191;4-11-2020;2020-11-17;55;362,1;0;0;2;13,2;;WAAR;Bunnik
Bunschoten;313;Bunschoten;21866;4-11-2020;2020-11-17;186;850,6;2;9,1;3;13,7;;WAAR;Bunschoten
Buren;214;Buren;26749;4-11-2020;2020-11-17;99;370,1;0;0;2;7,5;;WAAR;Buren
Capelle aan den IJssel;502;Capelle aan den IJssel;67122;4-11-2020;2020-11-17;320;476,7;3;4,5;1;1,5;;WAAR;Capelle aan den IJssel
Castricum;383;Castricum;35986;4-11-2020;2020-11-17;111;308,5;0;0;0;0;;WAAR;Castricum
Coevorden;109;Coevorden;35297;4-11-2020;2020-11-17;96;272;0;0;3;8,5;;WAAR;Coevorden
Cranendonck;1706;Cranendonck;21138;4-11-2020;2020-11-17;111;525,1;0;0;0;0;;WAAR;Cranendonck
Cuijk;1684;Cuijk;25130;4-11-2020;2020-11-17;102;405,9;1;4;1;4;;WAAR;Cuijk
Culemborg;216;Culemborg;28955;4-11-2020;2020-11-17;103;355,7;1;3,5;1;3,5;;WAAR;Culemborg
Dalfsen;148;Dalfsen;28587;4-11-2020;2020-11-17;103;360,3;0;0;0;0;;WAAR;Dalfsen
Dantumadiel;1891;Dantumadiel;18922;4-11-2020;2020-11-17;35;185;0;0;0;0;;WAAR;Dantumadiel
De Bilt;310;De Bilt;43137;4-11-2020;2020-11-17;198;459;1;2,3;2;4,6;;WAAR;De Bilt
De Fryske Marren;1940;De Fryske Marren;51564;4-11-2020;2020-11-17;61;118,3;0;0;0;0;;WAAR;De Fryske Marren
De Ronde Venen;736;De Ronde Venen;44456;4-11-2020;2020-11-17;190;427,4;0;0;1;2,2;;WAAR;De Ronde Venen
De Wolden;1690;De Wolden;24330;4-11-2020;2020-11-17;58;238,4;0;0;0;0;;WAAR;De Wolden
Delft;503;Delft;103595;4-11-2020;2020-11-17;497;479,8;2;1,9;3;2,9;;WAAR;Delft
Delfzijl;10;Delfzijl;24678;4-11-2020;2020-11-17;17;68,9;1;4,1;0;0;;WAAR;Delfzijl
Den Helder;400;Den Helder;56296;4-11-2020;2020-11-17;124;220,3;1;1,8;2;3,6;;WAAR;Den Helder
Deurne;762;Deurne;32471;4-11-2020;2020-11-17;141;434,2;1;3,1;0;0;;WAAR;Deurne
Deventer;150;Deventer;100719;4-11-2020;2020-11-17;277;275;1;1;3;3;;WAAR;Deventer
Diemen;384;Diemen;30780;4-11-2020;2020-11-17;147;477,6;1;3,2;0;0;;WAAR;Diemen
Dinkelland;1774;Dinkelland;26461;4-11-2020;2020-11-17;143;540,4;0;0;4;15,1;;WAAR;Dinkelland
Doesburg;221;Doesburg;11077;4-11-2020;2020-11-17;27;243,7;0;0;0;0;;WAAR;Doesburg
Doetinchem;222;Doetinchem;58001;4-11-2020;2020-11-17;187;322,4;3;5,2;0;0;;WAAR;Doetinchem
Dongen;766;Dongen;26222;4-11-2020;2020-11-17;172;655,9;3;11,4;2;7,6;;WAAR;Dongen
Dordrecht;505;Dordrecht;119284;4-11-2020;2020-11-17;744;623,7;1;0,8;8;6,7;;WAAR;Dordrecht
