Updated;Total_reported_weekly;Total_reported;Total_reported_per_100000_weekly;Total_reported_per_100000;Hospital_admission_weekly;Hospital_admission;Hospital_admission_per_100000_weekly;Hospital_admission_per_100000;Deceased_weekly;Deceased;Deceased_per_100000_weekly;Deceased_per_100000
2020-03-03;119;119;253,3;253,3;40;40;89,6;89,6;0;0;0;0
2020-03-10;564;564;1161,2;1161,2;213;213;455,3;455,3;5;5;9,9;9,9
2020-03-17;2085;2204;4573,2;4826,5;946;986;2181;2270,6;87;87;202,7;202,7
2020-03-24;6252;6816;13787;14948,2;3311;3524;7743;8198,3;488;493;1134,6;1144,5
2020-03-31;11400;13604;25263;30089,5;5584;6570;12642,3;14912,9;1345;1432;3226,2;3428,9
2020-04-07;13978;20794;30554,6;45502,8;5045;8569;10975,5;19173,8;2112;2605;4771,9;5916,4
2020-04-14;14345;27949;30938,6;61028,1;3031;9601;6328,6;21241,5;2100;3532;4453,5;7882,4
2020-04-21;13858;34652;28874,6;74377,4;1708;10277;3273,8;22447,6;1802;4407;3686,4;9602,8
2020-04-28;10248;38197;20869,7;81897,8;977;10578;1838,5;23080;1443;4975;2802;10684,4
2020-05-05;6388;41040;12425,6;86803;562;10839;1017,1;23464,7;985;5392;1789,3;11392,1
2020-05-12;4158;42355;7393,3;89291,1;351;10929;560,5;23640,5;634;5609;1089,7;11774,1
2020-05-19;2930;43970;4947;91750;224;11063;342,9;23807,6;409;5801;636,2;12028,3
2020-05-26;2474;44829;4356,9;93648;134;11063;201,9;23842,4;259;5868;355,3;12129,4
2020-06-02;2292;46262;4071,7;95821,7;106;11169;162,2;23969,8;191;5992;246,7;12275
2020-06-09;2308;47137;3838,6;97486,6;79;11142;113,9;23956,3;119;5987;161,5;12290,9
2020-06-16;2375;48637;3678,2;99499,9;46;11215;67,7;24037,5;77;6069;108,6;12383,6
2020-06-23;1712;48849;2533,5;100020,1;34;11176;50,4;24006,7;48;6035;74,1;12365
2020-06-30;1133;49770;1705,3;101205,2;26;11241;30,9;24068,4;30;6099;52,8;12436,4
2020-07-07;932;49781;1440,8;101460,9;15;11191;20,6;24027,3;23;6058;51,3;12416,3
2020-07-14;883;50653;1168,8;102374;9;11250;8,4;24076,8;12;6111;34;12470,4
2020-07-21;1435;51216;1823,6;103284,5;16;11207;20,8;24048,1;8;6066;22,2;12438,5
2020-07-28;2183;52836;2808,5;105182,5;27;11277;27,2;24104;12;6123;13,4;12483,8
2020-08-04;3686;54902;4142;107426,5;46;11253;39,1;24087,2;10;6076;6,6;12445,1
2020-08-11;6298;59134;6727,6;111910,1;54;11331;52,5;24156,5;7;6130;6,4;12490,2
2020-08-18;7366;62268;8355,1;115781,6;60;11313;50,2;24137,4;20;6096;10;12455,1
2020-08-25;6802;65936;8411,8;120321,9;72;11403;63,2;24219,7;39;6169;44,5;12534,7
2020-09-01;6530;68798;8577,2;124358,8;52;11365;36,3;24173,7;32;6128;49,6;12504,7
2020-09-08;8352;74288;10342,4;130664,3;48;11451;42,2;24261,9;24;6193;24,7;12559,4
2020-09-15;12679;81477;16151,6;140510,4;94;11459;72,9;24246,6;16;6144;14,5;12519,2
2020-09-22;20201;94489;26813,6;157477,9;175;11626;195,7;24457,6;35;6228;44,4;12603,8
2020-09-29;30749;112226;45190,4;185700,8;338;11797;396;24642,6;138;6282;177,4;12696,6
2020-10-06;42369;136858;68426,9;225904,8;375;12001;505,9;24963,5;120;6348;211,2;12815
2020-10-13;65500;177726;114365,8;300066,6;499;12296;696,5;25339,1;190;6472;307,6;13004,2
2020-10-20;90018;226876;161983,4;387888,2;601;12602;1160;26123,5;232;6580;459,1;13274,1
2020-10-27;109793;287519;201397,6;501464,2;777;13073;1364,4;26703,5;394;6866;796,5;13800,7
