Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
Aa en Hunze;5;19,7;1;3,9;0;0
Aalsmeer;16;50,2;5;15,7;2;6,3
Aalten;9;33,2;4;14,7;1;3,7
Achtkarspelen;2;7,2;0;0;0;0
Alblasserdam;8;39,7;4;19,8;0;0
Albrandswaard;25;97,7;5;19,5;2;7,8
Alkmaar;47;42,9;26;23,8;5;4,6
Almelo;24;32,8;12;16,4;3;4,1
Almere;81;38,2;59;27,8;1;0,5
Alphen aan den Rijn;49;43,8;31;27,7;2;1,8
Alphen-Chaam;23;225,4;10;98;4;39,2
Altena;38;67,9;15;26,8;2;3,6
Ameland;0;0;0;0;0;0
Amersfoort;49;31,2;24;15,3;9;5,7
Amstelveen;87;94,9;29;31,6;5;5,5
Amsterdam;590;67,6;252;28,9;32;3,7
Apeldoorn;70;42,7;43;26,2;6;3,7
Appingedam;1;8,6;1;8,6;0;0
Arnhem;61;37,8;35;21,7;3;1,9
Assen;15;21,9;8;11,7;2;2,9
Asten;18;107,6;5;29,9;2;12
Baarle-Nassau;12;175;7;102,1;1;14,6
Baarn;12;48,3;7;28,1;0;0
Barendrecht;33;67,7;17;34,9;2;4,1
Barneveld;25;42,3;7;11,8;2;3,4
Beek (L.);16;100,9;8;50,4;1;6,3
Beekdaelen;27;75,1;20;55,7;5;13,9
Beemster;6;59,9;3;29,9;1;10
Beesel;16;118,7;11;81,6;3;22,3
Berg en Dal;48;137,2;15;42,9;7;20
Bergeijk;18;96,6;9;48,3;2;10,7
Bergen (L.);4;30,6;4;30,6;0;0
Bergen (NH.);23;77,1;10;33,5;1;3,4
Bergen op Zoom;16;23,7;7;10,4;2;3
Berkelland;7;16;5;11,4;0;0
Bernheze;105;336,1;50;160,1;24;76,8
Best;25;83,4;14;46,7;4;13,3
Beuningen;22;85;13;50,2;4;15,4
Beverwijk;19;45,6;5;12;3;7,2
Bladel;23;112,8;7;34,3;4;19,6
Blaricum;7;60,7;4;34,7;0;0
Bloemendaal;21;89,1;4;17;0;0
Bodegraven-Reeuwijk;16;45,9;5;14,3;1;2,9
Boekel;44;408;14;129,8;11;102
Borger-Odoorn;2;7,8;2;7,8;2;7,8
Borne;22;94,4;9;38,6;4;17,2
Borsele;4;17,6;1;4,4;0;0
Boxmeer;32;109;12;40,9;4;13,6
Boxtel;21;68,2;9;29,2;7;22,7
Breda;158;85,8;75;40,7;23;12,5
Brielle;14;81,1;7;40,5;0;0
Bronckhorst;11;30,5;6;16,6;1;2,8
Brummen;10;48,2;6;28,9;1;4,8
Brunssum;27;97;19;68,3;5;18
Bunnik;11;72,4;5;32,9;0;0
Bunschoten;7;32;2;9,1;0;0
Buren;8;29,9;5;18,7;1;3,7
Capelle aan den IJssel;58;86,4;23;34,3;6;8,9
Castricum;19;52,8;9;25;5;13,9
Coevorden;12;34;7;19,8;0;0
Cranendonck;61;288,6;45;212,9;5;23,7
Cuijk;18;71,6;7;27,9;4;15,9
Culemborg;22;76;15;51,8;4;13,8
Dalfsen;15;52,5;8;28;2;7
Dantumadiel;3;15,9;1;5,3;0;0
De Bilt;33;76,5;14;32,5;1;2,3
De Fryske Marren;18;34,9;8;15,5;3;5,8
De Ronde Venen;26;58,5;18;40,5;1;2,2
De Wolden;7;28,8;2;8,2;1;4,1
