Updated;Municipality_name;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
3-3-2020;Aa en Hunze;0;0;0;0;0;0
3-3-2020;Aalsmeer;0;0;0;0;0;0
3-3-2020;Aalten;0;0;0;0;0;0
3-3-2020;Achtkarspelen;0;0;0;0;0;0
3-3-2020;Alblasserdam;0;0;0;0;0;0
3-3-2020;Albrandswaard;0;0;0;0;0;0
3-3-2020;Alkmaar;0;0;1;0,9;0;0
3-3-2020;Almelo;0;0;0;0;0;0
3-3-2020;Almere;1;0,5;2;0,9;0;0
3-3-2020;Alphen aan den Rijn;1;0,9;0;0;0;0
3-3-2020;Alphen-Chaam;0;0;0;0;0;0
3-3-2020;Altena;4;7,1;2;3,6;0;0
3-3-2020;Ameland;0;0;0;0;0;0
3-3-2020;Amersfoort;0;0;0;0;0;0
3-3-2020;Amstelveen;0;0;0;0;0;0
3-3-2020;Amsterdam;3;0,3;0;0;0;0
3-3-2020;Apeldoorn;0;0;0;0;0;0
3-3-2020;Appingedam;0;0;0;0;0;0
3-3-2020;Arnhem;0;0;0;0;0;0
3-3-2020;Assen;0;0;0;0;0;0
3-3-2020;Asten;0;0;0;0;0;0
3-3-2020;Baarle-Nassau;0;0;0;0;0;0
3-3-2020;Baarn;0;0;0;0;0;0
3-3-2020;Barendrecht;0;0;0;0;0;0
3-3-2020;Barneveld;0;0;0;0;0;0
3-3-2020;Beek (L.);0;0;0;0;0;0
3-3-2020;Beekdaelen;0;0;1;2,8;0;0
3-3-2020;Beemster;0;0;0;0;0;0
3-3-2020;Beesel;0;0;0;0;0;0
3-3-2020;Berg en Dal;0;0;0;0;0;0
3-3-2020;Bergeijk;0;0;0;0;0;0
3-3-2020;Bergen (L.);0;0;0;0;0;0
3-3-2020;Bergen (NH.);0;0;0;0;0;0
3-3-2020;Bergen op Zoom;0;0;0;0;0;0
3-3-2020;Berkelland;0;0;0;0;0;0
3-3-2020;Bernheze;0;0;0;0;0;0
3-3-2020;Best;1;3,3;0;0;0;0
