Date_of_report;Date_of_statistic_reported;Security_region_code;Security_region;Total_cases_reported;Total_deceased_reported
2021-01-05 10:00:00;2020-07-01;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-02;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-03;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-04;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-05;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-06;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-07;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-08;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-09;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-10;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-11;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-12;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-13;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-14;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-15;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-16;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-17;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-18;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-19;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-20;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-21;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-22;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-23;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-24;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-25;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-26;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-27;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-28;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-29;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-30;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-07-31;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-08-01;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-08-02;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-08-03;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-08-04;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-08-05;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-08-06;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-08-07;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-08-08;VR01;Groningen;1;0
2021-01-05 10:00:00;2020-08-09;VR01;Groningen;1;0
2021-01-05 10:00:00;2020-08-10;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-08-11;VR01;Groningen;1;0
2021-01-05 10:00:00;2020-08-12;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-08-13;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-08-14;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-08-15;VR01;Groningen;0;0
2021-01-05 10:00:00;2020-08-16;VR01;Groningen;0;0
