,ID,Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange,Latitude,Longitude,ISO2,ISO3,Country_Region,AdminRegion1,AdminRegion2
0,338995,01/21/2020,262,,0,,,,,,,,Worldwide,,
1,338996,01/22/2020,313,51,0,0,,,,,,,Worldwide,,
2,338997,01/23/2020,578,265,0,0,,,,,,,Worldwide,,
3,338998,01/24/2020,841,263,0,0,,,,,,,Worldwide,,
4,338999,01/25/2020,1320,479,0,0,,,,,,,Worldwide,,
5,339000,01/26/2020,2014,694,0,0,,,,,,,Worldwide,,
6,339001,01/27/2020,2798,784,0,0,,,,,,,Worldwide,,
7,339002,01/28/2020,4593,1795,0,0,,,,,,,Worldwide,,
8,339003,01/29/2020,6065,1472,0,0,,,,,,,Worldwide,,
9,339004,01/30/2020,7818,1753,0,0,,,,,,,Worldwide,,
10,339005,01/31/2020,9826,2008,0,0,,,,,,,Worldwide,,
11,339006,02/01/2020,11953,2127,0,0,,,,,,,Worldwide,,
12,339007,02/02/2020,14557,2604,0,0,,,,,,,Worldwide,,
13,339008,02/03/2020,17386,2829,362,362,,,,,,,Worldwide,,
14,339009,02/04/2020,20625,3239,426,64,,,,,,,Worldwide,,
15,339010,02/05/2020,24549,3924,492,66,,,,,,,Worldwide,,
16,339011,02/06/2020,28256,3707,565,73,,,,,,,Worldwide,,
17,339012,02/07/2020,31420,3164,638,73,,,,,,,Worldwide,,
18,339013,02/08/2020,34822,3402,724,86,,,,,,,Worldwide,,
19,339014,02/09/2020,37494,2672,813,89,,,,,,,Worldwide,,
20,339015,02/10/2020,40484,2990,910,97,,,,,,,Worldwide,,
21,339016,02/11/2020,42968,2484,1018,108,,,,,,,Worldwide,,
22,339017,02/12/2020,44996,2028,1115,97,,,,,,,Worldwide,,
23,339018,02/13/2020,46823,1827,1369,254,,,,,,,Worldwide,,
24,339019,02/14/2020,64219,17396,1383,14,,,,,,,Worldwide,,
25,339020,02/15/2020,66884,2665,1526,143,,,,,,,Worldwide,,
26,339021,02/16/2020,68912,2028,1669,143,,,,,,,Worldwide,,
27,339022,02/17/2020,70975,2063,1775,106,,,,,,,Worldwide,,
28,339023,02/18/2020,72778,1803,1873,98,,,,,,,Worldwide,,
29,339024,02/19/2020,75204,2426,2009,136,,,,,,,Worldwide,,
30,339025,02/20/2020,75748,544,2129,120,,,,,,,Worldwide,,
31,339026,02/21/2020,76769,1021,2247,118,,,,,,,Worldwide,,
32,339027,02/22/2020,77794,1025,2359,112,,,,,,,Worldwide,,
33,339028,02/23/2020,78811,1017,2462,103,,,,,,,Worldwide,,
34,339029,02/24/2020,79331,520,2618,156,,,,,,,Worldwide,,
35,339030,02/25/2020,80239,908,2700,82,,,,,,,Worldwide,,
36,339031,02/26/2020,81109,870,2762,62,,,,,,,Worldwide,,
37,339032,02/27/2020,82294,1185,2804,42,,,,,,,Worldwide,,
38,339033,02/28/2020,83652,1358,2858,54,,,,,,,Worldwide,,
39,339034,02/29/2020,85403,1751,2924,66,,,,,,,Worldwide,,
40,339035,03/01/2020,87137,1734,2977,53,,,,,,,Worldwide,,
41,339036,03/02/2020,88948,1811,3043,66,,,,,,,Worldwide,,
42,339037,03/03/2020,90869,1921,3112,69,,,,,,,Worldwide,,
43,339038,03/04/2020,93091,2222,3198,86,,,,,,,Worldwide,,
44,339039,03/05/2020,95324,2233,3281,83,,,,,,,Worldwide,,
45,339040,03/06/2020,98192,2868,3380,99,,,,,,,Worldwide,,
46,339041,03/07/2020,101927,3735,3486,106,,,,,,,Worldwide,,
47,339042,03/08/2020,105586,3659,3584,98,,,,,,,Worldwide,,
48,339043,03/09/2020,109577,3991,3809,225,,,,,,,Worldwide,,
49,339044,03/10/2020,113702,4125,4012,203,,,,,,,Worldwide,,
50,339045,03/11/2020,118319,4617,4292,280,,,,,,,Worldwide,,
51,339046,03/12/2020,125260,6941,4613,321,,,,,,,Worldwide,,
52,339047,03/13/2020,132755,7495,4955,342,,,,,,,Worldwide,,
53,339048,03/14/2020,142534,9779,5392,437,,,,,,,Worldwide,,
54,339049,03/15/2020,153517,10983,5735,343,,,,,,,Worldwide,,
55,339050,03/16/2020,167515,13998,6606,871,,,,,,,Worldwide,,
56,339051,03/17/2020,179111,11596,7426,820,81727,,,,,,Worldwide,,
57,339052,03/18/2020,191127,12016,7807,381,84446,2719,,,,,Worldwide,,
58,150051,03/19/2020,244799,53672,10030,2223,87407,2961,,,,,Worldwide,,
59,204566,03/20/2020,275130,30331,11376,1346,90943,3536,,,,,Worldwide,,
60,325129,03/21/2020,304999,29869,13003,1627,94793,3850,,,,,Worldwide,,
61,444295,03/22/2020,335403,30404,14611,1608,97636,2843,,,,,Worldwide,,
62,612670,03/23/2020,378394,42991,16491,1880,101584,3948,,,,,Worldwide,,
63,797487,03/24/2020,417663,39269,18605,2114,108312,6728,,,,,Worldwide,,
64,993962,03/25/2020,463387,45724,20912,2307,113802,5490,,,,,Worldwide,,
65,1216984,03/26/2020,529614,66227,23714,2802,121454,7652,,,,,Worldwide,,
66,1367645,03/27/2020,587958,58344,26909,3195,132440,10986,,,,,Worldwide,,
67,1460188,03/28/2020,662541,74583,30839,3930,141468,9028,,,,,Worldwide,,
68,1673794,03/29/2020,720415,57874,33908,3069,150918,9450,,,,,Worldwide,,
69,1946924,03/30/2020,777286,56871,37140,3232,164446,13528,,,,,Worldwide,,
70,2209715,03/31/2020,856955,79669,42089,4949,177917,13471,,,,,Worldwide,,
71,2486437,04/01/2020,932605,75650,46809,4720,193259,15342,,,,,Worldwide,,
72,2769463,04/02/2020,1011490,78885,52863,6054,210186,16927,,,,,Worldwide,,
73,3090977,04/03/2020,1095917,84427,58787,5924,225796,15610,,,,,Worldwide,,
74,3429904,04/04/2020,1196553,100636,64549,5762,246108,20312,,,,,Worldwide,,
75,3750617,04/05/2020,1272115,75562,69309,4760,260012,13904,,,,,Worldwide,,
76,4016373,04/06/2020,1341907,69792,74565,5256,276259,16247,,,,,Worldwide,,
77,4309179,04/07/2020,1426096,84189,81259,6694,300054,23795,,,,,Worldwide,,
78,4551545,04/08/2020,1504971,78875,87984,6725,328661,28607,,,,,Worldwide,,
79,4728946,04/09/2020,1587209,82238,94850,6866,353291,24630,,,,,Worldwide,,
80,4898837,04/10/2020,1684833,97624,102136,7286,375499,22208,,,,,Worldwide,,
81,5310451,04/11/2020,1764622,79789,107904,5768,385999,10500,,,,,Worldwide,,
82,5134319,04/12/2020,1838772,74150,107904,0,421497,35498,,,,,Worldwide,,
83,5261547,04/13/2020,1912923,74151,118966,11062,448053,26556,,,,,Worldwide,,
