,ID,Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange,Latitude,Longitude,ISO2,ISO3,Country_Region,AdminRegion1,AdminRegion2
84,5305989,04/14/2020,1970879,57956,125678,6712,472948,24895,,,,,Worldwide,,
85,5347997,04/15/2020,2056055,85176,133572,7894,511019,38071,,,,,Worldwide,,
86,5429132,04/16/2020,2151199,95144,143725,10153,541501,30482,,,,,Worldwide,,
87,5440228,04/17/2020,2234109,82910,153379,9654,567695,26194,,,,,Worldwide,,
88,5448942,04/18/2020,2310572,76463,158691,5312,590682,22987,,,,,Worldwide,,
89,5457903,04/19/2020,2394291,83719,164938,6247,611880,21198,,,,,Worldwide,,
90,5467891,04/20/2020,2470410,76119,169794,4856,645335,33455,,,,,Worldwide,,
91,5495212,04/21/2020,2560504,90094,176926,7132,679793,34458,,,,,Worldwide,,
92,5562397,04/22/2020,2628894,68390,182992,6066,709050,29257,,,,,Worldwide,,
93,6650426,04/23/2020,2699338,70444,188437,5445,737735,28685,,,,,Worldwide,,
94,6906714,04/24/2020,2790986,91648,195920,7483,781382,43647,,,,,Worldwide,,
95,6955177,04/25/2020,2868539,77553,201502,5582,811660,30278,,,,,Worldwide,,
96,7002306,04/26/2020,2965363,96824,206265,4763,863464,51804,,,,,Worldwide,,
97,7055144,04/27/2020,3002303,36940,208131,1866,878813,15349,,,,,Worldwide,,
98,7098114,04/28/2020,3083467,81164,213824,5693,915988,37175,,,,,Worldwide,,
99,7522181,04/29/2020,3170335,86868,224708,10884,958353,42365,,,,,Worldwide,,
100,7997577,04/30/2020,3249022,78687,230804,6096,1006112,47759,,,,,Worldwide,,
101,8479449,05/01/2020,3303296,54274,235290,4486,1039588,33476,,,,,Worldwide,,
102,8922151,05/02/2020,3419184,115888,243355,8065,1092644,53056,,,,,Worldwide,,
103,9388541,05/03/2020,3502126,82942,247107,3752,1124127,31483,,,,,Worldwide,,
104,9863005,05/04/2020,3578301,76175,251059,3952,1162279,38152,,,,,Worldwide,,
105,10308709,05/05/2020,3659271,80970,256736,5677,1197340,35061,,,,,Worldwide,,
106,10776908,05/06/2020,3744585,85314,263068,6332,1238250,40910,,,,,Worldwide,,
107,11286400,05/07/2020,3836215,91630,268999,5931,1278499,40249,,,,,Worldwide,,
108,11778334,05/08/2020,3932896,96681,274422,5423,1313004,34505,,,,,Worldwide,,
109,12224629,05/09/2020,4018342,85446,278756,4334,1363698,50694,,,,,Worldwide,,
110,12674148,05/10/2020,4097158,78816,282495,3739,1402882,39184,,,,,Worldwide,,
111,13152783,05/11/2020,4168427,71269,285445,2950,1452626,49744,,,,,Worldwide,,
112,13612685,05/12/2020,4233504,65077,289932,4487,1481314,28688,,,,,Worldwide,,
113,14064683,05/13/2020,4336973,103469,296252,6320,1540464,59150,,,,,Worldwide,,
114,14494766,05/14/2020,4434590,97617,301937,5685,1583929,43465,,,,,Worldwide,,
115,14923458,05/15/2020,4531811,97221,307001,5064,1632286,48357,,,,,Worldwide,,
116,15332735,05/16/2020,4626632,94821,311363,4362,1679428,47142,,,,,Worldwide,,
117,15763695,05/17/2020,4710614,83982,315023,3660,1732344,52916,,,,,Worldwide,,
118,16188753,05/18/2020,4786672,76058,317695,2672,1776641,44297,,,,,Worldwide,,
119,16631460,05/19/2020,4889287,102615,322683,4988,1679155,-97486,,,,,Worldwide,,
120,17054212,05/20/2020,4968689,79402,326515,3832,1885535,206380,,,,,Worldwide,,
121,17464727,05/21/2020,5076846,108157,332425,5910,1936947,51412,,,,,Worldwide,,
122,17857536,05/22/2020,5180982,104136,336432,4007,1992496,55549,,,,,Worldwide,,
123,18284171,05/23/2020,5280743,99761,340477,4045,2090465,97969,,,,,Worldwide,,
124,18684563,05/24/2020,5383582,102839,344077,3600,2158031,67566,,,,,Worldwide,,
125,19070668,05/25/2020,5471768,88186,344911,834,2223523,65492,,,,,Worldwide,,
126,19507722,05/26/2020,5559130,87362,348610,3699,2271268,47745,,,,,Worldwide,,
127,20116729,05/27/2020,5682389,123259,354944,6334,2337385,66117,,,,,Worldwide,,
128,20686443,05/28/2020,5803416,121027,359791,4847,2399247,61862,,,,,Worldwide,,
129,21233502,05/29/2020,5916464,113048,364357,4566,2486634,87387,,,,,Worldwide,,
130,21797053,05/30/2020,6048384,131920,368604,4247,2538227,51593,,,,,Worldwide,,
131,22323956,05/31/2020,6132154,83770,371154,2550,2631567,93340,,,,,Worldwide,,
132,22918439,06/01/2020,6246042,113888,374452,3298,2687848,56281,,,,,Worldwide,,
133,23455228,06/02/2020,6325303,79261,377460,3008,2727679,39831,,,,,Worldwide,,
134,24042086,06/03/2020,6444298,118995,382435,4975,2764304,36625,,,,,Worldwide,,
135,24518546,06/04/2020,6573286,128988,387898,5463,2837955,73651,,,,,Worldwide,,
136,25045072,06/05/2020,6722408,149122,393934,6036,2996534,158579,,,,,Worldwide,,
137,25563431,06/06/2020,6852810,130402,398211,4277,3071142,74608,,,,,Worldwide,,
138,26103673,06/07/2020,6979789,126979,401848,3637,3130301,59159,,,,,Worldwide,,
139,26651309,06/08/2020,7085894,106105,405168,3320,3180479,50178,,,,,Worldwide,,
140,27209200,06/09/2020,7185573,99679,408954,3786,3352665,172186,,,,,Worldwide,,
141,27755055,06/10/2020,7313661,128088,413854,4900,3442630,89965,,,,,Worldwide,,
142,28159408,06/11/2020,7414050,100389,417514,3660,3488251,45621,,,,,Worldwide,,
143,28865518,06/12/2020,7617591,203541,424587,7073,3601584,113333,,,,,Worldwide,,
144,29356304,06/13/2020,7715890,98299,427670,3083,3662834,61250,,,,,Worldwide,,
145,29863712,06/14/2020,7835340,119450,431141,3471,3733612,70778,,,,,Worldwide,,
146,30354143,06/15/2020,7963453,128113,434432,3291,3809566,75954,,,,,Worldwide,,
147,30861106,06/16/2020,8085932,122479,438453,4021,3918176,108610,,,,,Worldwide,,
148,31454902,06/17/2020,8261260,175328,445468,7015,4013202,95026,,,,,Worldwide,,
149,32032389,06/18/2020,8400320,139060,450435,4967,4109183,95981,,,,,Worldwide,,
150,32608187,06/19/2020,8519543,119223,454582,4147,4184445,75262,,,,,Worldwide,,
151,33194606,06/20/2020,8716985,197442,461206,6624,4286643,102198,,,,,Worldwide,,
152,33780214,06/21/2020,8802328,85343,464620,3414,4372440,85797,,,,,Worldwide,,
153,34412776,06/22/2020,9030328,228000,469939,5319,4475013,102573,,,,,Worldwide,,
154,34940271,06/23/2020,9154232,123904,473650,3711,4585022,110009,,,,,Worldwide,,
155,35481457,06/24/2020,9237691,83459,476911,3261,4613425,28403,,,,,Worldwide,,
156,36079943,06/25/2020,9494571,256880,484155,7244,4782910,169485,,,,,Worldwide,,
157,36691575,06/26/2020,9641472,146901,489990,5835,4865562,82652,,,,,Worldwide,,
158,37296710,06/27/2020,9891727,250255,496075,6085,5004567,139005,,,,,Worldwide,,
159,37923244,06/28/2020,10044731,153004,499892,3817,5085018,80451,,,,,Worldwide,,
160,38540643,06/29/2020,10199798,155067,502947,3055,5169421,84403,,,,,Worldwide,,
161,39017890,06/30/2020,10368165,168367,507188,4241,5284524,115103,,,,,Worldwide,,
162,39305170,07/01/2020,10512383,144218,512331,5143,5387249,102725,,,,,Worldwide,,
163,39588896,07/02/2020,10694288,181905,516210,3879,5480394,93145,,,,,Worldwide,,
164,39883714,07/03/2020,10874146,179858,521355,5145,5767410,287016,,,,,Worldwide,,
165,40158101,07/04/2020,11169802,295656,528232,6877,6010342,242932,,,,,Worldwide,,
166,40454707,07/05/2020,11304534,134732,531659,3427,6111195,100853,,,,,Worldwide,,
167,40773091,07/06/2020,11483400,178866,535027,3368,6214206,103011,,,,,Worldwide,,
168,41187470,07/07/2020,11694766,211366,540157,5130,6349542,135336,,,,,Worldwide,,
169,41493640,07/08/2020,11910220,215454,546318,6161,6506408,156866,,,,,Worldwide,,
170,41808294,07/09/2020,12169400,259180,552104,5786,6696322,189914,,,,,Worldwide,,
171,42121192,07/10/2020,12373722,204322,556863,4759,6786196,89874,,,,,Worldwide,,
172,42422452,07/11/2020,12507849,134127,560460,3597,6890914,104718,,,,,Worldwide,,
173,42736774,07/12/2020,12726677,218828,560460,0,6890914,0,,,,,Worldwide,,
174,43030172,07/13/2020,12945505,218828,571444,10984,7001675,110761,,,,,Worldwide,,
175,43478248,07/14/2020,13203571,258066,575201,3757,7331068,329393,,,,,Worldwide,,
176,43857614,07/15/2020,13382020,178449,580038,4837,7445299,114231,,,,,Worldwide,,
177,44258322,07/16/2020,13654445,272425,586174,6136,7622505,177206,,,,,Worldwide,,
178,44599052,07/17/2020,13926476,272031,593209,7035,7796508,174003,,,,,Worldwide,,
179,44941161,07/18/2020,14126035,199559,598098,4889,7931486,134978,,,,,Worldwide,,
180,45291362,07/19/2020,14394056,268021,603697,5599,8084942,153456,,,,,Worldwide,,
181,45587461,07/20/2020,14608517,214461,608420,4723,8201516,116574,,,,,Worldwide,,
182,45911736,07/21/2020,14774887,166370,611599,3179,8340042,138526,,,,,Worldwide,,
183,46246010,07/22/2020,15008046,233159,617902,6303,8511330,171288,,,,,Worldwide,,
184,46554267,07/23/2020,15429889,421843,631680,13778,8758636,247306,,,,,Worldwide,,
185,46907010,07/24/2020,15628936,199047,636262,4582,8917141,158505,,,,,Worldwide,,
186,47233887,07/25/2020,15909757,280821,641889,5627,9164700,247559,,,,,Worldwide,,
187,47556672,07/26/2020,16117308,207551,645482,3593,9289876,125176,,,,,Worldwide,,
188,47898855,07/27/2020,16360298,242990,650918,5436,9454796,164920,,,,,Worldwide,,
189,48215961,07/28/2020,16605067,244769,657337,6419,9644387,189591,,,,,Worldwide,,
190,48551108,07/29/2020,16845602,240535,662577,5240,9836182,191795,,,,,Worldwide,,
191,48867829,07/30/2020,17109335,263733,668801,6224,10000738,164556,,,,,Worldwide,,
192,49179093,07/31/2020,17321394,212059,673822,5021,10155026,154288,,,,,Worldwide,,
193,49484044,08/01/2020,17594541,273147,679439,5617,10333166,178140,,,,,Worldwide,,
194,49805367,08/02/2020,17852451,257910,679794,355,10598327,265161,,,,,Worldwide,,
195,50117435,08/03/2020,18166298,313847,690953,11159,10768016,169689,,,,,Worldwide,,
196,50411990,08/04/2020,18445787,279489,691740,787,11036083,268067,,,,,Worldwide,,
197,50718530,08/05/2020,18635877,190090,702903,11163,11206409,170326,,,,,Worldwide,,
198,51066302,08/06/2020,18982658,346781,712266,9363,11477642,271233,,,,,Worldwide,,
199,51398145,08/07/2020,19160806,178148,716083,3817,11605114,127472,,,,,Worldwide,,
200,51709870,08/08/2020,19481330,320524,723599,7516,11801847,196733,,,,,Worldwide,,
201,52032571,08/09/2020,19734428,253098,728612,5013,12001537,199690,,,,,Worldwide,,
202,52354419,08/10/2020,19958036,223608,732889,4277,12158075,156538,,,,,Worldwide,,
203,52687114,08/11/2020,20185153,227117,738800,5911,12450681,292606,,,,,Worldwide,,
204,52986471,08/12/2020,20423897,238744,744649,5849,12631548,180867,,,,,Worldwide,,
205,53301563,08/13/2020,20624316,200419,749421,4772,12831800,200252,,,,,Worldwide,,
206,53626081,08/14/2020,21036943,412627,761926,12505,13048974,217174,,,,,Worldwide,,
207,53968267,08/15/2020,21280608,243665,767422,5496,13290879,241905,,,,,Worldwide,,
208,54300153,08/16/2020,21582345,301737,773469,6047,13590831,299952,,,,,Worldwide,,
209,54628821,08/17/2020,21739501,157156,776241,2772,13702873,112042,,,,,Worldwide,,
210,54954952,08/18/2020,21974393,234892,779562,3321,13934532,231659,,,,,Worldwide,,
211,55281106,08/19/2020,22218441,244048,782883,3321,14156538,222006,,,,,Worldwide,,
212,55596022,08/20/2020,22515213,296772,789825,6942,14381048,224510,,,,,Worldwide,,
213,55925660,08/21/2020,22803344,288131,796095,6270,14596332,215284,,,,,Worldwide,,
214,56255319,08/22/2020,22954220,150876,799350,3255,14715412,119080,,,,,Worldwide,,
215,56588811,08/23/2020,23309597,355377,806543,7193,15007062,291650,,,,,Worldwide,,
216,56903851,08/24/2020,23424844,115247,808716,2173,15150767,143705,,,,,Worldwide,,
217,57225503,08/25/2020,23694646,269802,814354,5638,15381104,230337,,,,,Worldwide,,
218,57593564,08/26/2020,24011502,316856,821909,7555,15636116,255012,,,,,Worldwide,,
219,57900498,08/27/2020,24288572,277070,828070,6161,15856795,220679,,,,,Worldwide,,
220,58210875,08/28/2020,24563380,274808,833466,5396,16051454,194659,,,,,Worldwide,,
221,58498609,08/29/2020,24776988,213608,837979,4513,16227851,176397,,,,,Worldwide,,
222,58804438,08/30/2020,25051178,274190,843586,5607,16451018,223167,,,,,Worldwide,,
223,59067883,08/31/2020,25334339,283161,848084,4498,16669974,218956,,,,,Worldwide,,
224,59351710,09/01/2020,25584820,250481,848084,0,16669974,0,,,,,Worldwide,,
225,59653305,09/02/2020,25835301,250481,858661,10577,17122192,452218,,,,,Worldwide,,
226,60004390,09/03/2020,26140922,305621,865467,6806,17387319,265127,,,,,Worldwide,,
227,60346226,09/04/2020,26437886,296964,871205,5738,17573533,186214,,,,,Worldwide,,
228,60680617,09/05/2020,26622706,184820,874708,3503,17717911,144378,,,,,Worldwide,,
229,60999090,09/06/2020,26961795,339089,880955,6247,18021000,303089,,,,,Worldwide,,
230,61310529,09/07/2020,27235839,274044,890687,9732,18191761,170761,,,,,Worldwide,,
231,61589964,09/08/2020,27437294,201455,894430,3743,18415364,223603,,,,,Worldwide,,
232,61905903,09/09/2020,27605560,168266,898269,3839,18565072,149708,,,,,Worldwide,,
233,61969075,09/10/2020,27933388,327828,905181,6912,18819388,254316,,,,,Worldwide,,
234,62328780,09/11/2020,28268970,335582,911282,6101,19048042,228654,,,,,Worldwide,,
235,62720553,09/12/2020,28606726,337756,917417,6135,19288985,240943,,,,,Worldwide,,
236,63087717,09/13/2020,28855994,249268,921698,4281,19511976,222991,,,,,Worldwide,,
237,63414798,09/14/2020,29145068,289074,925947,4249,19681709,169733,,,,,Worldwide,,
238,63739017,09/15/2020,29408424,263356,931167,5220,19951166,269457,,,,,Worldwide,,
239,64101931,09/16/2020,29730140,321716,938575,7408,20202899,251733,,,,,Worldwide,,
240,64435934,09/17/2020,30003378,273238,943203,4628,20398381,195482,,,,,Worldwide,,
241,64835287,09/18/2020,30290791,287413,947919,4716,20623028,224647,,,,,Worldwide,,
242,65233756,09/19/2020,30588989,298198,953482,5563,20832830,209802,,,,,Worldwide,,
243,65637628,09/20/2020,30859069,270080,958314,4832,21099095,266265,,,,,Worldwide,,
244,66018801,09/21/2020,31181782,322713,962266,3952,21300501,201406,,,,,Worldwide,,
245,66383549,09/22/2020,31453048,271266,967347,5081,21583667,283166,,,,,Worldwide,,
246,66792413,09/23/2020,31759233,306185,973904,6557,21811742,228075,,,,,Worldwide,,
247,67185093,09/24/2020,32068225,308992,979862,5958,22059084,247342,,,,,Worldwide,,
248,67581831,09/25/2020,32397479,329254,985748,5886,22313269,254185,,,,,Worldwide,,
249,67965654,09/26/2020,32636842,239363,990134,4386,22525177,211908,,,,,Worldwide,,
250,68265390,09/27/2020,32949407,312565,995658,5524,22787799,262622,,,,,Worldwide,,
251,68655368,09/28/2020,33156812,207405,998696,3038,22961436,173637,,,,,Worldwide,,
252,69018938,09/29/2020,33489205,332393,1004278,5582,23243613,282177,,,,,Worldwide,,
253,69430834,09/30/2020,33785178,295973,1010147,5869,23448934,205321,,,,,Worldwide,,
254,69833168,10/01/2020,34136078,350900,1016970,6823,23711591,262657,,,,,Worldwide,,
255,70240693,10/02/2020,34450697,314619,1025354,8384,23914523,202932,,,,,Worldwide,,
256,70639798,10/03/2020,34768408,317711,1030880,5526,24145097,230574,,,,,Worldwide,,
257,71036840,10/04/2020,35011322,242914,1034865,3985,24364562,219465,,,,,Worldwide,,
258,71424980,10/05/2020,35339125,327803,1039120,4255,24571309,206747,,,,,Worldwide,,
259,71835886,10/06/2020,35654271,315146,1046809,7689,24834996,263687,,,,,Worldwide,,
260,72233477,10/07/2020,36026644,372373,1053357,6548,25117417,282421,,,,,Worldwide,,
261,72634866,10/08/2020,36372696,346052,1059616,6259,25334019,216602,,,,,Worldwide,,
262,73037963,10/09/2020,36706213,333517,1064420,4804,25510557,176538,,,,,Worldwide,,
263,73438171,10/10/2020,37019381,313168,1069953,5533,25711805,201248,,,,,Worldwide,,
264,73848747,10/11/2020,37267921,248540,1073780,3827,25923754,211949,,,,,Worldwide,,
265,74235060,10/12/2020,37706961,439040,1078068,4288,26172754,249000,,,,,Worldwide,,
266,74590666,10/13/2020,38006121,299160,1083875,5807,26354211,181457,,,,,Worldwide,,
267,74935625,10/14/2020,38351539,345418,1089186,5311,26540006,185795,,,,,Worldwide,,
268,75293212,10/15/2020,38756289,404750,1095216,6030,26753000,212994,,,,,Worldwide,,
269,75627026,10/16/2020,39126112,369823,1101007,5791,26956913,203913,,,,,Worldwide,,
270,75998990,10/17/2020,39502909,376797,1106705,5698,27147928,191015,,,,,Worldwide,,
271,76372960,10/18/2020,39803562,300653,1111714,5009,27353713,205785,,,,,Worldwide,,
272,76673954,10/19/2020,40272089,468527,1116167,4453,27558672,204959,,,,,Worldwide,,
273,77027677,10/20/2020,40652097,380008,1122036,5869,2782160,-24776512,,,,,Worldwide,,
274,77035667,10/21/2020,41329137,677040,1122036,0,2782160,0,,,,,Worldwide,,
275,78103542,10/23/2020,42006178,677041,1140759,18723,28423572,25641412,,,,,Worldwide,,
276,78447994,10/24/2020,42439400,433222,1147192,6433,28630738,207166,,,,,Worldwide,,
277,78767475,10/25/2020,42886132,446732,1152314,5122,28853536,222798,,,,,Worldwide,,
278,79067501,10/26/2020,43385581,499449,1157714,5400,29098191,244655,,,,,Worldwide,,
279,79418772,10/27/2020,43841084,455503,1164755,7041,29300099,201908,,,,,Worldwide,,
280,79732082,10/28/2020,44311674,470590,1171286,6531,29889942,589843,,,,,Worldwide,,
281,80126171,10/29/2020,44859998,548324,1178410,7124,30141437,251495,,,,,Worldwide,,
282,80470050,10/30/2020,45271624,411626,1183861,5451,30380635,239198,,,,,Worldwide,,
283,80810634,10/31/2020,45916151,644527,1193070,9209,29837092,-543543,,,,,Worldwide,,
284,81089996,11/01/2020,46386903,470752,1198942,5872,30944606,1107514,,,,,Worldwide,,
285,81390785,11/02/2020,46849292,462389,1204202,5260,31182478,237872,,,,,Worldwide,,
286,81710350,11/03/2020,47260377,411085,1211102,6900,31454401,271923,,,,,Worldwide,,
287,82042268,11/04/2020,47742312,481935,1219947,8845,31733172,278771,,,,,Worldwide,,
288,82376288,11/05/2020,48261898,519586,1227666,7719,32009347,276175,,,,,Worldwide,,
289,82703691,11/06/2020,49114225,852327,1239757,12091,32341811,332464,,,,,Worldwide,,
290,83015973,11/07/2020,49688351,574126,1248150,8393,32633711,291900,,,,,Worldwide,,
291,83326535,11/08/2020,50111147,422796,1253707,5557,32892365,258654,,,,,Worldwide,,
292,83586128,11/09/2020,50752354,641207,1261306,7599,33150116,257751,,,,,Worldwide,,
293,83908320,11/10/2020,51292597,540243,1269199,7893,33400848,250732,,,,,Worldwide,,
294,84249738,11/11/2020,51975458,682861,1281309,12110,33785432,384584,,,,,Worldwide,,
295,84537497,11/12/2020,52331462,356004,1287966,6657,34043712,258280,,,,,Worldwide,,
296,84838420,11/13/2020,53211792,880330,1300076,12110,34296757,253045,,,,,Worldwide,,
297,85176078,11/14/2020,53788566,576774,1308725,8649,34660180,363423,,,,,Worldwide,,
298,85510162,11/15/2020,54184358,395792,1314904,6179,34830992,170812,,,,,Worldwide,,
299,85789187,11/16/2020,54814867,630509,1322963,8059,35127472,296480,,,,,Worldwide,,
300,86107443,11/17/2020,55333374,518507,1332390,9427,35613120,485648,,,,,Worldwide,,
301,86374459,11/18/2020,56024130,690756,1345639,13249,35969240,356120,,,,,Worldwide,,
302,86750273,11/19/2020,56435244,411114,1352775,7136,36291080,321840,,,,,Worldwide,,
303,87043979,11/20/2020,57427358,992114,1369767,16992,36731430,440350,,,,,Worldwide,,
304,87347666,11/21/2020,57974667,547309,1378411,8644,37073704,342274,,,,,Worldwide,,
305,87637870,11/22/2020,58521493,546826,1386051,7640,37402009,328305,,,,,Worldwide,,
306,87914118,11/23/2020,59070488,548995,1394694,8643,37691380,289371,,,,,Worldwide,,
307,88189431,11/24/2020,59597658,527170,1405788,11094,38097904,406524,,,,,Worldwide,,
308,88445389,11/25/2020,60234023,636365,1418224,12436,38470416,372512,,,,,Worldwide,,
309,88722402,11/26/2020,60818781,584758,1428951,10727,38926641,456225,,,,,Worldwide,,
310,89021724,11/27/2020,61501092,682311,1440506,11555,39275505,348864,,,,,Worldwide,,
311,89282404,11/28/2020,62084566,583474,1449642,9136,39665623,390118,,,,,Worldwide,,
312,89531653,11/29/2020,62616821,532255,1457859,8217,40016926,351303,,,,,Worldwide,,
313,89786198,11/30/2020,63118430,501609,1465492,7633,40344258,327332,,,,,Worldwide,,
314,90059923,12/01/2020,63650135,531705,1476396,10904,40812450,468192,,,,,Worldwide,,
315,90294014,12/02/2020,64293447,643312,1488321,11925,41258010,445560,,,,,Worldwide,,
316,90664746,12/03/2020,65016336,722889,1502728,14407,41731105,473095,,,,,Worldwide,,
317,91015664,12/04/2020,65686172,669836,1514549,11821,42156580,425475,,,,,Worldwide,,
