Date_of_report;Municipality_code;Municipality_name;Province;Total_reported;Hospital_admission;Deceased
1-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
2-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
3-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
4-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
5-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
6-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
7-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
8-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
9-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
10-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
11-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
12-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
13-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
14-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
15-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
16-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
17-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
18-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
19-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
20-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
21-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
22-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
23-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
24-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
25-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
26-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
27-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
28-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
29-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
30-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
31-5-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
1-5-2020 10:00;GM0010;Delfzijl;Groningen;16;5;0
2-5-2020 10:00;GM0010;Delfzijl;Groningen;16;5;0
3-5-2020 10:00;GM0010;Delfzijl;Groningen;16;5;0
4-5-2020 10:00;GM0010;Delfzijl;Groningen;16;5;0
5-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
6-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
7-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
8-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
9-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
10-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
11-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
12-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
13-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
14-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
15-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
16-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
17-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
18-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
19-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
20-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
21-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
22-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
23-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
24-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
25-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
26-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
27-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
28-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
29-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
30-5-2020 10:00;GM0010;Delfzijl;Groningen;17;6;0
31-5-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
1-5-2020 10:00;GM0014;Groningen;Groningen;159;18;3
2-5-2020 10:00;GM0014;Groningen;Groningen;159;18;3
3-5-2020 10:00;GM0014;Groningen;Groningen;159;18;3
4-5-2020 10:00;GM0014;Groningen;Groningen;160;18;3
5-5-2020 10:00;GM0014;Groningen;Groningen;161;18;3
6-5-2020 10:00;GM0014;Groningen;Groningen;162;18;3
7-5-2020 10:00;GM0014;Groningen;Groningen;162;18;3
8-5-2020 10:00;GM0014;Groningen;Groningen;162;18;3
9-5-2020 10:00;GM0014;Groningen;Groningen;162;18;3
10-5-2020 10:00;GM0014;Groningen;Groningen;163;18;3
11-5-2020 10:00;GM0014;Groningen;Groningen;164;18;3
12-5-2020 10:00;GM0014;Groningen;Groningen;164;18;3
13-5-2020 10:00;GM0014;Groningen;Groningen;164;18;3
14-5-2020 10:00;GM0014;Groningen;Groningen;164;18;3
15-5-2020 10:00;GM0014;Groningen;Groningen;164;18;3
16-5-2020 10:00;GM0014;Groningen;Groningen;164;18;3
17-5-2020 10:00;GM0014;Groningen;Groningen;164;18;3
18-5-2020 10:00;GM0014;Groningen;Groningen;164;18;3
19-5-2020 10:00;GM0014;Groningen;Groningen;164;18;3
20-5-2020 10:00;GM0014;Groningen;Groningen;164;18;3
21-5-2020 10:00;GM0014;Groningen;Groningen;165;18;3
22-5-2020 10:00;GM0014;Groningen;Groningen;165;18;3
23-5-2020 10:00;GM0014;Groningen;Groningen;165;18;3
24-5-2020 10:00;GM0014;Groningen;Groningen;165;18;3
25-5-2020 10:00;GM0014;Groningen;Groningen;165;18;3
26-5-2020 10:00;GM0014;Groningen;Groningen;165;18;3
27-5-2020 10:00;GM0014;Groningen;Groningen;165;18;3
28-5-2020 10:00;GM0014;Groningen;Groningen;165;18;3
29-5-2020 10:00;GM0014;Groningen;Groningen;165;18;3
30-5-2020 10:00;GM0014;Groningen;Groningen;166;18;3
31-5-2020 10:00;GM0014;Groningen;Groningen;166;18;3
1-5-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
2-5-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
3-5-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
4-5-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
