Updated;Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
10-3-2020;Aa en Hunze;0;0;0;0;0;0
25-3-2020;Aa en Hunze;1;3,9;1;3,9;0;0
7-4-2020;Aa en Hunze;6;23,6;0;0;0;0
21-4-2020;Aa en Hunze;6;23,6;0;0;0;0
5-5-2020;Aa en Hunze;1;3,9;0;0;0;0
19-5-2020;Aa en Hunze;0;0;0;0;0;0
2-6-2020;Aa en Hunze;0;0;0;0;0;0
16-6-2020;Aa en Hunze;0;0;0;0;0;0
30-6-2020;Aa en Hunze;0;0;0;0;0;0
14-7-2020;Aa en Hunze;0;0;0;0;0;0
28-7-2020;Aa en Hunze;0;0;0;0;0;0
11-8-2020;Aa en Hunze;0;0;0;0;0;0
10-3-2020;Aalsmeer;3;9,4;0;0;0;0
25-3-2020;Aalsmeer;9;28,2;2;6,3;0;0
7-4-2020;Aalsmeer;12;37,7;5;15,7;2;6,3
21-4-2020;Aalsmeer;11;34,5;2;6,3;0;0
5-5-2020;Aalsmeer;2;6,3;0;0;0;0
19-5-2020;Aalsmeer;1;3,1;0;0;1;3,1
2-6-2020;Aalsmeer;1;3,1;0;0;1;3,1
16-6-2020;Aalsmeer;1;3,1;0;0;0;0
30-6-2020;Aalsmeer;2;6,3;0;0;0;0
14-7-2020;Aalsmeer;0;0;0;0;0;0
28-7-2020;Aalsmeer;1;3,1;0;0;0;0
11-8-2020;Aalsmeer;7;22;0;0;0;0
10-3-2020;Aalten;0;0;0;0;0;0
25-3-2020;Aalten;2;7,4;0;0;0;0
7-4-2020;Aalten;15;55,3;5;18,4;3;11,1
21-4-2020;Aalten;31;114,3;3;11,1;0;0
5-5-2020;Aalten;6;22,1;0;0;3;11,1
19-5-2020;Aalten;1;3,7;1;3,7;1;3,7
2-6-2020;Aalten;3;11,1;0;0;0;0
16-6-2020;Aalten;2;7,4;0;0;0;0
30-6-2020;Aalten;0;0;0;0;0;0
14-7-2020;Aalten;0;0;0;0;0;0
28-7-2020;Aalten;0;0;0;0;0;0
11-8-2020;Aalten;1;3,7;0;0;0;0
10-3-2020;Achtkarspelen;0;0;0;0;0;0
25-3-2020;Achtkarspelen;1;3,6;0;0;0;0
7-4-2020;Achtkarspelen;4;14,4;0;0;0;0
21-4-2020;Achtkarspelen;3;10,8;0;0;0;0
5-5-2020;Achtkarspelen;2;7,2;0;0;0;0
19-5-2020;Achtkarspelen;1;3,6;0;0;0;0
2-6-2020;Achtkarspelen;0;0;0;0;0;0
16-6-2020;Achtkarspelen;0;0;0;0;0;0
30-6-2020;Achtkarspelen;1;3,6;0;0;0;0
14-7-2020;Achtkarspelen;0;0;0;0;0;0
28-7-2020;Achtkarspelen;1;3,6;0;0;0;0
11-8-2020;Achtkarspelen;3;10,8;0;0;0;0
10-3-2020;Alblasserdam;0;0;1;5;0;0
25-3-2020;Alblasserdam;6;29,8;1;5;0;0
7-4-2020;Alblasserdam;8;39,7;4;19,8;0;0
21-4-2020;Alblasserdam;20;99,2;3;14,9;1;5
5-5-2020;Alblasserdam;4;19,8;0;0;2;9,9
19-5-2020;Alblasserdam;3;14,9;1;5;0;0
2-6-2020;Alblasserdam;1;5;0;0;1;5
16-6-2020;Alblasserdam;0;0;0;0;0;0
30-6-2020;Alblasserdam;0;0;0;0;0;0
14-7-2020;Alblasserdam;0;0;0;0;0;0
28-7-2020;Alblasserdam;3;14,9;0;0;0;0
11-8-2020;Alblasserdam;6;29,8;1;5;0;0
10-3-2020;Albrandswaard;1;3,9;0;0;0;0
25-3-2020;Albrandswaard;17;66,4;3;11,7;0;0
7-4-2020;Albrandswaard;25;97,7;6;23,4;3;11,7
21-4-2020;Albrandswaard;33;129;1;3,9;4;15,6
5-5-2020;Albrandswaard;11;43;2;7,8;0;0
19-5-2020;Albrandswaard;8;31,3;1;3,9;1;3,9
2-6-2020;Albrandswaard;4;15,6;0;0;0;0
16-6-2020;Albrandswaard;4;15,6;0;0;0;0
30-6-2020;Albrandswaard;0;0;0;0;0;0
14-7-2020;Albrandswaard;6;23,4;0;0;0;0
28-7-2020;Albrandswaard;10;39,1;0;0;0;0
11-8-2020;Albrandswaard;10;39,1;0;0;0;0
10-3-2020;Alkmaar;1;0,9;2;1,8;0;0
25-3-2020;Alkmaar;24;21,9;12;11;1;0,9
7-4-2020;Alkmaar;90;82,2;26;23,8;12;11
21-4-2020;Alkmaar;86;78,6;9;8,2;8;7,3
5-5-2020;Alkmaar;25;22,8;2;1,8;4;3,7
19-5-2020;Alkmaar;15;13,7;1;0,9;4;3,7
2-6-2020;Alkmaar;2;1,8;0;0;1;0,9
16-6-2020;Alkmaar;1;0,9;0;0;1;0,9
30-6-2020;Alkmaar;2;1,8;0;0;0;0
14-7-2020;Alkmaar;1;0,9;0;0;0;0
28-7-2020;Alkmaar;5;4,6;0;0;0;0
11-8-2020;Alkmaar;19;17,4;0;0;0;0
10-3-2020;Almelo;1;1,4;0;0;0;0
25-3-2020;Almelo;10;13,7;5;6,8;0;0
7-4-2020;Almelo;36;49,2;13;17,8;4;5,5
21-4-2020;Almelo;35;47,9;4;5,5;4;5,5
5-5-2020;Almelo;6;8,2;0;0;1;1,4
19-5-2020;Almelo;1;1,4;1;1,4;0;0
2-6-2020;Almelo;2;2,7;0;0;0;0
16-6-2020;Almelo;0;0;0;0;0;0
30-6-2020;Almelo;2;2,7;0;0;0;0
14-7-2020;Almelo;0;0;0;0;0;0
28-7-2020;Almelo;0;0;0;0;0;0
11-8-2020;Almelo;1;1,4;0;0;0;0
10-3-2020;Almere;1;0,5;2;0,9;0;0
25-3-2020;Almere;27;12,7;21;9,9;0;0
7-4-2020;Almere;103;48,6;64;30,2;4;1,9
21-4-2020;Almere;132;62,3;19;9;7;3,3
5-5-2020;Almere;93;43,9;10;4,7;8;3,8
19-5-2020;Almere;52;24,5;4;1,9;8;3,8
2-6-2020;Almere;17;8;1;0,5;3;1,4
16-6-2020;Almere;15;7,1;0;0;1;0,5
30-6-2020;Almere;10;4,7;0;0;0;0
14-7-2020;Almere;3;1,4;0;0;0;0
28-7-2020;Almere;12;5,7;1;0,5;0;0
11-8-2020;Almere;89;42;3;1,4;0;0
10-3-2020;Alphen aan den Rijn;2;1,8;0;0;0;0
25-3-2020;Alphen aan den Rijn;20;17,9;13;11,6;2;1,8
7-4-2020;Alphen aan den Rijn;54;48,3;31;27,7;7;6,3
21-4-2020;Alphen aan den Rijn;68;60,8;11;9,8;9;8
5-5-2020;Alphen aan den Rijn;22;19,7;2;1,8;5;4,5
19-5-2020;Alphen aan den Rijn;28;25;1;0,9;1;0,9
2-6-2020;Alphen aan den Rijn;4;3,6;1;0,9;0;0
16-6-2020;Alphen aan den Rijn;15;13,4;0;0;1;0,9
30-6-2020;Alphen aan den Rijn;5;4,5;1;0,9;0;0
14-7-2020;Alphen aan den Rijn;2;1,8;0;0;0;0
28-7-2020;Alphen aan den Rijn;14;12,5;0;0;0;0
11-8-2020;Alphen aan den Rijn;13;11,6;0;0;0;0
10-3-2020;Alphen-Chaam;0;0;0;0;0;0
25-3-2020;Alphen-Chaam;17;166,6;10;98;0;0
7-4-2020;Alphen-Chaam;22;215,6;7;68,6;4;39,2
21-4-2020;Alphen-Chaam;5;49;0;0;1;9,8
5-5-2020;Alphen-Chaam;2;19,6;0;0;0;0
19-5-2020;Alphen-Chaam;1;9,8;0;0;0;0
2-6-2020;Alphen-Chaam;0;0;0;0;0;0
16-6-2020;Alphen-Chaam;0;0;0;0;0;0
30-6-2020;Alphen-Chaam;0;0;0;0;0;0
14-7-2020;Alphen-Chaam;1;9,8;0;0;0;0
28-7-2020;Alphen-Chaam;7;68,6;0;0;0;0
11-8-2020;Alphen-Chaam;5;49;0;0;0;0
10-3-2020;Altena;5;8,9;3;5,4;0;0
25-3-2020;Altena;30;53,6;9;16,1;0;0
7-4-2020;Altena;32;57,2;14;25;4;7,1
21-4-2020;Altena;41;73,3;2;3,6;7;12,5
5-5-2020;Altena;12;21,4;1;1,8;0;0
19-5-2020;Altena;3;5,4;0;0;0;0
2-6-2020;Altena;5;8,9;1;1,8;0;0
16-6-2020;Altena;2;3,6;0;0;0;0
30-6-2020;Altena;1;1,8;0;0;0;0
14-7-2020;Altena;5;8,9;0;0;0;0
28-7-2020;Altena;4;7,1;0;0;0;0
11-8-2020;Altena;12;21,4;0;0;0;0
10-3-2020;Ameland;0;0;0;0;0;0
25-3-2020;Ameland;0;0;0;0;0;0
7-4-2020;Ameland;0;0;0;0;0;0
21-4-2020;Ameland;0;0;0;0;0;0
5-5-2020;Ameland;0;0;0;0;0;0
