Date_of_report;Municipality_code;Municipality_name;Province;Total_reported;Hospital_admission;Deceased
1-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
2-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
3-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
4-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
5-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
6-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
7-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
8-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
9-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
10-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
11-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
12-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
13-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
14-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
15-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
16-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
17-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
18-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
19-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
20-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
21-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
22-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
23-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
24-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
25-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
26-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
27-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
28-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
29-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
30-6-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
1-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
2-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
3-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
4-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
5-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
6-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
7-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
8-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
9-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
10-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
11-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
12-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
13-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
14-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
15-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
16-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
17-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
18-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
19-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
20-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
21-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
22-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
23-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
24-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
25-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
26-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
27-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
28-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
29-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
30-6-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
1-6-2020 10:00;GM0014;Groningen;Groningen;166;18;3
2-6-2020 10:00;GM0014;Groningen;Groningen;166;18;3
3-6-2020 10:00;GM0014;Groningen;Groningen;166;18;3
4-6-2020 10:00;GM0014;Groningen;Groningen;166;18;3
5-6-2020 10:00;GM0014;Groningen;Groningen;167;18;3
6-6-2020 10:00;GM0014;Groningen;Groningen;169;18;3
7-6-2020 10:00;GM0014;Groningen;Groningen;169;18;3
8-6-2020 10:00;GM0014;Groningen;Groningen;169;18;3
9-6-2020 10:00;GM0014;Groningen;Groningen;169;18;3
10-6-2020 10:00;GM0014;Groningen;Groningen;169;18;3
11-6-2020 10:00;GM0014;Groningen;Groningen;170;18;3
12-6-2020 10:00;GM0014;Groningen;Groningen;170;18;3
13-6-2020 10:00;GM0014;Groningen;Groningen;170;18;3
14-6-2020 10:00;GM0014;Groningen;Groningen;170;18;3
15-6-2020 10:00;GM0014;Groningen;Groningen;170;18;3
