"Gemeente";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage (gemeente)";152;27,8;12;2,2;29;5,3
"'s-Hertogenbosch";8;5,2;0;0;2;1,3
"Aa en Hunze";0;0;0;0;0;0
"Aalsmeer";1;3,1;0;0;1;3,1
"Aalten";1;3,7;1;3,7;1;3,7
"Achtkarspelen";1;3,6;0;0;0;0
"Alblasserdam";3;14,9;1;5;0;0
"Albrandswaard";8;31,3;1;3,9;1;3,9
"Alkmaar";15;13,7;1;0,9;4;3,7
"Almelo";1;1,4;1;1,4;0;0
"Almere";52;24,5;4;1,9;8;3,8
"Alphen aan den Rijn";28;25;1;0,9;1;0,9
"Alphen-Chaam";1;9,8;0;0;0;0
"Altena";3;5,4;0;0;0;0
"Ameland";0;0;0;0;0;0
"Amersfoort";15;9,5;2;1,3;0;0
"Amstelveen";7;7,6;0;0;0;0
"Amsterdam";199;22,8;25;2,9;35;4
"Apeldoorn";12;7,3;0;0;3;1,8
"Appingedam";0;0;0;0;0;0
"Arnhem";15;9,3;0;0;3;1,9
"Assen";0;0;0;0;0;0
"Asten";0;0;0;0;1;6
"Baarle-Nassau";2;29,2;0;0;0;0
"Baarn";2;8;0;0;0;0
"Barendrecht";7;14,4;2;4,1;1;2,1
"Barneveld";13;22;0;0;0;0
"Beek (L.)";1;6,3;0;0;0;0
"Beekdaelen";7;19,5;1;2,8;1;2,8
"Beemster";0;0;0;0;0;0
"Beesel";0;0;0;0;0;0
"Berg en Dal";5;14,3;1;2,9;1;2,9
"Bergeijk";4;21,5;1;5,4;0;0
"Bergen (L.)";1;7,6;0;0;0;0
"Bergen (NH.)";22;73,7;0;0;1;3,4
"Bergen op Zoom";31;45,9;1;1,5;1;1,5
"Berkelland";3;6,9;0;0;0;0
"Bernheze";3;9,6;0;0;1;3,2
"Best";6;20;0;0;0;0
"Beuningen";7;27;0;0;0;0
"Beverwijk";5;12;0;0;0;0
"Bladel";6;29,4;1;4,9;0;0
"Blaricum";0;0;0;0;0;0
"Bloemendaal";3;12,7;0;0;0;0
"Bodegraven-Reeuwijk";7;20,1;0;0;0;0
"Boekel";1;9,3;0;0;0;0
"Borger-Odoorn";0;0;0;0;0;0
"Borne";1;4,3;0;0;0;0
"Borsele";4;17,6;0;0;0;0
"Boxmeer";1;3,4;1;3,4;1;3,4
"Boxtel";23;74,7;0;0;6;19,5
"Breda";15;8,1;0;0;2;1,1
"Brielle";1;5,8;0;0;0;0
"Bronckhorst";2;5,5;0;0;1;2,8
"Brummen";3;14,5;1;4,8;0;0
"Brunssum";9;32,3;1;3,6;1;3,6
"Bunnik";4;26,3;0;0;0;0
"Bunschoten";2;9,1;0;0;0;0
"Buren";2;7,5;0;0;1;3,7
"Capelle aan den IJssel";20;29,8;5;7,4;2;3
"Castricum";2;5,6;1;2,8;0;0
"Coevorden";0;0;0;0;0;0
"Cranendonck";3;14,2;0;0;0;0
"Cuijk";1;4;0;0;1;4
"Culemborg";2;6,9;0;0;0;0
"Dalfsen";0;0;0;0;0;0
"Dantumadiel";0;0;0;0;0;0
"De Bilt";24;55,6;1;2,3;3;7
"De Fryske Marren";6;11,6;1;1,9;0;0
"De Ronde Venen";3;6,7;0;0;0;0
"De Wolden";0;0;0;0;1;4,1
"Delft";10;9,7;0;0;2;1,9
"Delfzijl";0;0;0;0;0;0
"Den Helder";0;0;0;0;1;1,8
"Deurne";16;49,3;1;3,1;2;6,2
"Deventer";26;25,8;1;1;3;3
"Diemen";7;22,7;0;0;0;0
"Dinkelland";0;0;0;0;0;0
"Doesburg";0;0;0;0;0;0
"Doetinchem";4;6,9;0;0;0;0
"Dongen";1;3,8;0;0;2;7,6
"Dordrecht";129;108,1;2;1,7;9;7,5
"Drechterland";0;0;0;0;0;0
"Drimmelen";3;11;0;0;0;0
"Dronten";6;14,4;0;0;0;0
"Druten";0;0;0;0;0;0
"Duiven";1;4;0;0;0;0
"Echt-Susteren";4;12,7;0;0;0;0
"Edam-Volendam";18;49,7;3;8,3;0;0
"Ede";11;9,4;1;0,9;0;0
"Eemnes";3;32,4;0;0;0;0
"Eersel";3;15,5;0;0;1;5,2
"Eijsden-Margraten";10;38,8;2;7,8;1;3,9
"Eindhoven";31;13,2;7;3;3;1,3
"Elburg";7;30,2;0;0;0;0
"Emmen";1;0,9;0;0;0;0
"Enkhuizen";0;0;0;0;0;0
"Enschede";28;17,5;0;0;4;2,5
"Epe";4;12,1;0;0;1;3
"Ermelo";6;22,2;1;3,7;7;25,9
"Etten-Leur";6;13,7;0;0;3;6,8
"Geertruidenberg";0;0;0;0;0;0
"Geldrop-Mierlo";4;10,1;0;0;0;0
"Gemert-Bakel";3;9,8;0;0;0;0
"Gennep";0;0;0;0;0;0
"Gilze en Rijen";0;0;0;0;0;0
"Goeree-Overflakkee";10;20;0;0;1;2
"Goes";0;0;0;0;1;2,6
"Goirle";3;12,6;1;4,2;0;0
"Gooise Meren";7;12,1;0;0;1;1,7
"Gorinchem";4;10,8;1;2,7;1;2,7
"Gouda";8;10,9;1;1,4;1;1,4
"Grave";3;24,1;1;8;1;8
"Groningen (gemeente)";2;0,9;0;0;0;0
"Gulpen-Wittem";1;7,1;0;0;1;7,1
"Haaksbergen";2;8,2;0;0;0;0
"Haaren";7;48,7;0;0;0;0
"Haarlem";19;11,7;0;0;3;1,8
"Haarlemmermeer";44;28,2;1;0,6;4;2,6
"Halderberge";2;6,6;0;0;0;0
"Hardenberg";2;3,3;0;0;0;0
"Harderwijk";14;28,9;0;0;2;4,1
"Hardinxveld-Giessendam";3;16,4;1;5,5;0;0
"Harlingen";1;6,4;0;0;0;0
"Hattem";0;0;0;0;0;0
"Heemskerk";3;7,7;2;5,1;1;2,6
"Heemstede";0;0;0;0;1;3,7
"Heerde";7;37,7;2;10,8;0;0
"Heerenveen";2;4;0;0;0;0
"Heerhugowaard";3;5,2;0;0;0;0
"Heerlen";20;23;5;5,7;1;1,1
"Heeze-Leende";3;18,6;0;0;0;0
"Heiloo";3;12,5;0;0;0;0
"Hellendoorn";4;11,1;0;0;0;0
"Hellevoetsluis";4;10;0;0;0;0
"Helmond";21;22,7;3;3,2;0;0
"Hendrik-Ido-Ambacht";13;41,7;1;3,2;2;6,4
"Hengelo (O.)";6;7,4;0;0;0;0
"Het Hogeland";1;2,1;0;0;1;2,1
"Heumen";3;18,2;0;0;1;6,1
"Heusden";1;2,2;0;0;2;4,5
"Hillegom";3;13,5;1;4,5;0;0
"Hilvarenbeek";3;19,3;0;0;1;6,4
"Hilversum";17;18,7;0;0;3;3,3
"Hoeksche Waard";16;18,3;0;0;1;1,1
"Hof van Twente";1;2,9;0;0;0;0
"Hollands Kroon";2;4,1;0;0;0;0
"Hoogeveen";4;7,2;0;0;0;0
"Hoorn";0;0;0;0;0;0
"Horst aan de Maas";1;2,4;0;0;1;2,4
"Houten";5;10;0;0;1;2
"Huizen";8;19,4;1;2,4;2;4,8
"Hulst";0;0;0;0;0;0
"IJsselstein";5;14,7;0;0;1;2,9
"Kaag en Braassem";1;3,7;0;0;0;0
"Kampen";10;18,4;0;0;0;0
"Kapelle";1;7,9;0;0;0;0
"Katwijk";11;16,7;0;0;1;1,5
"Kerkrade";12;26,2;1;2,2;4;8,7
"Koggenland";0;0;0;0;0;0
"Krimpen aan den IJssel";5;16,9;0;0;0;0
"Krimpenerwaard";17;30,2;0;0;5;8,9
"Laarbeek";8;35,5;0;0;1;4,4
"Landerd";2;12,7;0;0;0;0
"Landgraaf";4;10,7;0;0;1;2,7
"Landsmeer";1;8,7;0;0;0;0
"Langedijk";2;7,1;0;0;0;0
"Lansingerland";8;12,8;0;0;2;3,2
"Laren (NH.)";1;8,9;0;0;0;0
"Leeuwarden";4;3,2;0;0;0;0
"Leiden";17;13,6;0;0;2;1,6
"Leiderdorp";2;7,4;0;0;0;0
"Leidschendam-Voorburg";16;20,9;1;1,3;2;2,6
"Lelystad";10;12,7;1;1,3;5;6,4
"Leudal";4;11,1;0;0;2;5,6
"Leusden";2;6,6;0;0;1;3,3
"Lingewaard";5;10,7;0;0;1;2,1
"Lisse";3;13,1;1;4,4;0;0
"Lochem";5;14,8;1;3;1;3
"Loon op Zand";2;8,5;0;0;0;0
"Lopik";1;6,9;0;0;1;6,9
"Loppersum";0;0;0;0;0;0
"Losser";0;0;0;0;0;0
"Maasdriel";4;16;0;0;0;0
"Maasgouw";4;16,7;0;0;2;8,3
"Maassluis";8;24,1;2;6;0;0
"Maastricht";121;99,5;7;5,8;16;13,2
"Medemblik";0;0;0;0;0;0
"Meerssen";9;47,8;1;5,3;1;5,3
"Meierijstad";14;17,2;1;1,2;6;7,4
"Meppel";3;8,8;0;0;0;0
"Middelburg (Z.)";4;8,2;0;0;1;2
"Midden-Delfland";2;10,3;0;0;0;0
"Midden-Drenthe";2;6;0;0;0;0
"Midden-Groningen";1;1,6;0;0;0;0
"Mill en Sint Hubert";0;0;0;0;0;0
"Moerdijk";6;16,2;0;0;0;0
"Molenlanden";4;9,1;0;0;0;0
"Montferland";2;5,6;0;0;1;2,8
"Montfoort";3;21,6;0;0;0;0
"Mook en Middelaar";0;0;0;0;0;0
"Neder-Betuwe";6;24,7;2;8,2;0;0
"Nederweert";0;0;0;0;0;0
"Nieuwegein";17;26,8;2;3,2;1;1,6
"Nieuwkoop";2;6,9;0;0;0;0
"Nijkerk";2;4,6;0;0;0;0
"Nijmegen";46;25,9;3;1,7;8;4,5
"Nissewaard";12;14,1;2;2,3;1;1,2
"Noardeast-Frysl̢n";2;4,4;0;0;0;0
"Noord-Beveland";2;27,1;0;0;0;0
"Noordenveld";0;0;0;0;0;0
"Noordoostpolder";6;12,7;0;0;0;0
"Noordwijk";4;9,2;2;4,6;0;0
"Nuenen, Gerwen en Nederwetten";4;17,1;1;4,3;1;4,3
"Nunspeet";10;35,9;0;0;0;0
"Oegstgeest";2;8,1;0;0;0;0
"Oirschot";1;5,3;0;0;0;0
"Oisterwijk";6;22,9;1;3,8;2;7,6
"Oldambt";0;0;0;0;2;5,2
"Oldebroek";4;16,9;0;0;0;0
"Oldenzaal";2;6,3;0;0;0;0
"Olst-Wijhe";3;16,4;0;0;0;0
"Ommen";0;0;0;0;0;0
"Oost Gelre";3;10,1;2;6,8;0;0
