"Gemeente";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage (gemeente)";356;65,2;145;26,6;43;7,9
"'s-Hertogenbosch";148;95,4;45;29;32;20,6
"Aa en Hunze";6;23,6;0;0;0;0
"Aalsmeer";12;37,7;5;15,7;2;6,3
"Aalten";15;55,3;5;18,4;3;11,1
"Achtkarspelen";4;14,4;0;0;0;0
"Alblasserdam";8;39,7;4;19,8;0;0
"Albrandswaard";25;97,7;6;23,4;3;11,7
"Alkmaar";90;82,2;26;23,8;12;11
"Almelo";36;49,2;13;17,8;4;5,5
"Almere";103;48,6;64;30,2;4;1,9
"Alphen aan den Rijn";54;48,3;31;27,7;7;6,3
"Alphen-Chaam";22;215,6;7;68,6;4;39,2
"Altena";32;57,2;14;25;4;7,1
"Ameland";0;0;0;0;0;0
"Amersfoort";54;34,3;29;18,4;9;5,7
"Amstelveen";112;122,2;31;33,8;19;20,7
"Amsterdam";606;69,4;256;29,3;66;7,6
"Apeldoorn";104;63,5;38;23,2;13;7,9
"Appingedam";2;17,2;2;17,2;0;0
"Arnhem";83;51,4;34;21,1;7;4,3
"Assen";20;29,2;8;11,7;2;2,9
"Asten";23;137,6;9;53,8;2;12
"Baarle-Nassau";11;160,4;5;72,9;0;0
"Baarn";16;64,3;7;28,1;0;0
"Barendrecht";41;84,2;18;37;2;4,1
"Barneveld";41;69,4;9;15,2;0;0
"Beek (L.)";9;56,7;5;31,5;2;12,6
"Beekdaelen";33;91,8;15;41,7;6;16,7
"Beemster";5;49,9;3;29,9;0;0
"Beesel";15;111,3;10;74,2;6;44,5
"Berg en Dal";52;148,6;17;48,6;10;28,6
"Bergeijk";17;91,2;8;42,9;3;16,1
"Bergen (L.)";7;53,5;5;38,2;1;7,6
"Bergen (NH.)";25;83,8;8;26,8;1;3,4
"Bergen op Zoom";25;37;7;10,4;2;3
"Berkelland";12;27,4;6;13,7;0;0
"Bernheze";89;284,9;26;83,2;25;80
"Best";23;76,7;11;36,7;3;10
"Beuningen";21;81,1;14;54,1;3;11,6
"Beverwijk";35;84,1;5;12;3;7,2
"Bladel";19;93,2;8;39,2;4;19,6
"Blaricum";5;43,3;3;26;2;17,3
"Bloemendaal";18;76,4;3;12,7;2;8,5
"Bodegraven-Reeuwijk";14;40,1;4;11,5;1;2,9
"Boekel";26;241,1;8;74,2;10;92,7
"Borger-Odoorn";4;15,7;2;7,8;2;7,8
"Borne";24;103;6;25,7;4;17,2
"Borsele";8;35,2;1;4,4;0;0
"Boxmeer";42;143;9;30,6;6;20,4
"Boxtel";18;58,4;6;19,5;5;16,2
"Breda";142;77,1;36;19,6;25;13,6
"Brielle";19;110;9;52,1;0;0
"Bronckhorst";11;30,5;4;11,1;3;8,3
"Brummen";10;48,2;7;33,8;1;4,8
"Brunssum";28;100,6;14;50,3;6;21,6
"Bunnik";10;65,8;4;26,3;1;6,6
"Bunschoten";17;77,7;6;27,4;0;0
"Buren";12;44,9;4;15;1;3,7
"Capelle aan den IJssel";97;144,5;15;22,3;21;31,3
"Castricum";35;97,3;8;22,2;6;16,7
"Coevorden";19;53,8;6;17;1;2,8
"Cranendonck";65;307,5;32;151,4;12;56,8
"Cuijk";23;91,5;5;19,9;5;19,9
"Culemborg";27;93,2;12;41,4;6;20,7
"Dalfsen";25;87,5;8;28;3;10,5
"Dantumadiel";5;26,4;2;10,6;0;0
"De Bilt";32;74,2;11;25,5;3;7
"De Fryske Marren";23;44,6;6;11,6;5;9,7
"De Ronde Venen";37;83,2;17;38,2;2;4,5
"De Wolden";16;65,8;6;24,7;1;4,1
"Delft";41;39,6;19;18,3;3;2,9
"Delfzijl";10;40,5;5;20,3;0;0
"Den Helder";17;30,2;6;10,7;0;0
"Deurne";57;175,5;18;55,4;7;21,6
"Deventer";63;62,6;23;22,8;16;15,9
"Diemen";21;68,2;4;13;2;6,5
"Dinkelland";31;117,2;11;41,6;5;18,9
"Doesburg";5;45,1;2;18,1;2;18,1
"Doetinchem";33;56,9;11;19;4;6,9
"Dongen";35;133,5;10;38,1;8;30,5
