"Gemeente";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage (gemeente)";165;30,2;20;3,7;16;2,9
"'s-Hertogenbosch";15;9,7;0;0;0;0
"Aa en Hunze";0;0;0;0;0;0
"Aalsmeer";1;3,1;0;0;1;3,1
"Aalten";3;11,1;0;0;0;0
"Achtkarspelen";0;0;0;0;0;0
"Alblasserdam";1;5;0;0;1;5
"Albrandswaard";4;15,6;0;0;0;0
"Alkmaar";2;1,8;0;0;1;0,9
"Almelo";2;2,7;0;0;0;0
"Almere";17;8;1;0,5;3;1,4
"Alphen aan den Rijn";4;3,6;1;0,9;0;0
"Alphen-Chaam";0;0;0;0;0;0
"Altena";5;8,9;1;1,8;0;0
"Ameland";0;0;0;0;0;0
"Amersfoort";7;4,5;0;0;0;0
"Amstelveen";4;4,4;1;1,1;0;0
"Amsterdam";94;10,8;6;0,7;19;2,2
"Apeldoorn";26;15,9;1;0,6;0;0
"Appingedam";0;0;0;0;0;0
"Arnhem";60;37,2;1;0,6;2;1,2
"Assen";0;0;0;0;0;0
"Asten";1;6;0;0;0;0
"Baarle-Nassau";0;0;0;0;0;0
"Baarn";2;8;0;0;0;0
"Barendrecht";6;12,3;0;0;0;0
"Barneveld";5;8,5;0;0;0;0
"Beek (L.)";1;6,3;0;0;0;0
"Beekdaelen";8;22,3;2;5,6;0;0
"Beemster";4;39,9;0;0;0;0
"Beesel";0;0;0;0;0;0
"Berg en Dal";11;31,4;0;0;0;0
"Bergeijk";0;0;0;0;0;0
"Bergen (L.)";0;0;0;0;0;0
"Bergen (NH.)";12;40,2;0;0;0;0
"Bergen op Zoom";22;32,6;0;0;2;3
"Berkelland";15;34,3;0;0;0;0
"Bernheze";8;25,6;0;0;1;3,2
"Best";4;13,3;0;0;0;0
"Beuningen";4;15,4;0;0;0;0
"Beverwijk";3;7,2;0;0;0;0
"Bladel";3;14,7;0;0;0;0
"Blaricum";2;17,3;0;0;0;0
"Bloemendaal";0;0;0;0;0;0
"Bodegraven-Reeuwijk";2;5,7;0;0;0;0
"Boekel";0;0;0;0;0;0
"Borger-Odoorn";0;0;0;0;0;0
"Borne";0;0;0;0;0;0
"Borsele";1;4,4;0;0;0;0
"Boxmeer";5;17;0;0;0;0
"Boxtel";18;58,4;0;0;6;19,5
"Breda";8;4,3;1;0,5;1;0,5
"Brielle";0;0;0;0;0;0
"Bronckhorst";2;5,5;0;0;0;0
"Brummen";0;0;0;0;0;0
"Brunssum";7;25,2;2;7,2;3;10,8
"Bunnik";2;13,2;0;0;0;0
"Bunschoten";2;9,1;0;0;0;0
"Buren";8;29,9;0;0;0;0
"Capelle aan den IJssel";11;16,4;1;1,5;1;1,5
"Castricum";4;11,1;0;0;0;0
"Coevorden";1;2,8;0;0;0;0
"Cranendonck";0;0;0;0;0;0
"Cuijk";0;0;0;0;0;0
"Culemborg";8;27,6;0;0;0;0
"Dalfsen";0;0;0;0;0;0
"Dantumadiel";0;0;0;0;0;0
"De Bilt";17;39,4;1;2,3;3;7
"De Fryske Marren";5;9,7;0;0;0;0
"De Ronde Venen";9;20,2;0;0;1;2,2
"De Wolden";2;8,2;0;0;0;0
"Delft";1;1;0;0;0;0
"Delfzijl";1;4,1;0;0;0;0
"Den Helder";0;0;0;0;0;0
"Deurne";15;46,2;0;0;0;0
"Deventer";13;12,9;0;0;0;0
"Diemen";3;9,7;0;0;0;0
"Dinkelland";0;0;1;3,8;0;0
"Doesburg";0;0;0;0;0;0
"Doetinchem";4;6,9;0;0;0;0
"Dongen";5;19,1;0;0;0;0
"Dordrecht";86;72,1;1;0,8;19;15,9
"Drechterland";1;5,1;1;5,1;0;0
"Drimmelen";1;3,7;0;0;0;0
"Dronten";6;14,4;0;0;0;0
"Druten";3;15,9;1;5,3;0;0
"Duiven";3;11,9;0;0;0;0
"Echt-Susteren";4;12,7;0;0;1;3,2
"Edam-Volendam";22;60,8;0;0;0;0
"Ede";9;7,7;0;0;0;0
"Eemnes";0;0;0;0;0;0
"Eersel";4;20,7;0;0;0;0
"Eijsden-Margraten";6;23,3;0;0;0;0
"Eindhoven";23;9,8;2;0,9;2;0,9
"Elburg";16;69,1;0;0;0;0
"Emmen";1;0,9;0;0;0;0
"Enkhuizen";0;0;0;0;0;0
"Enschede";13;8,1;0;0;2;1,3
"Epe";1;3;0;0;0;0
"Ermelo";9;33,3;1;3,7;1;3,7
"Etten-Leur";15;34,2;0;0;0;0
"Geertruidenberg";1;4,6;0;0;0;0
"Geldrop-Mierlo";2;5;0;0;0;0
"Gemert-Bakel";9;29,3;0;0;1;3,3
"Gennep";0;0;0;0;0;0
"Gilze en Rijen";2;7,6;0;0;0;0
"Goeree-Overflakkee";4;8;0;0;0;0
"Goes";2;5,3;0;0;0;0
"Goirle";4;16,7;0;0;0;0
"Gooise Meren";2;3,4;0;0;0;0
"Gorinchem";3;8,1;0;0;0;0
"Gouda";9;12,3;1;1,4;1;1,4
"Grave";1;8;0;0;0;0
"Groningen (gemeente)";1;0,4;0;0;0;0
"Gulpen-Wittem";2;14,1;0;0;0;0
"Haaksbergen";1;4,1;0;0;0;0
"Haaren";3;20,9;0;0;1;7
"Haarlem";6;3,7;0;0;5;3,1
"Haarlemmermeer";6;3,8;0;0;0;0
"Halderberge";2;6,6;1;3,3;0;0
"Hardenberg";0;0;0;0;0;0
"Harderwijk";20;41,3;2;4,1;1;2,1
"Hardinxveld-Giessendam";1;5,5;0;0;0;0
"Harlingen";0;0;0;0;0;0
"Hattem";0;0;0;0;0;0
"Heemskerk";2;5,1;0;0;0;0
"Heemstede";0;0;0;0;0;0
"Heerde";0;0;0;0;0;0
"Heerenveen";2;4;0;0;1;2
"Heerhugowaard";1;1,7;0;0;1;1,7
"Heerlen";12;13,8;1;1,1;3;3,4
"Heeze-Leende";1;6,2;1;6,2;0;0
"Heiloo";0;0;0;0;0;0
"Hellendoorn";1;2,8;0;0;0;0
"Hellevoetsluis";2;5;0;0;1;2,5
"Helmond";27;29,2;1;1,1;1;1,1
"Hendrik-Ido-Ambacht";13;41,7;2;6,4;0;0
"Hengelo (O.)";2;2,5;0;0;0;0
"Het Hogeland";0;0;0;0;0;0
"Heumen";0;0;0;0;0;0
"Heusden";2;4,5;0;0;0;0
"Hillegom";0;0;0;0;0;0
"Hilvarenbeek";2;12,9;0;0;0;0
"Hilversum";5;5,5;2;2,2;0;0
"Hoeksche Waard";16;18,3;0;0;0;0
"Hof van Twente";1;2,9;0;0;0;0
"Hollands Kroon";0;0;0;0;0;0
"Hoogeveen";3;5,4;0;0;0;0
"Hoorn";0;0;0;0;0;0
"Horst aan de Maas";0;0;0;0;0;0
"Houten";11;21,9;0;0;1;2
"Huizen";3;7,3;1;2,4;0;0
"Hulst";2;7,3;0;0;0;0
"IJsselstein";13;38,1;0;0;0;0
"Kaag en Braassem";1;3,7;0;0;0;0
"Kampen";9;16,6;0;0;0;0
"Kapelle";1;7,9;0;0;0;0
"Katwijk";14;21,3;0;0;1;1,5
"Kerkrade";6;13,1;1;2,2;1;2,2
"Koggenland";1;4,4;0;0;0;0
