Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
Kaag en Braassem;2;7,3;0;0;0;0
Kampen;3;5,5;0;0;0;0
Kapelle;1;7,9;0;0;0;0
Katwijk;8;12,2;0;0;0;0
Kerkrade;2;4,4;0;0;0;0
Koggenland;3;13,2;0;0;0;0
Krimpen aan den IJssel;13;44;1;3,4;0;0
Krimpenerwaard;15;26,6;0;0;0;0
Laarbeek;0;0;0;0;0;0
Landerd;2;12,7;0;0;0;0
Landgraaf;1;2,7;0;0;0;0
Landsmeer;3;26,1;0;0;0;0
Langedijk;2;7,1;0;0;0;0
Lansingerland;35;56,1;0;0;0;0
Laren (NH.);6;53,2;0;0;0;0
Leeuwarden;4;3,2;0;0;0;0
Leiden;46;36,8;0;0;0;0
Leiderdorp;6;22,2;0;0;0;0
Leidschendam-Voorburg;20;26,1;0;0;0;0
Lelystad;12;15,3;1;1,3;0;0
Leudal;2;5,6;0;0;0;0
Leusden;7;23;0;0;0;0
Lingewaard;3;6,4;0;0;0;0
Lisse;3;13,1;0;0;0;0
Lochem;2;5,9;0;0;0;0
Loon op Zand;5;21,4;1;4,3;0;0
Lopik;4;27,6;0;0;0;0
Loppersum;0;0;0;0;0;0
Losser;1;4,4;0;0;0;0
Maasdriel;0;0;0;0;0;0
Maasgouw;0;0;0;0;0;0
Maassluis;23;69,2;0;0;0;0
Maastricht;19;15,6;1;0,8;0;0
Medemblik;5;11,1;0;0;0;0
Meerssen;1;5,3;0;0;0;0
Meierijstad;6;7,4;0;0;0;0
Meppel;0;0;0;0;0;0
Middelburg (Z.);8;16,4;0;0;0;0
Midden-Delfland;3;15,5;0;0;0;0
Midden-Drenthe;3;9;0;0;0;0
Midden-Groningen;4;6,6;0;0;0;0
Mill en Sint Hubert;1;9,1;0;0;0;0
Moerdijk;4;10,8;0;0;0;0
Molenlanden;4;9,1;0;0;0;0
Montferland;1;2,8;0;0;0;0
Montfoort;2;14,4;0;0;0;0
Mook en Middelaar;1;12,7;0;0;0;0
Neder-Betuwe;1;4,1;0;0;0;0
Nederweert;1;5,9;0;0;0;0
Nieuwegein;26;41;0;0;0;0
Nieuwkoop;4;13,9;0;0;0;0
Nijkerk;1;2,3;0;0;0;0
Nijmegen;26;14,6;0;0;0;0
Nissewaard;25;29,3;0;0;0;0
Noardeast-Fryslân;22;48,6;0;0;0;0
Noord-Beveland;2;27,1;0;0;0;0
Noordenveld;0;0;0;0;0;0
Noordoostpolder;3;6,3;0;0;0;0
Noordwijk;5;11,5;0;0;0;0
Nuenen, Gerwen en Nederwetten;0;0;0;0;0;0
Nunspeet;2;7,2;0;0;0;0
Oegstgeest;2;8,1;0;0;0;0
Oirschot;6;32,1;0;0;0;0
Oisterwijk;7;26,7;0;0;0;0
Oldambt;3;7,9;0;0;0;0
Oldebroek;3;12,7;0;0;0;0
Oldenzaal;1;3,1;0;0;0;0
Olst-Wijhe;3;16,4;0;0;0;0
Ommen;0;0;0;0;0;0
Oost Gelre;0;0;0;0;0;0
Oosterhout;21;37,5;0;0;0;0
Ooststellingwerf;0;0;0;0;0;0
Oostzaan;4;41,1;0;0;0;0
Opmeer;0;0;0;0;0;0
Opsterland;0;0;0;0;0;0
Oss;18;19,6;0;0;1;1,1
Oude IJsselstreek;2;5,1;0;0;0;0
Ouder-Amstel;11;78,4;0;0;0;0
Oudewater;2;19,6;0;0;0;0
Overbetuwe;2;4,2;0;0;0;0
Papendrecht;6;18,7;0;0;0;0
Peel en Maas;4;9,2;0;0;0;0
Pekela;1;8,2;0;0;0;0
Pijnacker-Nootdorp;27;48,8;0;0;0;0
Purmerend;27;33,2;1;1,2;0;0
Putten;5;20,7;0;0;0;0
Raalte;2;5,3;0;0;0;0
Reimerswaal;0;0;0;0;0;0
Renkum;2;6,4;0;0;0;0
Renswoude;0;0;0;0;0;0
Reusel-De Mierden;1;7,6;0;0;0;0
Rheden;1;2,3;0;0;0;0
Rhenen;1;5;0;0;0;0
Ridderkerk;32;69,3;0;0;0;0
Rijssen-Holten;4;10,5;0;0;0;0
Rijswijk (ZH.);38;69,8;1;1,8;0;0
Roerdalen;2;9,7;0;0;0;0
Roermond;12;20,6;0;0;0;0
Roosendaal;48;62,1;1;1,3;0;0
Rotterdam;1154;177,2;9;1,4;0;0
Rozendaal;0;0;0;0;0;0
Rucphen;1;4,4;0;0;0;0
Schagen;1;2,2;0;0;0;0
Scherpenzeel;1;10,1;0;0;0;0
Schiedam;86;109,2;0;0;0;0
Schiermonnikoog;0;0;0;0;0;0
Schouwen-Duiveland;3;8,9;0;0;0;0
