"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"09-12-2020";"22-12-2020";101;396,9;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"09-12-2020";"22-12-2020";200;627,8;1;3,1;0;0
"Aalten";197;"Aalten";27121;"09-12-2020";"22-12-2020";205;755,9;2;7,4;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"09-12-2020";"22-12-2020";133;477,7;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"09-12-2020";"22-12-2020";173;857,9;1;5;0;0
"Albrandswaard";613;"Albrandswaard";25590;"09-12-2020";"22-12-2020";158;617,4;1;3,9;1;3,9
"Alkmaar";361;"Alkmaar";109436;"09-12-2020";"22-12-2020";679;620,5;2;1,8;4;3,7
"Almelo";141;"Almelo";73107;"09-12-2020";"22-12-2020";680;930,1;4;5,5;4;5,5
"Almere";34;"Almere";211893;"09-12-2020";"22-12-2020";2051;967,9;10;4,7;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"09-12-2020";"22-12-2020";1099;982,2;4;3,6;7;6,3
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"09-12-2020";"22-12-2020";66;646,9;1;9,8;0;0
"Altena";1959;"Altena";55967;"09-12-2020";"22-12-2020";801;1431,2;2;3,6;12;21,4
"Ameland";60;"Ameland";3716;"09-12-2020";"22-12-2020";49;1318,6;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"09-12-2020";"22-12-2020";1497;951,8;12;7,6;6;3,8
"Amstelveen";362;"Amstelveen";91675;"09-12-2020";"22-12-2020";518;565;3;3,3;9;9,8
"Amsterdam";363;"Amsterdam";872757;"09-12-2020";"22-12-2020";5792;663,6;53;6,1;25;2,9
"Apeldoorn";200;"Apeldoorn";163818;"09-12-2020";"22-12-2020";1184;722,8;5;3,1;4;2,4
"Appingedam";3;"Appingedam";11642;"09-12-2020";"22-12-2020";88;755,9;0;0;0;0
"Arnhem";202;"Arnhem";161348;"09-12-2020";"22-12-2020";1199;743,1;4;2,5;6;3,7
