"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Bronckhorst";1876;"Bronckhorst";36055;"25-11-2020";"08-12-2020";164;454,9;1;2,8;1;2,8
"Brummen";213;"Brummen";20726;"25-11-2020";"08-12-2020";51;246,1;0;0;0;0
"Brunssum";899;"Brunssum";27821;"25-11-2020";"08-12-2020";105;377,4;2;7,2;2;7,2
"Bunnik";312;"Bunnik";15191;"25-11-2020";"08-12-2020";52;342,3;2;13,2;1;6,6
"Bunschoten";313;"Bunschoten";21866;"25-11-2020";"08-12-2020";325;1486,3;6;27,4;1;4,6
"Buren";214;"Buren";26749;"25-11-2020";"08-12-2020";89;332,7;1;3,7;1;3,7
"Capelle aan den IJssel";502;"Capelle aan den IJssel";67122;"25-11-2020";"08-12-2020";275;409,7;2;3;3;4,5
"Castricum";383;"Castricum";35986;"25-11-2020";"08-12-2020";170;472,4;0;0;0;0
"Coevorden";109;"Coevorden";35297;"25-11-2020";"08-12-2020";70;198,3;1;2,8;0;0
"Cranendonck";1706;"Cranendonck";21138;"25-11-2020";"08-12-2020";116;548,8;0;0;0;0
"Cuijk";1684;"Cuijk";25130;"25-11-2020";"08-12-2020";143;569;0;0;0;0
"Culemborg";216;"Culemborg";28955;"25-11-2020";"08-12-2020";129;445,5;1;3,5;0;0
"Dalfsen";148;"Dalfsen";28587;"25-11-2020";"08-12-2020";69;241,4;0;0;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"25-11-2020";"08-12-2020";55;290,7;0;0;0;0
"De Bilt";310;"De Bilt";43137;"25-11-2020";"08-12-2020";145;336,1;0;0;3;7
"De Fryske Marren";1940;"De Fryske Marren";51564;"25-11-2020";"08-12-2020";112;217,2;0;0;1;1,9
"De Ronde Venen";736;"De Ronde Venen";44456;"25-11-2020";"08-12-2020";184;413,9;1;2,2;3;6,7
"De Wolden";1690;"De Wolden";24330;"25-11-2020";"08-12-2020";49;201,4;1;4,1;0;0
"Delft";503;"Delft";103595;"25-11-2020";"08-12-2020";387;373,6;3;2,9;3;2,9
"Delfzijl";10;"Delfzijl";24678;"25-11-2020";"08-12-2020";107;433,6;0;0;1;4,1
"Den Helder";400;"Den Helder";56296;"25-11-2020";"08-12-2020";117;207,8;0;0;2;3,6
"Deurne";762;"Deurne";32471;"25-11-2020";"08-12-2020";118;363,4;0;0;1;3,1
"Deventer";150;"Deventer";100719;"25-11-2020";"08-12-2020";574;569,9;1;1;2;2
"Diemen";384;"Diemen";30780;"25-11-2020";"08-12-2020";172;558,8;0;0;0;0
"Dinkelland";1774;"Dinkelland";26461;"25-11-2020";"08-12-2020";203;767,2;0;0;1;3,8
"Doesburg";221;"Doesburg";11077;"25-11-2020";"08-12-2020";34;306,9;1;9;0;0
"Doetinchem";222;"Doetinchem";58001;"25-11-2020";"08-12-2020";199;343,1;1;1,7;2;3,4
"Dongen";766;"Dongen";26222;"25-11-2020";"08-12-2020";210;800,9;1;3,8;1;3,8
"Dordrecht";505;"Dordrecht";119284;"25-11-2020";"08-12-2020";651;545,8;1;0,8;5;4,2
"Drechterland";498;"Drechterland";19719;"25-11-2020";"08-12-2020";70;355;0;0;0;0
"Drimmelen";1719;"Drimmelen";27272;"25-11-2020";"08-12-2020";123;451;2;7,3;2;7,3
"Dronten";303;"Dronten";41555;"25-11-2020";"08-12-2020";190;457,2;0;0;0;0
"Druten";225;"Druten";18926;"25-11-2020";"08-12-2020";58;306,5;0;0;3;15,9
"Duiven";226;"Duiven";25126;"25-11-2020";"08-12-2020";141;561,2;0;0;0;0
"Echt-Susteren";1711;"Echt-Susteren";31610;"25-11-2020";"08-12-2020";92;291;0;0;0;0
"Edam-Volendam";385;"Edam-Volendam";36197;"25-11-2020";"08-12-2020";79;218,3;2;5,5;0;0
"Ede";228;"Ede";117165;"25-11-2020";"08-12-2020";627;535,1;5;4,3;5;4,3
"Eemnes";317;"Eemnes";9247;"25-11-2020";"08-12-2020";23;248,7;1;10,8;0;0
"Eersel";770;"Eersel";19313;"25-11-2020";"08-12-2020";103;533,3;0;0;0;0
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"25-11-2020";"08-12-2020";131;508,4;1;3,9;1;3,9
"Eindhoven";772;"Eindhoven";234394;"25-11-2020";"08-12-2020";894;381,4;6;2,6;10;4,3
"Elburg";230;"Elburg";23161;"25-11-2020";"08-12-2020";124;535,4;1;4,3;0;0
"Emmen";114;"Emmen";107048;"25-11-2020";"08-12-2020";288;269;2;1,9;3;2,8
"Enkhuizen";388;"Enkhuizen";18591;"25-11-2020";"08-12-2020";102;548,7;0;0;0;0
"Enschede";153;"Enschede";159640;"25-11-2020";"08-12-2020";578;362,1;8;5;6;3,8
"Epe";232;"Epe";33178;"25-11-2020";"08-12-2020";96;289,3;1;3;0;0
"Ermelo";233;"Ermelo";27008;"25-11-2020";"08-12-2020";120;444,3;0;0;0;0
"Etten-Leur";777;"Etten-Leur";43878;"25-11-2020";"08-12-2020";150;341,9;1;2,3;0;0
"Geertruidenberg";779;"Geertruidenberg";21544;"25-11-2020";"08-12-2020";161;747,3;1;4,6;2;9,3
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";39726;"25-11-2020";"08-12-2020";152;382,6;1;2,5;1;2,5
"Gemert-Bakel";1652;"Gemert-Bakel";30723;"25-11-2020";"08-12-2020";89;289,7;0;0;0;0
"Gennep";907;"Gennep";16921;"25-11-2020";"08-12-2020";86;508,2;0;0;0;0
"Gilze en Rijen";784;"Gilze en Rijen";26431;"25-11-2020";"08-12-2020";169;639,4;0;0;0;0
"Goeree-Overflakkee";1924;"Goeree-Overflakkee";50049;"25-11-2020";"08-12-2020";190;379,6;1;2;0;0
"Goes";664;"Goes";38082;"25-11-2020";"08-12-2020";66;173,3;4;10,5;0;0
"Goirle";785;"Goirle";23904;"25-11-2020";"08-12-2020";110;460,2;0;0;0;0
"Gooise Meren";1942;"Gooise Meren";58055;"25-11-2020";"08-12-2020";184;316,9;1;1,7;0;0
"Gorinchem";512;"Gorinchem";37022;"25-11-2020";"08-12-2020";226;610,4;0;0;0;0
"Gouda";513;"Gouda";73427;"25-11-2020";"08-12-2020";416;566,5;7;9,5;5;6,8
"Grave";786;"Grave";12436;"25-11-2020";"08-12-2020";72;579;0;0;1;8
"'s-Gravenhage";518;"'s-Gravenhage";545838;"25-11-2020";"08-12-2020";1601;293,3;25;4,6;3;0,5
"Groningen";14;"Groningen";232874;"25-11-2020";"08-12-2020";400;171,8;2;0,9;3;1,3
"Gulpen-Wittem";1729;"Gulpen-Wittem";14171;"25-11-2020";"08-12-2020";52;366,9;1;7,1;0;0
"Haaksbergen";158;"Haaksbergen";24311;"25-11-2020";"08-12-2020";123;505,9;1;4,1;4;16,5
"Haaren";788;"Haaren";14370;"25-11-2020";"08-12-2020";66;459,3;1;7;1;7
"Haarlem";392;"Haarlem";162902;"25-11-2020";"08-12-2020";551;338,2;7;4,3;13;8
"Haarlemmermeer";394;"Haarlemmermeer";156002;"25-11-2020";"08-12-2020";616;394,9;1;0,6;1;0,6
"Halderberge";1655;"Halderberge";30284;"25-11-2020";"08-12-2020";61;201,4;1;3,3;1;3,3
"Hardenberg";160;"Hardenberg";60948;"25-11-2020";"08-12-2020";143;234,6;0;0;3;4,9
"Harderwijk";243;"Harderwijk";48414;"25-11-2020";"08-12-2020";216;446,2;1;2,1;0;0
"Hardinxveld-Giessendam";523;"Hardinxveld-Giessendam";18295;"25-11-2020";"08-12-2020";134;732,4;0;0;0;0
"Harlingen";72;"Harlingen";15722;"25-11-2020";"08-12-2020";27;171,7;0;0;0;0
"Hattem";244;"Hattem";12209;"25-11-2020";"08-12-2020";30;245,7;1;8,2;0;0
"Heemskerk";396;"Heemskerk";39182;"25-11-2020";"08-12-2020";198;505,3;2;5,1;1;2,6
"Heemstede";397;"Heemstede";27234;"25-11-2020";"08-12-2020";119;437;1;3,7;5;18,4
"Heerde";246;"Heerde";18589;"25-11-2020";"08-12-2020";21;113;0;0;0;0
"Heerenveen";74;"Heerenveen";50493;"25-11-2020";"08-12-2020";55;108,9;0;0;1;2
"Heerhugowaard";398;"Heerhugowaard";57587;"25-11-2020";"08-12-2020";182;316;0;0;1;1,7
"Heerlen";917;"Heerlen";87086;"25-11-2020";"08-12-2020";283;325;3;3,4;2;2,3
"Heeze-Leende";1658;"Heeze-Leende";16152;"25-11-2020";"08-12-2020";69;427,2;1;6,2;1;6,2
"Heiloo";399;"Heiloo";23968;"25-11-2020";"08-12-2020";63;262,9;0;0;0;0
"Hellendoorn";163;"Hellendoorn";35916;"25-11-2020";"08-12-2020";202;562,4;1;2,8;0;0
"Hellevoetsluis";530;"Hellevoetsluis";40142;"25-11-2020";"08-12-2020";115;286,5;2;5;0;0
"Helmond";794;"Helmond";92423;"25-11-2020";"08-12-2020";350;378,7;1;1,1;0;0
"Hendrik-Ido-Ambacht";531;"Hendrik-Ido-Ambacht";31202;"25-11-2020";"08-12-2020";146;467,9;0;0;0;0
"Hengelo";164;"Hengelo";81140;"25-11-2020";"08-12-2020";310;382,1;1;1,2;2;2,5
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155111;"25-11-2020";"08-12-2020";716;461,6;6;3,9;5;3,2
"Het Hogeland";1966;"Het Hogeland";47801;"25-11-2020";"08-12-2020";131;274,1;1;2,1;1;2,1
"Heumen";252;"Heumen";16454;"25-11-2020";"08-12-2020";40;243,1;1;6,1;0;0
"Heusden";797;"Heusden";44692;"25-11-2020";"08-12-2020";229;512,4;1;2,2;3;6,7
"Hillegom";534;"Hillegom";22209;"25-11-2020";"08-12-2020";85;382,7;0;0;0;0
"Hilvarenbeek";798;"Hilvarenbeek";15518;"25-11-2020";"08-12-2020";51;328,7;0;0;0;0
"Hilversum";402;"Hilversum";90831;"25-11-2020";"08-12-2020";267;294;1;1,1;1;1,1
"Hoeksche Waard";1963;"Hoeksche Waard";87401;"25-11-2020";"08-12-2020";288;329,5;0;0;0;0
"Hof van Twente";1735;"Hof van Twente";35017;"25-11-2020";"08-12-2020";122;348,4;2;5,7;2;5,7
"Hollands Kroon";1911;"Hollands Kroon";48432;"25-11-2020";"08-12-2020";133;274,6;0;0;1;2,1
"Hoogeveen";118;"Hoogeveen";55699;"25-11-2020";"08-12-2020";96;172,4;1;1,8;0;0
"Hoorn";405;"Hoorn";73261;"25-11-2020";"08-12-2020";270;368,5;2;2,7;0;0
"Horst aan de Maas";1507;"Horst aan de Maas";42429;"25-11-2020";"08-12-2020";217;511,4;2;4,7;5;11,8
"Houten";321;"Houten";50146;"25-11-2020";"08-12-2020";257;512,5;1;2;0;0
"Huizen";406;"Huizen";41273;"25-11-2020";"08-12-2020";165;399,8;0;0;0;0
"Hulst";677;"Hulst";27556;"25-11-2020";"08-12-2020";79;286,7;1;3,6;0;0
"IJsselstein";353;"IJsselstein";34109;"25-11-2020";"08-12-2020";123;360,6;1;2,9;0;0
"Kaag en Braassem";1884;"Kaag en Braassem";27297;"25-11-2020";"08-12-2020";97;355,4;3;11;0;0
"Kampen";166;"Kampen";54319;"25-11-2020";"08-12-2020";180;331,4;0;0;1;1,8
"Kapelle";678;"Kapelle";12695;"25-11-2020";"08-12-2020";22;173,3;0;0;0;0
"Katwijk";537;"Katwijk";65753;"25-11-2020";"08-12-2020";330;501,9;2;3;1;1,5
"Kerkrade";928;"Kerkrade";45749;"25-11-2020";"08-12-2020";111;242,6;1;2,2;1;2,2
"Koggenland";1598;"Koggenland";22749;"25-11-2020";"08-12-2020";78;342,9;1;4,4;0;0
"Krimpen aan den IJssel";542;"Krimpen aan den IJssel";29526;"25-11-2020";"08-12-2020";131;443,7;0;0;0;0
"Krimpenerwaard";1931;"Krimpenerwaard";56319;"25-11-2020";"08-12-2020";182;323,2;0;0;0;0
"Laarbeek";1659;"Laarbeek";22523;"25-11-2020";"08-12-2020";133;590,5;0;0;0;0
"Landerd";1685;"Landerd";15730;"25-11-2020";"08-12-2020";82;521,3;0;0;0;0
"Landgraaf";882;"Landgraaf";37445;"25-11-2020";"08-12-2020";112;299,1;0;0;2;5,3
"Landsmeer";415;"Landsmeer";11491;"25-11-2020";"08-12-2020";35;304,6;0;0;1;8,7
"Langedijk";416;"Langedijk";28163;"25-11-2020";"08-12-2020";78;277;0;0;0;0
"Lansingerland";1621;"Lansingerland";62384;"25-11-2020";"08-12-2020";323;517,8;2;3,2;1;1,6
"Laren";417;"Laren";11280;"25-11-2020";"08-12-2020";36;319,1;1;8,9;0;0
"Leeuwarden";80;"Leeuwarden";124084;"25-11-2020";"08-12-2020";160;128,9;4;3,2;0;0
"Leiden";546;"Leiden";125099;"25-11-2020";"08-12-2020";363;290,2;3;2,4;1;0,8
"Leiderdorp";547;"Leiderdorp";27056;"25-11-2020";"08-12-2020";116;428,7;1;3,7;0;0
"Leidschendam-Voorburg";1916;"Leidschendam-Voorburg";76534;"25-11-2020";"08-12-2020";288;376,3;8;10,5;7;9,1
"Lelystad";995;"Lelystad";78598;"25-11-2020";"08-12-2020";291;370,2;1;1,3;2;2,5
"Leudal";1640;"Leudal";35879;"25-11-2020";"08-12-2020";169;471;1;2,8;2;5,6
"Leusden";327;"Leusden";30401;"25-11-2020";"08-12-2020";88;289,5;0;0;0;0
"Lingewaard";1705;"Lingewaard";46601;"25-11-2020";"08-12-2020";193;414,2;1;2,1;2;4,3
"Lisse";553;"Lisse";22955;"25-11-2020";"08-12-2020";117;509,7;2;8,7;0;0
"Lochem";262;"Lochem";33729;"25-11-2020";"08-12-2020";120;355,8;0;0;1;3
"Loon op Zand";809;"Loon op Zand";23408;"25-11-2020";"08-12-2020";120;512,6;0;0;0;0
"Lopik";331;"Lopik";14467;"25-11-2020";"08-12-2020";86;594,5;0;0;0;0
"Loppersum";24;"Loppersum";9537;"25-11-2020";"08-12-2020";27;283,1;0;0;0;0
"Losser";168;"Losser";22683;"25-11-2020";"08-12-2020";148;652,5;2;8,8;2;8,8
"Maasdriel";263;"Maasdriel";25030;"25-11-2020";"08-12-2020";98;391,5;0;0;2;8
"Maasgouw";1641;"Maasgouw";23965;"25-11-2020";"08-12-2020";98;408,9;1;4,2;0;0
"Maassluis";556;"Maassluis";33213;"25-11-2020";"08-12-2020";131;394,4;0;0;3;9
"Maastricht";935;"Maastricht";121575;"25-11-2020";"08-12-2020";479;394;3;2,5;3;2,5
"Medemblik";420;"Medemblik";45101;"25-11-2020";"08-12-2020";214;474,5;1;2,2;1;2,2
"Meerssen";938;"Meerssen";18828;"25-11-2020";"08-12-2020";84;446,1;1;5,3;2;10,6
"Meierijstad";1948;"Meierijstad";81194;"25-11-2020";"08-12-2020";354;436;0;0;1;1,2
"Meppel";119;"Meppel";33920;"25-11-2020";"08-12-2020";78;230;0;0;0;0
"Middelburg";687;"Middelburg";48822;"25-11-2020";"08-12-2020";76;155,7;0;0;0;0
"Midden-Delfland";1842;"Midden-Delfland";19341;"25-11-2020";"08-12-2020";97;501,5;1;5,2;1;5,2
"Midden-Drenthe";1731;"Midden-Drenthe";33185;"25-11-2020";"08-12-2020";49;147,7;1;3;1;3
"Midden-Groningen";1952;"Midden-Groningen";60797;"25-11-2020";"08-12-2020";156;256,6;0;0;2;3,3
"Mill en Sint Hubert";815;"Mill en Sint Hubert";10939;"25-11-2020";"08-12-2020";38;347,4;0;0;0;0
"Moerdijk";1709;"Moerdijk";37129;"25-11-2020";"08-12-2020";120;323,2;2;5,4;2;5,4
"Molenlanden";1978;"Molenlanden";43909;"25-11-2020";"08-12-2020";179;407,7;0;0;0;0
"Montferland";1955;"Montferland";36011;"25-11-2020";"08-12-2020";119;330,5;1;2,8;0;0
"Montfoort";335;"Montfoort";13917;"25-11-2020";"08-12-2020";69;495,8;0;0;0;0
"Mook en Middelaar";944;"Mook en Middelaar";7847;"25-11-2020";"08-12-2020";19;242,1;0;0;1;12,7
"Neder-Betuwe";1740;"Neder-Betuwe";24339;"25-11-2020";"08-12-2020";175;719;1;4,1;3;12,3
"Nederweert";946;"Nederweert";17019;"25-11-2020";"08-12-2020";100;587,6;0;0;0;0
"Nieuwegein";356;"Nieuwegein";63462;"25-11-2020";"08-12-2020";220;346,7;0;0;0;0
"Nieuwkoop";569;"Nieuwkoop";28811;"25-11-2020";"08-12-2020";156;541,5;2;6,9;1;3,5
"Nijkerk";267;"Nijkerk";43171;"25-11-2020";"08-12-2020";226;523,5;1;2,3;0;0
"Nijmegen";268;"Nijmegen";177659;"25-11-2020";"08-12-2020";542;305,1;2;1,1;2;1,1
"Nissewaard";1930;"Nissewaard";85219;"25-11-2020";"08-12-2020";326;382,5;3;3,5;5;5,9
"Noardeast-Fryslân";1970;"Noardeast-Fryslân";45228;"25-11-2020";"08-12-2020";153;338,3;3;6,6;0;0
"Noord-Beveland";1695;"Noord-Beveland";7392;"25-11-2020";"08-12-2020";5;67,6;0;0;0;0
"Noordenveld";1699;"Noordenveld";31253;"25-11-2020";"08-12-2020";39;124,8;1;3,2;0;0
"Noordoostpolder";171;"Noordoostpolder";47291;"25-11-2020";"08-12-2020";333;704,2;0;0;3;6,3
"Noordwijk";575;"Noordwijk";43508;"25-11-2020";"08-12-2020";173;397,6;1;2,3;0;0
"Nuenen, Gerwen en Nederwetten";820;"Nuenen, Gerwen en Nederwetten";23383;"25-11-2020";"08-12-2020";78;333,6;0;0;0;0
"Nunspeet";302;"Nunspeet";27851;"25-11-2020";"08-12-2020";96;344,7;0;0;0;0
"Oegstgeest";579;"Oegstgeest";24840;"25-11-2020";"08-12-2020";107;430,8;0;0;1;4
"Oirschot";823;"Oirschot";18714;"25-11-2020";"08-12-2020";82;438,2;0;0;0;0
"Oisterwijk";824;"Oisterwijk";26245;"25-11-2020";"08-12-2020";158;602;1;3,8;0;0
"Oldambt";1895;"Oldambt";38209;"25-11-2020";"08-12-2020";92;240,8;0;0;0;0
"Oldebroek";269;"Oldebroek";23646;"25-11-2020";"08-12-2020";65;274,9;0;0;0;0
"Oldenzaal";173;"Oldenzaal";31836;"25-11-2020";"08-12-2020";143;449,2;2;6,3;3;9,4
"Olst-Wijhe";1773;"Olst-Wijhe";18252;"25-11-2020";"08-12-2020";43;235,6;0;0;0;0
"Ommen";175;"Ommen";18009;"25-11-2020";"08-12-2020";30;166,6;0;0;1;5,6
"Oost Gelre";1586;"Oost Gelre";29627;"25-11-2020";"08-12-2020";87;293,7;0;0;0;0
"Oosterhout";826;"Oosterhout";55982;"25-11-2020";"08-12-2020";226;403,7;3;5,4;2;3,6
"Ooststellingwerf";85;"Ooststellingwerf";25469;"25-11-2020";"08-12-2020";55;215,9;1;3,9;0;0
"Oostzaan";431;"Oostzaan";9735;"25-11-2020";"08-12-2020";44;452;0;0;0;0
"Opmeer";432;"Opmeer";11836;"25-11-2020";"08-12-2020";40;338;0;0;0;0
"Opsterland";86;"Opsterland";29733;"25-11-2020";"08-12-2020";51;171,5;0;0;0;0
"Oss";828;"Oss";91915;"25-11-2020";"08-12-2020";336;365,6;1;1,1;0;0
"Oude IJsselstreek";1509;"Oude IJsselstreek";39388;"25-11-2020";"08-12-2020";148;375,7;0;0;7;17,8
"Ouder-Amstel";437;"Ouder-Amstel";14026;"25-11-2020";"08-12-2020";74;527,6;0;0;0;0
"Oudewater";589;"Oudewater";10230;"25-11-2020";"08-12-2020";49;479;0;0;0;0
"Overbetuwe";1734;"Overbetuwe";47906;"25-11-2020";"08-12-2020";152;317,3;1;2,1;1;2,1
"Papendrecht";590;"Papendrecht";32136;"25-11-2020";"08-12-2020";121;376,5;0;0;2;6,2
"Peel en Maas";1894;"Peel en Maas";43425;"25-11-2020";"08-12-2020";120;276,3;0;0;0;0
"Pekela";765;"Pekela";12196;"25-11-2020";"08-12-2020";20;164;0;0;0;0
"Pijnacker-Nootdorp";1926;"Pijnacker-Nootdorp";55308;"25-11-2020";"08-12-2020";272;491,8;2;3,6;1;1,8
"Purmerend";439;"Purmerend";81249;"25-11-2020";"08-12-2020";255;313,9;3;3,7;1;1,2
"Putten";273;"Putten";24112;"25-11-2020";"08-12-2020";134;555,7;0;0;3;12,4
"Raalte";177;"Raalte";37712;"25-11-2020";"08-12-2020";228;604,6;0;0;0;0
"Reimerswaal";703;"Reimerswaal";22730;"25-11-2020";"08-12-2020";104;457,5;0;0;0;0
"Renkum";274;"Renkum";31419;"25-11-2020";"08-12-2020";130;413,8;0;0;2;6,4
"Renswoude";339;"Renswoude";5444;"25-11-2020";"08-12-2020";36;661,3;0;0;0;0
"Reusel-De Mierden";1667;"Reusel-De Mierden";13112;"25-11-2020";"08-12-2020";49;373,7;0;0;1;7,6
"Rheden";275;"Rheden";43761;"25-11-2020";"08-12-2020";212;484,4;0;0;1;2,3
"Rhenen";340;"Rhenen";20119;"25-11-2020";"08-12-2020";172;854,9;1;5;1;5
"Ridderkerk";597;"Ridderkerk";46189;"25-11-2020";"08-12-2020";194;420;2;4,3;8;17,3
"Rijssen-Holten";1742;"Rijssen-Holten";38177;"25-11-2020";"08-12-2020";221;578,9;2;5,2;0;0
"Rijswijk";603;"Rijswijk";54450;"25-11-2020";"08-12-2020";178;326,9;1;1,8;0;0
"Roerdalen";1669;"Roerdalen";20574;"25-11-2020";"08-12-2020";90;437,4;0;0;0;0
"Roermond";957;"Roermond";58260;"25-11-2020";"08-12-2020";284;487,5;0;0;1;1,7
"Roosendaal";1674;"Roosendaal";77251;"25-11-2020";"08-12-2020";323;418,1;3;3,9;2;2,6
"Rotterdam";599;"Rotterdam";651157;"25-11-2020";"08-12-2020";2592;398,1;29;4,5;10;1,5
"Rozendaal";277;"Rozendaal";1704;"25-11-2020";"08-12-2020";13;762,9;0;0;0;0
"Rucphen";840;"Rucphen";22878;"25-11-2020";"08-12-2020";86;375,9;3;13,1;1;4,4
"Schagen";441;"Schagen";46483;"25-11-2020";"08-12-2020";197;423,8;0;0;1;2,2
"Scherpenzeel";279;"Scherpenzeel";9880;"25-11-2020";"08-12-2020";94;951,4;0;0;1;10,1
"Schiedam";606;"Schiedam";78730;"25-11-2020";"08-12-2020";448;569;11;14;2;2,5
