"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"25-11-2020";"08-12-2020";55;216,2;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"25-11-2020";"08-12-2020";125;392,4;1;3,1;1;3,1
"Aalten";197;"Aalten";27121;"25-11-2020";"08-12-2020";73;269,2;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"25-11-2020";"08-12-2020";58;208,3;1;3,6;0;0
"Alblasserdam";482;"Alblasserdam";20165;"25-11-2020";"08-12-2020";68;337,2;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25590;"25-11-2020";"08-12-2020";103;402,5;1;3,9;0;0
"Alkmaar";361;"Alkmaar";109436;"25-11-2020";"08-12-2020";343;313,4;1;0,9;0;0
"Almelo";141;"Almelo";73107;"25-11-2020";"08-12-2020";331;452,8;1;1,4;1;1,4
"Almere";34;"Almere";211893;"25-11-2020";"08-12-2020";997;470,5;6;2,8;1;0,5
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"25-11-2020";"08-12-2020";559;499,6;6;5,4;5;4,5
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"25-11-2020";"08-12-2020";24;235,2;0;0;0;0
"Altena";1959;"Altena";55967;"25-11-2020";"08-12-2020";502;897;3;5,4;6;10,7
"Ameland";60;"Ameland";3716;"25-11-2020";"08-12-2020";2;53,8;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"25-11-2020";"08-12-2020";837;532,2;5;3,2;8;5,1
"Amstelveen";362;"Amstelveen";91675;"25-11-2020";"08-12-2020";312;340,3;3;3,3;5;5,5
"Amsterdam";363;"Amsterdam";872757;"25-11-2020";"08-12-2020";3745;429,1;33;3,8;19;2,2
"Apeldoorn";200;"Apeldoorn";163818;"25-11-2020";"08-12-2020";577;352,2;3;1,8;3;1,8
"Appingedam";3;"Appingedam";11642;"25-11-2020";"08-12-2020";58;498,2;1;8,6;0;0
"Arnhem";202;"Arnhem";161348;"25-11-2020";"08-12-2020";772;478,5;3;1,9;7;4,3
"Assen";106;"Assen";68599;"25-11-2020";"08-12-2020";130;189,5;3;4,4;1;1,5
"Asten";743;"Asten";16721;"25-11-2020";"08-12-2020";79;472,5;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"25-11-2020";"08-12-2020";20;291,6;2;29,2;1;14,6
"Baarn";308;"Baarn";24868;"25-11-2020";"08-12-2020";120;482,5;0;0;3;12,1
"Barendrecht";489;"Barendrecht";48714;"25-11-2020";"08-12-2020";188;385,9;1;2,1;1;2,1
"Barneveld";203;"Barneveld";59082;"25-11-2020";"08-12-2020";399;675,3;1;1,7;2;3,4
"Beek";888;"Beek";15865;"25-11-2020";"08-12-2020";78;491,6;0;0;1;6,3
"Beekdaelen";1954;"Beekdaelen";35938;"25-11-2020";"08-12-2020";128;356,2;0;0;1;2,8
"Beemster";370;"Beemster";10022;"25-11-2020";"08-12-2020";28;279,4;0;0;0;0
"Beesel";889;"Beesel";13482;"25-11-2020";"08-12-2020";38;281,9;1;7,4;1;7,4
"Berg en Dal";1945;"Berg en Dal";34992;"25-11-2020";"08-12-2020";169;483;0;0;0;0
"Bergeijk";1724;"Bergeijk";18635;"25-11-2020";"08-12-2020";155;831,8;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13085;"25-11-2020";"08-12-2020";40;305,7;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29839;"25-11-2020";"08-12-2020";118;395,5;0;0;1;3,4
"Bergen op Zoom";748;"Bergen op Zoom";67496;"25-11-2020";"08-12-2020";247;365,9;6;8,9;0;0
"Berkelland";1859;"Berkelland";43747;"25-11-2020";"08-12-2020";148;338,3;0;0;2;4,6
"Bernheze";1721;"Bernheze";31240;"25-11-2020";"08-12-2020";104;332,9;0;0;0;0
"Best";753;"Best";29988;"25-11-2020";"08-12-2020";129;430,2;2;6,7;1;3,3
"Beuningen";209;"Beuningen";25890;"25-11-2020";"08-12-2020";102;394;1;3,9;0;0
"Beverwijk";375;"Beverwijk";41626;"25-11-2020";"08-12-2020";136;326,7;0;0;0;0
"Bladel";1728;"Bladel";20390;"25-11-2020";"08-12-2020";110;539,5;0;0;0;0
"Blaricum";376;"Blaricum";11540;"25-11-2020";"08-12-2020";42;364;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23571;"25-11-2020";"08-12-2020";55;233,3;0;0;0;0
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";34872;"25-11-2020";"08-12-2020";203;582,1;3;8,6;0;0
"Boekel";755;"Boekel";10785;"25-11-2020";"08-12-2020";33;306;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25559;"25-11-2020";"08-12-2020";79;309,1;1;3,9;1;3,9
"Borne";147;"Borne";23312;"25-11-2020";"08-12-2020";99;424,7;2;8,6;0;0
"Borsele";654;"Borsele";22739;"25-11-2020";"08-12-2020";36;158,3;0;0;0;0
"Boxmeer";756;"Boxmeer";29365;"25-11-2020";"08-12-2020";112;381,4;0;0;0;0
"Boxtel";757;"Boxtel";30801;"25-11-2020";"08-12-2020";147;477,3;1;3,2;2;6,5
"Breda";758;"Breda";184069;"25-11-2020";"08-12-2020";701;380,8;2;1,1;1;0,5
"Brielle";501;"Brielle";17271;"25-11-2020";"08-12-2020";68;393,7;1;5,8;0;0
