"Gemeente";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage (gemeente)";270;49,5;3;0,5;3;0,5
"'s-Hertogenbosch";18;11,6;0;0;0;0
"Aa en Hunze";0;0;0;0;0;0
"Aalsmeer";6;18,8;0;0;0;0
"Aalten";0;0;0;0;0;0
"Achtkarspelen";2;7,2;0;0;0;0
"Alblasserdam";3;14,9;0;0;0;0
"Albrandswaard";10;39,1;0;0;0;0
"Alkmaar";14;12,8;0;0;0;0
"Almelo";3;4,1;0;0;0;0
"Almere";46;21,7;3;1,4;1;0,5
"Alphen aan den Rijn";10;8,9;0;0;0;0
"Alphen-Chaam";8;78,4;0;0;0;0
"Altena";12;21,4;0;0;0;0
"Ameland";0;0;0;0;0;0
"Amersfoort";18;11,4;1;0,6;0;0
"Amstelveen";34;37,1;0;0;0;0
"Amsterdam";563;64,5;10;1,1;0;0
"Apeldoorn";13;7,9;1;0,6;0;0
"Appingedam";0;0;0;0;0;0
"Arnhem";16;9,9;0;0;0;0
"Assen";0;0;0;0;0;0
"Asten";2;12;0;0;0;0
"Baarle-Nassau";2;29,2;0;0;0;0
"Baarn";3;12,1;0;0;0;0
"Barendrecht";13;26,7;0;0;0;0
"Barneveld";1;1,7;0;0;0;0
"Beek (L.)";0;0;0;0;0;0
"Beekdaelen";0;0;0;0;0;0
"Beemster";3;29,9;0;0;0;0
"Beesel";0;0;0;0;0;0
"Berg en Dal";1;2,9;0;0;0;0
"Bergeijk";0;0;0;0;0;0
"Bergen (L.)";0;0;0;0;0;0
"Bergen (NH.)";9;30,2;0;0;0;0
"Bergen op Zoom";41;60,7;1;1,5;0;0
"Berkelland";2;4,6;0;0;0;0
"Bernheze";1;3,2;0;0;0;0
"Best";5;16,7;0;0;0;0
"Beuningen";1;3,9;0;0;0;0
"Beverwijk";2;4,8;0;0;0;0
"Bladel";1;4,9;0;0;0;0
"Blaricum";6;52;0;0;0;0
"Bloemendaal";4;17;0;0;0;0
"Bodegraven-Reeuwijk";3;8,6;0;0;0;0
"Boekel";0;0;0;0;0;0
"Borger-Odoorn";0;0;0;0;0;0
"Borne";0;0;0;0;0;0
"Borsele";1;4,4;0;0;0;0
"Boxmeer";1;3,4;0;0;0;0
"Boxtel";0;0;0;0;0;0
"Breda";112;60,8;0;0;1;0,5
"Brielle";2;11,6;0;0;0;0
"Bronckhorst";1;2,8;0;0;0;0
"Brummen";4;19,3;0;0;0;0
"Brunssum";2;7,2;0;0;0;0
"Bunnik";1;6,6;0;0;0;0
"Bunschoten";3;13,7;0;0;0;0
"Buren";0;0;0;0;0;0
"Capelle aan den IJssel";38;56,6;0;0;0;0
"Castricum";4;11,1;0;0;0;0
"Coevorden";0;0;0;0;0;0
"Cranendonck";0;0;0;0;0;0
"Cuijk";0;0;0;0;0;0
"Culemborg";2;6,9;0;0;0;0
"Dalfsen";1;3,5;0;0;0;0
"Dantumadiel";0;0;0;0;0;0
