Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
Aa en Hunze;3;11,8;0;0;0;0
Aalsmeer;6;18,8;0;0;0;0
Aalten;24;88,5;2;7,4;2;7,4
Achtkarspelen;5;18;0;0;0;0
Alblasserdam;11;54,5;2;9,9;1;5
Albrandswaard;25;97,7;1;3,9;3;11,7
Alkmaar;45;41,1;3;2,7;5;4,6
Almelo;19;26;2;2,7;4;5,5
Almere;126;59,5;15;7,1;10;4,7
Alphen aan den Rijn;47;42;5;4,5;10;8,9
Alphen-Chaam;6;58,8;0;0;1;9,8
Altena;27;48,2;0;0;1;1,8
Ameland;0;0;0;0;0;0
Amersfoort;43;27,3;3;1,9;5;3,2
Amstelveen;75;81,8;6;6,5;6;6,5
Amsterdam;595;68,2;74;8,5;84;9,6
Apeldoorn;149;91;15;9,2;16;9,8
Appingedam;3;25,8;1;8,6;0;0
Arnhem;69;42,8;6;3,7;8;5
Assen;7;10,2;0;0;0;0
Asten;19;113,6;3;17,9;4;23,9
Baarle-Nassau;6;87,5;1;14,6;0;0
Baarn;17;68,4;1;4;5;20,1
Barendrecht;30;61,6;5;10,3;4;8,2
Barneveld;25;42,3;5;8,5;1;1,7
Beek (L.);11;69,3;1;6,3;1;6,3
Beekdaelen;57;158,6;8;22,3;2;5,6
Beemster;1;10;0;0;0;0
Beesel;8;59,3;0;0;1;7,4
Berg en Dal;33;94,3;2;5,7;3;8,6
Bergeijk;12;64,4;2;10,7;0;0
Bergen (L.);8;61,1;0;0;0;0
Bergen (NH.);5;16,8;0;0;0;0
Bergen op Zoom;40;59,3;0;0;4;5,9
Berkelland;32;73,1;0;0;5;11,4
Bernheze;50;160,1;5;16;11;35,2
Best;15;50;0;0;3;10
Beuningen;17;65,7;0;0;1;3,9
Beverwijk;13;31,2;0;0;3;7,2
Bladel;10;49;2;9,8;1;4,9
Blaricum;7;60,7;2;17,3;0;0
Bloemendaal;6;25,5;1;4,2;1;4,2
Bodegraven-Reeuwijk;17;48,7;0;0;0;0
Boekel;5;46,4;0;0;3;27,8
Borger-Odoorn;4;15,7;1;3,9;0;0
Borne;7;30;0;0;0;0
Borsele;3;13,2;0;0;0;0
Boxmeer;31;105,6;0;0;8;27,2
Boxtel;18;58,4;3;9,7;2;6,5
Breda;66;35,9;5;2,7;5;2,7
Brielle;4;23,2;0;0;0;0
Bronckhorst;31;86;4;11,1;2;5,5
Brummen;8;38,6;2;9,6;2;9,6
Brunssum;20;71,9;8;28,8;4;14,4
Bunnik;14;92,2;1;6,6;0;0
Bunschoten;22;100,6;3;13,7;4;18,3
Buren;14;52,3;5;18,7;3;11,2
Capelle aan den IJssel;75;111,7;6;8,9;21;31,3
Castricum;18;50;1;2,8;1;2,8
Coevorden;12;34;1;2,8;1;2,8
Cranendonck;17;80,4;3;14,2;13;61,5
Cuijk;24;95,5;1;4;2;8
Culemborg;12;41,4;1;3,5;1;3,5
Dalfsen;19;66,5;0;0;0;0
Dantumadiel;0;0;0;0;0;0
De Bilt;38;88,1;1;2,3;4;9,3
De Fryske Marren;9;17,5;1;1,9;0;0
De Ronde Venen;25;56,2;7;15,7;7;15,7
De Wolden;15;61,7;2;8,2;3;12,3
Delft;24;23,2;1;1;3;2,9
Delfzijl;3;12,2;0;0;0;0
Den Helder;3;5,3;0;0;1;1,8
Deurne;23;70,8;2;6,2;3;9,2
Deventer;78;77,4;3;3;8;7,9
Diemen;39;126,7;3;9,7;6;19,5
Dinkelland;8;30,2;0;0;3;11,3
Doesburg;9;81,2;2;18,1;1;9
Doetinchem;27;46,6;4;6,9;7;12,1
Dongen;18;68,6;4;15,3;2;7,6
Dordrecht;78;65,4;11;9,2;8;6,7
Drechterland;8;40,6;1;5,1;0;0
Drimmelen;18;66;0;0;2;7,3
Dronten;38;91,4;4;9,6;3;7,2
Druten;23;121,5;4;21,1;3;15,9
Duiven;14;55,7;3;11,9;4;15,9
Echt-Susteren;17;53,8;4;12,7;0;0
Edam-Volendam;32;88,4;2;5,5;3;8,3
Ede;51;43,5;2;1,7;6;5,1
Eemnes;3;32,4;1;10,8;0;0
Eersel;10;51,8;4;20,7;2;10,4
Eijsden-Margraten;20;77,6;3;11,6;6;23,3
Eindhoven;103;43,9;19;8,1;17;7,3
Elburg;35;151,1;6;25,9;6;25,9
Emmen;30;28;4;3,7;3;2,8
Enkhuizen;4;21,5;0;0;0;0
Enschede;34;21,3;2;1,3;4;2,5
Epe;38;114,5;3;9;7;21,1
Ermelo;28;103,7;1;3,7;3;11,1
Etten-Leur;39;88,9;2;4,6;1;2,3
Geertruidenberg;17;78,9;1;4,6;2;9,3
Geldrop-Mierlo;20;50,3;6;15,1;2;5
Gemert-Bakel;21;68,4;2;6,5;1;3,3
Gennep;5;29,5;1;5,9;2;11,8
Gilze en Rijen;17;64,3;0;0;5;18,9
Goeree-Overflakkee;22;44;2;4;5;10
Goes;9;23,6;0;0;2;5,3
Goirle;8;33,5;1;4,2;2;8,4
Gooise Meren;18;31;1;1,7;3;5,2
Gorinchem;23;62,1;0;0;3;8,1
Gouda;64;87,2;3;4,1;17;23,2
Grave;19;152,8;2;16,1;3;24,1
Groningen (gemeente);18;7,7;2;0,9;1;0,4
Gulpen-Wittem;24;169,4;6;42,3;7;49,4
Haaksbergen;9;37;0;0;3;12,3
Haaren;6;41,8;0;0;2;13,9
Haarlem;24;14,7;5;3,1;5;3,1
Haarlemmermeer;35;22,4;3;1,9;6;3,8
