Date_of_report;Date_of_measurement;Wave;Region_code;Region_name;Subgroup_category;Subgroup;Indicator_category;Indicator;Sample_size;Figure_type;Value;Lower_limit;Upper_limit;Change_wrt_previous_measurement
2021-01-05 10:00:00;2020-09-28;01;NL00;Nederland;Alle;Totaal;Draagvlak;Bij_klachten_blijf_thuis;5026;Percentage;82;80.8;83.1;
2021-01-05 10:00:00;2020-09-28;01;NL00;Nederland;Leeftijd;16-24;Draagvlak;Bij_klachten_blijf_thuis;583;Percentage;76.7;72.7;80.3;
2021-01-05 10:00:00;2020-09-28;01;NL00;Nederland;Leeftijd;25-39;Draagvlak;Bij_klachten_blijf_thuis;1230;Percentage;80.7;78.2;82.9;
2021-01-05 10:00:00;2020-09-28;01;NL00;Nederland;Leeftijd;40-54;Draagvlak;Bij_klachten_blijf_thuis;1381;Percentage;80.6;78.3;82.8;
2021-01-05 10:00:00;2020-09-28;01;NL00;Nederland;Leeftijd;55-69;Draagvlak;Bij_klachten_blijf_thuis;1192;Percentage;85.4;83.2;87.4;
2021-01-05 10:00:00;2020-09-28;01;NL00;Nederland;Leeftijd;70+;Draagvlak;Bij_klachten_blijf_thuis;640;Percentage;85.2;81.8;88;
2021-01-05 10:00:00;2020-09-28;01;NL00;Nederland;Geslacht;Man;Draagvlak;Bij_klachten_blijf_thuis;2446;Percentage;80.8;79;82.4;
2021-01-05 10:00:00;2020-09-28;01;NL00;Nederland;Geslacht;Vrouw;Draagvlak;Bij_klachten_blijf_thuis;2580;Percentage;83.2;81.6;84.7;
2021-01-05 10:00:00;2020-09-28;01;NL00;Nederland;Opleiding;Laag;Draagvlak;Bij_klachten_blijf_thuis;1264;Percentage;81.4;79;83.6;
2021-01-05 10:00:00;2020-09-28;01;NL00;Nederland;Opleiding;Midden;Draagvlak;Bij_klachten_blijf_thuis;2055;Percentage;80.3;78.4;82.1;
2021-01-05 10:00:00;2020-09-28;01;NL00;Nederland;Opleiding;Hoog;Draagvlak;Bij_klachten_blijf_thuis;1707;Percentage;84;82;85.9;
2021-01-05 10:00:00;2020-09-28;01;VR01;Groningen;Alle;Totaal;Draagvlak;Bij_klachten_blijf_thuis;212;Percentage;84.9;79.3;89.3;
2021-01-05 10:00:00;2020-09-28;01;VR02;Fryslân;Alle;Totaal;Draagvlak;Bij_klachten_blijf_thuis;194;Percentage;78;71.5;83.4;
2021-01-05 10:00:00;2020-09-28;01;VR03;Drenthe;Alle;Totaal;Draagvlak;Bij_klachten_blijf_thuis;203;Percentage;76.7;70.1;82.3;
2021-01-05 10:00:00;2020-09-28;01;VR04;IJsselland;Alle;Totaal;Draagvlak;Bij_klachten_blijf_thuis;216;Percentage;85.6;80.2;89.7;
2021-01-05 10:00:00;2020-09-28;01;VR05;Twente;Alle;Totaal;Draagvlak;Bij_klachten_blijf_thuis;215;Percentage;80.2;74.3;85.1;
2021-01-05 10:00:00;2020-09-28;01;VR06;Noord- en Oost-Gelderland;Alle;Totaal;Draagvlak;Bij_klachten_blijf_thuis;193;Percentage;83.3;77.1;88.1;
