Municipality_name;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;Municipality_name
Coevorden;4;11,3;6;17;0;0;;;WAAR;Coevorden
Cranendonck;29;137,2;25;118,3;2;9,5;;;WAAR;Cranendonck
Cuijk;8;31,8;4;15,9;2;8;;;WAAR;Cuijk
Culemborg;8;27,6;8;27,6;0;0;;;WAAR;Culemborg
Dalfsen;12;42;6;21;1;3,5;;;WAAR;Dalfsen
Dantumadiel;0;0;0;0;0;0;;;WAAR;Dantumadiel
De Bilt;26;60,3;8;18,5;1;2,3;;;WAAR;De Bilt
De Fryske Marren;10;19,4;4;7,8;0;0;;;WAAR;De Fryske Marren
De Ronde Venen;10;22,5;9;20,2;0;0;;;WAAR;De Ronde Venen
De Wolden;3;12,3;1;4,1;0;0;;;WAAR;De Wolden
Delft;20;19,3;15;14,5;0;0;;;WAAR;Delft
Delfzijl;2;8,1;0;0;0;0;;;WAAR;Delfzijl
Den Helder;4;7,1;6;10,7;0;0;;;WAAR;Den Helder
Deurne;35;107,8;29;89,3;4;12,3;;;WAAR;Deurne
Deventer;28;27,8;10;9,9;4;4;;;WAAR;Deventer
Diemen;9;29,2;6;19,5;2;6,5;;;WAAR;Diemen
Dinkelland;17;64,2;6;22,7;1;3,8;;;WAAR;Dinkelland
Doesburg;5;45,1;2;18,1;1;9;;;WAAR;Doesburg
Doetinchem;10;17,2;6;10,3;1;1,7;;;WAAR;Doetinchem
Dongen;8;30,5;4;15,3;0;0;;;WAAR;Dongen
Dordrecht;26;21,8;20;16,8;1;0,8;;;WAAR;Dordrecht
Drechterland;4;20,3;2;10,1;0;0;;;WAAR;Drechterland
Drimmelen;16;58,7;9;33;0;0;;;WAAR;Drimmelen
Dronten;11;26,5;6;14,4;1;2,4;;;WAAR;Dronten
Druten;7;37;7;37;0;0;;;WAAR;Druten
Duiven;3;11,9;2;8;0;0;;;WAAR;Duiven
Echt-Susteren;21;66,4;17;53,8;5;15,8;;;WAAR;Echt-Susteren
Edam-Volendam;9;24,9;6;16,6;0;0;;;WAAR;Edam-Volendam
Ede;28;23,9;15;12,8;0;0;;;WAAR;Ede
Eemnes;1;10,8;0;0;0;0;;;WAAR;Eemnes
Eersel;16;82,8;9;46,6;0;0;;;WAAR;Eersel
Eijsden-Margraten;21;81,5;14;54,3;0;0;;;WAAR;Eijsden-Margraten
Eindhoven;97;41,4;48;20,5;4;1,7;;;WAAR;Eindhoven
Elburg;7;30,2;2;8,6;0;0;;;WAAR;Elburg
Emmen;8;7,5;4;3,7;0;0;;;WAAR;Emmen
Enkhuizen;11;59,2;12;64,5;1;5,4;;;WAAR;Enkhuizen
Enschede;24;15;12;7,5;1;0,6;;;WAAR;Enschede
Epe;17;51,2;13;39,2;0;0;;;WAAR;Epe
Ermelo;19;70,3;9;33,3;2;7,4;;;WAAR;Ermelo
Etten-Leur;26;59,3;16;36,5;3;6,8;;;WAAR;Etten-Leur
Geertruidenberg;11;51,1;5;23,2;1;4,6;;;WAAR;Geertruidenberg
Geldrop-Mierlo;15;37,8;8;20,1;1;2,5;;;WAAR;Geldrop-Mierlo
Gemert-Bakel;73;237,6;42;136,7;10;32,5;;;WAAR;Gemert-Bakel
Gennep;7;41,4;4;23,6;1;5,9;;;WAAR;Gennep
Gilze en Rijen;22;83,2;11;41,6;0;0;;;WAAR;Gilze en Rijen
Goeree-Overflakkee;45;89,9;15;30;3;6;;;WAAR;Goeree-Overflakkee
Goes;2;5,3;2;5,3;0;0;;;WAAR;Goes
Goirle;16;66,9;14;58,6;3;12,6;;;WAAR;Goirle
Gooise Meren;16;27,6;8;13,8;0;0;;;WAAR;Gooise Meren
Gorinchem;10;27;7;18,9;0;0;;;WAAR;Gorinchem
Gouda;17;23,2;8;10,9;2;2,7;;;WAAR;Gouda
Grave;13;104,5;5;40,2;1;8;;;WAAR;Grave
Groningen (gemeente);71;30,5;6;2,6;0;0;;;WAAR;Groningen (gemeente)
Gulpen-Wittem;5;35,3;3;21,2;0;0;;;WAAR;Gulpen-Wittem
Haaksbergen;3;12,3;1;4,1;0;0;;;WAAR;Haaksbergen
Haaren;8;55,7;5;34,8;3;20,9;;;WAAR;Haaren
Haarlem;46;28,2;14;8,6;2;1,2;;;WAAR;Haarlem
Haarlemmermeer;28;17,9;17;10,9;3;1,9;;;WAAR;Haarlemmermeer
Halderberge;8;26,4;7;23,1;1;3,3;;;WAAR;Halderberge
Hardenberg;7;11,5;5;8,2;0;0;;;WAAR;Hardenberg
Harderwijk;14;28,9;6;12,4;2;4,1;;;WAAR;Harderwijk
Hardinxveld-Giessendam;1;5,5;0;0;0;0;;;WAAR;Hardinxveld-Giessendam
Harlingen;3;19,1;1;6,4;0;0;;;WAAR;Harlingen
Hattem;5;41;4;32,8;0;0;;;WAAR;Hattem
Heemskerk;10;25,5;7;17,9;0;0;;;WAAR;Heemskerk
Heemstede;17;62,4;5;18,4;0;0;;;WAAR;Heemstede
Heerde;21;113;21;113;2;10,8;;;WAAR;Heerde
Heerenveen;3;5,9;3;5,9;0;0;;;WAAR;Heerenveen
Heerhugowaard;15;26;12;20,8;2;3,5;;;WAAR;Heerhugowaard
Heerlen;47;54;37;42,5;11;12,6;;;WAAR;Heerlen
Heeze-Leende;10;61,9;4;24,8;0;0;;;WAAR;Heeze-Leende
Heiloo;9;37,6;2;8,3;2;8,3;;;WAAR;Heiloo
Hellendoorn;5;13,9;1;2,8;0;0;;;WAAR;Hellendoorn
Hellevoetsluis;4;10;3;7,5;0;0;;;WAAR;Hellevoetsluis
Helmond;54;58,4;26;28,1;6;6,5;;;WAAR;Helmond
Hendrik-Ido-Ambacht;3;9,6;4;12,8;0;0;;;WAAR;Hendrik-Ido-Ambacht
Hengelo (O.);17;21;3;3,7;1;1,2;;;WAAR;Hengelo (O.)
Het Hogeland;4;8,4;3;6,3;0;0;;;WAAR;Het Hogeland
Heumen;14;85,1;3;18,2;1;6,1;;;WAAR;Heumen
Heusden;28;62,7;14;31,3;3;6,7;;;WAAR;Heusden
Hillegom;4;18;1;4,5;0;0;;;WAAR;Hillegom
Hilvarenbeek;9;58;4;25,8;2;12,9;;;WAAR;Hilvarenbeek
Hilversum;20;22;6;6,6;1;1,1;;;WAAR;Hilversum
Hoeksche Waard;38;43,5;29;33,2;2;2,3;;;WAAR;Hoeksche Waard
Hof van Twente;6;17,1;2;5,7;0;0;;;WAAR;Hof van Twente
Hollands Kroon;9;18,6;10;20,6;1;2,1;;;WAAR;Hollands Kroon
Hoogeveen;8;14,4;3;5,4;0;0;;;WAAR;Hoogeveen
Hoorn;16;21,8;11;15;1;1,4;;;WAAR;Hoorn
Horst aan de Maas;21;49,5;14;33;4;9,4;;;WAAR;Horst aan de Maas
Houten;22;43,9;6;12;0;0;;;WAAR;Houten
Huizen;8;19,4;5;12,1;0;0;;;WAAR;Huizen
Hulst;0;0;2;7,3;0;0;;;WAAR;Hulst
IJsselstein;16;46,9;15;44;2;5,9;;;WAAR;IJsselstein
Kaag en Braassem;5;18,3;3;11;0;0;;;WAAR;Kaag en Braassem
Kampen;31;57,1;18;33,1;0;0;;;WAAR;Kampen
Kapelle;2;15,8;1;7,9;0;0;;;WAAR;Kapelle
Katwijk;6;9,1;3;4,6;0;0;;;WAAR;Katwijk
Kerkrade;18;39,3;14;30,6;2;4,4;;;WAAR;Kerkrade
Koggenland;4;17,6;2;8,8;0;0;;;WAAR;Koggenland
Krimpen aan den IJssel;6;20,3;1;3,4;0;0;;;WAAR;Krimpen aan den IJssel
Krimpenerwaard;13;23,1;9;16;1;1,8;;;WAAR;Krimpenerwaard
Laarbeek;26;115,4;17;75,5;4;17,8;;;WAAR;Laarbeek
Landerd;36;228,9;12;76,3;5;31,8;;;WAAR;Landerd
Landgraaf;21;56,1;11;29,4;2;5,3;;;WAAR;Landgraaf
Landsmeer;6;52,2;3;26,1;0;0;;;WAAR;Landsmeer
Langedijk;11;39,1;6;21,3;0;0;;;WAAR;Langedijk
Lansingerland;21;33,7;11;17,6;0;0;;;WAAR;Lansingerland
Laren (NH.);3;26,6;4;35,5;0;0;;;WAAR;Laren (NH.)
Leeuwarden;12;9,7;11;8,9;1;0,8;;;WAAR;Leeuwarden
Leiden;20;16;11;8,8;0;0;;;WAAR;Leiden
Leiderdorp;3;11,1;3;11,1;0;0;;;WAAR;Leiderdorp
Leidschendam-Voorburg;12;15,7;5;6,5;0;0;;;WAAR;Leidschendam-Voorburg
Lelystad;24;30,5;17;21,6;2;2,5;;;WAAR;Lelystad
Leudal;29;80,8;18;50,2;2;5,6;;;WAAR;Leudal
Leusden;13;42,8;3;9,9;2;6,6;;;WAAR;Leusden
Lingewaard;12;25,8;8;17,2;0;0;;;WAAR;Lingewaard
Lisse;2;8,7;2;8,7;0;0;;;WAAR;Lisse
Lochem;6;17,8;5;14,8;0;0;;;WAAR;Lochem
Loon op Zand;17;72,6;11;47;2;8,5;;;WAAR;Loon op Zand
Lopik;9;62,2;7;48,4;0;0;;;WAAR;Lopik
Loppersum;1;10,5;0;0;0;0;;;WAAR;Loppersum
Losser;1;4,4;0;0;0;0;;;WAAR;Losser
Maasdriel;5;20;5;20;1;4;;;WAAR;Maasdriel
Maasgouw;11;45,9;7;29,2;3;12,5;;;WAAR;Maasgouw
Maassluis;7;21,1;5;15,1;0;0;;;WAAR;Maassluis
Maastricht;100;82,3;42;34,5;8;6,6;;;WAAR;Maastricht
Medemblik;4;8,9;1;2,2;0;0;;;WAAR;Medemblik
Meerssen;9;47,8;4;21,2;2;10,6;;;WAAR;Meerssen
Meierijstad;171;210,6;89;109,6;41;50,5;;;WAAR;Meierijstad
Meppel;3;8,8;1;2,9;1;2,9;;;WAAR;Meppel
Middelburg (Z.);7;14,3;7;14,3;2;4,1;;;WAAR;Middelburg (Z.)
Midden-Delfland;2;10,3;0;0;0;0;;;WAAR;Midden-Delfland
Midden-Drenthe;1;3;0;0;0;0;;;WAAR;Midden-Drenthe
Midden-Groningen;3;4,9;2;3,3;0;0;;;WAAR;Midden-Groningen
Mill en Sint Hubert;7;64;4;36,6;0;0;;;WAAR;Mill en Sint Hubert
Moerdijk;5;13,5;2;5,4;0;0;;;WAAR;Moerdijk
Molenlanden;16;36,4;7;15,9;0;0;;;WAAR;Molenlanden
Montferland;4;11,1;5;13,9;0;0;;;WAAR;Montferland
Montfoort;6;43,1;6;43,1;0;0;;;WAAR;Montfoort
Mook en Middelaar;6;76,5;1;12,7;0;0;;;WAAR;Mook en Middelaar
Neder-Betuwe;10;41,1;10;41,1;1;4,1;;;WAAR;Neder-Betuwe
Nederweert;19;111,6;14;82,3;1;5,9;;;WAAR;Nederweert
Nieuwegein;14;22,1;8;12,6;0;0;;;WAAR;Nieuwegein
Nieuwkoop;6;20,8;2;6,9;0;0;;;WAAR;Nieuwkoop
Nijkerk;9;20,8;5;11,6;1;2,3;;;WAAR;Nijkerk
Nijmegen;117;65,9;35;19,7;4;2,3;;;WAAR;Nijmegen
Nissewaard;21;24,6;11;12,9;4;4,7;;;WAAR;Nissewaard
Noardeast-Fryslan;3;6,6;3;6,6;0;0;;;WAAR;Noardeast-Fryslan
Noord-Beveland;1;13,5;0;0;0;0;;;WAAR;Noord-Beveland
Noordenveld;1;3,2;1;3,2;1;3,2;;;WAAR;Noordenveld
Noordoostpolder;5;10,6;5;10,6;1;2,1;;;WAAR;Noordoostpolder
Noordwijk;6;13,8;6;13,8;0;0;;;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;10;42,8;7;29,9;2;8,6;;;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;30;107,7;21;75,4;2;7,2;;;WAAR;Nunspeet
Oegstgeest;10;40,3;2;8,1;0;0;;;WAAR;Oegstgeest
Oirschot;8;42,7;5;26,7;0;0;;;WAAR;Oirschot
Oisterwijk;16;61;9;34,3;1;3,8;;;WAAR;Oisterwijk
Oldambt;0;0;0;0;0;0;;;WAAR;Oldambt
Oldebroek;13;55;10;42,3;2;8,5;;;WAAR;Oldebroek
Oldenzaal;13;40,8;4;12,6;2;6,3;;;WAAR;Oldenzaal
Olst-Wijhe;6;32,9;3;16,4;1;5,5;;;WAAR;Olst-Wijhe
Ommen;7;38,9;2;11,1;0;0;;;WAAR;Ommen
Oost Gelre;5;16,9;2;6,8;0;0;;;WAAR;Oost Gelre
Oosterhout;24;42,9;13;23,2;1;1,8;;;WAAR;Oosterhout
Ooststellingwerf;1;3,9;2;7,9;0;0;;;WAAR;Ooststellingwerf
Oostzaan;6;61,6;1;10,3;0;0;;;WAAR;Oostzaan
Opmeer;0;0;1;8,4;0;0;;;WAAR;Opmeer
Opsterland;2;6,7;1;3,4;0;0;;;WAAR;Opsterland
Oss;101;109,9;59;64,2;9;9,8;;;WAAR;Oss
Oude IJsselstreek;4;10,2;4;10,2;0;0;;;WAAR;Oude IJsselstreek
Ouder-Amstel;9;64,2;2;14,3;0;0;;;WAAR;Ouder-Amstel
Oudewater;11;107,5;13;127,1;1;9,8;;;WAAR;Oudewater
Overbetuwe;40;83,5;25;52,2;3;6,3;;;WAAR;Overbetuwe
Papendrecht;6;18,7;1;3,1;0;0;;;WAAR;Papendrecht
Peel en Maas;97;223,4;71;163,5;17;39,1;;;WAAR;Peel en Maas
Pekela;2;16,4;1;8,2;0;0;;;WAAR;Pekela
Pijnacker-Nootdorp;12;21,7;7;12,7;0;0;;;WAAR;Pijnacker-Nootdorp
Purmerend;37;45,5;22;27,1;1;1,2;;;WAAR;Purmerend
Putten;5;20,7;3;12,4;0;0;;;WAAR;Putten
Raalte;10;26,5;9;23,9;0;0;;;WAAR;Raalte
Reimerswaal;6;26,4;2;8,8;1;4,4;;;WAAR;Reimerswaal
Renkum;6;19,1;4;12,7;0;0;;;WAAR;Renkum
Renswoude;0;0;1;18,4;0;0;;;WAAR;Renswoude
Reusel-De Mierden;5;38,1;3;22,9;0;0;;;WAAR;Reusel-De Mierden
Rheden;16;36,6;11;25,1;1;2,3;;;WAAR;Rheden
Rhenen;2;9,9;0;0;0;0;;;WAAR;Rhenen
Ridderkerk;8;17,3;9;19,5;1;2,2;;;WAAR;Ridderkerk
Rijssen-Holten;9;23,6;2;5,2;0;0;;;WAAR;Rijssen-Holten
Rijswijk (ZH.);11;20,2;10;18,4;0;0;;;WAAR;Rijswijk (ZH.)
Roerdalen;11;53,5;7;34;0;0;;;WAAR;Roerdalen
Roermond;27;46,3;18;30,9;3;5,1;;;WAAR;Roermond
Roosendaal;19;24,6;9;11,7;0;0;;;WAAR;Roosendaal
Rotterdam;177;27,2;79;12,1;3;0,5;;;WAAR;Rotterdam
Rozendaal;2;117,4;1;58,7;0;0;;;WAAR;Rozendaal
Rucphen;6;26,2;2;8,7;0;0;;;WAAR;Rucphen
Schagen;9;19,4;5;10,8;0;0;;;WAAR;Schagen
Scherpenzeel;3;30,4;0;0;0;0;;;WAAR;Scherpenzeel
Schiedam;14;17,8;9;11,4;1;1,3;;;WAAR;Schiedam
Schiermonnikoog;0;0;0;0;0;0;;;WAAR;Schiermonnikoog
Schouwen-Duiveland;5;14,8;4;11,8;0;0;;;WAAR;Schouwen-Duiveland
's-Gravenhage (gemeente);78;14,3;44;8,1;0;0;;;WAAR;'s-Gravenhage (gemeente)
's-Hertogenbosch;88;56,7;45;29;8;5,2;;;WAAR;'s-Hertogenbosch
Simpelveld;6;56,8;4;37,9;0;0;;;WAAR;Simpelveld
Sint Anthonis;15;128,6;8;68,6;1;8,6;;;WAAR;Sint Anthonis
Sint-Michielsgestel;17;58,2;7;24;1;3,4;;;WAAR;Sint-Michielsgestel
Sittard-Geleen;68;73,6;36;38,9;14;15,1;;;WAAR;Sittard-Geleen
Sliedrecht;5;19,8;2;7,9;0;0;;;WAAR;Sliedrecht
Sluis;5;21,5;3;12,9;2;8,6;;;WAAR;Sluis
Smallingerland;3;5,3;1;1,8;0;0;;;WAAR;Smallingerland
Soest;13;27,9;8;17,2;0;0;;;WAAR;Soest
Someren;14;72,3;8;41,3;1;5,2;;;WAAR;Someren
Son en Breugel;17;98,1;13;75;3;17,3;;;WAAR;Son en Breugel
Stadskanaal;0;0;0;0;0;0;;;WAAR;Stadskanaal
Staphorst;3;17,5;1;5,8;0;0;;;WAAR;Staphorst
Stede Broec;11;50,6;8;36,8;1;4,6;;;WAAR;Stede Broec
Steenbergen;11;45,1;6;24,6;1;4,1;;;WAAR;Steenbergen
Steenwijkerland;6;13,6;5;11,3;0;0;;;WAAR;Steenwijkerland
Stein (L.);23;92;19;76;4;16;;;WAAR;Stein (L.)
Stichtse Vecht;19;29,3;12;18,5;2;3,1;;;WAAR;Stichtse Vecht
Sudwest-Fryslan;8;8,9;7;7,8;0;0;;;WAAR;Sudwest-Fryslan
Terneuzen;10;18,4;7;12,9;1;1,8;;;WAAR;Terneuzen
Terschelling;0;0;0;0;0;0;;;WAAR;Terschelling
Texel;2;14,7;1;7,4;0;0;;;WAAR;Texel
Teylingen;8;21,4;4;10,7;0;0;;;WAAR;Teylingen
Tholen;16;62,1;17;66;1;3,9;;;WAAR;Tholen
Tiel;14;33,2;13;30,8;2;4,7;;;WAAR;Tiel
Tilburg;206;93,7;105;47,8;36;16,4;;;WAAR;Tilburg
Tubbergen;3;14,1;4;18,8;0;0;;;WAAR;Tubbergen
Twenterand;3;8,9;3;8,9;0;0;;;WAAR;Twenterand
Tynaarlo;14;41,3;4;11,8;0;0;;;WAAR;Tynaarlo
Tytsjerksteradiel;2;6,2;0;0;0;0;;;WAAR;Tytsjerksteradiel
Uden;91;216,1;46;109,2;16;38;;;WAAR;Uden
Uitgeest;4;29,3;2;14,6;0;0;;;WAAR;Uitgeest
Uithoorn;8;27,1;6;20,4;0;0;;;WAAR;Uithoorn
Urk;7;33,3;7;33,3;0;0;;;WAAR;Urk
Utrecht (gemeente);187;52,3;56;15,7;6;1,7;;;WAAR;Utrecht (gemeente)
Utrechtse Heuvelrug;12;24,2;5;10,1;0;0;;;WAAR;Utrechtse Heuvelrug
Vaals;4;39,6;5;49,5;0;0;;;WAAR;Vaals
Valkenburg aan de Geul;9;55;2;12,2;0;0;;;WAAR;Valkenburg aan de Geul
Valkenswaard;11;35,3;7;22,4;0;0;;;WAAR;Valkenswaard
Veendam;1;3,7;0;0;0;0;;;WAAR;Veendam
Veenendaal;6;9;7;10,5;1;1,5;;;WAAR;Veenendaal
Veere;7;32;2;9,1;1;4,6;;;WAAR;Veere
Veldhoven;22;48,4;8;17,6;1;2,2;;;WAAR;Veldhoven
Velsen;19;27,7;9;13,1;1;1,5;;;WAAR;Velsen
Venlo;51;50,1;42;41,3;6;5,9;;;WAAR;Venlo
Venray;17;39;15;34,4;3;6,9;;;WAAR;Venray
Vijfheerenlanden;21;37;6;10,6;0;0;;;WAAR;Vijfheerenlanden
Vlaardingen;21;28,6;6;8,2;0;0;;;WAAR;Vlaardingen
Vlieland;0;0;0;0;0;0;;;WAAR;Vlieland
Vlissingen;8;18;2;4,5;0;0;;;WAAR;Vlissingen
Voerendaal;6;48,1;4;32,1;1;8;;;WAAR;Voerendaal
Voorschoten;5;19,5;2;7,8;0;0;;;WAAR;Voorschoten
Voorst;5;20,4;4;16,3;0;0;;;WAAR;Voorst
Vught;25;94,1;15;56,5;2;7,5;;;WAAR;Vught
Waadhoeke;0;0;1;2,2;0;0;;;WAAR;Waadhoeke
Waalre;4;22,9;1;5,7;0;0;;;WAAR;Waalre
Waalwijk;38;78,1;15;30,8;6;12,3;;;WAAR;Waalwijk
Waddinxveen;4;13,7;1;3,4;0;0;;;WAAR;Waddinxveen
Wageningen;3;7,6;3;7,6;0;0;;;WAAR;Wageningen
Wassenaar;6;22,8;3;11,4;0;0;;;WAAR;Wassenaar
Waterland;10;57,4;5;28,7;1;5,7;;;WAAR;Waterland
Weert;23;45,9;18;35,9;2;4;;;WAAR;Weert
Weesp;7;35,5;1;5,1;1;5,1;;;WAAR;Weesp
West Betuwe;17;33,2;7;13,7;0;0;;;WAAR;West Betuwe
West Maas en Waal;8;41,4;7;36,2;0;0;;;WAAR;West Maas en Waal
Westerkwartier;11;17,4;5;7,9;1;1,6;;;WAAR;Westerkwartier
Westerveld;2;10,3;1;5,1;1;5,1;;;WAAR;Westerveld
Westervoort;2;13,4;0;0;0;0;;;WAAR;Westervoort
Westerwolde;3;11,7;3;11,7;0;0;;;WAAR;Westerwolde
Westland;26;23,6;16;14,5;1;0,9;;;WAAR;Westland
Weststellingwerf;1;3,9;2;7,7;0;0;;;WAAR;Weststellingwerf
Westvoorne;7;47,5;3;20,4;0;0;;;WAAR;Westvoorne
Wierden;3;12,3;0;0;0;0;;;WAAR;Wierden
Wijchen;26;63,2;18;43,8;1;2,4;;;WAAR;Wijchen
Wijdemeren;4;16,4;2;8,2;0;0;;;WAAR;Wijdemeren
Wijk bij Duurstede;5;20,9;2;8,4;0;0;;;WAAR;Wijk bij Duurstede
Winterswijk;2;6,9;1;3,5;0;0;;;WAAR;Winterswijk
Woensdrecht;5;22,9;3;13,7;0;0;;;WAAR;Woensdrecht
Woerden;21;40,2;12;22,9;0;0;;;WAAR;Woerden
Wormerland;4;24,6;6;36,9;1;6,1;;;WAAR;Wormerland
Woudenberg;6;44,9;2;15;0;0;;;WAAR;Woudenberg
Zaanstad;29;18,5;25;15,9;4;2,6;;;WAAR;Zaanstad
Zaltbommel;5;17,3;3;10,4;0;0;;;WAAR;Zaltbommel
Zandvoort;6;35,1;3;17,5;1;5,8;;;WAAR;Zandvoort
Zeewolde;4;17,7;3;13,2;0;0;;;WAAR;Zeewolde
Zeist;24;37;8;12,3;0;0;;;WAAR;Zeist
Zevenaar;10;22,9;9;20,6;1;2,3;;;WAAR;Zevenaar
Zoetermeer;13;10,4;11;8,8;2;1,6;;;WAAR;Zoetermeer
Zoeterwoude;1;11,6;1;11,6;0;0;;;WAAR;Zoeterwoude
Zuidplas;5;11,4;8;18,2;0;0;;;WAAR;Zuidplas
Zundert;13;59,6;8;36,6;2;9,2;;;WAAR;Zundert
Zutphen;9;18,8;7;14,6;2;4,2;;;WAAR;Zutphen
Zwartewaterland;30;132,2;13;57,3;3;13,2;;;WAAR;Zwartewaterland
Zwijndrecht;8;17,9;7;15,6;1;2,2;;;WAAR;Zwijndrecht
Zwolle;47;36,5;13;10,1;3;2,3;;;WAAR;Zwolle
