Municipality_name;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;Municipality_name
Aa en Hunze;1;3,9;1;3,9;0;0;;;WAAR;Aa en Hunze
Aalsmeer;9;28,2;2;6,3;0;0;;;WAAR;Aalsmeer
Aalten;2;7,4;0;0;0;0;;;WAAR;Aalten
Achtkarspelen;1;3,6;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;6;29,8;1;5;0;0;;;WAAR;Alblasserdam
Albrandswaard;17;66,4;3;11,7;0;0;;;WAAR;Albrandswaard
Alkmaar;24;21,9;12;11;1;0,9;;;WAAR;Alkmaar
Almelo;10;13,7;5;6,8;0;0;;;WAAR;Almelo
Almere;27;12,7;21;9,9;0;0;;;WAAR;Almere
Alphen aan den Rijn;20;17,9;13;11,6;2;1,8;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;17;166,6;10;98;0;0;;;WAAR;Alphen-Chaam
Altena;30;53,6;9;16,1;0;0;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;45;28,6;18;11,4;4;2,5;;;WAAR;Amersfoort
Amstelveen;48;52,4;13;14,2;0;0;;;WAAR;Amstelveen
Amsterdam;360;41,2;135;15,5;8;0,9;;;WAAR;Amsterdam
Apeldoorn;35;21,4;24;14,7;2;1,2;;;WAAR;Apeldoorn
Appingedam;0;0;0;0;0;0;;;WAAR;Appingedam
Arnhem;24;14,9;15;9,3;1;0,6;;;WAAR;Arnhem
Assen;5;7,3;3;4,4;0;0;;;WAAR;Assen
Asten;6;35,9;2;12;2;12;;;WAAR;Asten
Baarle-Nassau;4;58,3;2;29,2;1;14,6;;;WAAR;Baarle-Nassau
Baarn;4;16,1;1;4;0;0;;;WAAR;Baarn
Barendrecht;15;30,8;10;20,5;1;2,1;;;WAAR;Barendrecht
Barneveld;12;20,3;2;3,4;2;3,4;;;WAAR;Barneveld
Beek (L.);13;81,9;7;44,1;0;0;;;WAAR;Beek (L.)
Beekdaelen;22;61,2;19;52,9;5;13,9;;;WAAR;Beekdaelen
Beemster;2;20;1;10;1;10;;;WAAR;Beemster
Beesel;8;59,3;6;44,5;0;0;;;WAAR;Beesel
Berg en Dal;34;97,2;6;17,1;1;2,9;;;WAAR;Berg en Dal
Bergeijk;9;48,3;5;26,8;1;5,4;;;WAAR;Bergeijk
Bergen (L.);1;7,6;1;7,6;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);12;40,2;8;26,8;0;0;;;WAAR;Bergen (NH.)
Bergen op Zoom;11;16,3;6;8,9;2;3;;;WAAR;Bergen op Zoom
Berkelland;3;6,9;1;2,3;0;0;;;WAAR;Berkelland
Bernheze;81;259,3;46;147,2;11;35,2;;;WAAR;Bernheze
Best;19;63,4;12;40;3;10;;;WAAR;Best
Beuningen;12;46,3;3;11,6;1;3,9;;;WAAR;Beuningen
Beverwijk;7;16,8;3;7,2;0;0;;;WAAR;Beverwijk
Bladel;15;73,6;7;34,3;3;14,7;;;WAAR;Bladel
Blaricum;5;43,3;1;8,7;0;0;;;WAAR;Blaricum
Bloemendaal;15;63,6;2;8,5;0;0;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;5;14,3;2;5,7;0;0;;;WAAR;Bodegraven-Reeuwijk
Boekel;38;352,3;14;129,8;5;46,4;;;WAAR;Boekel
Borger-Odoorn;0;0;0;0;0;0;;;WAAR;Borger-Odoorn
Borne;8;34,3;5;21,4;1;4,3;;;WAAR;Borne
Borsele;4;17,6;2;8,8;0;0;;;WAAR;Borsele
Boxmeer;12;40,9;8;27,2;2;6,8;;;WAAR;Boxmeer
Boxtel;16;51,9;7;22,7;4;13;;;WAAR;Boxtel
Breda;138;75;70;38;14;7,6;;;WAAR;Breda
Brielle;1;5,8;0;0;0;0;;;WAAR;Brielle
Bronckhorst;5;13,9;2;5,5;0;0;;;WAAR;Bronckhorst
Brummen;4;19,3;4;19,3;1;4,8;;;WAAR;Brummen
Brunssum;19;68,3;14;50,3;2;7,2;;;WAAR;Brunssum
Bunnik;8;52,7;3;19,7;0;0;;;WAAR;Bunnik
Bunschoten;3;13,7;0;0;0;0;;;WAAR;Bunschoten
Buren;6;22,4;3;11,2;0;0;;;WAAR;Buren
Capelle aan den IJssel;23;34,3;15;22,3;0;0;;;WAAR;Capelle aan den IJssel
Castricum;10;27,8;4;11,1;0;0;;;WAAR;Castricum
