Municipality_name;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;Municipality_name
Aa en Hunze;1;3,9;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;9;28,2;0;0;0;0;;;WAAR;Aalsmeer
Aalten;10;36,9;0;0;0;0;;;WAAR;Aalten
Achtkarspelen;2;7,2;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;2;9,9;0;0;0;0;;;WAAR;Alblasserdam
Albrandswaard;10;39,1;0;0;0;0;;;WAAR;Albrandswaard
Alkmaar;22;20,1;0;0;0;0;;;WAAR;Alkmaar
Almelo;6;8,2;0;0;0;0;;;WAAR;Almelo
Almere;119;56,2;0;0;0;0;;;WAAR;Almere
Alphen aan den Rijn;35;31,3;1;0,9;0;0;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;2;19,6;0;0;0;0;;;WAAR;Alphen-Chaam
Altena;15;26,8;0;0;0;0;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;43;27,3;2;1,3;0;0;;;WAAR;Amersfoort
Amstelveen;59;64,4;0;0;0;0;;;WAAR;Amstelveen
Amsterdam;1258;144,1;10;1,1;4;0,5;;;WAAR;Amsterdam
Apeldoorn;15;9,2;0;0;0;0;;;WAAR;Apeldoorn
Appingedam;0;0;0;0;0;0;;;WAAR;Appingedam
Arnhem;53;32,8;0;0;0;0;;;WAAR;Arnhem
Assen;6;8,7;0;0;0;0;;;WAAR;Assen
Asten;1;6;0;0;0;0;;;WAAR;Asten
Baarle-Nassau;2;29,2;0;0;0;0;;;WAAR;Baarle-Nassau
Baarn;2;8;0;0;0;0;;;WAAR;Baarn
Barendrecht;24;49,3;0;0;0;0;;;WAAR;Barendrecht
Barneveld;14;23,7;0;0;0;0;;;WAAR;Barneveld
Beek (L.);0;0;0;0;0;0;;;WAAR;Beek (L.)
Beekdaelen;3;8,3;0;0;0;0;;;WAAR;Beekdaelen
Beemster;0;0;0;0;0;0;;;WAAR;Beemster
Beesel;4;29,7;0;0;0;0;;;WAAR;Beesel
Berg en Dal;2;5,7;0;0;0;0;;;WAAR;Berg en Dal
Bergeijk;4;21,5;0;0;0;0;;;WAAR;Bergeijk
Bergen (L.);1;7,6;0;0;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);4;13,4;0;0;0;0;;;WAAR;Bergen (NH.)
Bergen op Zoom;42;62,2;0;0;0;0;;;WAAR;Bergen op Zoom
Berkelland;2;4,6;0;0;0;0;;;WAAR;Berkelland
Bernheze;10;32;0;0;0;0;;;WAAR;Bernheze
Best;9;30;0;0;0;0;;;WAAR;Best
Beuningen;8;30,9;0;0;0;0;;;WAAR;Beuningen
Beverwijk;10;24;0;0;0;0;;;WAAR;Beverwijk
Bladel;13;63,8;0;0;0;0;;;WAAR;Bladel
Blaricum;2;17,3;0;0;0;0;;;WAAR;Blaricum
Bloemendaal;7;29,7;0;0;0;0;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;14;40,1;0;0;0;0;;;WAAR;Bodegraven-Reeuwijk
Boekel;0;0;0;0;0;0;;;WAAR;Boekel
Borger-Odoorn;0;0;0;0;0;0;;;WAAR;Borger-Odoorn
Borne;3;12,9;0;0;0;0;;;WAAR;Borne
Borsele;1;4,4;0;0;1;4,4;;;WAAR;Borsele
Boxmeer;5;17;0;0;0;0;;;WAAR;Boxmeer
Boxtel;7;22,7;0;0;0;0;;;WAAR;Boxtel
Breda;106;57,6;0;0;2;1,1;;;WAAR;Breda
Brielle;10;57,9;0;0;0;0;;;WAAR;Brielle
Bronckhorst;3;8,3;0;0;0;0;;;WAAR;Bronckhorst
Brummen;0;0;0;0;0;0;;;WAAR;Brummen
Brunssum;5;18;0;0;0;0;;;WAAR;Brunssum
Bunnik;2;13,2;0;0;0;0;;;WAAR;Bunnik
Bunschoten;4;18,3;0;0;0;0;;;WAAR;Bunschoten
Buren;0;0;0;0;0;0;;;WAAR;Buren
Capelle aan den IJssel;56;83,4;0;0;1;1,5;;;WAAR;Capelle aan den IJssel
Castricum;4;11,1;0;0;0;0;;;WAAR;Castricum
Coevorden;5;14,2;0;0;0;0;;;WAAR;Coevorden
Cranendonck;3;14,2;0;0;0;0;;;WAAR;Cranendonck
Cuijk;7;27,9;0;0;0;0;;;WAAR;Cuijk
Culemborg;6;20,7;0;0;1;3,5;;;WAAR;Culemborg
Dalfsen;6;21;0;0;0;0;;;WAAR;Dalfsen
Dantumadiel;9;47,6;0;0;0;0;;;WAAR;Dantumadiel
De Bilt;7;16,2;0;0;0;0;;;WAAR;De Bilt
De Fryske Marren;3;5,8;0;0;0;0;;;WAAR;De Fryske Marren
De Ronde Venen;28;63;0;0;0;0;;;WAAR;De Ronde Venen
De Wolden;0;0;0;0;0;0;;;WAAR;De Wolden
Delft;45;43,4;0;0;0;0;;;WAAR;Delft
Delfzijl;25;101,3;0;0;0;0;;;WAAR;Delfzijl
Den Helder;3;5,3;0;0;0;0;;;WAAR;Den Helder
Deurne;11;33,9;1;3,1;1;3,1;;;WAAR;Deurne
Deventer;18;17,9;1;1;0;0;;;WAAR;Deventer
Diemen;33;107,2;0;0;1;3,2;;;WAAR;Diemen
Dinkelland;6;22,7;0;0;0;0;;;WAAR;Dinkelland
Doesburg;1;9;0;0;0;0;;;WAAR;Doesburg
Doetinchem;6;10,3;0;0;0;0;;;WAAR;Doetinchem
Dongen;7;26,7;0;0;0;0;;;WAAR;Dongen
Dordrecht;56;46,9;2;1,7;1;0,8;;;WAAR;Dordrecht
Drechterland;0;0;0;0;0;0;;;WAAR;Drechterland
Drimmelen;6;22;0;0;0;0;;;WAAR;Drimmelen
Dronten;4;9,6;0;0;0;0;;;WAAR;Dronten
Druten;0;0;0;0;0;0;;;WAAR;Druten
Duiven;3;11,9;0;0;0;0;;;WAAR;Duiven
Echt-Susteren;8;25,3;0;0;0;0;;;WAAR;Echt-Susteren
Edam-Volendam;9;24,9;0;0;0;0;;;WAAR;Edam-Volendam
Ede;14;11,9;1;0,9;1;0,9;;;WAAR;Ede
Eemnes;2;21,6;0;0;0;0;;;WAAR;Eemnes
Eersel;4;20,7;0;0;0;0;;;WAAR;Eersel
Eijsden-Margraten;1;3,9;0;0;0;0;;;WAAR;Eijsden-Margraten
Eindhoven;60;25,6;0;0;1;0,4;;;WAAR;Eindhoven
Elburg;3;13;0;0;0;0;;;WAAR;Elburg
Emmen;4;3,7;0;0;0;0;;;WAAR;Emmen
Enkhuizen;0;0;0;0;0;0;;;WAAR;Enkhuizen
Enschede;48;30,1;0;0;0;0;;;WAAR;Enschede
Epe;1;3;0;0;0;0;;;WAAR;Epe
Ermelo;7;25,9;0;0;0;0;;;WAAR;Ermelo
Etten-Leur;10;22,8;0;0;0;0;;;WAAR;Etten-Leur
Geertruidenberg;6;27,8;0;0;0;0;;;WAAR;Geertruidenberg
Geldrop-Mierlo;10;25,2;0;0;0;0;;;WAAR;Geldrop-Mierlo
Gemert-Bakel;6;19,5;0;0;0;0;;;WAAR;Gemert-Bakel
Gennep;19;112,3;0;0;0;0;;;WAAR;Gennep
Gilze en Rijen;22;83,2;0;0;0;0;;;WAAR;Gilze en Rijen
Goeree-Overflakkee;3;6;0;0;0;0;;;WAAR;Goeree-Overflakkee
Goes;7;18,4;0;0;0;0;;;WAAR;Goes
Goirle;3;12,6;0;0;0;0;;;WAAR;Goirle
Gooise Meren;27;46,5;1;1,7;0;0;;;WAAR;Gooise Meren
Gorinchem;12;32,4;0;0;0;0;;;WAAR;Gorinchem
Gouda;64;87,2;0;0;0;0;;;WAAR;Gouda
Grave;2;16,1;0;0;0;0;;;WAAR;Grave
Groningen (gemeente);48;20,6;0;0;0;0;;;WAAR;Groningen (gemeente)
Gulpen-Wittem;0;0;0;0;0;0;;;WAAR;Gulpen-Wittem
Haaksbergen;3;12,3;0;0;0;0;;;WAAR;Haaksbergen
Haaren;7;48,7;0;0;0;0;;;WAAR;Haaren
Haarlem;81;49,7;0;0;0;0;;;WAAR;Haarlem
Haarlemmermeer;64;41;0;0;0;0;;;WAAR;Haarlemmermeer
Halderberge;17;56,1;0;0;0;0;;;WAAR;Halderberge
Hardenberg;10;16,4;0;0;0;0;;;WAAR;Hardenberg
Harderwijk;21;43,4;0;0;0;0;;;WAAR;Harderwijk
