Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;Municipality_name
Leiderdorp;12;44,4;5;18,5;2;7,4;;;WAAR;Leiderdorp
Leidschendam-Voorburg;30;39,2;10;13,1;5;6,5;;;WAAR;Leidschendam-Voorburg
Lelystad;28;35,6;17;21,6;2;2,5;;;WAAR;Lelystad
Leudal;58;161,7;27;75,3;17;47,4;;;WAAR;Leudal
Leusden;15;49,3;5;16,4;2;6,6;;;WAAR;Leusden
Lingewaard;28;60,1;14;30;2;4,3;;;WAAR;Lingewaard
Lisse;11;47,9;4;17,4;1;4,4;;;WAAR;Lisse
Lochem;16;47,4;6;17,8;4;11,9;;;WAAR;Lochem
Loon op Zand;13;55,5;8;34,2;3;12,8;;;WAAR;Loon op Zand
Lopik;13;89,9;9;62,2;3;20,7;;;WAAR;Lopik
Loppersum;1;10,5;0;0;0;0;;;WAAR;Loppersum
Losser;11;48,5;6;26,5;0;0;;;WAAR;Losser
Maasdriel;15;59,9;9;36;1;4;;;WAAR;Maasdriel
Maasgouw;31;129,4;15;62,6;6;25;;;WAAR;Maasgouw
Maassluis;23;69,2;8;24,1;1;3;;;WAAR;Maassluis
Maastricht;226;185,9;68;55,9;24;19,7;;;WAAR;Maastricht
Medemblik;30;66,5;13;28,8;4;8,9;;;WAAR;Medemblik
Meerssen;33;175,3;7;37,2;2;10,6;;;WAAR;Meerssen
Meierijstad;155;190,9;61;75,1;57;70,2;;;WAAR;Meierijstad
Meppel;18;53,1;5;14,7;3;8,8;;;WAAR;Meppel
Middelburg (Z.);25;51,2;5;10,2;4;8,2;;;WAAR;Middelburg (Z.)
Midden-Delfland;9;46,5;3;15,5;0;0;;;WAAR;Midden-Delfland
Midden-Drenthe;12;36,2;6;18,1;0;0;;;WAAR;Midden-Drenthe
Midden-Groningen;7;11,5;2;3,3;1;1,6;;;WAAR;Midden-Groningen
Mill en Sint Hubert;7;64;4;36,6;1;9,1;;;WAAR;Mill en Sint Hubert
Moerdijk;23;61,9;7;18,9;4;10,8;;;WAAR;Moerdijk
Molenlanden;34;77,4;9;20,5;2;4,6;;;WAAR;Molenlanden
Montferland;19;52,8;8;22,2;2;5,6;;;WAAR;Montferland
Montfoort;22;158,1;5;35,9;4;28,7;;;WAAR;Montfoort
Mook en Middelaar;12;152,9;2;25,5;2;25,5;;;WAAR;Mook en Middelaar
Neder-Betuwe;42;172,6;18;74;8;32,9;;;WAAR;Neder-Betuwe
Nederweert;17;99,9;10;58,8;4;23,5;;;WAAR;Nederweert
Nieuwegein;43;67,8;23;36,2;7;11;;;WAAR;Nieuwegein
Nieuwkoop;20;69,4;6;20,8;3;10,4;;;WAAR;Nieuwkoop
Nijkerk;28;64,9;15;34,7;1;2,3;;;WAAR;Nijkerk
Nijmegen;223;125,5;65;36,6;26;14,6;;;WAAR;Nijmegen
Nissewaard;60;70,4;26;30,5;3;3,5;;;WAAR;Nissewaard
Noardeast-Fryslan;4;8,8;2;4,4;2;4,4;;;WAAR;Noardeast-Fryslan
Noord-Beveland;2;27,1;0;0;0;0;;;WAAR;Noord-Beveland
Noordenveld;7;22,4;2;6,4;0;0;;;WAAR;Noordenveld
Noordoostpolder;14;29,6;3;6,3;3;6,3;;;WAAR;Noordoostpolder
Noordwijk;15;34,5;5;11,5;1;2,3;;;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;11;47;6;25,7;2;8,6;;;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;55;197,5;22;79;8;28,7;;;WAAR;Nunspeet
Oegstgeest;10;40,3;3;12,1;1;4;;;WAAR;Oegstgeest
Oirschot;25;133,6;7;37,4;3;16;;;WAAR;Oirschot
Oisterwijk;19;72,4;9;34,3;7;26,7;;;WAAR;Oisterwijk
Oldambt;4;10,5;2;5,2;0;0;;;WAAR;Oldambt
Oldebroek;50;211,5;22;93;7;29,6;;;WAAR;Oldebroek
Oldenzaal;15;47,1;7;22;5;15,7;;;WAAR;Oldenzaal
Olst-Wijhe;16;87,7;6;32,9;3;16,4;;;WAAR;Olst-Wijhe
Ommen;19;105,5;4;22,2;2;11,1;;;WAAR;Ommen
Oost Gelre;18;60,8;6;20,3;3;10,1;;;WAAR;Oost Gelre
Oosterhout;36;64,3;20;35,7;7;12,5;;;WAAR;Oosterhout
Ooststellingwerf;1;3,9;0;0;0;0;;;WAAR;Ooststellingwerf
Oostzaan;11;113;6;61,6;0;0;;;WAAR;Oostzaan
Opmeer;3;25,3;0;0;0;0;;;WAAR;Opmeer
Opsterland;7;23,5;3;10,1;0;0;;;WAAR;Opsterland
Oss;174;189,3;66;71,8;53;57,7;;;WAAR;Oss
Oude IJsselstreek;24;60,9;11;27,9;4;10,2;;;WAAR;Oude IJsselstreek
Ouder-Amstel;8;57;3;21,4;0;0;;;WAAR;Ouder-Amstel
Oudewater;26;254,2;10;97,8;4;39,1;;;WAAR;Oudewater
Overbetuwe;38;79,3;21;43,8;8;16,7;;;WAAR;Overbetuwe
Papendrecht;14;43,6;6;18,7;2;6,2;;;WAAR;Papendrecht
Peel en Maas;100;230,3;56;129;31;71,4;;;WAAR;Peel en Maas
Pekela;2;16,4;2;16,4;0;0;;;WAAR;Pekela
Pijnacker-Nootdorp;26;47;10;18,1;5;9;;;WAAR;Pijnacker-Nootdorp
Purmerend;74;91,1;31;38,2;9;11,1;;;WAAR;Purmerend
Putten;10;41,5;4;16,6;0;0;;;WAAR;Putten
Raalte;29;76,9;9;23,9;7;18,6;;;WAAR;Raalte
Reimerswaal;5;22;0;0;1;4,4;;;WAAR;Reimerswaal
Renkum;19;60,5;8;25,5;0;0;;;WAAR;Renkum
Renswoude;8;147;4;73,5;2;36,7;;;WAAR;Renswoude
Reusel-De Mierden;8;61;5;38,1;0;0;;;WAAR;Reusel-De Mierden
Rheden;32;73,1;19;43,4;11;25,1;;;WAAR;Rheden
Rhenen;10;49,7;4;19,9;1;5;;;WAAR;Rhenen
Ridderkerk;52;112,6;21;45,5;7;15,2;;;WAAR;Ridderkerk
Rijssen-Holten;48;125,7;17;44,5;1;2,6;;;WAAR;Rijssen-Holten
Rijswijk (ZH.);28;51,4;9;16,5;6;11;;;WAAR;Rijswijk (ZH.)
Roerdalen;22;106,9;16;77,8;5;24,3;;;WAAR;Roerdalen
Roermond;50;85,8;28;48,1;10;17,2;;;WAAR;Roermond
Roosendaal;60;77,7;6;7,8;7;9,1;;;WAAR;Roosendaal
Rotterdam;706;108,4;207;31,8;62;9,5;;;WAAR;Rotterdam
Rozendaal;0;0;0;0;0;0;;;WAAR;Rozendaal
Rucphen;17;74,3;2;8,7;6;26,2;;;WAAR;Rucphen
Schagen;34;73,1;10;21,5;3;6,5;;;WAAR;Schagen
Scherpenzeel;10;101,2;2;20,2;1;10,1;;;WAAR;Scherpenzeel
Schiedam;48;61;21;26,7;4;5,1;;;WAAR;Schiedam
Schiermonnikoog;0;0;0;0;0;0;;;WAAR;Schiermonnikoog
Schouwen-Duiveland;14;41,4;4;11,8;0;0;;;WAAR;Schouwen-Duiveland
's-Gravenhage (gemeente);356;65,2;145;26,6;43;7,9;;;WAAR;'s-Gravenhage (gemeente)
's-Hertogenbosch;148;95,4;45;29;32;20,6;;;WAAR;'s-Hertogenbosch
Simpelveld;18;170,5;12;113,7;3;28,4;;;WAAR;Simpelveld
Sint Anthonis;34;291,5;6;51,4;6;51,4;;;WAAR;Sint Anthonis
Sint-Michielsgestel;31;106,1;9;30,8;6;20,5;;;WAAR;Sint-Michielsgestel
Sittard-Geleen;91;98,5;42;45,4;17;18,4;;;WAAR;Sittard-Geleen
Sliedrecht;16;63,4;5;19,8;2;7,9;;;WAAR;Sliedrecht
Sluis;7;30,2;3;12,9;2;8,6;;;WAAR;Sluis
Smallingerland;12;21,4;3;5,3;1;1,8;;;WAAR;Smallingerland
Soest;31;66,5;9;19,3;5;10,7;;;WAAR;Soest
Someren;37;191;15;77,4;2;10,3;;;WAAR;Someren
Son en Breugel;25;144,3;10;57,7;2;11,5;;;WAAR;Son en Breugel
Stadskanaal;2;6,3;2;6,3;0;0;;;WAAR;Stadskanaal
Staphorst;21;122,5;5;29,2;2;11,7;;;WAAR;Staphorst
Stede Broec;19;87,5;9;41,4;3;13,8;;;WAAR;Stede Broec
Steenbergen;20;81,9;5;20,5;4;16,4;;;WAAR;Steenbergen
Steenwijkerland;18;40,8;5;11,3;2;4,5;;;WAAR;Steenwijkerland
Stein (L.);38;152;17;68;7;28;;;WAAR;Stein (L.)
Stichtse Vecht;31;47,7;15;23,1;4;6,2;;;WAAR;Stichtse Vecht
Sudwest-Fryslan;36;40;9;10;3;3,3;;;WAAR;Sudwest-Fryslan
Terneuzen;43;79;11;20,2;1;1,8;;;WAAR;Terneuzen
Terschelling;1;20,5;0;0;0;0;;;WAAR;Terschelling
Texel;5;36,8;4;29,5;1;7,4;;;WAAR;Texel
Teylingen;18;48,1;8;21,4;0;0;;;WAAR;Teylingen
Tholen;66;256,2;17;66;11;42,7;;;WAAR;Tholen
Tiel;31;73,5;18;42,7;7;16,6;;;WAAR;Tiel
Tilburg;186;84,6;79;35,9;64;29,1;;;WAAR;Tilburg
Tubbergen;46;216,2;5;23,5;2;9,4;;;WAAR;Tubbergen
Twenterand;19;56,3;6;17,8;1;3;;;WAAR;Twenterand
Tynaarlo;15;44,3;4;11,8;0;0;;;WAAR;Tynaarlo
Tytsjerksteradiel;10;31,2;4;12,5;1;3,1;;;WAAR;Tytsjerksteradiel
Uden;86;204,2;37;87,8;36;85,5;;;WAAR;Uden
Uitgeest;10;73,2;1;7,3;1;7,3;;;WAAR;Uitgeest
Uithoorn;19;64,5;7;23,7;1;3,4;;;WAAR;Uithoorn
Urk;20;95,1;12;57,1;3;14,3;;;WAAR;Urk
Utrecht (gemeente);262;73,3;105;29,4;31;8,7;;;WAAR;Utrecht (gemeente)
Utrechtse Heuvelrug;38;76,6;15;30,3;5;10,1;;;WAAR;Utrechtse Heuvelrug
Vaals;11;108,9;4;39,6;1;9,9;;;WAAR;Vaals
Valkenburg aan de Geul;35;213,8;11;67,2;3;18,3;;;WAAR;Valkenburg aan de Geul
Valkenswaard;71;227,6;9;28,9;18;57,7;;;WAAR;Valkenswaard
Veendam;4;14,6;1;3,7;0;0;;;WAAR;Veendam
Veenendaal;46;69,2;19;28,6;5;7,5;;;WAAR;Veenendaal
Veere;11;50,3;3;13,7;0;0;;;WAAR;Veere
Veldhoven;35;77;15;33;11;24,2;;;WAAR;Veldhoven
Velsen;111;161,7;13;18,9;12;17,5;;;WAAR;Velsen
Venlo;109;107,1;65;63,8;30;29,5;;;WAAR;Venlo
Venray;42;96,3;17;39;9;20,6;;;WAAR;Venray
Vijfheerenlanden;90;158,4;15;26,4;18;31,7;;;WAAR;Vijfheerenlanden
Vlaardingen;66;89,9;19;25,9;10;13,6;;;WAAR;Vlaardingen
Vlieland;0;0;0;0;0;0;;;WAAR;Vlieland
Vlissingen;30;67,6;4;9;3;6,8;;;WAAR;Vlissingen
Voerendaal;16;128,3;8;64,1;4;32,1;;;WAAR;Voerendaal
Voorschoten;17;66,4;7;27,3;3;11,7;;;WAAR;Voorschoten
Voorst;23;93,7;12;48,9;5;20,4;;;WAAR;Voorst
Vught;37;139,3;17;64;9;33,9;;;WAAR;Vught
Waadhoeke;42;91,1;5;10,8;2;4,3;;;WAAR;Waadhoeke
Waalre;15;85,9;4;22,9;3;17,2;;;WAAR;Waalre
Waalwijk;36;74;11;22,6;15;30,8;;;WAAR;Waalwijk
Waddinxveen;23;78,5;10;34,1;3;10,2;;;WAAR;Waddinxveen
Wageningen;14;35,3;7;17,6;5;12,6;;;WAAR;Wageningen
Wassenaar;12;45,6;3;11,4;3;11,4;;;WAAR;Wassenaar
Waterland;8;45,9;7;40,2;1;5,7;;;WAAR;Waterland
Weert;62;123,7;35;69,9;7;14;;;WAAR;Weert
Weesp;16;81,1;5;25,3;1;5,1;;;WAAR;Weesp
West Betuwe;67;131;21;41,1;7;13,7;;;WAAR;West Betuwe
West Maas en Waal;24;124,2;4;20,7;2;10,3;;;WAAR;West Maas en Waal
Westerkwartier;28;44,2;7;11,1;1;1,6;;;WAAR;Westerkwartier
Westerveld;18;92,5;4;20,6;0;0;;;WAAR;Westerveld
Westervoort;9;60,1;8;53,4;1;6,7;;;WAAR;Westervoort
Westerwolde;2;7,8;2;7,8;0;0;;;WAAR;Westerwolde
Westland;81;73,4;27;24,5;10;9,1;;;WAAR;Westland
Weststellingwerf;4;15,4;0;0;1;3,9;;;WAAR;Weststellingwerf
Westvoorne;12;81,5;2;13,6;0;0;;;WAAR;Westvoorne
Wierden;17;69,5;4;16,4;3;12,3;;;WAAR;Wierden
Wijchen;38;92,4;15;36,5;5;12,2;;;WAAR;Wijchen
Wijdemeren;10;41,1;5;20,5;0;0;;;WAAR;Wijdemeren
Wijk bij Duurstede;8;33,5;4;16,7;0;0;;;WAAR;Wijk bij Duurstede
Winterswijk;7;24,3;4;13,9;0;0;;;WAAR;Winterswijk
Woensdrecht;8;36,6;1;4,6;0;0;;;WAAR;Woensdrecht
Woerden;55;105,2;24;45,9;10;19,1;;;WAAR;Woerden
Wormerland;19;116,8;10;61,5;2;12,3;;;WAAR;Wormerland
Woudenberg;11;82,3;6;44,9;0;0;;;WAAR;Woudenberg
Zaanstad;139;88,7;62;39,5;14;8,9;;;WAAR;Zaanstad
Zaltbommel;22;76,2;10;34,6;4;13,8;;;WAAR;Zaltbommel
Zandvoort;17;99,3;4;23,4;3;17,5;;;WAAR;Zandvoort
Zeewolde;10;44,1;5;22,1;0;0;;;WAAR;Zeewolde
Zeist;49;75,5;20;30,8;8;12,3;;;WAAR;Zeist
Zevenaar;31;70,9;19;43,4;2;4,6;;;WAAR;Zevenaar
Zoetermeer;53;42,3;22;17,6;1;0,8;;;WAAR;Zoetermeer
Zoeterwoude;5;58,1;1;11,6;0;0;;;WAAR;Zoeterwoude
Zuidplas;41;93,4;10;22,8;4;9,1;;;WAAR;Zuidplas
Zundert;22;100,8;3;13,7;3;13,7;;;WAAR;Zundert
Zutphen;27;56,3;13;27,1;8;16,7;;;WAAR;Zutphen
Zwartewaterland;43;189,6;15;66,1;9;39,7;;;WAAR;Zwartewaterland
Zwijndrecht;23;51,4;5;11,2;2;4,5;;;WAAR;Zwijndrecht
Zwolle;121;93,9;31;24,1;18;14;;;WAAR;Zwolle
