Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;Municipality_name
Aa en Hunze;6;23,6;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;12;37,7;5;15,7;2;6,3;;;WAAR;Aalsmeer
Aalten;15;55,3;5;18,4;3;11,1;;;WAAR;Aalten
Achtkarspelen;4;14,4;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;8;39,7;4;19,8;0;0;;;WAAR;Alblasserdam
Albrandswaard;25;97,7;6;23,4;3;11,7;;;WAAR;Albrandswaard
Alkmaar;90;82,2;26;23,8;12;11;;;WAAR;Alkmaar
Almelo;36;49,2;13;17,8;4;5,5;;;WAAR;Almelo
Almere;103;48,6;64;30,2;4;1,9;;;WAAR;Almere
Alphen aan den Rijn;54;48,3;31;27,7;7;6,3;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;22;215,6;7;68,6;4;39,2;;;WAAR;Alphen-Chaam
Altena;32;57,2;14;25;4;7,1;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;54;34,3;29;18,4;9;5,7;;;WAAR;Amersfoort
Amstelveen;112;122,2;31;33,8;19;20,7;;;WAAR;Amstelveen
Amsterdam;606;69,4;256;29,3;66;7,6;;;WAAR;Amsterdam
Apeldoorn;104;63,5;38;23,2;13;7,9;;;WAAR;Apeldoorn
Appingedam;2;17,2;2;17,2;0;0;;;WAAR;Appingedam
Arnhem;83;51,4;34;21,1;7;4,3;;;WAAR;Arnhem
Assen;20;29,2;8;11,7;2;2,9;;;WAAR;Assen
Asten;23;137,6;9;53,8;2;12;;;WAAR;Asten
Baarle-Nassau;11;160,4;5;72,9;0;0;;;WAAR;Baarle-Nassau
Baarn;16;64,3;7;28,1;0;0;;;WAAR;Baarn
Barendrecht;41;84,2;18;37;2;4,1;;;WAAR;Barendrecht
Barneveld;41;69,4;9;15,2;0;0;;;WAAR;Barneveld
Beek (L.);9;56,7;5;31,5;2;12,6;;;WAAR;Beek (L.)
Beekdaelen;33;91,8;15;41,7;6;16,7;;;WAAR;Beekdaelen
Beemster;5;49,9;3;29,9;0;0;;;WAAR;Beemster
Beesel;15;111,3;10;74,2;6;44,5;;;WAAR;Beesel
Berg en Dal;52;148,6;17;48,6;10;28,6;;;WAAR;Berg en Dal
Bergeijk;17;91,2;8;42,9;3;16,1;;;WAAR;Bergeijk
Bergen (L.);7;53,5;5;38,2;1;7,6;;;WAAR;Bergen (L.)
Bergen (NH.);25;83,8;8;26,8;1;3,4;;;WAAR;Bergen (NH.)
Bergen op Zoom;25;37;7;10,4;2;3;;;WAAR;Bergen op Zoom
Berkelland;12;27,4;6;13,7;0;0;;;WAAR;Berkelland
Bernheze;89;284,9;26;83,2;25;80;;;WAAR;Bernheze
Best;23;76,7;11;36,7;3;10;;;WAAR;Best
Beuningen;21;81,1;14;54,1;3;11,6;;;WAAR;Beuningen
Beverwijk;35;84,1;5;12;3;7,2;;;WAAR;Beverwijk
Bladel;19;93,2;8;39,2;4;19,6;;;WAAR;Bladel
Blaricum;5;43,3;3;26;2;17,3;;;WAAR;Blaricum
Bloemendaal;18;76,4;3;12,7;2;8,5;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;14;40,1;4;11,5;1;2,9;;;WAAR;Bodegraven-Reeuwijk
Boekel;26;241,1;8;74,2;10;92,7;;;WAAR;Boekel
Borger-Odoorn;4;15,7;2;7,8;2;7,8;;;WAAR;Borger-Odoorn
Borne;24;103;6;25,7;4;17,2;;;WAAR;Borne
Borsele;8;35,2;1;4,4;0;0;;;WAAR;Borsele
Boxmeer;42;143;9;30,6;6;20,4;;;WAAR;Boxmeer
Boxtel;18;58,4;6;19,5;5;16,2;;;WAAR;Boxtel
Breda;142;77,1;36;19,6;25;13,6;;;WAAR;Breda
Brielle;19;110;9;52,1;0;0;;;WAAR;Brielle
Bronckhorst;11;30,5;4;11,1;3;8,3;;;WAAR;Bronckhorst
Brummen;10;48,2;7;33,8;1;4,8;;;WAAR;Brummen
Brunssum;28;100,6;14;50,3;6;21,6;;;WAAR;Brunssum
Bunnik;10;65,8;4;26,3;1;6,6;;;WAAR;Bunnik
Bunschoten;17;77,7;6;27,4;0;0;;;WAAR;Bunschoten
Buren;12;44,9;4;15;1;3,7;;;WAAR;Buren
Capelle aan den IJssel;97;144,5;15;22,3;21;31,3;;;WAAR;Capelle aan den IJssel
Castricum;35;97,3;8;22,2;6;16,7;;;WAAR;Castricum
Coevorden;19;53,8;6;17;1;2,8;;;WAAR;Coevorden
Cranendonck;65;307,5;32;151,4;12;56,8;;;WAAR;Cranendonck
Cuijk;23;91,5;5;19,9;5;19,9;;;WAAR;Cuijk
Culemborg;27;93,2;12;41,4;6;20,7;;;WAAR;Culemborg
Dalfsen;25;87,5;8;28;3;10,5;;;WAAR;Dalfsen
Dantumadiel;5;26,4;2;10,6;0;0;;;WAAR;Dantumadiel
De Bilt;32;74,2;11;25,5;3;7;;;WAAR;De Bilt
De Fryske Marren;23;44,6;6;11,6;5;9,7;;;WAAR;De Fryske Marren
De Ronde Venen;37;83,2;17;38,2;2;4,5;;;WAAR;De Ronde Venen
De Wolden;16;65,8;6;24,7;1;4,1;;;WAAR;De Wolden
Delft;41;39,6;19;18,3;3;2,9;;;WAAR;Delft
Delfzijl;10;40,5;5;20,3;0;0;;;WAAR;Delfzijl
Den Helder;17;30,2;6;10,7;0;0;;;WAAR;Den Helder
Deurne;57;175,5;18;55,4;7;21,6;;;WAAR;Deurne
Deventer;63;62,6;23;22,8;16;15,9;;;WAAR;Deventer
Diemen;21;68,2;4;13;2;6,5;;;WAAR;Diemen
Dinkelland;31;117,2;11;41,6;5;18,9;;;WAAR;Dinkelland
Doesburg;5;45,1;2;18,1;2;18,1;;;WAAR;Doesburg
Doetinchem;33;56,9;11;19;4;6,9;;;WAAR;Doetinchem
Dongen;35;133,5;10;38,1;8;30,5;;;WAAR;Dongen
Dordrecht;77;64,6;38;31,9;7;5,9;;;WAAR;Dordrecht
Drechterland;21;106,5;0;0;4;20,3;;;WAAR;Drechterland
Drimmelen;15;55;4;14,7;3;11;;;WAAR;Drimmelen
Dronten;26;62,6;12;28,9;3;7,2;;;WAAR;Dronten
Druten;30;158,5;12;63,4;4;21,1;;;WAAR;Druten
Duiven;18;71,6;7;27,9;1;4;;;WAAR;Duiven
Echt-Susteren;33;104,4;17;53,8;6;19;;;WAAR;Echt-Susteren
Edam-Volendam;21;58;10;27,6;0;0;;;WAAR;Edam-Volendam
Ede;70;59,7;31;26,5;11;9,4;;;WAAR;Ede
Eemnes;6;64,9;0;0;1;10,8;;;WAAR;Eemnes
Eersel;20;103,6;11;57;3;15,5;;;WAAR;Eersel
Eijsden-Margraten;70;271,7;27;104,8;11;42,7;;;WAAR;Eijsden-Margraten
Eindhoven;155;66,1;73;31,1;35;14,9;;;WAAR;Eindhoven
Elburg;37;159,8;14;60,4;2;8,6;;;WAAR;Elburg
Emmen;32;29,9;10;9,3;5;4,7;;;WAAR;Emmen
Enkhuizen;12;64,5;4;21,5;3;16,1;;;WAAR;Enkhuizen
Enschede;94;58,9;31;19,4;11;6,9;;;WAAR;Enschede
Epe;40;120,6;17;51,2;6;18,1;;;WAAR;Epe
Ermelo;33;122,2;12;44,4;7;25,9;;;WAAR;Ermelo
Etten-Leur;61;139;18;41;17;38,7;;;WAAR;Etten-Leur
Geertruidenberg;5;23,2;2;9,3;2;9,3;;;WAAR;Geertruidenberg
Geldrop-Mierlo;41;103,2;14;35,2;4;10,1;;;WAAR;Geldrop-Mierlo
Gemert-Bakel;43;140;20;65,1;12;39,1;;;WAAR;Gemert-Bakel
Gennep;27;159,6;9;53,2;5;29,5;;;WAAR;Gennep
Gilze en Rijen;23;87;7;26,5;9;34,1;;;WAAR;Gilze en Rijen
Goeree-Overflakkee;147;293,7;30;59,9;14;28;;;WAAR;Goeree-Overflakkee
Goes;30;78,8;7;18,4;4;10,5;;;WAAR;Goes
Goirle;28;117,1;8;33,5;8;33,5;;;WAAR;Goirle
Gooise Meren;33;56,8;12;20,7;5;8,6;;;WAAR;Gooise Meren
Gorinchem;70;189,1;8;21,6;5;13,5;;;WAAR;Gorinchem
Gouda;80;109;20;27,2;10;13,6;;;WAAR;Gouda
Grave;24;193;10;80,4;5;40,2;;;WAAR;Grave
Groningen (gemeente);47;20,2;8;3,4;2;0,9;;;WAAR;Groningen (gemeente)
Gulpen-Wittem;30;211,7;8;56,5;2;14,1;;;WAAR;Gulpen-Wittem
Haaksbergen;21;86,4;11;45,2;1;4,1;;;WAAR;Haaksbergen
Haaren;15;104,4;4;27,8;2;13,9;;;WAAR;Haaren
Haarlem;132;81;31;19;23;14,1;;;WAAR;Haarlem
Haarlemmermeer;106;67,9;31;19,9;10;6,4;;;WAAR;Haarlemmermeer
Halderberge;25;82,6;2;6,6;3;9,9;;;WAAR;Halderberge
Hardenberg;68;111,6;13;21,3;5;8,2;;;WAAR;Hardenberg
Harderwijk;37;76,4;14;28,9;5;10,3;;;WAAR;Harderwijk
Hardinxveld-Giessendam;9;49,2;1;5,5;2;10,9;;;WAAR;Hardinxveld-Giessendam
Harlingen;3;19,1;1;6,4;0;0;;;WAAR;Harlingen
Hattem;21;172;9;73,7;3;24,6;;;WAAR;Hattem
Heemskerk;52;132,7;16;40,8;7;17,9;;;WAAR;Heemskerk
Heemstede;63;231,3;5;18,4;23;84,5;;;WAAR;Heemstede
Heerde;46;247,5;18;96,8;12;64,6;;;WAAR;Heerde
Heerenveen;31;61,4;7;13,9;7;13,9;;;WAAR;Heerenveen
Heerhugowaard;39;67,7;11;19,1;2;3,5;;;WAAR;Heerhugowaard
Heerlen;122;140,1;49;56,3;19;21,8;;;WAAR;Heerlen
Heeze-Leende;24;148,6;7;43,3;2;12,4;;;WAAR;Heeze-Leende
Heiloo;15;62,6;7;29,2;2;8,3;;;WAAR;Heiloo
Hellendoorn;30;83,5;5;13,9;2;5,6;;;WAAR;Hellendoorn
Hellevoetsluis;30;74,7;9;22,4;0;0;;;WAAR;Hellevoetsluis
Helmond;104;112,5;49;53;20;21,6;;;WAAR;Helmond
Hendrik-Ido-Ambacht;13;41,7;2;6,4;1;3,2;;;WAAR;Hendrik-Ido-Ambacht
Hengelo (O.);53;65,3;12;14,8;7;8,6;;;WAAR;Hengelo (O.)
Het Hogeland;14;29,3;4;8,4;1;2,1;;;WAAR;Het Hogeland
Heumen;23;139,8;12;72,9;3;18,2;;;WAAR;Heumen
Heusden;36;80,6;20;44,8;5;11,2;;;WAAR;Heusden
Hillegom;12;54;4;18;0;0;;;WAAR;Hillegom
Hilvarenbeek;10;64,4;3;19,3;2;12,9;;;WAAR;Hilvarenbeek
Hilversum;24;26,4;12;13,2;4;4,4;;;WAAR;Hilversum
Hoeksche Waard;70;80,1;32;36,6;4;4,6;;;WAAR;Hoeksche Waard
Hof van Twente;26;74,2;10;28,6;2;5,7;;;WAAR;Hof van Twente
Hollands Kroon;32;66,1;15;31;4;8,3;;;WAAR;Hollands Kroon
Hoogeveen;22;39,5;8;14,4;0;0;;;WAAR;Hoogeveen
Hoorn;37;50,5;15;20,5;7;9,6;;;WAAR;Hoorn
Horst aan de Maas;41;96,6;20;47,1;12;28,3;;;WAAR;Horst aan de Maas
Houten;35;69,8;14;27,9;7;14;;;WAAR;Houten
Huizen;23;55,7;10;24,2;3;7,3;;;WAAR;Huizen
Hulst;19;69;5;18,1;5;18,1;;;WAAR;Hulst
IJsselstein;35;102,6;13;38,1;16;46,9;;;WAAR;IJsselstein
Kaag en Braassem;9;33;2;7,3;1;3,7;;;WAAR;Kaag en Braassem
Kampen;105;193,3;30;55,2;15;27,6;;;WAAR;Kampen
Kapelle;9;70,9;0;0;0;0;;;WAAR;Kapelle
Katwijk;47;71,5;18;27,4;5;7,6;;;WAAR;Katwijk
Kerkrade;61;133,3;26;56,8;13;28,4;;;WAAR;Kerkrade
Koggenland;13;57,1;3;13,2;4;17,6;;;WAAR;Koggenland
Krimpen aan den IJssel;25;84,7;6;20,3;4;13,5;;;WAAR;Krimpen aan den IJssel
Krimpenerwaard;55;97,7;26;46,2;15;26,6;;;WAAR;Krimpenerwaard
Laarbeek;40;177,6;17;75,5;16;71;;;WAAR;Laarbeek
Landerd;42;267;17;108,1;7;44,5;;;WAAR;Landerd
Landgraaf;54;144,2;22;58,8;6;16;;;WAAR;Landgraaf
Landsmeer;10;87;0;0;2;17,4;;;WAAR;Landsmeer
Langedijk;16;56,8;8;28,4;2;7,1;;;WAAR;Langedijk
Lansingerland;70;112,2;20;32,1;12;19,2;;;WAAR;Lansingerland
Laren (NH.);13;115,2;3;26,6;1;8,9;;;WAAR;Laren (NH.)
Leeuwarden;31;25;18;14,5;3;2,4;;;WAAR;Leeuwarden
Leiden;52;41,6;19;15,2;8;6,4;;;WAAR;Leiden
