Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;;Municipality_name
Aa en Hunze;0;0;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;1;3,1;0;0;0;0;;;WAAR;Aalsmeer
Aalten;0;0;0;0;0;0;;;WAAR;Aalten
Achtkarspelen;1;3,6;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;3;14,9;0;0;0;0;;;WAAR;Alblasserdam
Albrandswaard;10;39,1;0;0;0;0;;;WAAR;Albrandswaard
Alkmaar;5;4,6;0;0;0;0;;;WAAR;Alkmaar
Almelo;0;0;0;0;0;0;;;WAAR;Almelo
Almere;12;5,7;1;0,5;0;0;;;WAAR;Almere
Alphen aan den Rijn;14;12,5;0;0;0;0;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;7;68,6;0;0;0;0;;;WAAR;Alphen-Chaam
Altena;4;7,1;0;0;0;0;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;22;14;0;0;0;0;;;WAAR;Amersfoort
Amstelveen;6;6,5;0;0;0;0;;;WAAR;Amstelveen
Amsterdam;306;35,1;9;1;0;0;;;WAAR;Amsterdam
Apeldoorn;8;4,9;1;0,6;0;0;;;WAAR;Apeldoorn
Appingedam;0;0;0;0;0;0;;;WAAR;Appingedam
Arnhem;15;9,3;0;0;0;0;;;WAAR;Arnhem
Assen;3;4,4;0;0;0;0;;;WAAR;Assen
Asten;1;6;0;0;0;0;;;WAAR;Asten
Baarle-Nassau;0;0;0;0;0;0;;;WAAR;Baarle-Nassau
Baarn;1;4;0;0;0;0;;;WAAR;Baarn
Barendrecht;7;14,4;0;0;0;0;;;WAAR;Barendrecht
Barneveld;1;1,7;0;0;0;0;;;WAAR;Barneveld
Beek (L.);0;0;0;0;0;0;;;WAAR;Beek (L.)
Beekdaelen;1;2,8;0;0;0;0;;;WAAR;Beekdaelen
Beemster;0;0;0;0;0;0;;;WAAR;Beemster
Beesel;1;7,4;0;0;0;0;;;WAAR;Beesel
Berg en Dal;1;2,9;0;0;0;0;;;WAAR;Berg en Dal
Bergeijk;0;0;0;0;0;0;;;WAAR;Bergeijk
Bergen (L.);0;0;0;0;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);12;40,2;0;0;0;0;;;WAAR;Bergen (NH.)
Bergen op Zoom;11;16,3;0;0;0;0;;;WAAR;Bergen op Zoom
Berkelland;0;0;0;0;0;0;;;WAAR;Berkelland
Bernheze;0;0;0;0;0;0;;;WAAR;Bernheze
Best;0;0;0;0;0;0;;;WAAR;Best
Beuningen;3;11,6;0;0;0;0;;;WAAR;Beuningen
