Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;
Aa en Hunze;1680;Aa en Hunze;25445;2-12-2020;15-12-2020;Aa en Hunze;78;306,5;1;3,9;0;0;;WAAR;Aa en Hunze
Aalsmeer;358;Aalsmeer;31859;2-12-2020;15-12-2020;Aalsmeer;141;442,6;2;6,3;1;3,1;;WAAR;Aalsmeer
Aalten;197;Aalten;27121;2-12-2020;15-12-2020;Aalten;87;320,8;0;0;0;0;;WAAR;Aalten
Achtkarspelen;59;Achtkarspelen;27843;2-12-2020;15-12-2020;Achtkarspelen;76;273;1;3,6;0;0;;WAAR;Achtkarspelen
Alblasserdam;482;Alblasserdam;20165;2-12-2020;15-12-2020;Alblasserdam;103;510,8;0;0;0;0;;WAAR;Alblasserdam
Albrandswaard;613;Albrandswaard;25590;2-12-2020;15-12-2020;Albrandswaard;149;582,3;0;0;1;3,9;;WAAR;Albrandswaard
Alkmaar;361;Alkmaar;109436;2-12-2020;15-12-2020;Alkmaar;486;444,1;2;1,8;3;2,7;;WAAR;Alkmaar
Almelo;141;Almelo;73107;2-12-2020;15-12-2020;Almelo;436;596,4;5;6,8;2;2,7;;WAAR;Almelo
Almere;34;Almere;211893;2-12-2020;15-12-2020;Almere;1414;667,3;8;3,8;1;0,5;;WAAR;Almere
Alphen aan den Rijn;484;Alphen aan den Rijn;111897;2-12-2020;15-12-2020;Alphen aan den Rijn;840;750,7;3;2,7;6;5,4;;WAAR;Alphen aan den Rijn
Alphen-Chaam;1723;Alphen-Chaam;10203;2-12-2020;15-12-2020;Alphen-Chaam;38;372,4;0;0;0;0;;WAAR;Alphen-Chaam
Altena;1959;Altena;55967;2-12-2020;15-12-2020;Altena;653;1166,8;5;8,9;4;7,1;;WAAR;Altena
Ameland;60;Ameland;3716;2-12-2020;15-12-2020;Ameland;18;484,4;0;0;0;0;;WAAR;Ameland
Amersfoort;307;Amersfoort;157276;2-12-2020;15-12-2020;Amersfoort;1203;764,9;10;6,4;6;3,8;;WAAR;Amersfoort
Amstelveen;362;Amstelveen;91675;2-12-2020;15-12-2020;Amstelveen;424;462,5;2;2,2;9;9,8;;WAAR;Amstelveen
Amsterdam;363;Amsterdam;872757;2-12-2020;15-12-2020;Amsterdam;4555;521,9;32;3,7;21;2,4;;WAAR;Amsterdam
Apeldoorn;200;Apeldoorn;163818;2-12-2020;15-12-2020;Apeldoorn;863;526,8;3;1,8;2;1,2;;WAAR;Apeldoorn
Appingedam;3;Appingedam;11642;2-12-2020;15-12-2020;Appingedam;89;764,5;1;8,6;0;0;;WAAR;Appingedam
Arnhem;202;Arnhem;161348;2-12-2020;15-12-2020;Arnhem;972;602,4;2;1,2;10;6,2;;WAAR;Arnhem
Assen;106;Assen;68599;2-12-2020;15-12-2020;Assen;146;212,8;3;4,4;2;2,9;;WAAR;Assen
