Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;
Asten;743;Asten;16721;2-12-2020;15-12-2020;Asten;92;550,2;0;0;0;0;;WAAR;Asten
Baarle-Nassau;744;Baarle-Nassau;6859;2-12-2020;15-12-2020;Baarle-Nassau;32;466,5;0;0;0;0;;WAAR;Baarle-Nassau
Baarn;308;Baarn;24868;2-12-2020;15-12-2020;Baarn;169;679,6;0;0;1;4;;WAAR;Baarn
Barendrecht;489;Barendrecht;48714;2-12-2020;15-12-2020;Barendrecht;195;400,3;1;2,1;1;2,1;;WAAR;Barendrecht
Barneveld;203;Barneveld;59082;2-12-2020;15-12-2020;Barneveld;688;1164,5;0;0;3;5,1;;WAAR;Barneveld
Beek (L.);888;Beek (L.);15865;2-12-2020;15-12-2020;Beek (L.);129;813,1;0;0;0;0;;WAAR;Beek (L.)
Beekdaelen;1954;Beekdaelen;35938;2-12-2020;15-12-2020;Beekdaelen;195;542,6;1;2,8;1;2,8;;WAAR;Beekdaelen
Beemster;370;Beemster;10022;2-12-2020;15-12-2020;Beemster;36;359,2;0;0;0;0;;WAAR;Beemster
Beesel;889;Beesel;13482;2-12-2020;15-12-2020;Beesel;57;422,8;1;7,4;1;7,4;;WAAR;Beesel
Berg en Dal;1945;Berg en Dal;34992;2-12-2020;15-12-2020;Berg en Dal;181;517,3;1;2,9;0;0;;WAAR;Berg en Dal
Bergeijk;1724;Bergeijk;18635;2-12-2020;15-12-2020;Bergeijk;209;1121,5;0;0;0;0;;WAAR;Bergeijk
Bergen (L.);893;Bergen (L.);13085;2-12-2020;15-12-2020;Bergen (L.);84;642;0;0;0;0;;WAAR;Bergen (L.)
Bergen (NH.);373;Bergen (NH.);29839;2-12-2020;15-12-2020;Bergen (NH.);130;435,7;2;6,7;1;3,4;;WAAR;Bergen (NH.)
Bergen op Zoom;748;Bergen op Zoom;67496;2-12-2020;15-12-2020;Bergen op Zoom;322;477,1;4;5,9;2;3;;WAAR;Bergen op Zoom
Berkelland;1859;Berkelland;43747;2-12-2020;15-12-2020;Berkelland;177;404,6;2;4,6;1;2,3;;WAAR;Berkelland
Bernheze;1721;Bernheze;31240;2-12-2020;15-12-2020;Bernheze;176;563,4;1;3,2;0;0;;WAAR;Bernheze
Best;753;Best;29988;2-12-2020;15-12-2020;Best;192;640,3;0;0;2;6,7;;WAAR;Best
Beuningen;209;Beuningen;25890;2-12-2020;15-12-2020;Beuningen;138;533;0;0;0;0;;WAAR;Beuningen
Beverwijk;375;Beverwijk;41626;2-12-2020;15-12-2020;Beverwijk;175;420,4;1;2,4;0;0;;WAAR;Beverwijk
Bladel;1728;Bladel;20390;2-12-2020;15-12-2020;Bladel;162;794,5;0;0;0;0;;WAAR;Bladel
Blaricum;376;Blaricum;11540;2-12-2020;15-12-2020;Blaricum;62;537,3;0;0;0;0;;WAAR;Blaricum
Bloemendaal;377;Bloemendaal;23571;2-12-2020;15-12-2020;Bloemendaal;69;292,7;0;0;1;4,2;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;1901;Bodegraven-Reeuwijk;34872;2-12-2020;15-12-2020;Bodegraven-Reeuwijk;238;682,5;1;2,9;3;8,6;;WAAR;Bodegraven-Reeuwijk
Boekel;755;Boekel;10785;2-12-2020;15-12-2020;Boekel;85;788,1;1;9,3;0;0;;WAAR;Boekel
Borger-Odoorn;1681;Borger-Odoorn;25559;2-12-2020;15-12-2020;Borger-Odoorn;82;320,8;1;3,9;0;0;;WAAR;Borger-Odoorn
Borne;147;Borne;23312;2-12-2020;15-12-2020;Borne;137;587,7;0;0;2;8,6;;WAAR;Borne
Borsele;654;Borsele;22739;2-12-2020;15-12-2020;Borsele;56;246,3;0;0;0;0;;WAAR;Borsele
Boxmeer;756;Boxmeer;29365;2-12-2020;15-12-2020;Boxmeer;230;783,2;1;3,4;0;0;;WAAR;Boxmeer
Boxtel;757;Boxtel;30801;2-12-2020;15-12-2020;Boxtel;193;626,6;1;3,2;5;16,2;;WAAR;Boxtel
Breda;758;Breda;184069;2-12-2020;15-12-2020;Breda;1063;577,5;2;1,1;2;1,1;;WAAR;Breda
Brielle;501;Brielle;17271;2-12-2020;15-12-2020;Brielle;87;503,7;0;0;0;0;;WAAR;Brielle
Bronckhorst;1876;Bronckhorst;36055;2-12-2020;15-12-2020;Bronckhorst;214;593,5;0;0;2;5,5;;WAAR;Bronckhorst
Brummen;213;Brummen;20726;2-12-2020;15-12-2020;Brummen;98;472,8;0;0;0;0;;WAAR;Brummen
Brunssum;899;Brunssum;27821;2-12-2020;15-12-2020;Brunssum;162;582,3;3;10,8;2;7,2;;WAAR;Brunssum
Bunnik;312;Bunnik;15191;2-12-2020;15-12-2020;Bunnik;53;348,9;1;6,6;1;6,6;;WAAR;Bunnik
Bunschoten;313;Bunschoten;21866;2-12-2020;15-12-2020;Bunschoten;447;2044,3;4;18,3;2;9,1;;WAAR;Bunschoten
Buren;214;Buren;26749;2-12-2020;15-12-2020;Buren;154;575,7;0;0;0;0;;WAAR;Buren
Capelle aan den IJssel;502;Capelle aan den IJssel;67122;2-12-2020;15-12-2020;Capelle aan den IJssel;304;452,9;2;3;3;4,5;;WAAR;Capelle aan den IJssel
Castricum;383;Castricum;35986;2-12-2020;15-12-2020;Castricum;217;603;0;0;0;0;;WAAR;Castricum
Coevorden;109;Coevorden;35297;2-12-2020;15-12-2020;Coevorden;130;368,3;3;8,5;0;0;;WAAR;Coevorden
Cranendonck;1706;Cranendonck;21138;2-12-2020;15-12-2020;Cranendonck;169;799,5;1;4,7;0;0;;WAAR;Cranendonck
Cuijk;1684;Cuijk;25130;2-12-2020;15-12-2020;Cuijk;169;672,5;0;0;0;0;;WAAR;Cuijk
Culemborg;216;Culemborg;28955;2-12-2020;15-12-2020;Culemborg;186;642,4;1;3,5;1;3,5;;WAAR;Culemborg
Dalfsen;148;Dalfsen;28587;2-12-2020;15-12-2020;Dalfsen;126;440,8;0;0;2;7;;WAAR;Dalfsen
Dantumadiel;1891;Dantumadiel;18922;2-12-2020;15-12-2020;Dantumadiel;87;459,8;1;5,3;0;0;;WAAR;Dantumadiel
De Bilt;310;De Bilt;43137;2-12-2020;15-12-2020;De Bilt;245;568;0;0;1;2,3;;WAAR;De Bilt
De Fryske Marren;1940;De Fryske Marren;51564;2-12-2020;15-12-2020;De Fryske Marren;158;306,4;1;1,9;0;0;;WAAR;De Fryske Marren
De Ronde Venen;736;De Ronde Venen;44456;2-12-2020;15-12-2020;De Ronde Venen;270;607,3;2;4,5;3;6,7;;WAAR;De Ronde Venen
De Wolden;1690;De Wolden;24330;2-12-2020;15-12-2020;De Wolden;66;271,3;1;4,1;0;0;;WAAR;De Wolden
Delft;503;Delft;103595;2-12-2020;15-12-2020;Delft;480;463,3;2;1,9;6;5,8;;WAAR;Delft
Delfzijl;10;Delfzijl;24678;2-12-2020;15-12-2020;Delfzijl;160;648,4;0;0;1;4,1;;WAAR;Delfzijl
Den Helder;400;Den Helder;56296;2-12-2020;15-12-2020;Den Helder;192;341,1;0;0;1;1,8;;WAAR;Den Helder
Deurne;762;Deurne;32471;2-12-2020;15-12-2020;Deurne;146;449,6;0;0;1;3,1;;WAAR;Deurne
Deventer;150;Deventer;100719;2-12-2020;15-12-2020;Deventer;825;819,1;3;3;2;2;;WAAR;Deventer
Diemen;384;Diemen;30780;2-12-2020;15-12-2020;Diemen;189;614;1;3,2;1;3,2;;WAAR;Diemen
Dinkelland;1774;Dinkelland;26461;2-12-2020;15-12-2020;Dinkelland;161;608,4;0;0;0;0;;WAAR;Dinkelland
Doesburg;221;Doesburg;11077;2-12-2020;15-12-2020;Doesburg;47;424,3;0;0;1;9;;WAAR;Doesburg
Doetinchem;222;Doetinchem;58001;2-12-2020;15-12-2020;Doetinchem;258;444,8;1;1,7;1;1,7;;WAAR;Doetinchem
Dongen;766;Dongen;26222;2-12-2020;15-12-2020;Dongen;246;938,1;0;0;0;0;;WAAR;Dongen
Dordrecht;505;Dordrecht;119284;2-12-2020;15-12-2020;Dordrecht;748;627,1;1;0,8;2;1,7;;WAAR;Dordrecht
Drechterland;498;Drechterland;19719;2-12-2020;15-12-2020;Drechterland;105;532,5;0;0;0;0;;WAAR;Drechterland
Drimmelen;1719;Drimmelen;27272;2-12-2020;15-12-2020;Drimmelen;156;572;2;7,3;3;11;;WAAR;Drimmelen
Dronten;303;Dronten;41555;2-12-2020;15-12-2020;Dronten;254;611,2;2;4,8;0;0;;WAAR;Dronten
Druten;225;Druten;18926;2-12-2020;15-12-2020;Druten;93;491,4;2;10,6;3;15,9;;WAAR;Druten
Duiven;226;Duiven;25126;2-12-2020;15-12-2020;Duiven;154;612,9;0;0;0;0;;WAAR;Duiven
Echt-Susteren;1711;Echt-Susteren;31610;2-12-2020;15-12-2020;Echt-Susteren;150;474,5;0;0;0;0;;WAAR;Echt-Susteren
Edam-Volendam;385;Edam-Volendam;36197;2-12-2020;15-12-2020;Edam-Volendam;128;353,6;2;5,5;0;0;;WAAR;Edam-Volendam
Ede;228;Ede;117165;2-12-2020;15-12-2020;Ede;962;821,1;8;6,8;4;3,4;;WAAR;Ede
Eemnes;317;Eemnes;9247;2-12-2020;15-12-2020;Eemnes;36;389,3;1;10,8;0;0;;WAAR;Eemnes
Eersel;770;Eersel;19313;2-12-2020;15-12-2020;Eersel;135;699;0;0;1;5,2;;WAAR;Eersel
Eijsden-Margraten;1903;Eijsden-Margraten;25768;2-12-2020;15-12-2020;Eijsden-Margraten;175;679,1;1;3,9;2;7,8;;WAAR;Eijsden-Margraten
Eindhoven;772;Eindhoven;234394;2-12-2020;15-12-2020;Eindhoven;1140;486,4;8;3,4;11;4,7;;WAAR;Eindhoven
Elburg;230;Elburg;23161;2-12-2020;15-12-2020;Elburg;148;639;0;0;0;0;;WAAR;Elburg
Emmen;114;Emmen;107048;2-12-2020;15-12-2020;Emmen;419;391,4;5;4,7;1;0,9;;WAAR;Emmen
Enkhuizen;388;Enkhuizen;18591;2-12-2020;15-12-2020;Enkhuizen;207;1113,4;0;0;0;0;;WAAR;Enkhuizen
Enschede;153;Enschede;159640;2-12-2020;15-12-2020;Enschede;580;363,3;9;5,6;9;5,6;;WAAR;Enschede
Epe;232;Epe;33178;2-12-2020;15-12-2020;Epe;164;494,3;2;6;0;0;;WAAR;Epe
Ermelo;233;Ermelo;27008;2-12-2020;15-12-2020;Ermelo;159;588,7;0;0;0;0;;WAAR;Ermelo
Etten-Leur;777;Etten-Leur;43878;2-12-2020;15-12-2020;Etten-Leur;242;551,5;1;2,3;0;0;;WAAR;Etten-Leur
Geertruidenberg;779;Geertruidenberg;21544;2-12-2020;15-12-2020;Geertruidenberg;194;900,5;2;9,3;7;32,5;;WAAR;Geertruidenberg
Geldrop-Mierlo;1771;Geldrop-Mierlo;39726;2-12-2020;15-12-2020;Geldrop-Mierlo;189;475,8;2;5;0;0;;WAAR;Geldrop-Mierlo
Gemert-Bakel;1652;Gemert-Bakel;30723;2-12-2020;15-12-2020;Gemert-Bakel;158;514,3;2;6,5;0;0;;WAAR;Gemert-Bakel
Gennep;907;Gennep;16921;2-12-2020;15-12-2020;Gennep;161;951,5;0;0;0;0;;WAAR;Gennep
Gilze en Rijen;784;Gilze en Rijen;26431;2-12-2020;15-12-2020;Gilze en Rijen;199;752,9;1;3,8;0;0;;WAAR;Gilze en Rijen
Goeree-Overflakkee;1924;Goeree-Overflakkee;50049;2-12-2020;15-12-2020;Goeree-Overflakkee;292;583,4;2;4;0;0;;WAAR;Goeree-Overflakkee
Goes;664;Goes;38082;2-12-2020;15-12-2020;Goes;88;231,1;5;13,1;0;0;;WAAR;Goes
Goirle;785;Goirle;23904;2-12-2020;15-12-2020;Goirle;146;610,8;0;0;1;4,2;;WAAR;Goirle
Gooise Meren;1942;Gooise Meren;58055;2-12-2020;15-12-2020;Gooise Meren;267;459,9;1;1,7;1;1,7;;WAAR;Gooise Meren
Gorinchem;512;Gorinchem;37022;2-12-2020;15-12-2020;Gorinchem;262;707,7;0;0;2;5,4;;WAAR;Gorinchem
Gouda;513;Gouda;73427;2-12-2020;15-12-2020;Gouda;484;659,2;5;6,8;4;5,4;;WAAR;Gouda
Grave;786;Grave;12436;2-12-2020;15-12-2020;Grave;93;747,8;0;0;0;0;;WAAR;Grave
Groningen;14;Groningen (gemeente);232874;2-12-2020;15-12-2020;Groningen (gemeente);565;242,6;3;1,3;2;0,9;;WAAR;Groningen (gemeente)
Gulpen-Wittem;1729;Gulpen-Wittem;14171;2-12-2020;15-12-2020;Gulpen-Wittem;68;479,9;0;0;0;0;;WAAR;Gulpen-Wittem
Haaksbergen;158;Haaksbergen;24311;2-12-2020;15-12-2020;Haaksbergen;180;740,4;0;0;0;0;;WAAR;Haaksbergen
Haaren;788;Haaren;14370;2-12-2020;15-12-2020;Haaren;95;661,1;1;7;0;0;;WAAR;Haaren
Haarlem;392;Haarlem;162902;2-12-2020;15-12-2020;Haarlem;701;430,3;6;3,7;7;4,3;;WAAR;Haarlem
Haarlemmermeer;394;Haarlemmermeer;156002;2-12-2020;15-12-2020;Haarlemmermeer;757;485,3;3;1,9;10;6,4;;WAAR;Haarlemmermeer
Halderberge;1655;Halderberge;30284;2-12-2020;15-12-2020;Halderberge;109;359,9;3;9,9;1;3,3;;WAAR;Halderberge
Hardenberg;160;Hardenberg;60948;2-12-2020;15-12-2020;Hardenberg;229;375,7;1;1,6;1;1,6;;WAAR;Hardenberg
Harderwijk;243;Harderwijk;48414;2-12-2020;15-12-2020;Harderwijk;252;520,5;2;4,1;0;0;;WAAR;Harderwijk
Hardinxveld-Giessendam;523;Hardinxveld-Giessendam;18295;2-12-2020;15-12-2020;Hardinxveld-Giessendam;153;836,3;0;0;0;0;;WAAR;Hardinxveld-Giessendam
Harlingen;72;Harlingen;15722;2-12-2020;15-12-2020;Harlingen;19;120,8;0;0;0;0;;WAAR;Harlingen
Hattem;244;Hattem;12209;2-12-2020;15-12-2020;Hattem;36;294,9;1;8,2;0;0;;WAAR;Hattem
Heemskerk;396;Heemskerk;39182;2-12-2020;15-12-2020;Heemskerk;208;530,9;2;5,1;1;2,6;;WAAR;Heemskerk
Heemstede;397;Heemstede;27234;2-12-2020;15-12-2020;Heemstede;140;514,1;2;7,3;9;33;;WAAR;Heemstede
Heerde;246;Heerde;18589;2-12-2020;15-12-2020;Heerde;54;290,5;0;0;0;0;;WAAR;Heerde
Heerenveen;74;Heerenveen;50493;2-12-2020;15-12-2020;Heerenveen;89;176,3;0;0;1;2;;WAAR;Heerenveen
Heerhugowaard;398;Heerhugowaard;57587;2-12-2020;15-12-2020;Heerhugowaard;356;618,2;0;0;0;0;;WAAR;Heerhugowaard
Heerlen;917;Heerlen;87086;2-12-2020;15-12-2020;Heerlen;437;501,8;6;6,9;2;2,3;;WAAR;Heerlen
Heeze-Leende;1658;Heeze-Leende;16152;2-12-2020;15-12-2020;Heeze-Leende;124;767,7;1;6,2;2;12,4;;WAAR;Heeze-Leende
Heiloo;399;Heiloo;23968;2-12-2020;15-12-2020;Heiloo;83;346,3;0;0;0;0;;WAAR;Heiloo
Hellendoorn;163;Hellendoorn;35916;2-12-2020;15-12-2020;Hellendoorn;256;712,8;1;2,8;1;2,8;;WAAR;Hellendoorn
Hellevoetsluis;530;Hellevoetsluis;40142;2-12-2020;15-12-2020;Hellevoetsluis;144;358,7;3;7,5;0;0;;WAAR;Hellevoetsluis
Helmond;794;Helmond;92423;2-12-2020;15-12-2020;Helmond;356;385,2;4;4,3;0;0;;WAAR;Helmond
Hendrik-Ido-Ambacht;531;Hendrik-Ido-Ambacht;31202;2-12-2020;15-12-2020;Hendrik-Ido-Ambacht;202;647,4;0;0;2;6,4;;WAAR;Hendrik-Ido-Ambacht
Hengelo;164;Hengelo (O.);81140;2-12-2020;15-12-2020;Hengelo (O.);356;438,7;3;3,7;2;2,5;;WAAR;Hengelo (O.)
Het Hogeland;1966;Het Hogeland;47801;2-12-2020;15-12-2020;Het Hogeland;158;330,5;2;4,2;1;2,1;;WAAR;Het Hogeland
Heumen;252;Heumen;16454;2-12-2020;15-12-2020;Heumen;75;455,8;1;6,1;0;0;;WAAR;Heumen
Heusden;797;Heusden;44692;2-12-2020;15-12-2020;Heusden;221;494,5;2;4,5;1;2,2;;WAAR;Heusden
Hillegom;534;Hillegom;22209;2-12-2020;15-12-2020;Hillegom;93;418,7;1;4,5;0;0;;WAAR;Hillegom
Hilvarenbeek;798;Hilvarenbeek;15518;2-12-2020;15-12-2020;Hilvarenbeek;100;644,4;0;0;1;6,4;;WAAR;Hilvarenbeek
Hilversum;402;Hilversum;90831;2-12-2020;15-12-2020;Hilversum;353;388,6;0;0;2;2,2;;WAAR;Hilversum
Hoeksche Waard;1963;Hoeksche Waard;87401;2-12-2020;15-12-2020;Hoeksche Waard;335;383,3;0;0;0;0;;WAAR;Hoeksche Waard
Hof van Twente;1735;Hof van Twente;35017;2-12-2020;15-12-2020;Hof van Twente;140;399,8;1;2,9;1;2,9;;WAAR;Hof van Twente
Hollands Kroon;1911;Hollands Kroon;48432;2-12-2020;15-12-2020;Hollands Kroon;189;390,2;2;4,1;1;2,1;;WAAR;Hollands Kroon
Hoogeveen;118;Hoogeveen;55699;2-12-2020;15-12-2020;Hoogeveen;272;488,3;2;3,6;0;0;;WAAR;Hoogeveen
Hoorn;405;Hoorn;73261;2-12-2020;15-12-2020;Hoorn;388;529,6;1;1,4;0;0;;WAAR;Hoorn
Horst aan de Maas;1507;Horst aan de Maas;42429;2-12-2020;15-12-2020;Horst aan de Maas;351;827,3;1;2,4;0;0;;WAAR;Horst aan de Maas
Houten;321;Houten;50146;2-12-2020;15-12-2020;Houten;356;709,9;0;0;2;4;;WAAR;Houten
Huizen;406;Huizen;41273;2-12-2020;15-12-2020;Huizen;247;598,5;1;2,4;1;2,4;;WAAR;Huizen
Hulst;677;Hulst;27556;2-12-2020;15-12-2020;Hulst;88;319,3;0;0;2;7,3;;WAAR;Hulst
IJsselstein;353;IJsselstein;34109;2-12-2020;15-12-2020;IJsselstein;183;536,5;0;0;0;0;;WAAR;IJsselstein
Kaag en Braassem;1884;Kaag en Braassem;27297;2-12-2020;15-12-2020;Kaag en Braassem;169;619,1;2;7,3;0;0;;WAAR;Kaag en Braassem
Kampen;166;Kampen;54319;2-12-2020;15-12-2020;Kampen;248;456,6;0;0;1;1,8;;WAAR;Kampen
Kapelle;678;Kapelle;12695;2-12-2020;15-12-2020;Kapelle;31;244,2;1;7,9;0;0;;WAAR;Kapelle
Katwijk;537;Katwijk;65753;2-12-2020;15-12-2020;Katwijk;468;711,8;6;9,1;1;1,5;;WAAR;Katwijk
Kerkrade;928;Kerkrade;45749;2-12-2020;15-12-2020;Kerkrade;148;323,5;4;8,7;2;4,4;;WAAR;Kerkrade
Koggenland;1598;Koggenland;22749;2-12-2020;15-12-2020;Koggenland;89;391,2;1;4,4;0;0;;WAAR;Koggenland
Krimpen aan den IJssel;542;Krimpen aan den IJssel;29526;2-12-2020;15-12-2020;Krimpen aan den IJssel;200;677,4;0;0;4;13,5;;WAAR;Krimpen aan den IJssel
Krimpenerwaard;1931;Krimpenerwaard;56319;2-12-2020;15-12-2020;Krimpenerwaard;322;571,7;3;5,3;1;1,8;;WAAR;Krimpenerwaard
Laarbeek;1659;Laarbeek;22523;2-12-2020;15-12-2020;Laarbeek;182;808,1;0;0;1;4,4;;WAAR;Laarbeek
Landerd;1685;Landerd;15730;2-12-2020;15-12-2020;Landerd;95;603,9;0;0;0;0;;WAAR;Landerd
Landgraaf;882;Landgraaf;37445;2-12-2020;15-12-2020;Landgraaf;223;595,5;1;2,7;4;10,7;;WAAR;Landgraaf
Landsmeer;415;Landsmeer;11491;2-12-2020;15-12-2020;Landsmeer;61;530,9;1;8,7;1;8,7;;WAAR;Landsmeer
Langedijk;416;Langedijk;28163;2-12-2020;15-12-2020;Langedijk;148;525,5;1;3,6;0;0;;WAAR;Langedijk
Lansingerland;1621;Lansingerland;62384;2-12-2020;15-12-2020;Lansingerland;389;623,6;2;3,2;1;1,6;;WAAR;Lansingerland
Laren;417;Laren (NH.);11280;2-12-2020;15-12-2020;Laren (NH.);38;336,9;1;8,9;0;0;;WAAR;Laren (NH.)
Leeuwarden;80;Leeuwarden;124084;2-12-2020;15-12-2020;Leeuwarden;264;212,8;1;0,8;0;0;;WAAR;Leeuwarden
Leiden;546;Leiden;125099;2-12-2020;15-12-2020;Leiden;469;374,9;4;3,2;2;1,6;;WAAR;Leiden
Leiderdorp;547;Leiderdorp;27056;2-12-2020;15-12-2020;Leiderdorp;172;635,7;1;3,7;1;3,7;;WAAR;Leiderdorp
Leidschendam-Voorburg;1916;Leidschendam-Voorburg;76534;2-12-2020;15-12-2020;Leidschendam-Voorburg;422;551,4;6;7,8;3;3,9;;WAAR;Leidschendam-Voorburg
Lelystad;995;Lelystad;78598;2-12-2020;15-12-2020;Lelystad;460;585,3;4;5,1;1;1,3;;WAAR;Lelystad
Leudal;1640;Leudal;35879;2-12-2020;15-12-2020;Leudal;265;738,6;1;2,8;1;2,8;;WAAR;Leudal
Leusden;327;Leusden;30401;2-12-2020;15-12-2020;Leusden;144;473,7;1;3,3;0;0;;WAAR;Leusden
Lingewaard;1705;Lingewaard;46601;2-12-2020;15-12-2020;Lingewaard;273;585,8;1;2,1;0;0;;WAAR;Lingewaard
Lisse;553;Lisse;22955;2-12-2020;15-12-2020;Lisse;175;762,4;3;13,1;0;0;;WAAR;Lisse
Lochem;262;Lochem;33729;2-12-2020;15-12-2020;Lochem;186;551,5;1;3;1;3;;WAAR;Lochem
Loon op Zand;809;Loon op Zand;23408;2-12-2020;15-12-2020;Loon op Zand;183;781,8;1;4,3;0;0;;WAAR;Loon op Zand
Lopik;331;Lopik;14467;2-12-2020;15-12-2020;Lopik;121;836,4;0;0;1;6,9;;WAAR;Lopik
Loppersum;24;Loppersum;9537;2-12-2020;15-12-2020;Loppersum;42;440,4;1;10,5;0;0;;WAAR;Loppersum
Losser;168;Losser;22683;2-12-2020;15-12-2020;Losser;161;709,8;3;13,2;1;4,4;;WAAR;Losser
Maasdriel;263;Maasdriel;25030;2-12-2020;15-12-2020;Maasdriel;142;567,3;0;0;1;4;;WAAR;Maasdriel
Maasgouw;1641;Maasgouw;23965;2-12-2020;15-12-2020;Maasgouw;129;538,3;1;4,2;0;0;;WAAR;Maasgouw
Maassluis;556;Maassluis;33213;2-12-2020;15-12-2020;Maassluis;161;484,7;0;0;3;9;;WAAR;Maassluis
Maastricht;935;Maastricht;121575;2-12-2020;15-12-2020;Maastricht;692;569,2;5;4,1;2;1,6;;WAAR;Maastricht
Medemblik;420;Medemblik;45101;2-12-2020;15-12-2020;Medemblik;356;789,3;0;0;1;2,2;;WAAR;Medemblik
Meerssen;938;Meerssen;18828;2-12-2020;15-12-2020;Meerssen;113;600,2;1;5,3;2;10,6;;WAAR;Meerssen
Meierijstad;1948;Meierijstad;81194;2-12-2020;15-12-2020;Meierijstad;464;571,5;0;0;1;1,2;;WAAR;Meierijstad
Meppel;119;Meppel;33920;2-12-2020;15-12-2020;Meppel;102;300,7;0;0;0;0;;WAAR;Meppel
Middelburg;687;Middelburg (Z.);48822;2-12-2020;15-12-2020;Middelburg (Z.);137;280,6;1;2;0;0;;WAAR;Middelburg (Z.)
Midden-Delfland;1842;Midden-Delfland;19341;2-12-2020;15-12-2020;Midden-Delfland;153;791,1;0;0;2;10,3;;WAAR;Midden-Delfland
Midden-Drenthe;1731;Midden-Drenthe;33185;2-12-2020;15-12-2020;Midden-Drenthe;86;259,2;3;9;1;3;;WAAR;Midden-Drenthe
Midden-Groningen;1952;Midden-Groningen;60797;2-12-2020;15-12-2020;Midden-Groningen;178;292,8;1;1,6;1;1,6;;WAAR;Midden-Groningen
Mill en Sint Hubert;815;Mill en Sint Hubert;10939;2-12-2020;15-12-2020;Mill en Sint Hubert;59;539,4;0;0;0;0;;WAAR;Mill en Sint Hubert
Moerdijk;1709;Moerdijk;37129;2-12-2020;15-12-2020;Moerdijk;155;417,5;1;2,7;0;0;;WAAR;Moerdijk
Molenlanden;1978;Molenlanden;43909;2-12-2020;15-12-2020;Molenlanden;263;599;0;0;3;6,8;;WAAR;Molenlanden
Montferland;1955;Montferland;36011;2-12-2020;15-12-2020;Montferland;157;436;1;2,8;0;0;;WAAR;Montferland
Montfoort;335;Montfoort;13917;2-12-2020;15-12-2020;Montfoort;107;768,8;0;0;0;0;;WAAR;Montfoort
Mook en Middelaar;944;Mook en Middelaar;7847;2-12-2020;15-12-2020;Mook en Middelaar;23;293,1;1;12,7;0;0;;WAAR;Mook en Middelaar
