Municipality_name;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;
Castricum;4;11,1;0;0;0;0;;;WAAR;Castricum
Coevorden;0;0;0;0;0;0;;;WAAR;Coevorden
Cranendonck;0;0;0;0;0;0;;;WAAR;Cranendonck
Cuijk;0;0;0;0;0;0;;;WAAR;Cuijk
Culemborg;2;6,9;0;0;0;0;;;WAAR;Culemborg
Dalfsen;1;3,5;0;0;0;0;;;WAAR;Dalfsen
Dantumadiel;0;0;0;0;0;0;;;WAAR;Dantumadiel
De Bilt;5;11,6;0;0;0;0;;;WAAR;De Bilt
De Fryske Marren;4;7,8;0;0;0;0;;;WAAR;De Fryske Marren
De Ronde Venen;4;9;0;0;0;0;;;WAAR;De Ronde Venen
De Wolden;0;0;0;0;0;0;;;WAAR;De Wolden
Delft;24;23,2;0;0;0;0;;;WAAR;Delft
Delfzijl;0;0;0;0;0;0;;;WAAR;Delfzijl
Den Helder;3;5,3;0;0;0;0;;;WAAR;Den Helder
Deurne;3;9,2;0;0;0;0;;;WAAR;Deurne
Deventer;5;5;0;0;0;0;;;WAAR;Deventer
Diemen;11;35,7;0;0;0;0;;;WAAR;Diemen
Dinkelland;1;3,8;0;0;0;0;;;WAAR;Dinkelland
Doesburg;0;0;0;0;0;0;;;WAAR;Doesburg
Doetinchem;1;1,7;0;0;0;0;;;WAAR;Doetinchem
Dongen;1;3,8;0;0;0;0;;;WAAR;Dongen
Dordrecht;27;22,6;1;0,8;0;0;;;WAAR;Dordrecht
Drechterland;0;0;0;0;0;0;;;WAAR;Drechterland
Drimmelen;2;7,3;0;0;0;0;;;WAAR;Drimmelen
Dronten;0;0;0;0;0;0;;;WAAR;Dronten
Druten;0;0;0;0;0;0;;;WAAR;Druten
Duiven;2;8;0;0;0;0;;;WAAR;Duiven
Echt-Susteren;0;0;0;0;0;0;;;WAAR;Echt-Susteren
Edam-Volendam;0;0;0;0;0;0;;;WAAR;Edam-Volendam
Ede;19;16,2;0;0;0;0;;;WAAR;Ede
Eemnes;1;10,8;0;0;0;0;;;WAAR;Eemnes
Eersel;0;0;0;0;0;0;;;WAAR;Eersel
Eijsden-Margraten;4;15,5;0;0;0;0;;;WAAR;Eijsden-Margraten
Eindhoven;38;16,2;1;0,4;0;0;;;WAAR;Eindhoven
Elburg;0;0;0;0;0;0;;;WAAR;Elburg
Emmen;2;1,9;0;0;0;0;;;WAAR;Emmen
Enkhuizen;0;0;0;0;0;0;;;WAAR;Enkhuizen
Enschede;7;4,4;1;0,6;0;0;;;WAAR;Enschede
Epe;0;0;0;0;0;0;;;WAAR;Epe
Ermelo;1;3,7;0;0;0;0;;;WAAR;Ermelo
Etten-Leur;10;22,8;1;2,3;0;0;;;WAAR;Etten-Leur
Geertruidenberg;6;27,8;0;0;0;0;;;WAAR;Geertruidenberg
Geldrop-Mierlo;2;5;0;0;0;0;;;WAAR;Geldrop-Mierlo
Gemert-Bakel;3;9,8;0;0;0;0;;;WAAR;Gemert-Bakel
Gennep;0;0;0;0;0;0;;;WAAR;Gennep
Gilze en Rijen;4;15,1;0;0;0;0;;;WAAR;Gilze en Rijen
Goeree-Overflakkee;3;6;0;0;0;0;;;WAAR;Goeree-Overflakkee
Goes;14;36,8;1;2,6;0;0;;;WAAR;Goes
Goirle;5;20,9;0;0;0;0;;;WAAR;Goirle
Gooise Meren;6;10,3;0;0;0;0;;;WAAR;Gooise Meren
Gorinchem;27;72,9;0;0;0;0;;;WAAR;Gorinchem
Gouda;51;69,5;2;2,7;0;0;;;WAAR;Gouda
Grave;0;0;0;0;0;0;;;WAAR;Grave
Groningen (gemeente);24;10,3;0;0;0;0;;;WAAR;Groningen (gemeente)
Gulpen-Wittem;1;7,1;0;0;0;0;;;WAAR;Gulpen-Wittem
Haaksbergen;0;0;0;0;0;0;;;WAAR;Haaksbergen
Haaren;0;0;0;0;0;0;;;WAAR;Haaren
Haarlem;31;19;0;0;1;0,6;;;WAAR;Haarlem
Haarlemmermeer;47;30,1;0;0;0;0;;;WAAR;Haarlemmermeer
Halderberge;7;23,1;0;0;0;0;;;WAAR;Halderberge
Hardenberg;1;1,6;0;0;0;0;;;WAAR;Hardenberg
Harderwijk;1;2,1;0;0;0;0;;;WAAR;Harderwijk
Hardinxveld-Giessendam;3;16,4;0;0;0;0;;;WAAR;Hardinxveld-Giessendam
Harlingen;0;0;0;0;0;0;;;WAAR;Harlingen
Hattem;0;0;0;0;0;0;;;WAAR;Hattem
Heemskerk;0;0;0;0;0;0;;;WAAR;Heemskerk
Heemstede;1;3,7;0;0;0;0;;;WAAR;Heemstede
Heerde;0;0;0;0;0;0;;;WAAR;Heerde
Heerenveen;0;0;0;0;0;0;;;WAAR;Heerenveen
Heerhugowaard;8;13,9;0;0;0;0;;;WAAR;Heerhugowaard
Heerlen;4;4,6;0;0;0;0;;;WAAR;Heerlen
Heeze-Leende;1;6,2;0;0;0;0;;;WAAR;Heeze-Leende
Heiloo;2;8,3;0;0;0;0;;;WAAR;Heiloo
Hellendoorn;1;2,8;0;0;0;0;;;WAAR;Hellendoorn
Hellevoetsluis;11;27,4;0;0;0;0;;;WAAR;Hellevoetsluis
Helmond;16;17,3;0;0;0;0;;;WAAR;Helmond
Hendrik-Ido-Ambacht;9;28,8;0;0;0;0;;;WAAR;Hendrik-Ido-Ambacht
Hengelo (O.);7;8,6;0;0;0;0;;;WAAR;Hengelo (O.)
Het Hogeland;3;6,3;0;0;0;0;;;WAAR;Het Hogeland
Heumen;2;12,2;0;0;0;0;;;WAAR;Heumen
Heusden;13;29,1;0;0;0;0;;;WAAR;Heusden
Hillegom;10;45;0;0;0;0;;;WAAR;Hillegom
Hilvarenbeek;1;6,4;0;0;0;0;;;WAAR;Hilvarenbeek
Hilversum;13;14,3;0;0;0;0;;;WAAR;Hilversum
Hoeksche Waard;13;14,9;0;0;0;0;;;WAAR;Hoeksche Waard
Hof van Twente;0;0;0;0;0;0;;;WAAR;Hof van Twente
Hollands Kroon;1;2,1;0;0;0;0;;;WAAR;Hollands Kroon
Hoogeveen;2;3,6;0;0;0;0;;;WAAR;Hoogeveen
Hoorn;16;21,8;0;0;0;0;;;WAAR;Hoorn
Horst aan de Maas;1;2,4;0;0;0;0;;;WAAR;Horst aan de Maas
Houten;14;27,9;0;0;0;0;;;WAAR;Houten
Huizen;11;26,7;0;0;0;0;;;WAAR;Huizen
Hulst;4;14,5;0;0;0;0;;;WAAR;Hulst
IJsselstein;2;5,9;0;0;0;0;;;WAAR;IJsselstein
Kaag en Braassem;1;3,7;0;0;0;0;;;WAAR;Kaag en Braassem
Kampen;2;3,7;0;0;0;0;;;WAAR;Kampen
Kapelle;2;15,8;0;0;0;0;;;WAAR;Kapelle
Katwijk;6;9,1;0;0;0;0;;;WAAR;Katwijk
Kerkrade;0;0;0;0;0;0;;;WAAR;Kerkrade
Koggenland;0;0;0;0;0;0;;;WAAR;Koggenland
Krimpen aan den IJssel;7;23,7;0;0;0;0;;;WAAR;Krimpen aan den IJssel
Krimpenerwaard;17;30,2;0;0;0;0;;;WAAR;Krimpenerwaard
Laarbeek;0;0;0;0;0;0;;;WAAR;Laarbeek
Landerd;0;0;0;0;0;0;;;WAAR;Landerd
Landgraaf;0;0;0;0;0;0;;;WAAR;Landgraaf
Landsmeer;1;8,7;0;0;0;0;;;WAAR;Landsmeer
Langedijk;6;21,3;0;0;0;0;;;WAAR;Langedijk
Lansingerland;20;32,1;0;0;0;0;;;WAAR;Lansingerland
Laren (NH.);3;26,6;0;0;0;0;;;WAAR;Laren (NH.)
Leeuwarden;2;1,6;0;0;0;0;;;WAAR;Leeuwarden
Leiden;26;20,8;0;0;0;0;;;WAAR;Leiden
Leiderdorp;4;14,8;0;0;0;0;;;WAAR;Leiderdorp
Leidschendam-Voorburg;11;14,4;1;1,3;0;0;;;WAAR;Leidschendam-Voorburg
Lelystad;1;1,3;0;0;0;0;;;WAAR;Lelystad
Leudal;0;0;0;0;0;0;;;WAAR;Leudal
Leusden;5;16,4;0;0;0;0;;;WAAR;Leusden
Lingewaard;0;0;0;0;0;0;;;WAAR;Lingewaard
Lisse;8;34,9;0;0;0;0;;;WAAR;Lisse
Lochem;1;3;0;0;0;0;;;WAAR;Lochem
Loon op Zand;3;12,8;0;0;0;0;;;WAAR;Loon op Zand
Lopik;6;41,5;0;0;0;0;;;WAAR;Lopik
Loppersum;0;0;0;0;0;0;;;WAAR;Loppersum
Losser;0;0;0;0;0;0;;;WAAR;Losser
Maasdriel;0;0;0;0;0;0;;;WAAR;Maasdriel
Maasgouw;0;0;0;0;0;0;;;WAAR;Maasgouw
Maassluis;13;39,1;0;0;0;0;;;WAAR;Maassluis
Maastricht;5;4,1;0;0;0;0;;;WAAR;Maastricht
Medemblik;0;0;0;0;0;0;;;WAAR;Medemblik
Meerssen;2;10,6;0;0;0;0;;;WAAR;Meerssen
Meierijstad;4;4,9;0;0;0;0;;;WAAR;Meierijstad
Meppel;3;8,8;0;0;0;0;;;WAAR;Meppel
Middelburg (Z.);16;32,8;0;0;0;0;;;WAAR;Middelburg (Z.)
Midden-Delfland;4;20,7;0;0;0;0;;;WAAR;Midden-Delfland
Midden-Drenthe;1;3;0;0;0;0;;;WAAR;Midden-Drenthe
Midden-Groningen;2;3,3;0;0;0;0;;;WAAR;Midden-Groningen
Mill en Sint Hubert;0;0;0;0;0;0;;;WAAR;Mill en Sint Hubert
Moerdijk;4;10,8;0;0;0;0;;;WAAR;Moerdijk
Molenlanden;3;6,8;0;0;0;0;;;WAAR;Molenlanden
Montferland;2;5,6;0;0;0;0;;;WAAR;Montferland
Montfoort;3;21,6;0;0;0;0;;;WAAR;Montfoort
Mook en Middelaar;0;0;0;0;0;0;;;WAAR;Mook en Middelaar
Neder-Betuwe;0;0;0;0;0;0;;;WAAR;Neder-Betuwe
Nederweert;0;0;0;0;0;0;;;WAAR;Nederweert
Nieuwegein;23;36,2;0;0;0;0;;;WAAR;Nieuwegein
Nieuwkoop;4;13,9;0;0;0;0;;;WAAR;Nieuwkoop
Nijkerk;3;6,9;0;0;0;0;;;WAAR;Nijkerk
Nijmegen;19;10,7;0;0;0;0;;;WAAR;Nijmegen
Nissewaard;28;32,9;1;1,2;0;0;;;WAAR;Nissewaard
Noardeast-Fryslan;2;4,4;0;0;0;0;;;WAAR;Noardeast-Fryslan
Noord-Beveland;2;27,1;0;0;0;0;;;WAAR;Noord-Beveland
Noordenveld;0;0;0;0;0;0;;;WAAR;Noordenveld
Noordoostpolder;2;4,2;0;0;0;0;;;WAAR;Noordoostpolder
Noordwijk;7;16,1;0;0;0;0;;;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;0;0;0;0;0;0;;;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;1;3,6;0;0;0;0;;;WAAR;Nunspeet
Oegstgeest;2;8,1;0;0;0;0;;;WAAR;Oegstgeest
Oirschot;2;10,7;0;0;0;0;;;WAAR;Oirschot
Oisterwijk;2;7,6;0;0;0;0;;;WAAR;Oisterwijk
Oldambt;0;0;0;0;0;0;;;WAAR;Oldambt
Oldebroek;5;21,1;0;0;0;0;;;WAAR;Oldebroek
Oldenzaal;1;3,1;0;0;0;0;;;WAAR;Oldenzaal
Olst-Wijhe;1;5,5;0;0;0;0;;;WAAR;Olst-Wijhe
Ommen;1;5,6;0;0;0;0;;;WAAR;Ommen
Oost Gelre;1;3,4;0;0;0;0;;;WAAR;Oost Gelre
Oosterhout;14;25;0;0;0;0;;;WAAR;Oosterhout
Ooststellingwerf;0;0;0;0;0;0;;;WAAR;Ooststellingwerf
Oostzaan;5;51,4;0;0;0;0;;;WAAR;Oostzaan
Opmeer;0;0;0;0;0;0;;;WAAR;Opmeer
Opsterland;0;0;0;0;0;0;;;WAAR;Opsterland
Oss;4;4,4;1;1,1;1;1,1;;;WAAR;Oss
Oude IJsselstreek;0;0;0;0;0;0;;;WAAR;Oude IJsselstreek
Ouder-Amstel;4;28,5;0;0;0;0;;;WAAR;Ouder-Amstel
Oudewater;2;19,6;0;0;0;0;;;WAAR;Oudewater
Overbetuwe;3;6,3;0;0;0;0;;;WAAR;Overbetuwe
Papendrecht;4;12,4;0;0;0;0;;;WAAR;Papendrecht
Peel en Maas;3;6,9;0;0;0;0;;;WAAR;Peel en Maas
Pekela;0;0;0;0;0;0;;;WAAR;Pekela
Pijnacker-Nootdorp;18;32,5;0;0;0;0;;;WAAR;Pijnacker-Nootdorp
Purmerend;8;9,8;0;0;0;0;;;WAAR;Purmerend
Putten;0;0;0;0;0;0;;;WAAR;Putten
Raalte;1;2,7;0;0;0;0;;;WAAR;Raalte
Reimerswaal;1;4,4;0;0;0;0;;;WAAR;Reimerswaal
Renkum;1;3,2;0;0;0;0;;;WAAR;Renkum
Renswoude;0;0;0;0;0;0;;;WAAR;Renswoude
Reusel-De Mierden;0;0;0;0;0;0;;;WAAR;Reusel-De Mierden
Rheden;1;2,3;0;0;0;0;;;WAAR;Rheden
Rhenen;0;0;0;0;0;0;;;WAAR;Rhenen
Ridderkerk;22;47,6;0;0;0;0;;;WAAR;Ridderkerk
Rijssen-Holten;0;0;0;0;0;0;;;WAAR;Rijssen-Holten
Rijswijk (ZH.);21;38,6;1;1,8;0;0;;;WAAR;Rijswijk (ZH.)
Roerdalen;0;0;0;0;0;0;;;WAAR;Roerdalen
Roermond;7;12;0;0;0;0;;;WAAR;Roermond
Roosendaal;31;40,1;1;1,3;0;0;;;WAAR;Roosendaal
Rotterdam;796;122,2;6;0,9;1;0,2;;;WAAR;Rotterdam
Rozendaal;0;0;0;0;0;0;;;WAAR;Rozendaal
Rucphen;2;8,7;0;0;0;0;;;WAAR;Rucphen
Schagen;1;2,2;0;0;0;0;;;WAAR;Schagen
Scherpenzeel;1;10,1;0;0;0;0;;;WAAR;Scherpenzeel
Schiedam;32;40,6;0;0;0;0;;;WAAR;Schiedam
Schiermonnikoog;0;0;0;0;0;0;;;WAAR;Schiermonnikoog
Schouwen-Duiveland;3;8,9;0;0;0;0;;;WAAR;Schouwen-Duiveland
's-Gravenhage (gemeente);270;49,5;3;0,5;3;0,5;;;WAAR;'s-Gravenhage (gemeente)
's-Hertogenbosch;18;11,6;0;0;0;0;;;WAAR;'s-Hertogenbosch
Simpelveld;0;0;0;0;0;0;;;WAAR;Simpelveld
Sint Anthonis;2;17,1;0;0;0;0;;;WAAR;Sint Anthonis
Sint-Michielsgestel;2;6,8;0;0;0;0;;;WAAR;Sint-Michielsgestel
Sittard-Geleen;4;4,3;0;0;1;1,1;;;WAAR;Sittard-Geleen
Sliedrecht;5;19,8;0;0;0;0;;;WAAR;Sliedrecht
Sluis;1;4,3;0;0;0;0;;;WAAR;Sluis
Smallingerland;1;1,8;0;0;0;0;;;WAAR;Smallingerland
Soest;1;2,1;0;0;1;2,1;;;WAAR;Soest
Someren;2;10,3;0;0;0;0;;;WAAR;Someren
Son en Breugel;0;0;0;0;0;0;;;WAAR;Son en Breugel
Stadskanaal;0;0;0;0;0;0;;;WAAR;Stadskanaal
Staphorst;0;0;0;0;0;0;;;WAAR;Staphorst
Stede Broec;2;9,2;0;0;0;0;;;WAAR;Stede Broec
Steenbergen;5;20,5;0;0;0;0;;;WAAR;Steenbergen
Steenwijkerland;2;4,5;0;0;0;0;;;WAAR;Steenwijkerland
Stein (L.);0;0;0;0;0;0;;;WAAR;Stein (L.)
Stichtse Vecht;10;15,4;0;0;0;0;;;WAAR;Stichtse Vecht
Sudwest-Fryslan;0;0;0;0;0;0;;;WAAR;Sudwest-Fryslan
Terneuzen;2;3,7;0;0;0;0;;;WAAR;Terneuzen
Terschelling;0;0;0;0;0;0;;;WAAR;Terschelling
Texel;0;0;0;0;0;0;;;WAAR;Texel
Teylingen;6;16;0;0;0;0;;;WAAR;Teylingen
Tholen;4;15,5;0;0;0;0;;;WAAR;Tholen
Tiel;1;2,4;0;0;0;0;;;WAAR;Tiel
Tilburg;38;17,3;0;0;0;0;;;WAAR;Tilburg
Tubbergen;0;0;0;0;0;0;;;WAAR;Tubbergen
Twenterand;0;0;0;0;0;0;;;WAAR;Twenterand
Tynaarlo;0;0;0;0;0;0;;;WAAR;Tynaarlo
Tytsjerksteradiel;0;0;0;0;0;0;;;WAAR;Tytsjerksteradiel
Uden;0;0;0;0;0;0;;;WAAR;Uden
Uitgeest;0;0;0;0;0;0;;;WAAR;Uitgeest
Uithoorn;4;13,6;0;0;0;0;;;WAAR;Uithoorn
Urk;1;4,8;1;4,8;0;0;;;WAAR;Urk
Utrecht (gemeente);126;35,2;2;0,6;0;0;;;WAAR;Utrecht (gemeente)
Utrechtse Heuvelrug;9;18,2;0;0;0;0;;;WAAR;Utrechtse Heuvelrug
Vaals;0;0;0;0;0;0;;;WAAR;Vaals
Valkenburg aan de Geul;0;0;0;0;0;0;;;WAAR;Valkenburg aan de Geul
Valkenswaard;6;19,2;0;0;0;0;;;WAAR;Valkenswaard
Veendam;0;0;0;0;0;0;;;WAAR;Veendam
Veenendaal;1;1,5;0;0;0;0;;;WAAR;Veenendaal
Veere;6;27,4;0;0;0;0;;;WAAR;Veere
Veldhoven;7;15,4;0;0;0;0;;;WAAR;Veldhoven
Velsen;4;5,8;0;0;0;0;;;WAAR;Velsen
Venlo;4;3,9;0;0;0;0;;;WAAR;Venlo
Venray;3;6,9;0;0;0;0;;;WAAR;Venray
Vijfheerenlanden;5;8,8;0;0;0;0;;;WAAR;Vijfheerenlanden
Vlaardingen;38;51,8;0;0;0;0;;;WAAR;Vlaardingen
Vlieland;0;0;0;0;0;0;;;WAAR;Vlieland
Vlissingen;17;38,3;0;0;0;0;;;WAAR;Vlissingen
Voerendaal;1;8;0;0;0;0;;;WAAR;Voerendaal
Voorschoten;4;15,6;0;0;0;0;;;WAAR;Voorschoten
Voorst;0;0;0;0;0;0;;;WAAR;Voorst
Vught;1;3,8;0;0;0;0;;;WAAR;Vught
Waadhoeke;0;0;0;0;0;0;;;WAAR;Waadhoeke
Waalre;3;17,2;0;0;0;0;;;WAAR;Waalre
Waalwijk;6;12,3;0;0;0;0;;;WAAR;Waalwijk
Waddinxveen;30;102,4;2;6,8;0;0;;;WAAR;Waddinxveen
Wageningen;1;2,5;0;0;0;0;;;WAAR;Wageningen
Wassenaar;4;15,2;0;0;0;0;;;WAAR;Wassenaar
Waterland;0;0;0;0;0;0;;;WAAR;Waterland
Weert;1;2;0;0;0;0;;;WAAR;Weert
Weesp;7;35,5;0;0;0;0;;;WAAR;Weesp
West Betuwe;2;3,9;0;0;0;0;;;WAAR;West Betuwe
West Maas en Waal;0;0;0;0;0;0;;;WAAR;West Maas en Waal
Westerkwartier;1;1,6;0;0;0;0;;;WAAR;Westerkwartier
Westerveld;1;5,1;0;0;0;0;;;WAAR;Westerveld
Westervoort;0;0;0;0;0;0;;;WAAR;Westervoort
Westerwolde;1;3,9;0;0;0;0;;;WAAR;Westerwolde
Westland;15;13,6;0;0;0;0;;;WAAR;Westland
Weststellingwerf;1;3,9;0;0;0;0;;;WAAR;Weststellingwerf
Westvoorne;3;20,4;0;0;0;0;;;WAAR;Westvoorne
Wierden;0;0;0;0;0;0;;;WAAR;Wierden
Wijchen;0;0;0;0;0;0;;;WAAR;Wijchen
Wijdemeren;4;16,4;0;0;0;0;;;WAAR;Wijdemeren
Wijk bij Duurstede;1;4,2;0;0;0;0;;;WAAR;Wijk bij Duurstede
Winterswijk;0;0;0;0;0;0;;;WAAR;Winterswijk
Woensdrecht;4;18,3;0;0;0;0;;;WAAR;Woensdrecht
Woerden;8;15,3;0;0;0;0;;;WAAR;Woerden
Wormerland;2;12,3;0;0;0;0;;;WAAR;Wormerland
Woudenberg;0;0;0;0;0;0;;;WAAR;Woudenberg
Zaanstad;26;16,6;3;1,9;0;0;;;WAAR;Zaanstad
Zaltbommel;3;10,4;0;0;0;0;;;WAAR;Zaltbommel
Zandvoort;4;23,4;0;0;0;0;;;WAAR;Zandvoort
Zeewolde;1;4,4;0;0;0;0;;;WAAR;Zeewolde
Zeist;5;7,7;0;0;0;0;;;WAAR;Zeist
Zevenaar;4;9,1;1;2,3;0;0;;;WAAR;Zevenaar
Zoetermeer;17;13,6;0;0;0;0;;;WAAR;Zoetermeer
Zoeterwoude;3;34,9;0;0;0;0;;;WAAR;Zoeterwoude
Zuidplas;5;11,4;0;0;0;0;;;WAAR;Zuidplas
Zundert;6;27,5;0;0;0;0;;;WAAR;Zundert
Zutphen;8;16,7;0;0;0;0;;;WAAR;Zutphen
Zwartewaterland;0;0;0;0;0;0;;;WAAR;Zwartewaterland
Zwijndrecht;4;8,9;0;0;0;0;;;WAAR;Zwijndrecht
Zwolle;4;3,1;0;0;0;0;;;WAAR;Zwolle
