Municipality_name;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;
Aa en Hunze;0;0;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;6;18,8;0;0;0;0;;;WAAR;Aalsmeer
Aalten;0;0;0;0;0;0;;;WAAR;Aalten
Achtkarspelen;2;7,2;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;3;14,9;0;0;0;0;;;WAAR;Alblasserdam
Albrandswaard;10;39,1;0;0;0;0;;;WAAR;Albrandswaard
Alkmaar;14;12,8;0;0;0;0;;;WAAR;Alkmaar
Almelo;3;4,1;0;0;0;0;;;WAAR;Almelo
Almere;46;21,7;3;1,4;1;0,5;;;WAAR;Almere
Alphen aan den Rijn;10;8,9;0;0;0;0;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;8;78,4;0;0;0;0;;;WAAR;Alphen-Chaam
Altena;12;21,4;0;0;0;0;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;18;11,4;1;0,6;0;0;;;WAAR;Amersfoort
Amstelveen;34;37,1;0;0;0;0;;;WAAR;Amstelveen
Amsterdam;563;64,5;10;1,1;0;0;;;WAAR;Amsterdam
Apeldoorn;13;7,9;1;0,6;0;0;;;WAAR;Apeldoorn
Appingedam;0;0;0;0;0;0;;;WAAR;Appingedam
Arnhem;16;9,9;0;0;0;0;;;WAAR;Arnhem
Assen;0;0;0;0;0;0;;;WAAR;Assen
Asten;2;12;0;0;0;0;;;WAAR;Asten
Baarle-Nassau;2;29,2;0;0;0;0;;;WAAR;Baarle-Nassau
Baarn;3;12,1;0;0;0;0;;;WAAR;Baarn
Barendrecht;13;26,7;0;0;0;0;;;WAAR;Barendrecht
Barneveld;1;1,7;0;0;0;0;;;WAAR;Barneveld
Beek (L.);0;0;0;0;0;0;;;WAAR;Beek (L.)
Beekdaelen;0;0;0;0;0;0;;;WAAR;Beekdaelen
Beemster;3;29,9;0;0;0;0;;;WAAR;Beemster
Beesel;0;0;0;0;0;0;;;WAAR;Beesel
Berg en Dal;1;2,9;0;0;0;0;;;WAAR;Berg en Dal
Bergeijk;0;0;0;0;0;0;;;WAAR;Bergeijk
Bergen (L.);0;0;0;0;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);9;30,2;0;0;0;0;;;WAAR;Bergen (NH.)
Bergen op Zoom;41;60,7;1;1,5;0;0;;;WAAR;Bergen op Zoom
Berkelland;2;4,6;0;0;0;0;;;WAAR;Berkelland
Bernheze;1;3,2;0;0;0;0;;;WAAR;Bernheze
Best;5;16,7;0;0;0;0;;;WAAR;Best
Beuningen;1;3,9;0;0;0;0;;;WAAR;Beuningen
Beverwijk;2;4,8;0;0;0;0;;;WAAR;Beverwijk
Bladel;1;4,9;0;0;0;0;;;WAAR;Bladel
Blaricum;6;52;0;0;0;0;;;WAAR;Blaricum
Bloemendaal;4;17;0;0;0;0;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;3;8,6;0;0;0;0;;;WAAR;Bodegraven-Reeuwijk
Boekel;0;0;0;0;0;0;;;WAAR;Boekel
Borger-Odoorn;0;0;0;0;0;0;;;WAAR;Borger-Odoorn
Borne;0;0;0;0;0;0;;;WAAR;Borne
Borsele;1;4,4;0;0;0;0;;;WAAR;Borsele
Boxmeer;1;3,4;0;0;0;0;;;WAAR;Boxmeer
Boxtel;0;0;0;0;0;0;;;WAAR;Boxtel
Breda;112;60,8;0;0;1;0,5;;;WAAR;Breda
Brielle;2;11,6;0;0;0;0;;;WAAR;Brielle
Bronckhorst;1;2,8;0;0;0;0;;;WAAR;Bronckhorst
Brummen;4;19,3;0;0;0;0;;;WAAR;Brummen
Brunssum;2;7,2;0;0;0;0;;;WAAR;Brunssum
Bunnik;1;6,6;0;0;0;0;;;WAAR;Bunnik
Bunschoten;3;13,7;0;0;0;0;;;WAAR;Bunschoten
Buren;0;0;0;0;0;0;;;WAAR;Buren
Capelle aan den IJssel;38;56,6;0;0;0;0;;;WAAR;Capelle aan den IJssel
